PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A1r;Exempla;;;h-G-d-g-d'-e';;none;"[dadaa2] [baca1] [dadf] [fdfd] [baca] [gddddd] [fdfd] [dbdb] \
[,fiff] [caca] [fdca] [gadf] [,fffff] [fdfd] [,ddddd] \
[dbdb] [,fiff] [,aca] [,eca] [caaaaa2]";italiantab
2;;A1r;Exempla;;;h-G-d-g-d'-e';;none;"[baca1] [,cfcc] [fcfcc] [hfhf] [ifffff] [hfhf] [fcc] [fdca] \
[ecec] [,hfd] [baca] [,cfcc] [,hfd] [hfhf] [ifffff] \
[laak] [nfffff] [laak] [ifffff]";italiantab
3;;A1r;1. Fantasia;;;h-G-d-g-d'-e';ConcR783;C;"l1 ,a/ ,c ,d ,f f g | i1 ,,f/ ,a ,c ,d ,f f | \
g1 ,,d/ ,,f ,a ,c ,d ,f |";italiantab
4;;A1v;2. Fantasia;;;h-G-d-g-d'-e';;C;",,f1 ,f f/ h i1 | ,f1 h/ f [hf] i l1 | \
,d/ i [,lk1] ,a [,ka/] ,h/4 ,k |";italiantab
;;;Hernach folgen etliche Französische Stück;;;;;;;
5;;A2r;3. Oye saman;;;h-G-d-g-d'-e';ConcR2894;none;"[caca1] [caca] [caca] | [caca2] [caca1] | [dadf2] [dadf1] [caca] | \
[dadf1] [fdfd] [gddddd2] | [gddddd1] [fdfd] [dadf/] ,d ,c ,a |";italiantab
6;;A2v;4. Quand ie cogneu;;;h-G-d-g-d'-e';ConcR2895;3;"[gddddd1] [gddddd] [gddddd] | [fdfd2] [fdfd1] | \
[cacf3/2] ,,,d/ [,fffi1] | [caca2] [caca1] | \
[dadf/] [dadf] [fdfd] [fdfd] [gddddd1] [gddddd/] [fdfd] |";italiantab
7;;A3r;5. Par bien Servir;;;h-G-d-g-d'-e';ConcR2896;C;"[daaaaa2] [daef1] [daef] | [,fffff1] [,fffff] [fdfd] [fdfd] | \
[gddddd2] [gddddd1] [fdfd] | \
[dbdb1] [,fiff] [daca/] c/4 a d c a c |";italiantab
8;;A3v;6. Les yeux;;;h-G-d-g-d'-e';ConcR2851;C;"[daef1] [dca] [fdfd2] | [fdfd1] [ifffff] [hfhf] [fec] | \
[hfhf/] f h i [hfhf1] f/ ,f | \
[,hhhhh1] [hfhf] [,lllll3/2] ,,n/ |";italiantab
9;;A4r;7. De tant de peine;;;h-G-d-g-d'-e';;C;"[,,ffff1] [,aaaaa] [,,ffff2] | [,,ffff1] [,fffk] [baca] [baea] | \
[,,ffff2] [,,ffff] | [,,ffff1] [,,ffff] [daef/] f h i | \
[laak1] [laak] [ihkh] [,lmh] |";italiantab
10;;A4v;8. Qui Veult du ciel;;;h-G-d-g-d'-e';ConcR2852;3;"[dadf1] [gacf] [icfc] | [lhlhh2] [lddddd1] | [,llllla2] [gadf1] | \
[fdfd1] [fdfd] z1 | [fdfd1] [fdfd] [ihkh] | \
[gfhf2] [fdca1] | [dbdb2] [,fiff1] |";italiantab
11;;B1v;9. Susan ung iour;;;h-G-d-g-d'-e';ConcR198;C;"[daa1] | [dadf2] [dbfb] | [caca3/4] a/4 c a c d c1 [caca] | \
[caca1] [caca] [,fiff] [gddddd] | \
[gdfd/] f/4 d g/ f [gddddd2] |";italiantab
12;;B2v;10. Bon iour mon coeur;;;h-G-d-g-d'-e';ConcR870;C;"[caca2] [,fffff] | [daaaaa/] c/4 d f d c a [caca2] | \
z1 [daef] [feha] [hfhf] | [ifffff/] ,,,a ,,,c ,,,e";italiantab
13;;B3r;11. Mon coeur se recomande a vous;;;h-G-d-g-d'-e';ConcR2854;C;",a2 [fa1] ,,c | [fd1] [fa] [fdh/] ,f [fdh] h | \
[ihl1] [,hkh/] i [ihkh1] [fdca] | \
[fcc/] ,,,,,c/4 ,,,,,a [,,cccc1] [,,dddd] [lddddd] |";italiantab
14;;B4r;12. Puis ne me peult venir;;;h-G-d-g-d'-e';ConcR1786;C;"d2 [la1] l | [lf1] ,f/ i [gfa1] f/ ,f | \
[fdh3/2] ,,h/ [fdh] d [fdh] g | \
[iff1] [,hfh] [iff/] ,h [lia1] |";italiantab
15;;B4v;13. Susan ung iour. Orlando;;;h-G-d-g-d'-e';ConcR198;C;"d2 g1 ,f | [ii1] [,lf] [lf] ,,a | [dad1] ,,,f [dbdb] [,fiff] | \
[dadaa/4] f g i [laai1] [lini] [nhkh] |";italiantab
;;;Hernach folgen etliche Matrigali;;;;;;;
16;;C2r;14. Non e lasso Martire;;;h-G-d-g-d'-e';ConcR2841;C;"[,gec1] [,gec] [,ce] | [fcc2] [fdca1] ,a/ ,c | [fdca1] [,cccf] [baca/] a/4 b a/ ,a | \
[,ccccc2] z1 [,kkkkk] | [,kkkkk/] ,,,,,l [,,kkkk1] [icccc2] |";italiantab
17;;C3r;15. O s'io potessi donna;;;h-G-d-g-d'-e';ConcR868;C;"[lddddd2] [lddddd] | [,lllll1] [,llllla] [gadf/] ,,f [fdha1] | \
[daab1] ,,,,,b [caca/] d f ,,f | [fad1] d/ ,c [fdc1] ,c/ d |";italiantab
18;;C4v;16. Se pur ti guardo;;;h-G-d-g-d'-e';ConcR195;C;"[daaaaas2] [,fffff1] [daaaaa] | \
[caca/] a/4 c [daaaaa1] z/ [hfhf] [hfhf] [hfhf] | \
[feha1] [haaf] [,fffff3/2] [,fffff/] | \
[,fffffq] [,fffff] [caca/]";italiantab
19;;D1r;17. Bona sera;;;h-G-d-g-d'-e';;C;"[daaaaa3/2] [daaaaa/] [caca1] [,cec] | z/ [,fffff1] [,fffff/] [daef1] [caca] | \
[,cec3/2] [,cec/] [,,eeee1] [,cec] |";italiantab
20;;D1v;18. A Dieu signora;;;h-G-d-g-d'-e';;C;"[fdfd2] [,fffff3/2] [fcfcc/] | [baca1] [,cec/] d [dc] [,fffff] [ifffff] [ifffff] | \
[haha1] [,hfh] [ecec] [fdfd/] [,dfd/4] d | f/4 h [iffh/] [ifhf]";italiantab
21;;D2r;19. Ma donna mia pieta:;;;h-G-d-g-d'-e';ConcR2844;C;"[,,ffff1] [,,ffff/] [,,ffff] [dadaa] [dadf] [caca1] | \
z/ [caca] [,fffff] [fdfd] [dadf] [dadaa] [caca3/4] d/4 | \
[fdca/] g [dbdb] [,fiff]";italiantab
22;;D3r;20. Tu sai ma donna;;;h-G-d-g-d'-e';;C;"[,,ffff2] [,aaaaa1] [,,ffff] | [,dcd1] [baca] [,ddddd2] | \
[,dcd1] z/ [gddddd] [gaa1] [gfhf] | \
[,fffff1] [dadf] [caca] [dadaa] |";italiantab
23;;D3v;21. La Cortesia;;;h-G-d-g-d'-e';ConcR942;C;",a1 [fdca] [dbdb] [,fiff] | [daca/] c/4 a d c d/8 c a c [daaaaa1] z/ [dbdb] | \
[dbdb/] [gadf] [gdfd] f [gddddd3/2] [fdfd/] |";italiantab
24;;D4r;22. Chi vol vedere;;;h-G-d-g-d'-e';;C;"[fdfd2] [fdfd1] [fdfd] | [,,ffff1] [,,ffff] [baca/] ,,,c ,,,d ,,a | \
[,ccccc1] [fddddd] [baca] [,fffff] | \
[fdfd3/2] [fdfd/] [,fffff1] [baca] |";italiantab
;;;Hernach folgen etliche Teutsche Lider.;;;;;;;
25;;D4v;23. Bewar mich HERR;;;h-G-d-g-d'-e';ConcR1228;C;"[daef2] [daef/] ,,,e ,,,c ,,,a | [,,ffff1] [,,ffff] [,aca/] ,,,e/4 ,,,c ,,,f/ ,,,e | \
[,aaaaa1] ,,a/ ,,c [,aef] ,,f [,ace1] |";italiantab
26;;E1v;24. Ach HERRE Got mein hails ain horn;;;h-G-d-g-d'-e';;C;"[gfhf2] [gfhf1] [gdd] | [fdfe1] [,llllla] [gfhf2] | \
[fccccc/] ,,,,,d [fccccd] ,,,,,c [fdca2] | \
z2 [gfhf2] | [,lllll2] [lhhhhh1] [ihkh] l/ [nhkh] |";italiantab
27;;E2v;25. Ich schwing mein horn ins Jamertal;;;h-G-d-g-d'-e';;C;"[daaaaa2] [daef1] [daef] | [caca3/4] a/4 c a c d [caca1] [,,ffff] | \
[,,ffff1] [,aaaea] [,,cccd/] ,,,,,c/4 ,,,,,a ,,,,,d/ ,,,,,c |";italiantab
28;;E3r;26. Gelobt sei Got;;;h-G-d-g-d'-e';;C;"[hfhf1] | [hfhf2] [feha1] | [dcec2] [feh1] | \
[feh2] [fcc1] | [cae2] [hfhf1] | [hfhf2] [feha1] | \
[dcec2] [dcecd1] | [ifffff2] [ifffff1] | [hfhf2] [lkn1] |";italiantab
;;;Hirnach folgen Passemezo Saltarello und Teutsche Tänz;;;;;;;
29a;;E4r;27. Passemezo milanese;;;h-G-d-g-d'-e';;C;"[dadaa3/2] f/ [dadaa1] [caca] | [dadaa3/2] f/ d a b d | \
[fdfd3/2] [fdfd/] [fdfd] g f d | [fdfd1] i [gaaaa] [fdfd] |";italiantab
_29b;;E4r;28. Il suo saltarello;;;h-G-d-g-d'-e';;3;"[dadaa3/2] f/ [dadaa1] | a/ c d a b d | [fdfd3/2] g/ [fdfd1] | \
i1 g f | [dadaa3/2] f/ [dadaa1] | ,b/ ,a ,,f ,,d ,,c ,,a |";italiantab
30a;;E4v;29. Passemezo Italie;;;h-G-d-g-d'-e';ConcR437;C;",,a1 ,,c/ | [,,daa/] ,,c ,,d ,,f ,a ,,f ,,d ,,c | \
[,,aaa/] ,,c ,,d ,,f ,a ,c ,d ,f |";italiantab
_30b;;F1r;30. Il suo saltarello;;;h-G-d-g-d'-e';;3;",,a/ ,,c | [,,daa/] ,,c ,,d ,,f ,a ,,f | [,,daa/] ,,f ,a ,c ,d ,f | \
[fdfd3/2] g/ f d | [idfd1] [gaaa] [fdfd] |";italiantab
31a;;F1v;31. Passemezo altra modo;;;h-G-d-g-d'-e';;C;d/ f | [hfhf/] f h i l i h f | [hfhf/] f h i h ,f f h |;italiantab
_31b;;F2v;32. Il suo saltarello;;;h-G-d-g-d'-e';;3;"d/ f | [hfhf/] f h i l i | [hfhf/] f h ,f f h | \
[ifffff3/2] ,,,,,g/ ,,,,,f ,,,,h |";italiantab
32a;;F3r;33. Passemezo Zorzy;;;h-G-d-g-d'-e';ConcR842;C;"d/ f | [haafa1] ,,,f/ ,,,h [,aafa] h f ,f | [caca/] a c d [caca] [lhhhhh1] \
[khkh] [lklk] [lhkh] k/ h/4 l k/ |";italiantab
_32b;;F3v;34. Il suo saltarello;;;h-G-d-g-d'-e';ConcR1219;3;"d/ f | [haafa3/2] ,,,h/ ,,,f ,,,h | [haafa1] ,,,f/ h f ,f | \
[caca3/2] d/ c a | [caca1] c [lhhhhh] | [khkh3/2] l/ n1 |";italiantab
33a;;F4r;35. Passemezo commune:;;;h-G-d-g-d'-e';;C;",a/ a | [caca3/2] d/ [caca1] [,ccccc] | [caca1] ,a/ a c ,a a c | \
[daaaaa3/2] f/ [daaaaa1] [caca] | [daaaaa/] c a c d a c d |";italiantab
_33b;;F4v;36. Il suo saltarello;;;h-G-d-g-d'-e';;3;",a3/2  a/ | [caca3/2] d/ c a | [caca/] a c ,a a c | \
[daaaaa3/2] f/ d c | [daaaaa1] d c/ a |";italiantab
34;;G1r;37. Gaiarda chi passa per questa strada;;;h-G-d-g-d'-e';;3;"[caca1] | [caca3/2] d/ [caca1] | [caca1] [,aac] ,,,,,c | \
[caca3/2] d/ c a | [caca1] [caca] [caca] | [daaaaa3/2] d/ [,fffff1] | \
[,fffff1] [caca] [caca] |";italiantab
35;;G1r;38. Chi passa altra modo;;;h-G-d-g-d'-e';ConcR178;3;"[caca1] | [caca3/2] a/ c d | [faca/] h f d c a | \
[caca3/2] d/ c a | [caca/] d f c d f |";italiantab
36;;G1v;39. Gaiarda Era di magio;;;h-G-d-g-d'-e';;3;"d/ f | [gddddd3/2] i/ [gddddd1] | [gddddd1] [fdfd] [fdfd] | \
[cacf1] c/ a [caca1] | [caca1] [dadf] [fdfd] | \
[gddddd3/2] g/ [fdfd1] |";italiantab
37;;G2r;40. Gaiarda la Caracossa;;;h-G-d-g-d'-e';ConcR202;3;"[caca1] [caca] [caca] | [caca/] a c d [caca1] | \
[dadf/] f d a b d | [fdfd3/2] g/ [fdfd1] | \
[gddddd1] [gddddd] [gddddd] |";italiantab
38;;G2v;41. Gaiarda Milanessa;;;h-G-d-g-d'-e';;3;"a/ c | [daaaaa3/2] f/ d c | [daaaaa3/2] b/ a ,a | [,fffff3/2] ,,,,,g/ ,,,,,f ,,,,h | \
[,fffff1] [,fffff] [fdfd] | [fdfd3/2] g/ f d |";italiantab
39;;G3r;42. Secunda milanesse;;;h-G-d-g-d'-e';;3;"d/ f | [gaaf3/2] i/ [gaaf1] | [gaaf1] [,lllll] [,lllll] | \
[lili3/2] m/ l i | [lili1] [lili] i/ i | \
[miiiii3/2] l/ [ihl1] |";italiantab
40;;G3v;43. Tertia Milanesa;;;h-G-d-g-d'-e';;3;"g/ f | [dadf3/2] f/ [dadf1] | [caca3/2] d/ [caca1] | \
[dadf3/2] f/ [dadf1] | [fdfd3/2] g/ [fdfd1] | \
[gddddd1] f/ g i1 |";italiantab
41;;G4r;44. Quarta Milanesa;;;h-G-d-g-d'-e';;3;"d/ f | [hfhf3/2] i/ h f | [hfhf1] [hfhf] [hfhf] | \
[hfhf3/2] i/ h f | [hfhf1] [hfhf] f/ h | \
[ifffff3/2] h/ [fccccc1] |";italiantab
42;;G4v;45. Quinta milanesa;;;h-G-d-g-d'-e';;3;"[gddddd1] [gddddd] [gddddd] | [dbdb3/2] b/ d f | \
[gddddd1] [gdfd] f | [gddddd3/2] ,,,,,e/ [gddddd1] | \
[gddddd/] i g f d ,d |";italiantab
43a;;H1r;46. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[gddddd2] [gddddd] | [dbdb3/2] e/ [dbdb1] [dbdb] | \
[baca1] [fddddd] [gdfd] f | [gddddd2] g1 ,,d | \
[gddddd/] f g i | [gddddd] f d ,d |";italiantab
_43b;;H1r;47. Reprinse, Der Nachtantz;;;h-G-d-g-d'-e';;3;"[gddddd2] [gddddd1] | [dbdb3/2] e/ [dbdb1] | \
[baca1] [gddddd] [fdfd] | [gddddd3/2] g/ ,,d1 | \
[gddddd/] i g f d ,d |";italiantab
44a;;H1v;48. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[hfhf2] [hfhf] | [ifffff1] f/ h i f h i | \
[hfhf1] [fcc] [fcec] e | [fccccc2] f1 ,,c | \
[hfhf3/2] i/ [hfhf1] [hfhf] |";italiantab
_44b;;H1v;59. Reprinse Der Nachtantz;;;h-G-d-g-d'-e';;3;"[hfhf2] [hfhf1] | [ifffff1] f/ g i f | [hfhf1] [fcc] [ecec] | \
[fccccc3/2] f/ ,,c1 | [hfhf3/2] i/ [hfhf1] | \
[ifffff/] h i f h i |";italiantab
45a;;H2r;50. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"a/ c | [daaaaa1] d [,,ffff] [caca] | [daaaaa3/2] f/ [daaaaa1] [hfhf] | \
[feha1] [dcec] [,,ffff] [caca] | \
[daaaaa/] c a c [daaaaa1] a/ c |";italiantab
_45b;;H2v;51. Reprinse Der Nachtantz;;;h-G-d-g-d'-e';;3;"a/ c | [daaaaa3/2] c/ [daaaaa1] | [,,ffff2] [caca1] | \
[daaaa3/2] c/ a c | [daaaaa2] [hfhf1] | [feha2] [dcfc1] | \
[,,ffff2] [caca1] |";italiantab
46a;;H3r;52. Almanda Imperiale;;;h-G-d-g-d'-e';;C;"[gddddd1] | [gdddd3/2] i/ [lili1] [,llll] | [gddddd1] f/ g i f g i | \
[laai1] [gddddd] [gdfd] f | [gddddd3/2] ,,,,,e/ [gddddd1] :||:";italiantab
_46b;;H3r;53. Reprinse Der nachtantz;;;h-G-d-g-d'-e';;3;"[gddddd1] | [gddddd3/2] l/ [ihl1] | [gddddd1] l [,lllll] | \
[laai1] [gddddd] [fdfd] | [gddddd1] :||: [dbdb1] | \
[dbdb2] [,ddddd1] | [dbdb1] b/ d [,ddddd1] |";italiantab
47a;;H3r;54. Almande Teutscher Tantz;;;h-G-d-g-d'-e';;C;"a/ c | [daaaaa3/2] f/ [daaaaa1] [daaaaa] | [caca3/2] d/ [caca1] [caca] | \
[,ccccc1] [,aaaea] [,ccccd] ,,,,,c | \
[caca3/2] d/ [caca1] a/ c |";italiantab
_47b;;H3v;55. Reprinse, Der Nachtantz;;;h-G-d-g-d'-e';;3;"a/ c | [daaaaa3/2] f/ [daaaaa1] | [daaaaa2] [daaaaa1] | \
[caca3/2] d/ [caca1] | [caca2] [caca1] | [,ccccc2] [,aaaed1] | \
[,ccccc1] ,,,,,d [,ccccc] |";italiantab
48a;;H4r;56. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[caca1] | [dadaa1] f [gaaa] i | [laai2] [ihl] | [nlllll3/2] ,,,,,m/ [nlllll1] [miiiii] | \
[lili3/2] m/ [lili1] [,lllll] | [lili1] [,iiiii] [gdfd] f |";italiantab
_48b;;H4v;57. Reprinse, Der Nachtantz;;;h-G-d-g-d'-e';;3;"[caca1] | [dadaa2] f1 | [gaaa2] i1 | [laai2] m1 | \
[laai2] [ihl1] | [nlllll2] ,,,,,m1 | [nlllll2] [miiiii1] | \
[lili2] m1 | [lili2] [,lllll1] |";italiantab
49a;;H4v;58. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[haaaaa2] [haaaaa1] [haaaaa] | [haaaaa3/2] i/ [haaaaa1] [haaaaa] | \
[haaf1] [dcec] [fdfd] [hfhf] | [ifffff3/2] ,,,,,g/ [ifffff1] [ifffff] | \
[hfhf/] f h i l i h f |";italiantab
_49b;;I1r;59. Reprinse Der Nachtantz;;;h-G-d-g-d'-e';;3;"[haaaaa2] [haaaaa1] | [haaaaa3/2] i/ [haaaaa1] | \
[dcec1] [fdfd] [hfhf] | [ifffff3/2] ,,,,,g/ [ifffff1] | \
[hfhf/] i l i h f |";italiantab
50a;;I1v;60. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[daaaaa3/2] f/ [hfhf1] [hfhf] | [ifffff2] [feha] | \
[haaf3/2] f/ [dcec1] [dcec] | [fdfd2] [caca] | [dcec1] [fdfd] [hfhf] [,fffff] | \
[caca/] a c d[caca1] [caca] |";italiantab
_50b;;I1v;61. Reprinse Der Nachtantz;;;h-G-d-g-d'-e';;3;"[daaaaa2] f1 | [hfhf2] [hfhf1] | [ifffff2] [ifffff1] | \
[feha2] [feha1] | [haaf3/2] f/ [haaf1] | [dcec2] [dcec1] | \
[fdfd2] [fdfd1] | [caca2] [caca1] | [dcec2] [fdfd1] |";italiantab
51a;;I1v;62. Almanda Teutscher Tantz;;;h-G-d-g-d'-e';;C;"[,aaaa1] | [daaaaa1] [daaaaa] [feha] [feha] | [haaf1] [haaf] [feha2] | \
[haaf1] [dcec][daca] c | [daaaaa/] c d f [daaaaa1] a/ c |";italiantab
_51b;;I2r;63. Reprinsa Der Nachtantz;;;h-G-d-g-d'-e';;3;"[,aaaaa1] | [daaaaa2] [daaaaa1] | [feha2] [feha1] | [haaf2] [haaf1] | \
[feha2] [feha1] | [haaf2] [dcec1] | [caca3/2] d/ [caca1] | \
[daaaaa3/2] c/ d f |";italiantab
