PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
;;;Manche der Sätze sind zweifach in unterschiedlicher Tonhöhe gesetzt und können entweder alleine oder mit zwei Lauten in unterschiedlicher Tonhöhe zusammen gespielt werden - wie Gregor Krengel in seinem Titel beschreibt.;Many pieces are given in two different keys and can be played either alone or on two differently-tuned lutes together - as explained by Gregor Krengel in his preface.;;;;;;
1a;g moll;0v;Tutto lo giorno 1;J. Regnart;Partie;OT;;C;"[cefec1] [cefec/] [cefec] [cefec1] [cefec] | \
[dffc,a/] [ce,ec/4] ,,f [aabc/] [acd,a] [h,ikkh1] [h,ikkh/] [ca,a] | \
[cd,a/] [da,a,d/4] ,d [cdf,,d/] ,,f \
[hf,fha] [h,,,h] [,,f,c] [ca,b] |";germantab
1b;f moll;1r;[Tutto lo giorno] 1;;Contrepartie;OT;;C;"[acdca1] [acdca/] [acdca] [acdca1] [acdca] | \
[bdda{d}/] [ac,ca/4] ,,d [,dddf/] [,dff,d] [f,ghhf1] [f,ghhf/] [a,d,d] | \
[ab,,d/] [b,d,db/4] ,b [fbd,,b/] ,,d [fd,df{d}] \
[f,,,f] [,,,ca] [a,d,e] |";germantab
2a;e moll;1v;Del crud amor 2;J. Regnart;Partie;OT;;C;"[acc,e1] [acc,e/] [cef,c] [effc] [cef,c] [acc,e1] | \
[,egg,e/] [acc,e] [,cde,c1] [,ccce/] [e,g,ge1] [cc,aa/] | \
[e,gg,e1] [,c,,e] [e,,,e/] [,,cce] [,,dcef] [e,fgge] |";germantab
2b;d moll;2r;[Del crud amor] 2;;Contrepartie;OT;;C;"[,dfec1] [,dfec/] [acd,a] [cdda] [acd,a] [,dfec1] | \
[,cde,c/] [,dfec] [,abc,a1] [,aaac/] [c,ee,c1] [aa,,dd/] | \
[c,de,c1] [,a,,c] [c,,,c/] [,,aac] [,,bacd] [c,deec] |";germantab
3a;a moll;2v;Non è dolor 3;J. Regnart;Partie;OT;;C;"[,cde2] [c,def1] [ca,a] | [,ghge1] [,,e,,c/] [c,,e] [,df,c] ,,,e [,dfec1] | \
[,cc,e1] ,,,d [,efg] [acd] | \
,c/ [cc,e] [,ef] [ac] [,egg1] [,ccc] |";germantab
3b;g moll;3r;[Non è dolor] 3;;Contrepartie;OT;;C;"[,abc2] [a,bcd1] [a,d,d] | [c,fec1] [,,c,,a/] [a,,c] [,bd,a] ,,,c [,bdca1] | \
[,aa,c1] ,,,b [,cee] [,dff] | \
,a/ [aa,c] [,cd] [,df] [,cee1] [,aa,c] |";germantab
4a;a moll;3v;Amor lasciami stare 4;J. Regnart;Partie;OT;;C;"[,ccde1] [acc,e] [acd,a/] [ff,,a1] [eff,,a/] | \
[ccd,,c1] [a,c,e] [,c,,e/] [,cc,e] [,,cce] a | \
[,,,cef/] [ac] [a,d,a] [aac,,a] [,cde,c1] [,ccce] |";germantab
4b;g moll;4r;[Amor lasciami stare] 4;;Contrepartie;OT;;C;"[,aabc1] [,dfec] [,dff,d/] [da,,,d1] [cdd{d}/] | \
[aab,,a1] [,da,c] [,a,,c/] [,aa,c] [,,aac] ,d | \
[,,,acd/] [,df] [,d,f,d] [,dde{d}] [,abc,a1] [,aaac] |";germantab
5a;d moll;4v;Io voglio 5;J. Regnart;Partie;OT;;C;"[cdf,c1] [cdf,c/] [cdda] [acd,a] [,dfec] [,cee,c] [,df,c] | \
[a,c,e/] [,dfec] [,cee] ,c [,dfec1] [caa/] [,df] | \
[dd,f/] [dffc] [,cee,c] ,,e/4 ,,,e [,a,bc/] [da,c,a] [ca,ac1] |";germantab
5b;c moll;5r;[Io voglio] 5;;Contrepartie;OT;;C;"[abd,a1] [abd,a/] [abb,d] [,dff,d] [,bdca] [,acc,a] [,bd,a] | \
[,da,c/] [,bdca] [,acc] ,a [,bdca1] [a,dc] [,bd] | \
[bbd/] [bdda] [,acc,a] ,,c/4 ,,,c \
[,,d,ef/] [b,da{d}] [a,d,df1] |";germantab
6a;G dur;5v;Dolsi sospir 6;J. Regnart;Partie;OT;;C;"[effc1] [c,ee/] [cef,c] [effc1] [effc] | \
[ffh,a/] [cef,c] [ac,ce] [acd,a] [,efec1] [aacc] | \
,,,,,a/ [aacc] [,cdca] [aacc,a] [caabc1] [e,,c/] [,ac] |";germantab
6b;F dur;6r;[Dolsi sospir] 6;;Contrepartie;OT;;C;"[cdda1] [aacc/] [acd,a] [cdda1] [cdda] | \
[ddf,,d/] [acd,a] [,dfec] [,dff,d] [,cdca1] [,ddef] | \
{d}/ [,ddef] [,aba,d] [,ddef{d}] [a,dcef1] [c,,a/] [,,de] |";germantab
7a;d moll;6v;Dipensire 7;J. Regnart;Partie;OT;;C;"[,cde3/2] [,cde/] [,cde1] [,ccd/] [,cde] | \
[,df,c/4] ,,,,e ,,,a ,,,c [,cee1] [aa,c/] [cd,a] [acd1] | \
[cd,a/] ,,d [,,def] c/4 ,a [,cc,e/] [cdf,c] [ccee1] |";germantab
7b;c moll;7r;[Dipensire] 7;;Contrepartie;OT;;C;"[,abc3/2] [,abc/] [,abc1] [,aab/] [,abc] | \
[,bd,a/4] ,,,,c ,,,,d ,,,a [,acc1] [,dda/] [ab,,d] [,dff1] | \
[ab,,d/] ,,,c [,,bcd] a/4 ,,d [,dfec/] [,bdca] [aacc1] |";germantab
