PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;6;Psalm 1. Qui non malorum - Qui au conseil des - Wer nicht mit dem - Die niet en gaet in;;;OT;;C|;"[acd,a/] ,,d/4 ,a ,c ,d [acd{a}/] | [cdd3/4] [ac/4] [,df/] [,cd] | \
[aac,,a/] ,,,c/4 ,,a ,,c ,e ,c ,a |"
2;;8;Psalm 2. Quare fremunt - Pourqouy sont - Worauff ist doch - Waerom raest dat volck niet;;;OT;;C|;"[,aa,c3/4] ,,d/4 ,a ,,d ,a ,c | [,dfec/] ,,f/4 ,,,c [,cee,c/] ,,,,,a/4 ,,,,,c | \
[,a,a,d/] ,,,,,c/4 ,,,,,a [,,def{a}1] | [,dde/4] ,c ,d a"
3;;10;Psalm 3. Quam multi mihi - O Seigneur que - Wie viel seynd - Hoe veel is des volcx;;;OT;;C|;"[,,dc/] ,,,,a/4 ,,,,c ,,,,e ,,,,a ,c ,d | \
[acd,a/] ,,d/8 ,,c ,,d/4 ,a ,c ,,d ,,,,a ,,,,c | \
[,fd,e/4] c/8 ,e"
4;;12;Psalm 4. Audi Deus me - Quand je t'invo - O Gott mein Hort - Als ick u bid oyent v.;;;OT;;C|;"[ddf,,d/] ,,,f/4 ,,d ,,f ,d ,,,f ,,d | \
[ddf,,d/4] ,d ,,,f ,,d [ddf,,d] ,,,,a ,,,,c ,,,,d | \
[cdda/4] ,b a ,,d [,dff,d/] ,,,,a/4 ,,,,c |"
5;;14;Psalm 5. Aures Deus verg - Aux paroles que - O Herr dein ohren - Verhoort O God mijn;;;OT;;C|;"[,aa,c/] ,,a/4 ,,,c ,,a ,,,,c ,a ,c | \
[cdf,c/4] ,,d ,,c ,,,e [effc] ,d ,c ,f | \
[fdaa/] ,a/4 ,c ,d ,,,,e ,,,a ,,,c |"
6;;15;Psalm 6. O Rex supreme - Ne vueille pas - In deeinem grossen - Wilt my niet straffen Heer;;;OT;;C|;"[,cc,e/] ,,,c/4 ,,,e ,,c ,,,c ,,,e ,,c | \
[,cd,,c/] ,,,e/4 ,,c [,cd,,c] ,,,e/8 ,,c ,,d/4 ,,,e | \
[,,fc,e/] ,,c/4 ,,e ,,f ,,e ,,c ,,,,,c |"
7;;16;Psalm 7. In Deus spero - Mon Dieu i'ay en - Mein Hoffnung auff - Op u hop'ick Heer t'allen;;;OT;;C|;"[aa,c/] ,a/4 ,,d ,a ,,b ,,d ,,a | [aa,c/4] ,,,a ,,,c ,,,,e [cdf,c/] ,f/4 c | \
[da,c/] [c,a] [aabc/4] ,c ,d ,f |"
8;;17;Psalm 8. O Iova Rex illust - O nostre Dieu - O Hochster Gott - O onse Godt en Heerster;;;OT;;C|;"[,aa,c/] ,,a/4 ,,,c ,,a ,,,,c ,a ,c | [,da,c/] ,a/4 ,c ,d ,,,c ,,a ,,c | \
[acd,a/4] ,d ,c ,a ,,d ,,b ,,a ,,,c |"
9;;18;Psalm 9. Grates tibi dicam - De tout mon - Ich wil dich Herr - Heer ich wil u uit s hert;;;OT;;C|;"[,aa,c/] ,,a/4 ,,,c ,,a ,,,b ,,,c ,,,,e | \
[,aabc/4] ,,,c ,,a ,,,b [,acc,a] ,,,a ,,,,e ,,,,c | \
[c,d,ec/] ,,,e/4 ,,c ,,d ,,,e c [e,c] |"
10;;18;Psalm 10. Ut quid recessist - Dou vien cela - Wie kompts dasz - Hoe comt dat ghy Heer;;;OT;;C|;"[cdda/] ,d/4 a c ,,d ,,a ,,d | [ddf,,d/4] ,,d ,,,f ,d ,,f ,,,f ,d ,,f | \
[acd,a/] ,,d/8 ,a ,c/4 a ,c ,,d a ,c |"
11;;20;Psalm 11. In gratia Iova Dei - Ven que du tout en - Auff Gott mein Trost - Ick betrou op Godt met;;;OT;;C|;"[cc,e,c/] ,,,e/4 ,,c ,,d ,,,e c e | [fc,e,c/4] c/ e/4 f ,,,,,c/8 ,,,,,e ,,,,a/4 ,,,,c | \
[egh,e/] ,,h/4 ,e ,g h g e |"
12;;21;Psalm 12. Salvum Deus me - Donne secours - Bewahr mich Herr - Doet ons bystant t'is;;;OT;;C|;"[caa,c/] ,,a/4 ,,,c ,,,a ,,,,c c a | [,da,c/4] ,a ,c ,d [acd,a] ,,b ,,a ,,,c | \
[cdda/] ,d/4 a c ,,,,e ,,,,c e |"
13;;22;Psalm 13. Ah quam diu me - Iusques à quan - Wie lang wiltu o - Hoe langh hebt ghy beslot;;;OT;;C|;"[,aa,c/] ,a/4 ,,d ,a ,,d ,a ,c | [,aa,c/4] ,,,a ,,,c ,,a [,abc,a] ,,d ,a ,c | \
[,da,c/] ,a/4 ,c [,da,c] ,,,,a ,,,,c ,,,,,d |"
14;;23;Psalm 14. Insaniens in corde - Qui est ce qui conv - Der unweisz Mann - De dwaes die spreeckt in;;;OT;;C|;"[haa,,h/] ,a/4 ,,a ,a ,,a ,a ,,h | [hhi,,h/] ,,,k/4 ,,h [hhi,,h] ,,h ,,i | \
[acd,a/4] ,d ,c ,a ,,d ,,b ,,a ,,,c |"
15;;24;Psalm 15. Tentoriis subter - Qui est-ce qui - Wem wier stu lieb - Wie is die sal woonen;;;OT;;C|;"[,dff,d/] ,d/4 ,,g ,,f ,,d ,,,f ,,,,a | \
[,dfec/] ,,f/4 ,c [,dfec] ,,f ,c ,d | \
[abd,a/4] ,,d/8 ,a ,b/4 ,a ,b ,,d ,b c |"
