PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;A plaisir - Laissez la verte couleur;;;Guitar;ConcR3437;C|;"[,aac2] | [,aac1] [,bc] | ,,,f/ ,d ,,e ,,,f | ,,f/ ,f [cd] ,,,a | \
,,,f/ ,d ,,e ,,,f | [,def2] | [daa/] ,,,e ,,a ,,c |";french4tab
2;;3r;Pavanne I'ay le rebours;;;Guitar;ConcR3407;C|;"[daa1] [da/] ,,a | ,,,c/ [ab] [cdc] ,,,a | [daa/] a/4 c d a c d | \
[fdca/] ,,,c ,,,e [da,c] |";french4tab
3;;4r;Gaillarde - Puisque vivré en servitute;;;Guitar;;3;"[,,ca/] ,,a ,,c ,a ,b ,d | [ab,c3/2] ,d/ a c | [db,c1] c [aba] | \
[,def3/4] ,d/ ,,e1 | [,def1] [,ff] [,de] |";french4tab
4a;;5r;A plaisir - Pour m'eslongner;;;Guitar;ConcR3429;C|;"z2 | [abac2] | [,def3/2] ,d/ | ,,1 [,bc] | ,,,c1 ,a | ,,a1 [,bc] | \
,,,f1 ,d | ,,e1 ,,,f | [,def2] | [,def2] | [,bc1] b/ a |";french4tab
4b;;5r;Autrement;;;Guitar;ConcR3430;C|;"[abac2] | [,def3/2] [ab/] | [,de1] [,bc] | [,a,c1] [,,ce] | \
[,aa1] [,bc] | [,de1] [,bc] | [,de1] [ab] | [,de1] [,aa] | \
[,bc1] [,de] | [,bc1] b/ a |";french4tab
5;;6r;Branle gay - O combien est heureuse;;;Guitar;;3;"z2 a/ c | [daa3/2] d/ ,a1 | [daa1] [cdca] [abac] | [,dee2] [,aaa] [,dee] | \
[ab,c3/2] [ab/] ,,a1 | [,dee1] [,bcc] [,a,c/] ,,c |";french4tab
6;;7r;Branle gay - Ie ne suis moins aimable;;;Guitar;;3;"z2 [,def1] | [daac2] [daac1] | [abc3/2] c/ [da,c1] | [cdca3] | \
[,def3/2] a/ [cdca1] | [ab,c2] [,d,e1] | [,da1] [acc2] | \
[,dca3] | [,dca2] [,def1] |";french4tab
7;;8r;A plaisir - Mes passemez;;;Guitar;ConcR3431;3;"[aabc1] [aab] [aabc] | [aabc3/2] [aa/] ,,b1 | [abc/] ,a ,b ,,c ,a ,b | \
[,def3/2] ,d/ ,,e1 | [dff1] [df] [dff] |";french4tab
8;;9r;Branle gay - Quand i'entens le perdu temps;;;Guitar;;3;"[,dca2] [acc1] | [cd,a2] [daa1] | [fdca2] [haa1] | [fdca3] | \
[cd,a3/2] [cd/] ,,c1 | [cd,a2] [fd,e1] | [da,c2] [cd,a1] | \
[acc3] | [acc2] [cd,a1] | [da,c2] [fd,e1] |";french4tab
9;;10r;Trio - Ie ne veux plus à mal consentir;;;Guitar;ConcR3408;C|;"[aa,c2] | [abc1] [aab] | ,,c/ [ab] [,aa] [,,ce] | [,aac/] ,,,e ,,,f [,de] | \
[ab,c/] c[da,c] ,c | [cdca/] ,,e [,ff1] |";french4tab
