PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2r;Fantasie premiere;;;OT;;C;",f2 | [hf1] ,f | [h,f/] ,,e [h,f] ,,h | [cd/] a [ca] d | \
[f,d/] ,a [fc] ,e | ,f/ d c a |"
2;;4r;Fantasie seconde;;;OT;;C;",,,a3/4 ,,,c/4 | ,,a/ ,,b [,,d,a] ,,,,c | \
,,,,e/ [,a,a] [,c,c] [,da] | [a,bc,a/] ,,,,,c ,,,,,d [,,a,a] | \
[,,b,c/] [,,d,e] [,a,a] [,c,c] |"
3;;6v;Domine si tu es;Maillard;Motet à cinq;OT;;C;",a2 | ,b2 | ,b1 ,a | ,,d1 ,,b | ,b2 | [ca2] | [da2] | \
[da1] c | a1 [,db] | [d,b1] ,,b | [c,d1] ,a |"
4;;8v;Dignare me laudare;Maillard;Motet à quatre;OT;;C;",,,c2 | ,,,c1 ,,,c | [a,d2] | [a,,c1] [a,b] | ,d/ ,,b ,,a ,,,c | \
[,da1] [a,b] | [,,dca/] ,d ,b ,a | [,bdca1] ,,,a [,bdca] ,,a |"
5;;10r;Preparate corda uestra domino;Maillard;Motet à quatre;OT;;C;",a2 | ,a1 ,c | ,d1 ,a | c2 | [d,,c2] | [d,,c1] [c,a] | \
[,db1] [a,,c] | [ca1] d | ,b/ c a1 | ,b1 [,ef] |"
6;;13r;Helas mon dieu ton yre 's'est tournee;Maillard;Chanson a quatre;OT;ConcR1662;C;"[aacc3/4] ,,a/4 ,,c/ ,,d | [aa,c/] ,,c ,,d [,a,c] | \
[acd,a/] ,a/4 ,c ,e a c e | ,,,,a/ [ffh] ,,,h ,,,,a |"
7;;15v;Voulant honneur;Sandrin;Chanson a quatre;OT;;C;"[dabc2] | [fd,ef1] ,,,f/ ,,,c | [fd,ef/] ,,,f [fd,ff] ,,,e | \
[bd,f,d1] ,,f | ,,d1 [hd,f/] ,,,,,d | [fd,ef1] [,c,ca/] [da] | \
[ccd,a/] ,a [acd,a] ,,b |"
8;;17v;Ie n'ay point plus d'affection;Sandrin;Chanson a quatre;OT;ConcR3499;C;"[aabc3/4] ,,d/4 ,a/ ,c | [cdda1] [cdf,c] | \
[abb,d/4] ,a ,b ,d a c d f | ,,,,,d/ [hd] ,,,f [hd,,,d] |"
9;;19r;N'ayant le souuenir;;Chanson a quatre;OT;;C;"[aabc1] | [aabc3/4] ,,a/4 ,,b/ ,,d | [aabc/] ,c [,efe] ,,,,c | \
[a,bcd/] ,,a [a,bcd] ,,d | [,dff,d/] [,cd,a] [,d,ac] [a,,,e] |"
10;;19v;N'ayant le souuenir;;Chanson a quatre. Plus diminuee;OT;;C;"[aabc1] | [aabc/] ,,,c/4 ,,,b ,,,c ,,a ,,b ,,d | \
[aabc/4] ,,d ,a ,c [,efe/] ,,,,c | \
[abb,d/] ,,,c/4 ,,,b ,,,c ,,a ,,b ,,d |"
