PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1v;Tout ce qu'on peut;Ciprian de Rore;Chanson a quatre;OT;;C;"[,aa,c1] > .,,e [,a,,c] .,c | ,,,,c1 .[,df] ,,,e [,d,,c] | \
.[,cee1] ,,,,,c [aac,,a2] | [acd,a1] ,,,c/ .c [a,,,a1] [,dfec] | \
.[,cee1] ,,,,,c ,,,,c .[,dfe] |";french5tab
2;;3r;Soupirs ardans;Arcadet;Chanson a quatre;OT;;C;".,a2 ,,,,c | [,a,a2] [,a,c] | [c,de2] ,,,e1 [,,cc] | \
[c,def2] [caaa] | [bdd,e2] [ffh,a] | \
[effc1] [ccde] [cdf,c] [acc,e] | \
[,dd,f/] .,,,e [,,fec1] [,cc,e] .,,,d |";french5tab
3;;5r;Qui souhaittés;Gentian;Chanson a quatre;OT;ConcR2698;C;"[,aa,c1] > .,,e ,a .,c | .[,df1] ,,,,c ,,,,e .[a,c] | \
[c,aac1] ,,,,e [,,,ac] ,,,,a | [h,aa,h2] [,,,ghe1] .h | \
[f,de,c1] .e [caa,c] .a |";french5tab
4;;7v;Il ne se trouue en amytié;Sandrin;Chanson a quatre;OT;ConcR2471;C;"[cd,,c4] | [cd,a2] [cd,a] | [ac,c1] .,d [,cff] .,a | \
[,cfe1] .,,e/ .,,c [,cfe1] .,,e | [,,f,c1] ,,,,e [,,aa] [,,cc] | \
[,,de,c1] [,ac,,a] [,cd,,c] [,a,,,e] |";french5tab
5;;10r;M'amie un iour;Certon;Chanson a quatre;OT;;C;",a4 | [ca2] ,a | [c,a1] ,,,c [c,a] ,,c | \
[,cde1] .,a [,cde] .,e | .[acc1] ,,,,e ,,,e .[ccd] | \
.[eac1] ,,,c ,,,e .[ccd] |";french5tab
6;;12r;Ie cerche autant amour;Boyuin;Chanson a quatre;OT;;C;"[aabc1] > .,e a c | .[dff1] ,,,c [cdf,c] ,,,,e | \
,,,a1 .[cdd] .[aab] ,,,c | [,efec2] [hd,f,d1] ,,d | \
[gdf,,d1] .,,h [fhi,f] .,,f |";french5tab
7;;13v;Si i'ay du bien;Sandrin;Chanson a quatre;OT;ConcR3500;C;"[aabc4] | [dabc2] [ff,ce] | [h,i,hh2] [,d,f,d1] .h | \
[he,f,d1] .f d .,h | [dd,f,d1] .f [hd,f,d] .d | \
.[fd,e/] ,,,,f [dabc] .,c |";french5tab
8;;15r;M'amie est tant;Sandrin;Chanson a quatre;OT;;C;"[,cdca1] ,,,,c ,,,,a ,,,,,e | [,cde,c1] ,,,,,a [,c,,,c] .,e | \
[aac,,a1] ,,a/ .,,c ,,d/4 .,,c ,,d .,,c ,,d .,,c ,,a .,,c |";french5tab
9;;16v;De qui plus tost;Sandrin;Chanson a quatre;OT;ConcR2853;C;"[,,cc4] | [,,def1] .,a [,c,,a] .,,d | \
[,a,c/] .,,d ,,c .,,a [,adc1] .,,c | \
[acd/] .,,c ,,d .,a [,c,,a] .,d a .,c |";french5tab
10;;19v;Les yeux qui me sçeurent prendre;Arcadet;Chanson a quatre;OT;;C;"[,ddef2] [,dfef] | [abb,d1] > .,a ,b .,d | \
[abb,d1] .c .[ddf] ,,,,,d | ,,,a1 .[cdd] [aabc] .,c | \
[cdda1] ,c/ .,a ,,d/4 .,,b ,,d .,,b";french5tab
11;;21v;L'yuer sera;Arcadet;Chanson a quatre;OT;;C;"[ca,ac4] | [cceeec2] [cceeec1] .,f | \
[,df,cd2] [d,,acd1] ,,,,,c | ,,,,,a1 .[d,,cc] [c,aac2] | \
,,,,,a1 .[a,b,c] .[,da,c] ,,,,,c | [,,,,cd1] .,d [,c,c] .,a |";french5tab
12;;23r;Autempt heureux;Arcadet;Chanson a quatre;OT;;C;"[aaccca4] | [aaccca2] [aaccca] | [,cdca2] [,aabc] | \
[aaccca2] [a,,cef1] [,e,,c] | [,c,cef1] .,,,b ,,,,,e ..[,a,c] | \
[,,db,c1] .,,,c [,,dc,c] .,,,b | [,,ccca1] .,,a [,a,c] ,,,b |";french5tab
