PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Trio I;;;;;;
1;A dur;1;Poco vivace;;;;;C;",,,,,a/ ,,a ,,e ,c (3b d e) ,c/ [,a{5}/4] (,c/8 ,a) ,,e/4 ,,c | \
[,,eeca1] [,,eeca] [,ccd{a}] [,ca{,a}/] [,'b] | \
{,,a}/ ,c [e{4}] ,c V[,e{,,,a}]"
2;A dur;2;Siciliana;;;;;12/8;"[,cee,a1] [,cee,a/] [,cce,a1] [,cee,a/] [,ccd{a}1] [,ccd{a}/] \
[,ccd{a}1] [,ccd{a}/] | [,cde,a1] [,cde,a/] [,bab{,a}1] \
[,bab{,a}/] [,c{,,a}/]> ,e d/ [d{,,a}/]> ,e [,'c/] | \
[b,c,b1] g/ ,,c1 [b,c,b/]"
3;A dur;3;Menuet;;;;;3;"[,,a,,a1] ,,e [,,'c{,,a}] | [,,a,,a/] ,c [,'a] (,,c ,,e1) | \
[,c{4}/] ,,e ,a (,,c ,,e) ,,a | [,,'c1] {,,a} {,,,a} | \
{4}/ ,,a ,,e ,c ,,a ,,,d | [,,,'ba{,,,a}3] | "
4;D dur;3;Trio;;;;Conc_4025;3;"[,aab{,,,a}1] ,,a ,,,b | {,,,a}1 ,,,b/ ,,,,a {6}1 | \
{,,a}1 ,,,c/ ,,,,c {6}1 | {,a}1 ,,a/ ,,,b {,,,a}1 | \
[,e{,,,a}1] e/ ,e [,'a] ,e | [,c{4}1] e [,'a{5}] | "
5;A dur;4;Allegretto;;;;;2/4;",,a/4 ,,c | V[,,e,,a/] ,c ([,c{,,a}/4] ,a) (,,e ,,c) | \
V[,,e,,a/] ,,a ,,,,,a ,c | [,'a{,,a}/4] ,,e ,a ,c \
[,,e,,a] ,,c) ,,e ,a | "
;;;Trio II;;;;;;
6;g moll;5;Entrée;;;;;3;"[,abc{a}1] [,aa{,b}] [,aa{,,,a}] | \
{a}/ ,,,c [,a{,b}] ,a [,a,,a/4] ,,d [,,'b] ,,a | \
{a}/ ,,b {,b} ,,a {,,,a} ,,,b | \
V[,,,c{a}1] {,a} [,,ec{,,a}] | \
[,,,b{,,,a}/] ,a"
7;g moll;7;Ballo;Christ or Martino;;;Conc_1901;C;",,b/ ,,d | [,a{a}1] c ,,,c ,,a | ([,,d{a}/] ,,b) (,,a ,,b) \
,,,c1 [,a{,a}] | [,f{,,a}1] f ['e{4}] ,f | \
[,'e{,,,a}1] (c/ e) ,a1 e | "
8;B dur;7;Siciliana (Arioso);;;;;6/8;"a/ {5}/4 c 'a/ f/ ,f [,'d{5}] | \
[,'b/]> ,a V[,b{,a}/] [,'a{5}3/2] | \
,a/4 ,,b V[,,d/] {,a} ,b/4 ,,d ,a/ {5} | \
a/ {5}/4 c 'a/"
9;g moll;8;Menuet;;;;;3;"[c{a}1] ,a [,,d,a] | [,,'b{a}1] ,,,c/ ,,a V[,,b] ,,d | \
[,a{5}1] ,,,c [,,,'b{,,,a}] | V[,,,ca{a}3] | \
{a}/ k ,i k ,i k | {,,,a}/ h ,h h ,h h | "
10;B dur;8;Trio;;;;;3;"{5}1 ,,,,a ,,,a | [,,ba{5}2] ,,d/ ,,a | \
V[,,b{,,,a}1] ,a ,,d | [,,'b1] [a{,,,a}] [,b{4}] | \
[,'a{5}1] c a | [,'b,c{4}2] ,a1 | \
[,,d{,,a}/] ,a ,,d1 [,,'b,c] | "
;;;Trio III;;;;;;
11;c moll;9;Andante;;;;;C;"[,,dcb{4}/] ,,d [,bd,,d] ,,d ([c,,,,c/4] d) (c d) \
([c{a}] d) c ,d | [,'b{4}/] ,,d [,,dd{b}] ,,d [,,d{a}] \
,,c {a} [,,'c] | "
12;c moll;10;Aria (Adagio);;;;;3;"V[,,dc{4}/]> ,,c V[,,d/]> ,,,c [,a,c,c/]> ,,,c | \
[,bd{4}/]> ,a V[,bd/]> ,,,c [aa/]> ,,,c | \
V[cb{4}1] ['a{,a}/]> ,b [,'a{,a}/]> ,,d | \
[,,'c{a}/]> ,,,e [,,,'c1] {,a} | "
13;c moll;11;Menuet;;;;;3;"[cb{4}1] ,,d ,a | V[,b{4}1] ,,d/ ,a V[,b] a | \
[c{,,a}/] ,,d [d{,a}1] ['c{,,a}] | [a{,,,a}1] (,,b/ ,,d) \
(,a ,b) | [a{,,,a}/] ,,b [c{,,a}1] ['a{,,,a}] | "
14;C dur;11;Trio;;;;;3;"(,,d/4 ,,f) ,c/ [,'a1] [,,c{a}] | \
V[,,d,c1] ,,,c2 | (,,,a/4 ,,,c) ,,a/ (,,,,a ,,,,c) \
(,,,a ,,,c) | [,,,,c{4}1] ,,,,,d2 | \
(,c/4 ,d) c/ ,,d ,c[,'a{a}1] | "
15;c moll;11;Allegro;;;;;2/4;",,d/ | [,,'c{a}/]> ,,d ,a/ (,a/4 ,b) | \
[,'a{a}/] ,,,c ,/ ,,d/ | \
[,,'c{a}/]> ,,d ,a/ (,a/4 ,b) | \
[,'a{a}/] ,,,c ,/ c/ | \
[d{,a}/] d [d{5}/4] ,d (f d) | "
;;;Trio IV;;;;;;
16;B dur;13;Capricio;Christ or Martino;;;Conc_1902;3;"{5}/ ,,b ,a a f/4 e (f e) | \
[f{,,,a}/] ,d ,a [,,b{,,,a}] V[,,d{,,a}] [,,a{,a}] | \
[,,b{5}/] a ,a [,,b{,,,a}] [,,d{,,a}] [,,a{,a}] | "
17;B dur;15;Scherzo;;;;;2/4;"a/ | [f{5}/] 'e Vf ,d | [,a{5}/] (,b/4 ,d) ,,b/ ,,,a | \
[,,b{5}/] [,,'a] V[,,b{5}] ,,,a | \
{,,,a}/ ,,,a {5} ,,b | [,,a{,a}/] ,,b V[,,d] ,a | "
18;B dur;15;Menuet;;;;;3;"[,,baa{d}1] ,a a | [,,'a{,a}1] (,,,c/ ,,,a) [,,b{,,,a}1] | \
[c{,,a}1] ['a{,,,a}] f | [,'b{4}1] ,a/ ,,d [,a{5}1] | \
[,,,a{,,,a}1] ,,b ,a | [,,d,,a1] a [,,'b{a}] | "
19;g moll;15;Trio;;;;;3;",f1 (,,f/4 ,,d) ,,,f/ [,,d{,,,a}1] | \
e1 (,,d/4 ,,b ,,a/) V[,,b{a}1] | \
,a1 [,,d{4}] [,,'b] | [,,'a{,,,a}/] ,,,c ,,a ,,b [,,'a1] | \
,a1 [,,'d{,,,a}2] | "
20;B dur;15;Arietta;;;;;2/4;"([,,b{a}/4] ,,d) (,a ,b) [a,,,,a/] ,,a | \
V[,,bc/] {a} {,,,a} [aa] | ([,b{4}/4] ,a) ,b ,,d \
[,a{5}] ,,d ,a ,,b | V[,,d/] {,a} [,,,'a1] | "
;;;Trio V;;;;;;
21;a moll;16;Andante;;;;;C;"[,,ae{6}1] ,/ [,,c{5}/] [,,d{4}] a [,,c{5}] ,c | \
[,,a{6}/] (3e d e) ,d/ (3e d e) ,a/ (3e d e) ,,d/ e ,,c e | "
22;a moll;17;Vivace;;;;;C;"[,,aVe{6}1] [,,cda{5}] [,,dec{4}] ,/ a/ | \
[,ccd{,,a}1] ,,,,c [,,aVe,a] {6} | \
[,,a{,,,a}/4] ,a ,,d ,a ,,a ,a ,,d ,a \
[,,'c{a}/] ,,,c ,/ ,,,c/ | "
23;a moll;19;Menuet;;;;;3;"[e,,,,a/] d Ve1 [,c,,,a] | [a,,,a1] [,c,,,a] ,c | \
[,'a1] ,c/ ,a [,,d{,,a}] ,,c | V[,,d,,a1] [,,'c{,,a}] ,,,d | \
[,,a,,a1] [,,,d{,,a}] ,,c | V[,,d,,a1] [,,'c{,,a}] ,,,d | "
24;A dur;19;Trio;;;;;3;"[,c,,,a/] ,,e ,a ,,c V[,,e] ,,a | \
[,,'c,a1] [,,a,,e] (,,e/4 ,,f) ,c/ | \
[,'a{5}2] ,,e1 | [,,'c{,,a}1] ,,,,c ,c | \
e/ ,e [d{,,a}] ,c b ,b | "
25;a moll;20;Arietta;;;;;2/4;"e/ | ([e{,,a}/] d) ,/ e/ | ([e{,,a}/] d) ,/ e/ | \
[,g{,,a}/] e Vg e | ([e{,,a}/] d) ,/ d/ | \
([e{,a}/4] d) (e d) (e d) (e d) | "
;;;Trio VI;;;;;;
26;g moll;21;Allemande;;;;;C;",,,c/4 ,,b ,a | [c{a}/4] ,a V[,b] ,a e ,,d ,a ,,d \
[,,'b{a}/]> ,,a ,,,c/ ,/ | [,ab{d}/] [,aa{,b}] \
[,a{a}/4] {,a} [,,ec{,,a}/] [,aa{,,,a}/] ,,,,,a \
,,,,a/4 ,a ,e e | "
