PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;Fantasia Prima;;;OT;ConcR2375;none;",d2 [fc1] ,d [da] [fc] [cd] [da] [fcd/] ,d a c \
[ddb1] [ccd/] ,a [,ca1] [aab/] ,d [,cd,a] ,a [,c,c] ,,a";italiantab
2;;2v;Fantasia Seconda;;;OT;ConcR2376;none;,d/4 a c d [f,d] ,a ,c ,d a c d f h/ k l/4 k l k l h k l/;italiantab
3;;3r;Fantasia Terza;;;OT;ConcR2377;none;"f1 ,d c [da] [fc] ,d/ d c [ac] [,df] [,cd] [,ab] [,,de] [,d,,c] ,,,a ,,,c \
,c/4 ,a ,c ,d";italiantab
4;;3v;Fantasia Quarta;;;OT;ConcR2378;none;",a2 ,c1 ,d a c [,a,c] d [c,a/] a [a,b1] ,,d [,df,c] \
[,c,ce/] ,a [,a,a1] ,,,c [,,ee] [,a,,c] [,ab,,a]";italiantab
5;;3v;Fantasia Quinta;;;OT;ConcR2380;none;",a3/2 ,c/ ,d1 a ,,,c ,d/ [,ca] [,ab] ,d [,cd] ,d a c \
[d,b] ,,a ,,,c c [a,b1] ,,a/ ,e/4 ,c ,e ,a";italiantab
6;;4r;Fantasia Sesta;;;OT;ConcR2379;none;",h2 [hf1] ,i [fh/] ,,i [hf1] ,,f/ f/4 ,i [cdf/] [ac] [cd] \
[df] [fh,h] [df] [cb] a [c,f1] ,e";italiantab
7;;4v;Fantasia Settima;;;OT;ConcR2381;none;",d/4 ,c ,d a c a c d f d c a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,a \
,,,,e ,,,,c ,,,,a/";italiantab
8;;5r;Fantasia Ottaua;;;OT;ConcR2382;none;",,d2 ,a1 ,c [,d,a] ,a [,c,c] [,da] [,ab] ,,,c [,,de] \
[,dff] a/ ,,d [cda1] [d,,c] [ac] [cd,a] [ddb]";italiantab
9;;5r;Fantasia Nona;;;OT;ConcR2383;none;",d2 ,a1 ,d ,c ,a [f,d/] ,,,f ,,,e ,,,c [c,,a1] [fd] \
[da/] ,c [cd] ,a [acd] ,d ,c ,a [,,de]";italiantab
10;;5v;Fantasia Decima;;;OT;ConcR2384;none;l/4 k h f d c a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,a/ ,d1 f ,c [da];italiantab
11;;6r;Fantasia Undecima;;;OT;ConcR2385;none;",d1 ,,b a [c,d] [da] ,b/ c a c [da] a [c,d] a [a,b,,d1] \
[,,a,a] [,e,,c] [a,,cd/] ,,a ,,b ,,,,c [,,a,a] ,,,c";italiantab
12;;6r;Fantasia Duodecima;;;OT;ConcR2386;none;",,,c2 ,,d1 ,,d [,ab] ,,,c a/ ,,a [a,b] ,,d [,df1] ,a ,,b/ \
[,cd] [,df] [a,b] [c,d] a [a,bc1] [,,de] [,ed] [a,bc]";italiantab
13;;6v;Fantasia Tertiadecima;;;OT;ConcR2391;none;"h2 d1 f [ca] d ,,b/ c [a,d1] [,,a,c] [,db] [d,,,,d/] ,,a [,,,ca1] [c,,,,c] \
[,a,a,d] ,,,c/ ,,,,,c [,,bc,a1] [,,de] [,,a,f] [,,,fha]";italiantab
14;;7v;Fantasia Quartuordecima;;;OT;ConcR2389;none;"a2 ,a1 ,d [,cd2] [,a,c1] [a,b] ,,a [fd] [,a,c/] a [d,,c] ,a \
[cd,,c] ,c [,a,a1] [a,,,d/] d [c,d] a [,df,c]";italiantab
15;;7v;Fantasia Quintadecima;;;OT;ConcR2390;none;",a2 ,c1 ,d [,a,c] a ,,a/ ,d [,ab] ,d [,c,c1] ,,d ,a/ ,,b [a,,c] ,,b \
[,,a,c1] ,e [a,,ce] [f,aa]";italiantab
16;;8r;Il Benedictus de la missa de Benedicta de Morales;;;OT;ConcR2373;none;"[,,d,a2] [,,d,a3/2] ,,,,c/ [,,d,e1] ,,,a [,,d,a] ,,d ,a ,,c/ \
,,a [,ac1] ,,,c ,a ,,,a/ ,,,,e [,a,a1] ,,,c [,c,,a] ,,,,e";italiantab
17;;8r;L'Osanna de la medesima missa;;;OT;ConcR2374;3;"[,ddef1] [,ddef] [,ddef] [abb,d/] ,,,a [d,,cd] ,,a [,abc] \
[c,a] [a,b,d1] ,,d [,d,ef] [,aba,d] [,b,cd] [a,,,d] [,dfa,d] \
[da,c] ,c [cd,ac]";italiantab
18;;8v;Recercate Di M. Francesco Milanese la prima;;Duet with next page;OT;ConcR1315;none;"[,dda3/2] a/ c d f1 ,,,a/ d c a [,db1] a ,,b [,da] [d,,c] a \
[f,,a/] d c a ,d ,c [,a,a] ,,d";italiantab
19;;8v;La Seconda;;Duet with next page;OT;ConcR1325;none;"[f,,a2] c1 f ,,,a/ d c a ,d ,c ,a ,,d [,,bc1] d a d \
,,,,d/ c a ,d ,b ,a ,,d ,,b";italiantab
20;;8v;La Terza;;Duet with next page;OT;;none;"[,,d,a1] ,,c/ ,,a ,,,c ,,,a ,,,,d ,,,,c [,,d,a1] ,,d/ ,a ,b \
,d a c [da,,,a1] c/ a ,d ,b ,a ,,d [,ac,,a1]";italiantab
21;;9r;De Io. Matelart. Questo lauto vuol esser'accordato una voce più alta del compagno;;Duet with previous page;OT;ConcR3508;none;"[,bbcd/] ,d a b d1 [,bbcd/] b a ,d ,b ,a [,,d,,b] ,,b [,,,df] \
,,,f [,,d,,b] ,a [,bd,a1] [,a,a/] ,,d ,b ,a";italiantab
22;;9r;[La Seconda];;Duet with previous page;OT;ConcR3509;none;[,bb,d/] ,d a b [dbb,d1] a | d1 ,,,,d/ b [a,,,d] ,d [,b,,d] ,a | [,,d,f/] ,,,d [,,,ab1] ,,,d/ b [,d,,b1] |;italiantab
23;;9r;Qui deve cambiare il lauto con il compagno;;Duet with previous page;OT;ConcR2369;none;",a/ ,c ,e a [c,,,c] d c a ,d ,c ,d1 [,a,,e/] ,c ,d a [c,d] \
,c [a,,,a] ,d ,c ,a ,,d ,,c";italiantab
24;;9v;Fantasia di M.Francesco Milanese la quarta;;Duet with next page;OT;ConcR1316;none;",d2 a3/2 ,d/ a c d1 [c,,a] f [d,,c] a/ ,,,a ,,,c ,,a [,db1] \  
,,a [,cd] [,ab] a ,,,a [,da] [,,,ca] ,c";italiantab
25;;9v;Fantasia di M.Francesco Milanese la quinta;;Duet with next page;OT;ConcR1324;none;"[a,d2] [a,d1] ,,c/ ,,a [a,c1] ,,,c [,da] ,,c [,cd] ,,,,a/ \
,,,,c ,,,,e ,,,a [,a,c1] ,,,,a [,,d,e] [,a,,c] ,d [,,,ca]";italiantab
26;;10r;Di Io. Matelart vna voce più alta;;Duet with previous page;OT;ConcR3510;none;"[a,b,d3/2] ,,d/ [,a,a,d] ,b [,db] a [bdda] ,,b ,,d ,a [,bb,d1] \
,,,c/ ,a [,,dd] ,,b ,,,d ,,,c ,,,d ,,b [,,d,,b] ,,,d [a,b,d]";italiantab
