PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;B dur;1;Jigg;R.Matthew;PAN 13.153;6g;;;"[,,a,,b1] | [,a{5}1]> ,b a1 | [c{,,a}2] a1 [c{,,a}2] a1 \
[,,ca2] ,,c1 | [,a{5}1]> ,b a1 | [c{,,a}2] a1 [f{5}2] \
a1 [,,a,,b2] :||: d1 | [c{,,a}2] a1 [,,ca{4}2] d1"
2;Es dur;2;Halloo my Fancy;Simon Yves;PAN 13.154;6g;;;"[aaa1] [aaa/] [aaa] [aaa{5}1] | ,,c/ ,a [,ba,b1] {,,a} | \
[,ba,b1] ,a/ ,,c [,,a{5}1] | [,,ca{4}/] ,,c ,,a ,,,b ,,,a \
{,,a} | [,,aa{5}/] ,,c ,,a ,,,b ,,,a {,,a} | "
3;B dur;3;Mathews Delight;Charles de Lespine;L'oranger - PAN 4.408;6g;ConcR542;;"a1 | [aaa{5}1]> ,b ,a ,,c | [,a{5}1] [,,c{,a}3/2] ,,a/4 ,,c | \
,,a1 ,,,,,b {5} | [aaa,,b2] ,,c1 | [,a{5}1] ,,a [a,,,,a] | \
[c{a}1] ,d ,c | [ad1] {,a} ,,,,d | "
4;f moll;6;West;;The glory of the West - PAN 13.155;6g;;;"[d{,a}/]> c d/> c [ad{,a}1] a | \
[c{,,a}/]> a c/> a [,ba{,,a}1] ,b | \
[d{,a}1] c/> d [faa{5}1] d/> f | \
[h{4}1] c/> d [ad{,a}1] [ad] :| "
5;B dur;7;Mathew's Dream. This is to be played as it were sleeping, and as the rests ought to nod;R.Matthew;PAN 2.006;6g;;;"[aaa2] [aaa1] [,ba,b] | [aaa3] [a,a,,b1] | \
[c{,,a}/] {,a} {a} ,,,,,a [aaaa,b] ,,,,,d ,,,,a ,,,,b | \
[a,c,d2] {,a} | [aaa1] ,,,a/ ,,,c [aaa1] ,,,,,b | "
6;g moll;9;Rant;R.Matthew;Chestnut or Dove's figary - PAN 13.156;6g;;;"[,,,a{a}1] ,a ,,c ,,a | [e{,a}1] c/ e b1 ,a | \
[c{a}1] e [faa{5}] [faa] | [h{4}1] f/ h [fa{,,,a}2] :||: \
[,aa{,,,a}1]> [,aa] ,d1 ,b/ ,a | "
7;Es dur;10;Saraband;R.Matthew;PAN 5.281;6g;;3;"[caa{a}1] [caa] [caa] [d{,a}2] f1 | d1 a/ c d f \
[caa{a}1] [caa2] | [ad{,a}1] [ad] c [,ba{,,a}] [,ba] ,d | \
[,aa{,,,a}1]> ,b a c ,b1 [,ba{,,a}2] :| "
8;c moll;11;New rant;R.Matthew;Ballo di Mantova - PAN 13.061;6g;;;"[,,ca{4}/] ,a ,b a [caaa{a}1] [caa] | \
[d{,a}1] c/ a [caa{a}1] [caa] | \
[a{,a}1] c/ a [,ba{,,a}1] ,d/ ,b | \
[,aa{,,a}/] ,,c ,a ,b [,,ca{4}1] ,,,a :| "
9;c moll;12;New Saraband;William Lawes;PAN 5.282;6g;;3;"[caa{a}1] [caa] [caa] [a{,a}1]> ,b ,a1 | \
[,ba{,,a}1] ,,c ,b [,aa{,,,a}2] ,,,a1 | \
[,,ca{4}1]> ,,c ,a1 [,ba{,,a}1]> a c1 | \
[a{,a}1] c ,b | [ad2] ,b1 :| "
10;B dur;13;Saraband;R.Matthew;Marion pleure - PAN 5.100;6g;Conc_1050;3;"[,aa{5}1] [,aa] [,aa] [,aa{5}2] ,,a1 | \
[,b{4}1] ,,c [,bc] [,aa2] ,,a1 | \
[,,cc{,a}1] [,,cc] [,cc] [,cc{a}3] | \
,,,,d1 ,,,a/ ,,,c ,,a1 [,,c{,a}2] ,,a1 :| "
11;c moll;14;What you will;R.Matthew;What you will - PAN 13.157;6g;;3;"[,,ca{4}2] ,,c1 [,,a{5}2] ,,,a1 | \
[,ba{,,a}2] ,b1 [,aa{,,,a}2] ,a1 | \
[caa{a}2] c1 [a{,a}2] ,a1 | \
[,,a{5}2] ,,a1 [,,,a{a}2] ,,,a1 | \
[fa{5}2] ,b1 [,ba{,,a}2] c1 | \
[a{,a}2] ,a1 [,,a{5}2] ,,,a1 | "
12;g moll;15;Gerrards Mistress;R.Matthew;PAN 13.158;6g;Conc_5174;;"c/ | [caa{a}1]> e f h [faa{,,,a}] ,h | \
[faa{5}/] f/4 h f/4 e ,f/ [adccd{,a}2] | \
[caa{a}1] a/ ,b [,aa{,,,a}2] | \
[fa{,,,a}1] ,a/ ,b [a{,a}1] [faa{5}] | "
13;g moll;16;Ayre;William Lawes;"Alman ""Elizium"" - PAN 3.173";6g;;;"c/ | [caa{a}1]> f [fa{,,,a}3/2] h/4 k | \
f/ ,f [fa{,,,a}/]> [fa] [caa{a}2] | \
,/ ,a/ [,a{,,,a}/]> ,b [a{,a}1]> ,,a | \
,,c/4 ,a ,b ,d ,b ,a ,,c/ [,aa{,,,a}2] | "
14;Es dur;17;Scotch;R.Matthew;PAN 13.159;6g;;;"[,ba{,,a}/] a | [caa1] [caa] [caa{a}2] | \
h1 f1> ,g ,f ,g | [adccd{,a}2] [,ba{,,a}1] [,ba/] a | \
[caa1] [caa] [caa{a}2] | a1 [caa] [ca] [,ba/] [,ba] | "
15;Es dur;18;Hone;R.Matthew;PAN 13.160;6g;;;"[,ba{,,a}1] c [faa] [l{,,a}] | [caa{a}/] f/4 c f c a ,b \
[a{,a}1] [,,ca{4}] | ,,,,b1 ,,,a ,,a ,b | \
f1 [c{a}/] a/4 c [,ba1] [,ba] | "
