PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;I;I. The Courtier;John Maynard;;OT;;C;"[,a,c1] [,ab] [,bc] [a,,a,a] | [a,,,,d1] [a,,,d/] ,,d [,a,,c/] [,a,b/] ,,,,c | \
[aa,c/] ,,,a [a,,,,d] ,,,,c/4 ,,,,a a/ ,d [,b,,d] ,a/4 ,,d |"
2;;II;II. The Deuine;John Maynard;;OT;;C;"[,abc2] [,a,,c1] [,aab/] ,,d [,abc] ,,,,,a | \
[a,d,a/] ,,b/4 ,,a [a,bc/] ,,,,,a [a,,c,d] ,,,,,c/4 ,,,,,a [c,,bc3/2] a/ \
[,da,c3/2] {a}/ [d,b,,d1] ,,,,a/ c/4 a [,ea,c1] {a} |"
3;;III;III. The Souldiour;John Maynard;;OT;;C;"[,acc2] [,aab1] [,acc/] ,,,a [a,,,e] ,,,,a [a,cc] ,d [a,d] ,,,,a ,,,,e ,,,a | \
[,,cc/] ,,,,,a ,,,,,e ,,,,a [,aa,c] {a} {d} [,c,,,a/4] ,a |"
4;;IV;IV. The Lawyer;John Maynard;;OT;;C;"[,a,,c{a}2] [,aaa3/2] ,,,c/ [,afe1] ,,e/ ,,,c [ca,b] ,,d [aabc] ,,d | \
[,ea,c2] c1 ,,,,b/ a [,dac1] {a}/ ,c/4 ,a [,cee,c1] ,,,e |"
5;;V;V. The Physition;John Maynard;;OT;;C;"[aabc2] [dabc1] [aa,c/] ,c | [,ef,c3/2] ,,,,a/4 ,,,,,d [,daa,c/] ,,,c ,,a ,,,b | \
[aab,,a/] ,,,,,c [aab,,d] [cc,,a/4] a [hef{a}3/2] [f,d/4] d |"
6;;VI;VI. The Marchant;John Maynard;;OT;;C;"[aa,c1] ,,,,,a [,da,c/] [,,bcd/4] ,,d [caa,c/] ,,d | \
[,abc/] ,,d ,a ,c [caa,c2] | \
{a}1 [caa,c] [cca,b/] ,,,c [c,,a] [a,,c/4] ,d |"
7;;VII;VII. The Countrey Gentleman;John Maynard;;OT;;3;"[,acc/] [,aab] ,,,,c [aa,c,a] | [a,,,e/] ,,,,a [aa,c] [,ef,c] ,a [ea,c] | \
[,ef,c1] {a}/ [cc,e1] ,e/ [ha,,,a1] a/ ,,,,c3/4 ,f/4 ,e/ |"
8;;VIII;VIII. The Batchelar;John Maynard;;OT;;C;",,,,,a/ a [ef3/4] f/4 [he/] ,a [aa,c] ,,,,,a/4 ,,,,,c | \
[a,,,,e/] ,,,,,a/4 ,d [,c,,a/] [,a,,,e] | \
[,c,e,c/] ,e [af,,,a1] [af{a}] ,e/ ,,d [aaccca2] |"
9;;IX;IX. The Marryed man;John Maynard;;OT;;C;"[ha{a}1] c/ [da,c] | [ca,b/] ,,d [aabc] ,c | [,ea,c/] ,,,,e ,,,b [aa,c] | \
[,ea,c/] ,,,,a [,ab,,d] [aab,,a] [ca,,c2] {a}1 [aabc] |"
10;;X;X. The Wife;John Maynard;;OT;;C;"[aabcca3/2] ,,d/ [ca,,c3/2] ,,,,a/ | \
[da,,,d/] [,,d,,c] [aab,,a] ,c [,ef,c3/4] ,f/4 \
,e/ ,c [,ef] ,,,,c [dd,,,d1] |"
