PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Capricio Il gran Matias;;;OT;ConcR1087;C;"[bdda{a}4] | [bdda3/2] ,a/ ,b ,d a b d | f2 [ddea] | \
{a}1 f b ,d | f1 ,,,a ,,e d | ,,,a1 d b a |";italian7tab
2;;3;Corrente detta Ana Felize;;Acorda la Nona in Ottaua col Bordone a un Tasto;OT;ConcR504;3;"f1 | [bdd{a}3/2] a/4 b ,d1 | ,,,,c1 [a,d,e3/4] ,,b/ | \
{a}/ ,,d ,a ,c ,d a | [bdda1] {a}/ d b a |";italian7tab
3;;5;Corrente detta La Ferdinande Graciosa;;;OT;;3;",d1 | [bdda3/2] a/ b1 | [d,,,de3/2] ,,,,b/ ,,,,a1 | [g,,f1] ,,,,,d f | \
[dfg2] {,a}1 | i1 ,,,h h | [fhi3/2] ,,g/ ,,f1 |";italian7tab
4;;7;Corrente detta La Massimiliana;;;OT;;3;"d1 | a3/2 b/ d1 | ,b1 d b | [a,,,d3/2] ,d/4 a ,b1 | \
{,a}3/2 b/ a1 | [,d,,c1] ,,b a | [,b,,a1] ,,d ,d |";italian7tab
5;;9;Corrente detta La Isabelina;;;OT;;3;"d1 | [abbcd1] a/ b d a | [b,,a1] ,d/ a b d | \
[a,,,de1] ,b/ ,d a b | d1 [ab] ,d |";italian7tab
6;;11;Corrente detta L'Alfonsina;;Torna la Nona all'ordinario;OT;;3;",b1 | [,bdca3/2] ,d/ ,b1 | [,a,,,a3/2] ,,d/ ,a ,b | \
,,d2 ,,,,a1 | [,db,c3/2] a/ b ,d | [ab,,d1] ,,,,,a ,,,,d |";italian7tab
7;;13;Corrente detta Tu serai papa;;;OT;;3;"a1 | [abbcd3/2] b/ a1 | [,d,,c1] ,,b a | [,bdca3/2] ,a/4 ,b ,,d1 | \
[,dda{a}3/2] a/4 b ,d1 | [a,,,d1] ,,,,,a ,b |";italian7tab
8;;14;Corrente detta La Clarut;;;OT;;3;"a1 | [aabc3/2] c/ d1 | [ca,b1] [ab,,d2] | [,d,,c1] ,,b a | \
[,b,,a1] ,,d ,d/ ,b | [,a,,,d1] ,,b [,b{,a}/] ,a |";italian7tab
9;;15;Corrente detta La nobile;;;OT;;3;"a1 | [aabc3/2] c/ a1 | [,d,,c3/2] [a,,,d/] [c,,a1] | \
[ddf,,d1] ,,,,f ,,,f | [ddf2] [,,ff1] | [,,dee1] ,d [,,ff] | \
[,,bc1] [,b{,a}/] ,a ,,d ,,b |";italian7tab
10;;17;Corrente detta La generosa;;Acorda l'ottauua in ottaua col Bordone a quattro Tasti;OT;;3;",a1 | [,,(e2] [,af)] [,ce1] | ,d1 ,,f c | ,,a1 [b,c3/2] ,e/4 b | \
c1 ,,a ,d | [,ab,,d1] ,,,,,a ,c | [,,da,c1] {a} ,a |";italian7tab
