PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Capricio detto il gran Monarcha;;;OT;ConcR1370;C;"[fdaaa{a}2] [dabcca] | [cddaac2] [,dbacd1] ,,a | \
[acd,a2] [,da,c/] a c ,d | [a,d,e2] [,,b{a}/] ,,a ,,,c ,,,a | \
[,cdca1] ,,,,,d [,dda,c2] |";italian7tab
2;;5;Furlain volta alla Francese detta la Schapigliata;;;OT;;3;"a/ ,d ,b ,d ,a ,b | ,,d1 [,,cc] [,bd] | ,,,c/ ,,,a ,,,,d ,,,a ,,,,c ,,,,d | \
,,,,a1 ,,,,,d/ ,,,,,b ,,,,,a {a} |";italian7tab
3;;8;Corrente detta l'Ardita;;;OT;;3;",a1 | ,f3/2 ,d/ [,bd1] | [,a,c3/2] ,,,a/ [,,d,d1] | \
[,d,,c3/2] ,,,,a/ [,a,c,e1] | [,bdca3/2] ,,,,c/ [ab,,d1] | \
[,aba,d1] d b | [abb{,a}1] ,b ,d |";italian7tab
4;;9;Corrente detta la Sospetosa;;;OT;;3;"a1 | [abd3/2] b/ [d,,c1] | [f,,d1] [bdda2] | ,,,,d/ ,a ,b ,d a b | \
d1 [ab] [bd] | [df1] [,bd] [df] |";italian7tab
5;;10;Corrente detta la Inamorata;;;OT;;3;"a1 | [abd,a3/2] ,d/ ,b1 | [,a,,,a3/2] ,,d/ [,,cc1] | \
,,d1 ,,,,a/ d b a | ,d1 ,,,,c/ a b ,d |";italian7tab
6;;11;Corrente detta la Vezzosa;;;OT;;3;",b1 | [,bbcd2] [,dbac1] | [,bdca1] [,bba,d] ,a/ ,,d/4 ,a | \
,b1 {,a}/ d b a | [,db,c3/2] f/ d b | [a,,,d1] [ab] [bd] |";italian7tab
7;;13;Corrente detta la Spenserata;;;OT;;3;",a1 | ,,b1 ,,,c ,,,a/ ,,,,d | [,d,,c1] ,,b d/ b | \
[a,,,d1] {,a} f/ d | [c{a}1] ,d ,,,a/ ,,,,d | \
[,d,,c1] ,,b ,,,,a/ ,,,,,d |";italian7tab
8;;14;Corrente detta la Chrudele;;;OT;;3;"d1 | [ddef3/2] f/ [g,,f1] | [f,,d1] [db,b2] | [cd,a2] [,d,,b1] | \
[,e,,d1] ,,d [,d,,b] | [,b,,,b1] ,,,d ,,,c | ,,,a1 [bd] [ab] | \
[,de1] ,,,b ,,,a |";italian7tab
9;;15;Corrente detta la Schabrosa;;Accorda l'ottaua in ottaua co bordone a quattro tasti;OT;;3;"c1 | [ccde3/2] e/ [f,,e1] | [eccd3/2] f/ [ccde1] | \
[,ccde3/2] ,e/ [,f,,e1] | [,daac3/2] ,c/ [,a,,,e1] | \
[,cdca3/2] a/ [c,,a] e |";italian7tab
10;;18;Corrente detta l'Ostinata;;;OT;;3;"c1 | [ccde3/2] e/ c1 | [,,cd1] ,c ,a | ,,d1 ,,,e [,ac] | \
,c1 ,,d [,df] | a1 [,cd] ,a/ ,,d | ,,c1 ,,,c ,c/ ,a |";italian7tab
11;;19;Corrente detta la Tirinla;;;OT;;3;",c/ ,a1 | [,,de3/2] ,,,c/ ,,,a1 | [a,d,e3/2] [,d{a}/] ,c1 | \
[,a,,,a3/2] [,,dc/] ,,c1 | ,,d3/2 ,,,,a/ ,,,,,e1 | \
,,,,,c3/2 [fc/] ,e1 | [ef3/2] [f,,,,a/] e1 |";italian7tab
12;;20;Corrente detta la Cazzolana;;;OT;;3;"a1 | [acd3/2] ,d/ ,c1 | [aac1] ,,,c3/2 ,,,a/4 ,,,c | X,,,e1 ,,,,,c ,,,e | \
[ccd1] ,,,e ,,,c | [,,ab1] ,a ,,d | [aacc3/2] ,,,a/ ,,,,e1 |";italian7tab
13;;21;Corrente detta la Braua;;;OT;;3;",,d1 | [,,da{a}3/2] ,,b/ ,,a1 | [,,,ce1] ,,d ,,b | \
[,,aa{a}1] ,,,,a ,,,,,d | [,,da,c1] ,d ,c | \
[,ab,,d1] ,,,,c ,,,,a | [,,,c,e1] a ,d |";italian7tab
14;;22;Corrente detta la Sansona;;;OT;;3;"f1 | [c,,a1] ,d/ a c ,d | a1 [,,d,e] ,,b | {a}/ ,,d ,a ,c ,d a | \
c1 ,,,a [a,d,e] | [c,,a3/2] d/ [f,a1] |";italian7tab
15;;23;Alemana detta la Capriciosa;;;OT;;C;"f1 | [c{a}1] ,,,a/ d [c,a] d [a,,,a] c | [,daa{a}1] ,,,,a ,,,a [,,d,,c] | \
[,a,,,d/] ,c [,d{a}] c [a,,,a] ,d [,c,c] ,,b |";italian7tab
16;;24;Alemana detta la Gentile;;;OT;;C;",,d1 | [,,bc1] [,,aa] [,,,ce] ,,d/ ,,b | [,,aa{a}1] ,,,,a ,,,a ,d/ ,b | \
[,ab,,d1] [,c,,a] [,d,,c] [a,,,,d/] ,d | \
[,c,,a1] ,,,c ,,d [,,d,,c] |";italian7tab
17;;25;Corrente detta la Feroze;;Torna l'ottavo al suo locho;OT;;3;",d1 | b3/2 d/ f1 | [bce3/2] [d,b/] b1 | [abd3/2] ,,b/ ,,,d1 | \
[d,,c3/2] ,,,a/ [a,,,e1] | [bd,a3/2] d/ [f,,d1] | \
[g,,f3/2] f/ [d,g] ";italian7tab
18;;27;Corrente detta la Superba;;Accorda l'ottaua in ottaua a quattro tasi col bordone & la undecima a quattro tasti col Basso;OT;;3;",a1 | [,acc3/2] ,,d/ ,,c1 | ,,d1 ,,,e ,,,c/ ,,,a | \
,,,,e1 ,c/ ,e a c | e1 [ce] [ac] | [ce1] ,a e |";italian7tab
19;;28;Corrente detta la Gelosa;;;OT;;3;"a1 | [aac,,a3/2] {a}/ {,a}1 | [ce{,,a}3/2] [ac/] [ce1] | \
e1 ,f ,,,c | [,,c,,a3/2] [,,d,,c/] [,a,,,e1] | \
[,c,,a3/2] ,e/ [a,,,e1] | [,d,a/] ,c ,a ,,d [,,cc1] |";italian7tab
20;;29;Volta sopra una Batalia detta la Rotta del Manselt Intitolata Al Signor Conte del Buscoi;;;OT;;3;"f1 d f | [c{a}3/2] a/4 c ,d1 | [a{a}1] ,,,,a ,,,a | [c{a}1] ,,,,a ,,,a | \
[a{a}1] ,,,,a ,,,a | [c{a}1] ,,,,a ,,,a |";italian7tab
21;;31;Corrente detta la Speranza. Intitolata Al Serenissimo Arciduca Alberto;;p. 32: Qui finisse il Lauto Atiorbato. Seguitano alcuni Caprici Gagliarde, & Corrente conposte Proprie per la Tiorba;OT;;3;",a1 | [,aba,d3/2] ,b/ ,a1 | {a}1 [,,da3/2] ,,,d/4 ,,d | \
X,,,f1 ,d ,,,e | ,,,c1 [dd] ,c | ,,,a/ ,c ,d a c d |";italian7tab
22;;33;Capricio detto il Fauorito. Per la Tiorba;;;OT;;C;"[abdca{10}4] | [aa,c,e2] (a/4 ,d) (,c ,a) ,b/ ,,,,a | \
[abdca{10}2] (,a/4 ,,d) (,,b ,,a) ,,b/ ,,,,,a | [aabcca{13}4] |";italian7tab
23;;35;Gagliarda detta la Sauia Per la Tiorba;;;OT;;3;"[abd,a2] [bdda] [aacc] | [abd,a1] ,,,,c ,,,,d ,,,a ,,,c2 | \
[,bbc,a2] [,ddd,b] [,aba,d] | \
[,bbc{a}1] {,a} ,,,,,a ,,,,,b [,a,,,d] ,,,,a |";italian7tab
24;;36;Gagliarda detta la Mesta. Per la Tiorba;;;OT;;3;",,d1 ,a [,b,,a2] [,d,,c] | [abb,d2] ,,,c1 ,,a ,,b2 | \
[caab2] [aabc] [,aabc] | [aac,,a2] ,,,c1 ,,,a [abb,d2] | \
[,db,c2] [abd,a] [a,c,e] |";italian7tab
25;;37;Corrente detta la Graue per la Tiorba;;;OT;;3;"a1 | [abd,a3/2] ,d/ ,b1 | [,a,,,e1] ,,,c ,d | [abd,a3/2] b/ a1 | \
[,d,,c1] ,,b b | [ab{,a}3/2] f/ d1 | [c{a}1] ,d ,,,d |";italian7tab
26;;38;Corrente detta la Strasinata Per la Tiorba;;;OT;;3;"(a/4 ,d) (,b ,a) | ,b1 ,,,,a [,a,,,e] | ,b1 ,,,,a [,d,,c] | \
a1 ,,,,d ,,,a | ,,,c1 ,,,,,a ,,,,,b | [,a,,,d1] ,,,,,a ,b |";italian7tab
27;;39;Capricio detto il Geloso Per la Tiorba;;;OT;;C;"[fdaaa{a}4] | [bddaa{a}2] y/ (,,b/4 ,,a) (,,,c ,,,a) (,c ,a) | \
,,,,a1 [acdca{10}2] {,,a}1 | [abbcd{,a}2] y/ (,,,d ,,,c) (,,,a ,,,,d) (,,,,c ,,,,a) | \
,,,,,d1 [,abacd{11}2] ,,,,a1 |";italian7tab
28;;41;Gagliarda detta l'Alegra Per la Tiorba;;;OT;;3;"f3/2 d/ [b,,a2] [a,d,e] | [,d{a}3/2] ,,,,,a/ [,,d,,b3/2] ,,,,,d/ [,b,,a3/2] ,,,,c/ | \
[a,,,d2] [,d,,b] [a,b,d] | \
[bbd,,b3/2] ,,,,,d/ ,,,,a3/2 ,,,,c/ [a,,,d3/2] ,,,a/ |";italian7tab
29;;42;Signora Anzoletta. Gagliarda Per la Tiorba;;;OT;;3;"[b,,a2] [d,,c] [a,d,e] | [b,,a2] ,,,,d1 ,,,,b [,c,,a2] | \
[,d,,,b2] [,d,,,d] [,c,,a] | [,d{a}1] ,,,c ,,,d ,,b ,,d ,a | \
[,b,,a2] [,d,,b] [a,b,d] |";italian7tab
30;;42;Corrente detta la Fauorita. Per la Tiorba;;;OT;;3;"f1 | [fdaa3/2] d/ b1 | [a,,,e3/2] ,,d/ ,,b1 | [,,aa{a}3/2] ,d/ ,b1 | \
[,ab,,d3/2] d/ b1 | [a,,,d1] [b,,,a3/2] a/ | \
[,d,,b1] [a,,,,d3/2] ,d/ |";italian7tab
31;;43;Corrente detta la Nobile. Per la Tiorba;;;OT;;3;"(,,d/4 ,,b) (,,a ,,,c) | ,,,d2 (,,b/4 ,,,d) (,,,c ,,,a) | \
,,,,e1 ,,d a | ,,,a1 {a} ,d | ,,,,c1 ,,b b | ,,,,d1 {,a} a |";italian7tab
