PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1;Prelude 1;;;OT;;C;"[,,dca3] ,a1 | \
[,cdca1] ,,,,c [a,d,e] ,,,a | \
[,acc1] ,c [,d,,c] a | \
[df1] ,,d/ ,,c ,,a f e c | \
a/ ,,d ,,c ,,a"
2;;1;Prelude 2;;;OT;;C;"[abd,a3/2] ,d/ ,b1 ,,,,a | \
[aa,c,e2] [abd,a1] ,,,,c | \
[abb,d1] [abd,a] [fddd/] a [ffdd] ,d | \
[dffc/] c d ,,,a [dfg,d] ,d ,,g ,,f |"
3;;2;Prelude 3;;;OT;;C;"[abdca4] | \
[aabcca3] ,,a1 | \
[aabc1] c d ,,,a | \
[abb,d3] ,d1 | \
[,bdd1] ,a ,b ,,,c | \
[,dda1] a b ,,,,d/ ,,,,c | \
,,,,a1 ,,,c [abd] ,,,,c |"
4;;2;Prelude 4;Julien Perrichon;;OT;ConcR403;C;"[,,dca1] ,a ,b [,d,,c] | \
[a,,,d1] ,,,,a b ,,,a | \
a1 [,,d,d] [,a,,c/] ,c ,d ,,c | \
[,b,,a1] ,,d/ ,a ,b1 [,a,,,d] |"
5;;2;Prelude 5;;;OT;;C;"[abd,a4] | \
[abd,a/] ,,,c ,,,d ,,,c ,,,,d ,,,a ,,,c ,,,,d | \
,,d/ a b a ,b ,d [a,,c] ,,,,,a | \
,,,,,b ,,,,,a {,a} {a} [,acc,a1] [,,d{,a}] |"
6;;3;Prelude 6;;;OT;;C;",,,,a1 ,,,,c ,,,,d ,,,a | \
[a,,c1] ,,a [a,c/] ,d [,bd1] | \
,a1 ,,,,,a ,,,,d [,,,a,c] | \
[,,,c,e/] ,,,a [,,,,df1] ,,,,c [,,,c,e/] ,,,a |"
7;;4;Prelude 7;;;OT;;C;",,d1 ,a [,b,c] ,,a | \
[,ab1] a [,bd/] ,d [,ab1] | \
,,,c1 [,bd] ,a ,,b | \
[,b,,a1] [,a,,c/] ,,d [,,b,d] ,,,c ,,d ,,,a |"
8;;4;Prelude 8;;;OT;;C;",,,,a4 | \
,,,c2 ,,,,a | \
[,,,cd2] ,,b1 ,,,,c | \
[,bdca4] | \
[,b,c,e2] ,a | \
[,bdca1] ,a ,,d ,,,,,d | \
[,,d,,b1] ,a/ ,b [,a,a1] [,,d,d] | \
[aac,,a1] ,d [,bd2] |"
9;;4;Prelude 9;;;OT;;C;"[,bdca1] a ,b ,,d | \
a1 ,,,c [a,,,d] ,,,,a | \
,b/ ,,,,c ,,,,d ,,,a [a,,c1] d | \
[,bdd1] ,d [aacc] ,,,,,a | \
,b1 [,,dd] ,d ,,,a/ ,b |"
10;;5;Prelude 10;;;OT;;C;"[bdca3] ,d1 | \
[,bdca1] ,a ,b ,,,,,d | \
[,dd,,b1] ,,,,,a {a} a | \
[bdda1] [a,,c] [,d,d] [,ab] | \
[,bd,a1] [,df] [,fg] ,,,,a | \
[,a,,,e1] a"
11;;5;Prelude 11;;;OT;ConcR404;C;",,d1 a ,,,,a/ ,d ,c ,a | \
,c1 [ca,a] [a,,,e] ,,d | \
[cd,,c1] e [ff,,a] a | \
[,a,,,e1] [,c,,a] [,d,,,c] [ac,,,a] | \
[c{a}1] [,a,a] [ac,,e] ,,c |"
12;;5;Prelude 12;;;OT;;C;"a2 ,b1 ,,d | \
[,da1] [,ac] [,bd] ,a/ ,,d | \
[,abc1] d [bd] [ab] | \
[,df1] [,fg] [,d,d/] ,,g [,,ff1] | \
[,,gfd1] i [hf] [,,fg] |"
13;;6;Prelude 13;;;OT;;C;"[abdca4] | \
[ffg{,,a}/] h i f n f a ,b | \
,,d3 ,,,c/ ,,,,d ,,,,a ,,,,,a {,a} | \
[i{,,a}1] f [hi] [df] |"
14;;6;Prelude 14;;;OT;;C;",,d1 ,a [,b,,a/] ,a/4 ,b [,d,,c1] | \
[a,,cd1] [,daa] [,,cc/] a [,bd1] | \
[adcca1] [,,c,a/] ,,a [,,c,ca1] [,,,d{a}] | \
[,,dce{,b}2] [,,da{a}1] [,,,,a{,,a}] |"
15;;7;Prelude 15;;;OT;;C;"[abd2] ,,,,a | \
[a,,,d2] [,dda] | \
[,,cc1] ,d [,bd2] | \
[aabc2] ,,c1 ,d | \
[,bd,a2] ,,d1 ,a | \
[,b,,a1] [,d,,c] [a,,,d] [c,,a] | \
[d,,c1] a [ff,,e2] |"
16;;7;Prelude 16;;;OT;;C;"[acd,a1] {,,a} f a | \
[,cdca/] f a c ,c f ,,d ,a | \
[acd,a1] ,d/ ,c ,a ,,d ,,c ,,a | \
[aac,,a/] e h ,,,c"
17;;8;Prelude 17;;;OT;;C;"[abd,a2] {,,a}1 ,a | \
[,bdca1] ,a/ ,b [,a,,c1] ,,d | \
[,,b,d1] ,,a ,,,c ,,,,c | \
[,b,,a1] ,,,d [,a,,,d] ,,,c | \
[,,d,,b1] ,,,,a [,,d,d] ,,,a |"
18;;8;Prelude 18;;;OT;;C;",,,,a/ ,,,c ,,d ,a ,c ,,d a1 | \
[acd{,,a}1] ,a/ ,,d [aad,,a1] ,,c/ ,d | \
[,cd,,c1] [,ac,,a] [,,aa{a}3/2] ,,d/4 ,a | \
,,c1 ,,a ,,,,e [,ccd] |"
19;;8;Prelude 19;Joachim van den Hove;;OT;ConcR774;C;"[abdca4] | \
[,,,,a{,,a}/] f i f ,f ,b ,d a | \
,,d/ ,,,c [,bdd] ,,,c [bdda] [abbcd] [bdda{a}] [aaccca] | \
[abdca{,,a}/] ,d ,b ,a"
20;;9;Prelude 20;;;OT;;C;"[,cdca/] a ,c ,d a ,,d ,a ,c | \
,d/ ,,,a [,dd] a c ,,,c ,,a [a,c/4] ,d | \
[,cd/] c a ,d"
21;;9;Prelude 21;M. Galilei;;OT;ConcR775;C;"[abdca{,,a}4] | \
b1 ,,d a ,,b | \
[,,,da1] ,d ,,,c ,,,a | \
[,,,ca1] ,b/ ,a ,b ,,a ,,c ,,d | \
[,ad,,a2] ,,c1 ,,a |"
22;;10;Prelude 22;;;OT;;C;"[,bdca1] {,,a} a ,b | \
[f{,,a}1] a i h | \
[ffg,,f1] h/ i [hff,,e2] | \
[ffg,,f2] [aac,,a3/4] ,d/4 ,b ,a ,b ,,d |"
23;;10;Prelude 23;;;OT;;C;"[,,dca{,,a}1] [,a,c,e] [,bdca] [,db,c] | \
[abb,d/] c d a [c,,a] e f c | \
[eff,,a1] [f,,d] [e,,c/] f [h,,,,a1] | \
[ffg,a1] h [i{,,a}] h/ f |"
24;;11;Prelude 24;;;OT;;C;"a1 ,b ,d ,a | \
,b1 ,,d ,a ,,c | \
[,bd/] ,d a1 ,,,d [fd] | \
[d,,c1] [a,d] [b,,a] [,d,f] | \
[a,,,d1] ,,,,a [,dd,c] ,,c |"
25;;11;Prelude 25;;;OT;;C;"[,bdca4] | \
[,bdca3/2] ,,,,c/ ,,,,d ,,,,a ,,,,d ,,,a | \
[,a,c1] ,b ,,,d/ ,d ,b ,d | \
[a,,c1] ,,c/ ,d [,bd1] ,,,,a/ ,a |"
26;;12;Prelude 26;;;OT;;C;",,,,a1 ,,,c ,,d ,a | \
,b1 ,d ,b ,,a | \
,a1 ,,,,,d ,,,c ,b | \
,,d1 ,,,,,b ,,,a ,a | \
,b1 ,,,,,a ,a ,,d |"
27;;12;Prelude 27;;;OT;;C;"[a,d3] ,a1 | \
[,b,,a3/2] b/ a1 [,d,,c] | \
[,b,,d1] [,a,a] [,b,c] ,,,d | \
,d1 ,,b [ab,,d] ,a | \
[b,d,,b3/2] ,,b/ ,,,d1 [,,bc] | \
[,,da1] ,,f [a,g,d2] |"
28;;13;Prelude 28;;;OT;ConcR502;C;"[bd,a/] ,d a ,b [,d,d] ,b ,d ,a | \
[,b,c/] ,a ,b ,,d [,a,a] ,,d ,a ,,b | \
[,,d,d/] ,,b ,,d ,,a [,,b,c] ,,d ,a ,,b |"
