PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;Intro_5r;sans titre;;;OT;;C;",b4 | [,,dd2] [,bbc] | [bdda2] ,,f | [abb,d4] | \
[,db,c2] [,ab,,d] | [,b,ca2] ,,a | [,aba,d4] | \
[,bdd,b1] ,,,,,d ,,,,a ,,,,c |";spanishtab
2;;Intro_5v;sans titre;;;OT;;C;",,b2 ,,d ,a | [,,b,,d2] ,,a [,,,ca2] [,,,ac] | \
[,db,,d2] a [c,da] | [,dff2] ,,,e [,cbc4] [,dda] | \
[ab,,d2] ,,,a ,,,c ,,,e [,dff] a |";spanishtab
;;;Primero Libro;;;;;;;
3;;2;Fantasia del primero tono;;;OT;;C;"[abd4] | [aab2] ,,,c | [,dff4] | [fd,e2] ,,,a | \
[da,c2] [acd] | [cd,a4] | [a,d,d2] ,,,,a | \
[,dda2] [,acc] | [,bd,a4] | [aa,c1] ,,a ,,b ,,,c |";spanishtab
4;;4;Fantasia del primero tono;;;OT;;C;",,d4 | a2 ,,,c | ,,d2 [,ab] | [,bd2] [,db1] ,,a | \
[a,,c1] ,d ,b ,a | [,,dd1] ,a ,b ,,d | \
[,ab1] ,c [,d,a2] |";spanishtab
5;;6;Fantasia del primero tono;;;OT;;C;",,d4 | ,a4 | [,b,,a2] ,,d | a2 ,,,,c | [a,d,d2] ,,,,a | \
,,,c2 ,,a | [a,b2] ,,,c | ,a2 c | [da,c2] a | \
[fc,,a2] ,,d1 d |";spanishtab
6;;9;Fantasia del segundo tono;;;OT;;C;"[a,d2] ,b | [aab2] [d,,c] | [c,da2] ,d | [a,,,a2] ,,d | \
[,,b,c2] [a,,cd] | [,daa2] [,acc] | [,bd,a2] ,,,c | \
[aa,,,a2] ,,b | [,daa2] ,,d |";spanishtab
7;;11;Fantasia del segundo tono;;;OT;;C;",,,,d3 ,,,a1 | ,,,c1 ,,,,d ,,,d2 | [,b,c2] ,,,,d1 ,d | \
a1 ,b [b,,a2] | [a,b,d3] ,,d1 | [,a,,c1] ,,b [,b,,a2] | \
[aa,c2] ,,b1 b |";spanishtab
8;;14;Fantasia del primero tono y del segundo;;;OT;;C;",,d4 | ,a4 | ,b2 ,d | [a,,,a4] | ,,d2 [,d,,c] | \
[a,,,d2] [,d,a1] ,b | [aa,c4] | ,,b2 ,d | [a,,,d2] c | d4 | \
,,b2 [c,,a]";spanishtab
9;;17;Fantasia del tercero tono;;;OT;;C;"[,aa,c2] ,,b | [,,,cd2] ,,d | [,,aa2] ,d | [,ab,,d2] ,,,a | \
,,,,c1 ,,d ,,b ,,a | [,,dcd1] ,,b ,,a ,,,c | [,aa,c4] | \
[caa,c2] d |";spanishtab
10;;22;Fantasia del tercero y quarto tono;;;OT;;C;"[aa,c3] ,c1 | [,da,c1] a ,d ,,,,d | [,daa1] ,,,c ,,,a ,,b | \
[,dda1],,f ,,d a | [c,da1] d c ,,,c |";spanishtab
11;;27;Fantasia del tercero y quarto tono;;;OT;;C;"[acd,a1] ,d ,f2 | a/ ,d ,b ,a ,,d ,,b ,,a ,,,c | \
[,aa,c2] ,,,b | [aa,c,a2] ,,c | [abd,a4] | [aac,,a4] | \
[a,b,d4] | [,db,c2] [,bd,a] |";spanishtab
12;;30;Fantasia del primero y segundo tono;;;OT;;C;"[abd4] | [aa,c1] ,,a ,,c ,,d | ,a1 ,,c ,,d2 | \
,,,,a/ a ,d ,b ,a ,,d ,,b ,,a | ,,,c/ ,,b ,,d ,a ,b2 |";spanishtab
