PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Saltarello;;;OT;;3;"[abd3] ,,d1 [aac2] | [abd3] c1 [da,c2] | [ca,b2] [a,bc] [,ea,c] | \
[aacc,a3] ,,d1 ,,c2 | [abd3] ,,d1 [aac2] | [abd3] c1 [da,c2] |";italian7tab
2;;2;Saltarello;;;OT;;3;"[ffd2] [ffg] [edf] | [ffd3] [dd1] [bb] a | \
[aa,c3/2] ,,,e/ [aa,f2] [,ede] | [aacc4] [if,f,i2] | \
[hd,f,d3/2] ,f/ ,d2 [ffg,,f] |";italian7tab
3;;3;Saltarello;;;OT;;3;"[acd2] [cda] [df,c] | [fh,a3] [df1] [cd] [ac] | \
[cd2] [dfg] [fh,h] | [hi,f3] k1 l k | \
[hd,f2] [fda1] h [da,c] f |";italian7tab
4;;4;Saltarello;;;OT;;3;",,,,c2 [,dfe] [,cee,c] | [,aa,c1] ,c ,d [a,c] [c,d,a] [ea,,,e] | \
[fc,,,c1] ,,,,,e ,,,,a [,d,,c] [ef,,e] [c,,a] | \
[ea,c1] ,,,,,a ,,,,,e [,c,,a] [cd,,c] [a,,,e] |";italian7tab
5;;5;Saltarello;;;OT;;3;"[d,bc2] [c,da] [a,d,e] | [,df,c1] ,c ,d [ac] [cd2] | \
[ac,c2] [,df1] ,f [,cee2] | [,af,c1] ,,,f ,,,e ,,,c ,,,,b2 |";italian7tab
6;;6;Saltarello;;;OT;;3;"[,dff2] [ab,,d] [c,da] | [dab,,d3] c/ a ,d2 | \
[,ab,,d/] ,c ,d1 [a,,cd/] c d1 [c,da/] a c1 | \
[dab,,d4] [hi,f2] |";italian7tab
7;;7;Saltarello;;;OT;;3;"a1 c [e,,c2] [f,a] | [h,,g2] ,,,,,a1 [f,d,,c] [ea,,,e2] | \
[c,d,a1] a [,f,ec2] ,e | [a,cc,a2] ,a1 ,,d [,,cc] [,,aa] |";italian7tab
8;;8;Ballo detto il Conte Orlando;;;OT;ConcR1581;C;"[c,,a1] [c,,a/] [d,,c] [f,a1] [h,,f] | \
[fda,,,a1] [,,a,,,a/] [d,b,,a] [c,d,,c1] [aab,,d/] ,d | \
[,cdca1] [,dcac] [,,dca] ,c | [,daa,,a/] ,c ,d a c1 ,d |";italian7tab
9;;8;Salterello del predetto ballo;;;OT;;3;"[c,,a1] [d,,c] [f,a2] [h,,f] | \
[fd,a2] [,,a,,,a1] [d,b,,a] [c,d,,c2] | \
[aab,,d1] ,d [,ddca2] ,c | \
[,daa,,a1] ,,,c/ ,,a ,,b ,,d ,a ,c ,d2 |";italian7tab
10a;;9;Pass'e mezzo Prima Parte;;;OT;;C;",d1 a | [bdda1] ,,,,,,a [b,,a] [d,,c] | \
[f,,d1] [bd,a] [addca] ,c | [,d,a1] ,,,,,,a [b,,a] [d,,c] | \
[f,,d1] [d,bc] [b,da] [a,f/] ,d |";italian7tab
10b;;10;Seconda Parte;;;OT;;C;",d/ a b d | [f,,a/] ,,,c ,,,d ,,b ,,d ,a [fb] ,,d | \
[da/] ,b [bd] ,a [ac] ,d a ,c |";italian7tab
10c;;10;Terza Parte;;;OT;;C;",d1 a | [bdda1] ,,,,,,a [,,da] [,,,ce] | \
[,,ddf1] ,d [,,,ca] ,c | [,d,a1] ,,,,,,a [,,da] [,,,ce] | \
[,,ddf1] [,bbc] [,,dd] [,dfa] |";italian7tab
10d;;11;Quarta Parte;;;OT;;C;",d1 a | [b,,a1] ,,d ,d [b,,a/] [d,,c] | \
[f,,d1] [d,,c] [b,,a] [a,,,e] | \
[b,,a1] ,,d ,d [b,,a/] [d,,c] | \
[f,,d1] [d,b/] b [a,d1] [,df] |";italian7tab
10e;;12;Quinta Parte;;;OT;;C;"f1 f | [bd1] ,d/ d [fg,h1] [,f,h/] h | \
[il,,i/] ,,,f [fg,h] ,,f [dfg] [,gi] [,f,h] [,,hh] |";italian7tab
10f;;12;Sesta & ultima Parte;;;OT;;C;",d1 a | [b,,a1] ,d [bd] [df] | \
[fg,a1] [df] [bd,a] [acd] | [,d,a1] f/ ,d [bd1] [df] | \
[fg1] [,,da/] ,,,c [,,dd1] [,,fa] |";italian7tab
11a;;13;Gagliarda Prima Parte;;;OT;;3;",d1 a | [b,,a2] ,,d1 d [bd2] | [a,bc1] ,d [,bdd2] [,dfa] | \
[ab,,d2] ,,b1 ,,d [d,b] [f,,d] | \
[d,,c1] [b,,a] [a,,d] [,d,d] ,,b [,c,c] |";italian7tab
11b;;13;Seconda Parte;;;OT;;3;"f2 | [b,,a1] a b d f2 | [db,c2] [b,dd1] ,,b [b,da] ,a | \
[ab,,d1] ,,b ,,,c ,,,a [d,,c] ,,,d |";italian7tab
11c;;14;Terza Parte;;;OT;;3;",d2 | [b,,a2] [d,,c] [f,,d] | ,,d1 ,,,d [db,c2] [bd,a] | \
[df,,d2] [,fg1] [,df] [bbd2] | [aab2] [,ddd] [,cbc] | \
[,dda2] [fgi] g |";italian7tab
11d;;14;Quarta & ultima parte;;;OT;;3;",d1 a | [b,,a/] a b d f d b a ,d1 ,b/ ,a | \
,,d/ ,,b ,,,d ,,,c ,,,a1 ,,,c/ ,,,d ,,,f ,,,d ,,,c ,,,a |";italian7tab
12a;;14;Pass'e mezzo Prima Parte;;;OT;;C;",d1 a | [c,,a1] ,,d [c,d] [da] | [c,da1] [,da] [,d,ca] ,c | \
[,d,a,,a1] [f,a] [f,a] [h,,f] | \
[f,aa1] [da,,c] [d,d,e] [c,,a] |";italian7tab
12b;;15;Seconda Parte;;;OT;;C;"f1 h | [f,,a2] [c,d1] [da] | [c,d1] [a,b] [,da] [,c,c] | \
[,d,a1] f c [d,,c] | [c,,a1] [,d,,c] [a,,,d] [c,,a] |";italian7tab
12c;;16;Terza Parte;;;OT;;C;"[f,a1] [d,b] | [c,da1] [a,b] [c,d] [da] | \
[c,da1] [a,b] [,da] [,c,ca] | [,d,a,,a] [f,a] [c,d] [da] | \
[c,da1] [a,,ce] [,da,c] [,c,,a] |";italian7tab
12d;;16;Quarta Parte;;;OT;;C;",c/ ,c ,d a | [c,,a/] a c d f d c a | \
[c,,a/] ,d a c [a,,,a] c d a |";italian7tab
12f;;17;Quinta Parte;;;OT;;C;"[c,,a1] [d,,c] | [f,a1] [h,,f] [f,a] [d,,c] | \
[c,d,,,a1] [a,b,,a] [,da,,c] [,c,ca] | \
[,d,a,,a1] [f,a/] [d,,c] [c,,a] [a,,,e] [c,,a] [d,,c] |";italian7tab
12g;;18;Sesta Parte;;;OT;;C;"[,,aa1] [,,bc] | [,,de/] ,,,c ,,,a ,,,,e [,a,a1] [,c,c] | \
[,da/] ,,,c ,,a ,,b [,da1] [a,b] | \
[c,da/] [a,b] [c,d] [da] [c,da1] [d,bc] |";italian7tab
12h;;18;Settima Parte;;;OT;;C;",d1 a | [c,,a/] a [c,,d] d [f,a] ,,,c [d,a] ,,b | \
[c,d/] a/4 ,d [a,b/] ,d/4 ,c [,da/] ,c/4 ,a [,c,c/] ,a/4 ,c |";italian7tab
12i;;19;Ottava & ultima Parte;;;OT;;C;",d1 a | [c,,a1] [d,,c] [f,a] [h,,f] | \
[f,,a/4] ,,,c ,,,e ,,,a [d,,c] ,,a ,,b ,,,c \
[c,a] ,,b ,,d ,,a [a,b/] ,,d |";italian7tab
13a;;20;Gagliarda Prima Parte;;;OT;;3;"[,da1] [a,b] | [c,da2] ,,,,,,a1 [da] [c,da2] | \
[a,d,e1] c [da,,c2] [fc,,a] | [hd,,,d2] ,,,f1 ,,d ,,f ,,h | \
[fd,e2] [d,,f] [cc,c1] a |";italian7tab
13b;;20;Seconda Parte;;;OT;;3;",d1 a | [c,,a1] d f [d,,c] [c,,a] [fd] | \
[d,,,c1] c [a,,,d] d [c,,a] c | \
[d,,,,d1] ,a ,d [c,,a] [a,,,d] ,d |";italian7tab
13c;;21;Terza Parte;;;OT;;3;",,d1 ,,b | [f,aa2] [d,bc] [c,da] | \
[c,,a1] [a,,ce] [,da,c2] [,c,,a] | \
[,ab,,d2] [,df1] [,cd] [,ab2] | \
[,,de1] [,,ff] [,,de2] [,,bc] |";italian7tab
13d;;21;Quarta & ultima parte;;;OT;;3;",d/ ,c ,d a | [c,da2] ,,,,,,a1 [da] [c,da] [d,b] | \
[f,a1] [d,bc] [c,da] [da,,c] [,,d,d] [c,,a] | \
[d,b,,d2] [,dff1] [,,de] [,fff2] |";italian7tab
14a;;21;Pass'e mezzo Prima Parte;;;OT;;C;",,,c/ ,,a/4 ,,b ,,d/ ,,d | ,,b1 ,,,,,a/ ,,,c [a,b1] [c,d] | \
[da,,,a1] [c,d] [a,b,,a] [,ea,,,,a] | \
[aab,,a1] ,,,c [a,b] [c,d] |";italian7tab
14b;;22;Seconda Parte;;;OT;;C;",,,c/ ,,a ,,b ,,d | [aabc1] ,,,,,a a/ c d f | \
[h,,,,a/] f h f/4 d [c,,,,,,a/] a c/4 a ,d ,c |";italian7tab
14c;;23;Terza Parte;;;OT;;C;",,,c1 ,,a | [aabc1] ,,,,,a [,,bc] [,,de] | \
[,,ff,a1] [,,de] [,,bc,a] [,,abc] | \
[,,,c,a1] ,,a [,,bc] ,,d | \
[,abc3/4] ,c/4 [,dde1] [,,ff] [,cbc] |";italian7tab
14d;;24;Quarta Parte;;;OT;;C;"a1 c | [da,,,a1] a h f | [da,,,a1] [c,d] [a,b] [,ea] | \
[a,,c,a1] [c,,b] [d,,c] [c,a] | \
[a,bc1] [,dde/] ,c [,aff1] [,cdc/] ,,b |";italian7tab
14e;;24;Quinta Parte;;;OT;;C;",,,c1 ,,a | [aab,,a1] ,,,c [aa/] h d f | \
[h,,,,a/] f c d f d a c | [d,,,,a/] c ,d a";italian7tab
14f;;25;Sesta Parte;;;OT;;C;",,,c/ ,,a ,,b ,,d | [,a,,,a/] ,,d [,,b,,c] ,,a [,,,c,d1] [,,a,a] | \
[,,b,c1] [,,a,a] [,,,c,d] [,,,b,c] | \
[,,,c,a/] ,,a ,,b ,,d [,a,c] ,b ,a ,,d |";italian7tab
14g;;26;Settima Parte;;;OT;;C;"a1 c | [d,,c/] c [a,a] ,d [a,b] d [c,d] a/4 c | \
[da/] a [c,d] d [a,b] c [,e,e] ,c/4 ,e |";italian7tab
14h;;27;Ottava Parte;;;OT;;C;",a/ ,,d ,,b ,,a | [a,,c/] ,,a/4 ,,b [,c,d/] ,,b/4 ,,d [d,f/] ,,,,c [f,,,e] ,,,a | \
[d,,c/] ,,,,,a [c,,,a] ,,,,c [a,,,c] ,,,,a [,e,,c] ,,f |";italian7tab
14i;;28;Nona Parte;;;OT;;C;",,,c/ ,,a ,,b ,,d | [aabc1] ,,,,,a a/ c d f | \
[f,,,,a1] k/ l n n [m,,,,,,a] k/4 m |";italian7tab
14j;;28;Decima & ultima parte;;;OT;;C;",,,c1 ,,a | [aab,,a1] ,,,c [h,,f] [f,a] | \
[d,,c1] [c,d] [a,b] [,ea] | [aabc1] ,,,,,a [,ab] [,bd] | \
[,ab,,a1] [,,d,,d/] ,,b [,,d,,c] ,,a [,,b,,a] ,,,c |";italian7tab
15a;;29;Gagliarda Prima Parte;;;OT;;3;"[aabc2] | [aabc2] ,,,,,a1 d [d,,c2] | [acd1] a [,dff2] [ac,c] | \
[cd,a2] f1 d [c,,a] a | [,d,,c1] ,c/ ,d [a,,,e1]";italian7tab
15b;;30;Seconda Parte;;;OT;;3;"[,,bc2] | [,,bc1] ,,a ,,b ,,d ,a ,b | \
[,a,c1] ,,d ,,b ,,d [,a,c] ,c | \
[,d,a1] ,c/ ,a ,,d ,,b ,,a ,,,c ,,,a1 ,,,c |";italian7tab
15c;;30;Terza Parte;;;OT;;3;"h1 f | [d,,c1] a d [f,a] [h,,f] d | \
[f,a1] c [d,,c] ,,a [c,b] [a,d] | \
[c,,a1] d [fd] h f ,c |";italian7tab
15d;;30;Quarta Parte;;;OT;;3;",,,c1 ,,a | [,,bc2] [,,de] [,a,c] | \
[,,b,,a1] [,,d,,c] [,a,a,d2] [,c,c,a] | \
[cdaa,,a1] [d,,c] [f,a2] [d,b] | \
[c,d,,c1] [a,b,,d] [a,a,a2] [,ea,c] | \
[a,bc1] [,,de] [,ab2] [,bd] |";italian7tab
15e;;31;Quinta Parte;;;OT;;3;",a/ ,,d ,,b ,,a | ,,,c1 ,,,a/ ,,,,e ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a1 ,,,,,c | \
,,,,,d1 ,,,,a ,,,,c/ ,,,,e ,,,,f ,,,,e ,,,,f ,,,,e ,,,,c ,,,,e |";italian7tab
15f;;31;Terza & ult. parte;;Sesta Parte?;OT;;3;"[aabc2] | [da,c2] [c,ab] [a,cd] | [,aa,,a1] ,,,c [,a,a,d2] [,c,c,a] | \
[,da,,,a2] [f,de] [da,c] | [cd,a2] [abd,a1] ,,b [,efec2] |";italian7tab
16a;;31;Pass'e mezzo Prima Parte;;;OT;;C;",,,c1 ,,a | [aacc1] ,,,,,a [aacc] [caab] | \
[aacc1] ,,,,,a [,c,aa] [,e,cc] | \
[aac,,a1] ,,,c/ ,,a ,,c1 [,,de] | \
[,acc1] ,,,b [a,,,e] [,e,,c] |";italian7tab
16b;;32;Seconda Parte;;;OT;;C;"[e,,c1] [f,a] | [h,,g2] [h,f1] [f,h] | \
[e,f1] [c,d] [a,c] [,ea] | [a,,c1] ,,,,,a [,,c,,a] [,,d,,c] | \
[,a,,,e1] [,,c,,a] [,,d,,c] [,a,,,e] | [,c,,a1] [a,d] c [ea] |";italian7tab
16c;;33;Terza Parte;;;OT;;C;",,,c/ [,,a,c] [,,cc] [,,de] | \
[,,cc1] ,,,,,a [,,cc/] [,,de] [,ac] [,cd] | \
[,ac/] [,,de] [,ac] [,cd] [,ac] [,cd] [,ac] [,,de] |";italian7tab
16d;;34;Quarta Parte;;;OT;;C;"[a,c1] [c,d] | [ea,c1] [fc] [ea,c] [c,de] | \
[ea,c1] [c,d,e/] [a,c] [c,d,a] a [,,a,c] ,e | \
[a,c,,a/] ,a ,c ,a a ,,,,c ,,,,e [c,,,c] |";italian7tab
16e;;34;Quinta Parte;;;OT;;C;"[a,,c/] c [e,a] f | [h,g/] ,,,h [f,f] ,,h [e,f] ,,d [c,c] ,,a | \
[a,c/] [c,d] [e,f] [a,c] [c,d] [a,c] ,,a ,e |";italian7tab
16f;;35;Sesta & ultima Parte;;;OT;;C;"h1 h | [e,,c1] ,,,c/ f [h,fg1] [e,f/] ,,,h | \
[cef1] [afh] [cff,c] [,e,,c/] ,,d | \
[a,c,e1] [,cd/] ,,,b [,acc1] [,,de] |";italian7tab
17a;;36;Gagliarda Prima Parte;;;OT;;3;"[a,cc2] | [a,cc2] ,,,,,a1 [c,d] [ea,c2] | \
[cc,,e1] a [ca,b2] [ea,c] | [fc,,a2] ,,d1 e c2 | \
[aac2] [acd] [,efe1] ,,d |";italian7tab
