PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2r;Fantasie;;;OT;;C;"[,,,cca2] | [,,,cca1] ,,,,,c | [,,,cce1] ,,,,,a | \
[,,,cef2] | [,,,cce1] ,,,,,c/ ,,,,,a | [,,,,ac1] [,a,bc] | \
[aa,c,e1] ,,,,,a | [ac,c,a1] ,a | ,,f1 ,,,g | [,,hh1] [ha] |"
2;;3v;Fantasie;;;OT;;C;"[aabcca2] | [aabcca2] | [abd,a2] | [abd,a1] ,,b | \
[caa,c2] | [caabc2] | [dabcca2] | [dabcca1] a | \
[abdca1] ,,,,a | [,,def1] ,d | [,,aac1] ,a |"
3;;5r;Virgo prudentissima;Pieton;;OT;;C;",d/ ,c ,d a | [b,,a/] d b ,,,c | [,d,d/] ,b ,d a | \
[b,,a/] a/4 b [d,,,d] a b d |"
4;;7r;Infirmitatem;Verdelot;;OT;ConcR3089;C;",,d3/2 ,a/ | ,b2 | ,b/ ,a ,d ,b | ,d/4 ,b ,a ,b ,d ,a ,b ,d | \
[ab/] ,d [ab] c |"
5;;8v;Pour heur en amour demander;Arcadelt;;OT;;C;"[aacc/4] ,,a ,,c ,,d ,a ,,c ,,d ,a | \
[acd,a/4] ,a ,c ,d [acc,e/] ,a | \
[,dde/] ,,,,f ,,,,a [,cdc] |"
6;;10r;quand un chacun sert & commande;Ebram;;OT;;C;"[aacc2] | [aacc1] [aacc] | [acd,a1] [ac,ca/] [aa] | \
[,ddef/] ,c/4 ,a [,c,ca] ,,d ,a ,c | \
[,aaac/4] ,,c ,,d ,a [,cdca] ,a ,c ,d |"
7;;11v;Est il douleur cruelle;Arcadelt;;OT;;C;",,,c1 [,,aa/] [,,b,c] | [,,aa/] [,a,a] [a,,,d] ,,d | \
[,dfec/] [,ab] [,da] [,df] | ,b/ [,,dca] [,abc] [,,bc] | \
[,,def/] [,df,c] [a,b,d] [a,dc/4] ,,a |"
8;;13r;L'affection si long temps prisonniere;Arcadelt;;OT;;C;"[,efec1] [aabc] [cdda] | [ddff2] [cdda1] | \
[aacc3/2] [aacc/] [abd,a1] | [,efec1] [a,bcd] ,,d | \
M:C
[,efec1] ,d/ ,,f | [a,d/] c [d,b] a |"
9;;14v;Ta priuaulté;Arcadelt;;OT;;C;",,,c2 | [,,bc/] ,,a ,,b ,,d | [,abc1] [a,b/] ,,a | \
[,abc/] [,,aa] [,,bc] [,,de] | [dabc/] [c,,a] [ca,,c] c/4 ,d |"
10;;16r;Amour tu le scais bien;Arcadelt;;OT;;C;"[aabc2] | [db,cd1] [c,def] | [abbc1] [abd,a] | \
[,efec1] [,defc] | [,dfec1] [,dfec] | [,bbcd1] [,bdea] | \
[,aba,d1] [hd,f,d] | [hd,f,d1] [hd,f,d] |"
11;;17r;Pauane des Dieux;;;OT;;C;"[,da,c/] ,c ,d a | [,da,c1] [cd,a] | \
[cdda/] [a,c,e] [,da,c] [,cdca] | \
[,da,c/4] ,c ,d a [c,,a] ,d a c |"
12;;18r;Gaillarde;;;OT;;3;",a/ ,c [,da,c1] [a,d,e] | [cdda/] a c d [cd,ac1] | \
[cdda/] a/4 c d c a ,d [acd,a1] | \
[,ddef3/2] [,dd/] ,,,e1 |"
13;;19r;Pauane la Milanoise;;;OT;;C;"[dabc1] ,,,,,a | [dabc1] c | [aabc/] ,d a c | \
,,,c/ [dab] c a | [cdda/] a ,d ,c | ,d/ a c/4 a c d |"
14;;20r;Gaillarde;;;OT;;3;"[daab,d3/2] [dab/] ,,,a1 | [dab,,d1] ,,,a [dab,,d] | \
[cdda3/2] [cd/] ,,d1 | ,,,a/ a c d [cdda1] | \
[aabc/] ,d a c d c |"
15;;21r;Gaillarde;;;OT;;3;",,d/ ,a [acd,a1] [acd] | [acd,a3/2] [acd/] ,,,,a1 | \
[acd,a/] ,d a ,c ,d a | [cdda3/2] [cdd/] ,,,a1 | \
f/ d [cdda1] a/ ,d |"
16;;22r;Gaillarde piemontoise;;;OT;ConcR816;3;"[dab,,d1] [cdda] [abb,d] | [,da,c3/2] ,b/ [,aba,d1] | \
[abb,d3/2] ,d/ [abd,a1] | [,dba,d3/2] ,b/ [,aba,d1] | \
[abb,d3/2] ,d/ [abd,a1] | [,dba,d3/2] ,b/ ,a ,,d |"
17;;22v;Gaillarde;;;OT;ConcR2424;3;"[abb,d1] [abb,,d] [fcde,c] | [dab,,a1] ,,,c/ d [cdda1] | \
[ab,,d1] [,dba,d] [,bdca] | [aac,,a1] ,,,c/ a [,dba,d1] | \
[,bdca1] [,ab,,d/] ,,d [,,c,a] ,,a |"
18;;23v;Gaillarde;;;OT;;3;"[aabc1] a [cdda] | [dab,,d3/2] d/ [cdda1] | \
[aabc1] [abd,a] [,ea,c] | ,,,,,a/ [aac] ,,,c ,,d [aac] ,,,,,a | \
[aabc/] ,,,a [abb,d] ,,,,c [abd,a] c |"
