PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;a moll;1;Prelude;Ch.Mouton;;;Conc_1870;none;",,,,,a1 ,,d3/2 ,a/ V,c1 {,,a} [,,,'d3/2] ,,,,c/ ,,c1 \
,,,,a ,,,,c ,,,,,d ,,a ,,,,,a ,,,,,c {b} ,,c ,,,,c \
,c ,,c ,a ,,,,,a ,,d ,,,e a {a} [,,'c3/2] ,,,c/"
2;a moll;2;Allemande. Tombeau de Gogo;Ch.Mouton;;;Conc_528;C;",c/ | \
[,cde,a3/2] ,a/ V,c ,,d [,a'c] ,,,d | \
[,,dVe/] ,,,,a [,,,'dc] ,,,,,c [,,a,,Vd] {c} [,,c'{b}] ,,,,d | \
[,,d,,a/] {a} [,'a{,a}] ,,d/4 ,a ,c/ {,,a}1 c/4 ,e | "
3;a moll;4;Courante;Ch.Mouton;;;Conc-1917;3;",d/ [,'c] ,a | \
[,,d,,a1] [,,,'e3/2] [,,cd/] | \
(,,,e/ ,,d [,,,('c1]) ,a/ [,,,'a)] | \
(,,,,c/ ,c [,,,,'a]) ,,,,,d ([,,,,,'c] ,a | \
,,,,,a/) ,,d [,,#d{,,a}3/2] ,,,g/ | "
4;a moll;6;Double de la Courante;Ch.Mouton;;;Conc_1924;3;",d/ [,'c] ,a | \
[,,d,,a/] ,,c ,,a ,,,d ,,,e ,,c | \
,,d/ ,,,c ,,,e ,,,c [,,,'a] ,a | \
(,,,,c/ ,c [,,,,'a]) ,,,,,d [,,,,,'c] ,,,,,d | "
5;a moll;8;Les Cabrioles, Courante;Ch.Mouton;;;Conc_1791;3;",c/ [,'a] ,,d/4 ,a | \
,,d/ {,,a} [,,'c] ,,,e/4 ,,c ,,,e/ ,,,,a | \
[,,,'de/] ,,a/4 ,,,d ,,a/ ,,,,,a ([,,c{b}] ,,,,c | \
V[,,d,,a2]) ,,,e/4 ,,c ,,d ,a | "
6;a moll;10;Canarie;Ch.Mouton;;;Conc_1925;3;",c/ [,'a1] | \
V,,d3/2 ,,,e/ [,a,d1] | \
[,ac3/2] ,c/ [,,de1] | \
[,,'c{,,a}3/2] ,,,,c/ [,,,,'a1] | \
V,,,,,d3/2 ,,a/ {c}1 | \
'{b}3/2 ,c/ ,,c1 | \
[,,d,,a3/2] ,,,e/ [,,,'c1] | "
7;a moll;12;La fière. Courante;Ch.Mouton;;;Conc_1483;3;",c/ ,e d | \
Ve1 ,,,,,a/ ,,c ,,d ,,,e | \
,c1 {,,a}/ ,,,,e ,,,c ,,,,c | \
,,,d/ ,,,,a (,,,,,d ,,a [,,,,,('c]) ,a | \
,,,d/ ,c [,,#de,a)3/2] ,,,g/4 ,,d | "
8;a moll;14;La Belle homicide. Courante de M. Gautier;V.Gaultier or D.Gaultier / Ch.Mouton;La Belle Homicide;;Conc_8;3;"e/ ,c ,d | \
[,'c,,,a1] ,,a3/2 ,e/ | \
,,,c/ c ,,,a ,,a e e | \
[d,,,c1] {,,a}3/2 e/ | \
[e,,,,a1] ,,,e/ ,,d ,c ,e | "
9;a moll;16;Double de la belle homicide;Ch.Mouton;;;Conc_85;3;"e/ ,c ,d | \
[,'c,,,a1] ,,a/ ,a ,c ,e | \
c/ ,,,c ,,,a e [,,,,'c] ,,,,a | \
,,,,c/ 'd {,,a} ,c ,e d | "
10;a moll;18;Sarabande;Ch.Mouton;;;Conc_1482;3;"[,,de1] ,a [,,,'d/] ,,c | \
[,,aVe3/2] ,,c/ ,,d [,,,'c] | \
,,,,d/ ,a [,,,,'c] ,,,,a ,,,,,d ,c | \
[,'a{a}3/2] ,,d/4 ,a ,,d1 | \
[ccd,,(d1] [ccd/] c [,,,,,'c)] d | "
