PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;f# moll;1;Prelude;Ch.Mouton;;;;none;",,e ,,,g ,,e [,,,'e] ,,,,g ,,,e [,,,,'e] ,,e \
{,a} ,,,,e ,,,e ,,e ,e {,,a} {,,,a} ,,,,a \
,,e ,e [,,'c] d"
2;f# moll;2;La Nonpareille. Pavanne;Ch.Mouton;;;;3;"[,eee{,a}1] ,,h/ ,,,f/4 ,e V[,,fg1] [,,'e/] ,,,g | \
[,,eee1] [d,,,c/] ,,,,e ,,,,a ,e [,,,,'e] ,,,,c | \
[,d,,,e/] ,,,d ,,a ,e [,ca{4}] ,e [,'c] ,,e | "
3;f# moll;6;Le Toxin. Gigue;Ch.Mouton;;;Conc_1913;C;",e1 {,a}/ d Ve ,,e V,,f/4 ,e ,,c/ | \
V,,e1 ,d/ ,,c [,,'a] ,d/4 ,,,,e [,'c/] [,a,d] | \
[,,ee/] ,,,,c [,,'c] [,,,dd]"
4;f# moll;8;Le Départ. Courante;Ch.Mouton;;;Conc_216;3;",e1 | \
[,eee{,a}3/2] ,,,,c/ [,,,,'a] ,,,,,e | \
[,a,,,'c1] [,#c{a}3/2] ,a/ | \
[,,e,,a1] ,,,,c ,,,e | \
[,,c,e{a}1] [,,,,'d3/2] ,,e/ | \
{,a}/ ,a [,,'c1] ,,e/ ,,,d | \
,,,,e/ ,,,e [,,,#dc3/2] ,,,,a/ | "
5;f# moll;10;Double du Départ;Ch.Mouton;;;Conc_217;3;",e1 | \
[,e{,a}/] ,d ,e ,c [,'a] ,,e | \
,a/ ,,,e [,,,'d] ,a ,c ,,c | \
[,,ee/] ,,c ,,e ,,,e [,,,'d] ,,,,e | \
,,,,c/ ,,e [,,'c] ,,,,d ,,,,e ,,,d | "
6;f# moll;12;La Raisonneuse. Courante;Ch.Mouton;;;Conc_219;3;",,e/ ,,g ,d | \
V,e1 {,a}/ ,,e [,,'c] ,,,d | \
,,,,e/ ,,a [,,,#d,c3/2] ,,,,e/ | \
[,,,,'de1] {4}/ ,,,,e ,,,d ,,a | \
[,,c{a}1] [,,#c,d3/2] ,,,d/ | "
7;f# moll;14;Le Double;Ch.Mouton;;;Conc_1930;3;",,e/ ,,g ,d | \
Ve/ {,a} ,,e [,,#c] ,,e ,,,d | \
[,,a,e/] ,,,,,a ,,,,,c ,,,,b ,,,,d ,,,b | \
,,,,,e/ ,,,,d {4} ,,e ,,,d ,,a | "
8;f# moll;16;La Quincy. Sarabande;Ch.Mouton;;;Conc_1213;3;"[,,eee{,a}1] [,,eee/] ,,e [,,eee1] | \
V[,,edd{4}3/2] ,,e/ [,,,,,'c1] | \
{c}/ ,,e ,,,,,c ,a {,,a} ,,e | \
[,,#c,c3/2] ,,,e/ ,,c [,,,e,a] | \
[,cee1] [,cee/] ,c [,ccd1] | "
9;f# moll;17;La Dissimulée. Gavotte;Ch.Mouton;;;Conc_221;C;"[,e,{a}3/2] d/ | \
Ve1 ,,,,e/ ,e [,#ccd3/2] ,a/ | \
[,,ee1] ,,,,c/ ,,e [,,'c,d3/2] ,,,d/ | \
[,,a,e1] [,,'a/] ,,,d/4 ,,a [,,#a{,a}1] ,,,d/4 ,,a ::"
10;f# moll;18;La Promenade. Prelude;Ch.Mouton;;;;none;"{,a} ,,,,e ,,,e ,,e ,e ,g e ,e g {,,a} {,a} {,,,a} \
i 'g ,h g [,'g] i {4} ,b a ,e d"
11;f# moll;20;Le Dialogue des graces sur Iris. Allemande;Ch.Mouton;;;Conc_1912;C;"[,eee{,a}1] ,,,,e3/4 ,,,,g/4 V,,,,h ,e \
,,,f ,,e V[,,fg3/4] d/4 | \
[,d{4}3/4] ,e/4 d ,b V,c/ ,,,,,e/4 ,,,d \
,,,e ,,,,c ,,,,e (,e ,c) ,,e | "
12;f# moll;22;La belle Iris. Allemande;Ch.Mouton;;;Conc_1931;C;"[,eee{,a}1] ,,,,e/ [,'g] g/4 ,g 'e/ ,,e [,eVf] ,,,g | \
[a,e/] ,,,g [,,,'e] ,,,d [,ea] ,,,,e [,'c,d] ,a | \
[,,ee/] ,,,,,a [,,c,e{a}1] "
13;f# moll;24;Le Mouton. Canarie;Ch.Mouton;;;Conc_222;3;"{,a}1 | \
[,eee3/2] ,g/ e1 | \
[,#d{4}3/2] ,,c/ ,,e1 | \
V[,ea2] [d,,,d1] | \
[e,,,e3/2] g/ [e{,a}1] | \
{,,a}3/2 ,g/ ,,f1 | \
[,,'e3/2] e/ [g,,g1] | "
14;f# moll;26;La Raccommodement. Courante;Ch.Mouton;;;Conc_218;3;",,e/ (,,,g ,,,e) ,,,,g | \
[,,e,e1] {,a}3/2 ,b/ | \
,c/ {,,a} {,,,a} ,e ,,c d | \
[,d{4}1] ,,,,,e [,,,,,'c] | \
,,,,,a/ ,e [,ec{a}3/2] ,d/ | "
15;f# moll;28;Double du Départ;Ch.Mouton;;;Conc_1932;3;",,e/ (,,,g ,,,e) ,,,,g | \
,,,,e/ ,,e {,a} ,,,g ,,,i ,,g | \
V,,h/ {,,a} [,e{,,,a}] ,d ,e d | \
[,d{4}/] ,b ,d ,,c [,,'a] ,,c | "
16;f# moll;30;La Bizare. Gaillarde;Ch.Mouton;;;Conc_1933;6/4;",e3/2 ,d/ ,e3/2 ,,c/ | \
[,de2] ,,,,e3/2 [d,,,d/] [e,,,e3/2] ,,,,,c/ | \
[de,,,e1] [,'d3/2] ,,,,,c/ [,e,,,a3/2] [,d{a}/] | \
[,eee{,a}2] ,,h3/2 [,,ef/] [,,fg3/2] ,,,,g/ | "
17;f# moll;32;La Cheangeante. Courante;Ch.Mouton;;;Conc_1934;3;",d/ ,e d | \
V[e{,a}1] ,,,,e/ d e ,,,d | \
,,,e/ ,e [,#ccd3/2] ,a/ | \
,,,e/ ,,e ,,,,a ,,c V,,e ,a | \
[,,c{a}1] ,,,,c [,,e,d/] ,,,d | "
18;f# moll;34;La Malassis. Sarabande;Ch.Mouton;;;Conc_220;3;"[,h{,a}/] ,g V,h1 g/ i | \
[,'g{,,a}/] ,g [,gh{4}1] ,,,i/ ,h | \
[,,,'g1] ,,,,h/ ,,k ,,,,g ,,i | \
V,,k1 {,a}/ (,c ,a) ,,e | "
19;f# moll;35;Menuet. La Ganbade;Ch.Mouton;;;Conc_1935;3;"[,ea{,a}2] d1 | \
V[e,,,e3/2] ,,,d/ ,,,e1 | \
[d,c2] Ve1 | \
,,e/ ,d ,e d [,'d{4}1] | \
[,ea{,a}2] ,d1 | \
[e,,,e3/2] ,,,d/ ,,,e1 | "
20;A dur;36;Prelude en A mi la tierce majeure;Ch.Mouton;;;;none;",c ,e ,,e ,a ,c ,,,,,a ,,,e ,,e ,c ,,,,,a {a} ,,c V,,e \
,a ,,e ,a ,,,,,a ,,,,c ,,,e ,,e {,,a} ,,c ,,e (,,,d ,,,e)"
21;A dur;37;Les Amans brouillez. Pavanne;Ch.Mouton;;;Conc_1936;C;"[,cee,a2] [,ccd{a}1] [,'c/] ,a | \
[,,e,,a/] ,,,,,c ,,,,,e ,,,,a [,,cdc1] \
,,e/ [,,'c/4] ,,,,d ,,,d | \
V[,,,ee/] ,,,,c [,,,,'a] ,,c [,,c,de1] \
,,,,e/ [,,'a/4] ,,,d ,,a | "
