PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;XLVII. Ich Rew Vnnd klag;;;OT;ConcR1545;;;germantab
2;;1v;XLVIII. Von Edler Arth / Eyn frewleyn Zarth;;;OT;ConcR1935;;;germantab
3;;2r;XLIX. Ich Stell Nicht ab;;;OT;;;;germantab
4;;2v;L. Marie Sangiois;;;OT;;;;germantab
5;;2v;LI. Patientia;Wolff Heckel;;OT;ConcR2260;;;germantab
6;;3r;LII. Il estoit une fillete;Wolff Heckel;Jannequin?;OT;ConcR1728;;;germantab
7;;3v;LIII. Ie svis aymes;Wolff Heckel;Crequillon?;OT;ConcR2194;;;germantab
8a;;3v;LIIII. Iesv omen Sanctis: I. Pars: Val: Back: LIIII;;;OT;ConcR1812;;;germantab
8b;;4v;LV. Sit Nomen Domini: Secunda Pars;;;OT;ConcR1813;;;germantab
9;;5r;LVI. Pver Natvs in Betlehem;;;OT;;;;germantab
10a;;5v;LVII. Dum Transisset Sabba: I. Pars. Mat: W:;;Hollander?;OT;ConcR2261;;;germantab
10b;;6v;LVIII. Et Valde mane Secunda Pars;;;OT;ConcR2262;;;germantab
11;;8r;LIX. Ach Prentzia;;;OT;;;;germantab
12a;;8v;LX. Dilexi Quoniam I. Pars;;;OT;ConcR2263;;;germantab
12b;;9v;LXI. O Domine Secunda Pars;;;OT;ConcR2264;;;germantab
13;;10v;LXII. Ie prens en gre Matth: Waisel;;Clemens Non Papa;OT;ConcR1358;;;germantab
14;;11v;LXIII. Deus Qui sedes;;;OT;;;;germantab
15a;;12v;LXIIII. Erravi Sicut Ovis .4. Vo: I. Pars Val: Bac:;;;OT;ConcR1147;;;germantab
15b;;13v;LXV. Delicta Ivventutis meae. Secun: Pars;;;OT;ConcR1814;;;germantab
16;;14r;LXVI. Ach Elselein Hold Buse M: Sachsen:;;;OT;;;;germantab
17;;14v;LXVII. Sih Ists Die Sich heltt: Wolff: Heck:;;Senfl?;OT;ConcR2265;;;germantab
18;;15r;LXVIII. Freundlicher Held / Wolffg: Heckels;;Senfl?;OT;ConcR2266;;;germantab
19;;15v;LXIX. Mein Vleis Vnd müh;;;OT;ConcR2073;;;germantab
20;;15v;LXX. Ach Vnfalls Neyd;;;OT;;;;germantab
21;;16r;LXXI. Ein Meidlein sag mir freundlich zu;;;OT;;;;germantab
22;;16v;LXXII. Ick Sege Adiu / wi twe moten;;;OT;ConcR1752;;;germantab
23;;16v;LXXIII. Jetzt Scheiden bringt mir schwer;;;OT;;;;germantab
24;;17v;LXIIII. Ach Edler Hort Vernimb;;;OT;;;;germantab
25;;17v;LXXV. Ey Wie So Gar freündlich;;;OT;;;;germantab
26;;18r;LXXVI. Wo Soll Ich Mich hinkeren;;;OT;ConcR2267;;;germantab
27;;18v;LXXVII. Tröstlicher Lieb Ich mich stets:;;;OT;ConcR2268;;;germantab
28;;19r;LXXVIII. Zart Schöne Fraw;;;OT;ConcR2108;;;germantab
29;;19v;LXXIX. Was Würd Es Doch des Wunders ;;Senfl;OT;ConcR2019;;;germantab
30;;20r;LXXX. So Wündsch Ich Ihr eyn gutte nacht ;;;OT;ConcR1522;;;germantab
31;;20v;LXXXI. Ach Gott Wem sol ichs klagen;;;OT;;;;germantab
32;;21r;LXXXII. Ich habs Bewagt;;;OT;;;;germantab
33;;21v;LXXXIII. Hilff herre Gott / Wolff Heckels;;;OT;ConcR1988;;;germantab
34;;21v;LXXXIIII. Die Brunlein die da flissen. W H:;;Senfl?;OT;ConcR2011;;;germantab
35;;22v;LXXXV. Elend Ich Rieff Vnd;;;OT;;;;germantab
36;;23r;LXXXVI. Ach Jupiter Wolff: Heck:;;Fulda?;OT;ConcR2269;;;germantab
37;;23v;LXXXVII. Elend Bringet Peyn;;;OT;;;;germantab
38;;24r;LXXXVIII. Per Illud Ave / Wolffgang Heck:;;Josquin;OT;ConcR1600;;;germantab
39;;24v;LXXXIX. Cum Sancto Spiritu Ioss Quind I: N:;;;OT;ConcR2270;;;germantab
40;;25r;XC. Ein Frantzosisch Stuckleyn;;;OT;;;;germantab
41;;25v;XCI. La loysillon;;La la la l'oysillon du bois;OT;ConcR2271;;;germantab
42;;26r;XCII. Languir me fais W: H:;;;OT;ConcR200;;;germantab
43;;26v;XCIII. Ie suis desheritee;;;OT;ConcR1718;;;germantab
44;;27r;XCIIII. Cest a grand tort;;;OT;ConcR1757;;;germantab
45;;27v;XCV. Mille Regres Wolff Heckels;;Josquin?;OT;ConcM3;;;germantab
46;;28r;XCVI. Mon petit;;;OT;ConcR2272;;;germantab
47;;28v;XCVII. Frisque et gaillard Matth: Wais:;;Clemens Non Papa?;OT;ConcR1758;;;germantab
48;;29v;XCVIII. Non chi non voglio, W: H:;;Archadelt;OT;ConcR2273;;;germantab
49;;30v;XCIX. Non est bonum hominem M: W:;;;OT;ConcR2274;;;germantab
50;;30v;[Preambulum Wolffgang Heckels];;Only first 2 measures;OT;ConcR2275;;;germantab
51;;31v;C. Quanto e madonna mia M W:;;ff. 32v-32av empty;OT;ConcR1542;;;germantab
52a;;33r;I. Pass è mezo [antico];;;OT;;;;germantab
52b;;33r;Saltarello;;;OT;;;;germantab
53a;;33v;II. Pass e mezo [antico];;;OT;;;;germantab
53b;;33v;Saltarello;;;OT;;;;germantab
54a;;34r;III. Pass e mezo Venetianer [Romanesca];;;OT;;;;germantab
54b;;34r;Saltarello;;;OT;;;;germantab
55a;;34v;IIII. Pass è mezo [antico];;;OT;;;;germantab
55b;;34v;Saltarello;;;OT;;;;germantab
56a;;35r;V. Pass e mezo Matth: Waisels;;;OT;ConcR2277;;;germantab
56b;;35v;La sua Padoana;;;OT;;;;germantab
56c;;36r;El suo Saltarello;;;OT;;;;germantab
57a;;36v;VI. Pass è mezo [antico];;;OT;;;;germantab
57b;;36v;Saltarello;;;OT;ConcR1596;;;germantab
58a;;37r;VII. Pass è mezo [Romanesco];;;OT;;;;germantab
58b;;37r;Saltarello;;;OT;;;;germantab
59a;;37v;VIII. Pass è mezo [antico];;;OT;;;;germantab
59b;;37v;Saltarello;;;OT;;;;germantab
60a;;38r;IX. Pass è mezo [antico];;;OT;;;;germantab
60b;;38r;Saltarello;;;OT;;;;germantab
61a;;38v;X. Pass è mezo [Romanesca];;;OT;;;;germantab
61b;;38v;Saltarello;;;OT;;;;germantab
62a;;39r;XI. Pass è mezo [antico];;;OT;;;;germantab
62b;;39r;Saltarello;;;OT;;;;germantab
63a;;39v;XII. Pass è mezo [moderno];;;OT;;;;germantab
63b;;40r;Saltarello;;;OT;;;;germantab
64a;;40v;XIII. Pass è mezo [antico];;;OT;ConcR2278;;;germantab
64b;;41r;Saltarello;;;OT;;;;germantab
65a;;41v;XIIII. Pass e mezo [moderno];;;OT;;;;germantab
65b;;41v;Saltarello;;;OT;;;;germantab
66a;;42r;XV. Pass è mezo [moderno];;;OT;;;;germantab
66b;;42r;Saltarello;;;OT;;;;germantab
67a;;42v;XVI. Pass è mezo [moderno];;;OT;;;;germantab
67b;;42v;Saltarello;;;OT;;;;germantab
68a;;43r;XVII. La Fantina Wolff: Heck:;;;OT;ConcR3201;;;germantab
68b;;43v;XVIII. La Fantina;;Duet;OT;ConcR3202;;;germantab
69;;43v;XIX. Gagliarda Cypriana Math: Wai:;;;OT;ConcR2279;;;germantab
70;;44r;XX. Pavana Wolff: Heckels;;;OT;ConcR2280;;;germantab
71a;;44v;XXI. Padvaner Wolff: Heck;;;OT;ConcR2281;;;germantab
71b;;44v;Saltarello;;;OT;ConcR2282;;;germantab
72a;;45r;XXII. Les Bvffons Wolffgang Heckels;;Duet;OT;ConcR3213;;;germantab
72b;;45v;XXIII. Les Bvffons Wolffgang Heckels;;Duet;OT;ConcR3214;;;germantab
