PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Die meisten Konkordanzen sind Arthur Ness und John Robinson;Most Concordances are from Arthur Ness and John Robinson;;;;
1;f moll;1r;sans titre;;;OT;ConcR1336;C;"[,dddf2] [,dddf] | [,def,d2] [,dddf] | \
[,,dca/] ,d ,c ,a [,ddca1] ,c | \
[,dddf1] f/ ,,,a [d,,c1] [b,,d/] a | \
[,def1] ,,,,,d/ a [bbd,a1] a/ ,,,,c |";italian7tab
2;f moll;1v;sans titre;;;OT;;C;"[fe,ef2] | [dde,,d2] [dde,,d1] ,,,a | \
[b,da1] a/ [b,,a] d f ,,,,d | \
[,,,ab/] ,,,,a [dd,,b1] [f,,da] ,c/ ,a | \
[,d,ca/] ,c ,d/4 ,c ,a ,c [bd,a1] f |";italian7tab
3;f moll;2r;sans titre;;;OT;;C;",,d2 ,,d1 ,,,c | ,,b2 [,d,a3/2] ,,,c/ | \
[,d,d1] ,,d ,b ,,,c | ,,b1 ,,,,d/ ,,d [,,ea1] ,,,c | \
[f,dd3/2] ,,,f/ [fbd1] a |";italian7tab
4;f moll;2r;sans titre;;;OT;;C;",,d2 ,,d1 ,,d | ,,b1 ,,,d ,,e2 | \
[a,d3/2] ,,b/ [a,,c] ,,,d [a,b] ,,,c | \
[,d,d1] ,c/ ,,,c [b,,a] ,,,c ,,,d ,,b |";italian7tab
5;f moll;2v;sans titre;;;OT;;C;"[bdda2] [bdda] | [bbdd2] [abb,d] | \
[,dddf2] [dde,,d3] | [abd,a1] [abb,d] [,dddf] | \
[ddf,,d3/2] b/ [abb,d1] [,dddf] | \
[,cdca1] [a,d] [fd] [ac] | [bd1] [d,e] [f,d] [,de] |";italian7tab
6;f moll;2v;G.Seuerino;;G[iananto]io Severino;OT;;C;"[,dda3/2] a/ | [bdda/] d f ,,,,d | [,d,ab1] d/ c | \
[d,,ab1] ,d | [f,,ca1] ,c/ ,a | [,d,ca1] [fc] | \
[cdda1] [cdda] | [dbb,c1] ,,,,c |";italian7tab
7;g moll;3r;Dentici;;;OT;;C;",d2 b1 d | f1 g2 f/ d | f1 ,,d [fb] ,d | \
[df1] [fb] a [da/] ,,d | [,af/] b/4 a ,d/ a [b,d] d1 [fd,a] |";italian7tab
8;g moll;3r;sans titre;;;OT;ConcR1337;C;"[aa,c,a2] [aa,c,a] | [ab,ca2] [aa,c,a] | \
[ca,bc2] [da,c,a] | [ab,ca2] [abd,a1] c | \
[da,,,a2] [c,d,,c1] [a,b,,d] | [,,a,a1] ,c [,ea,c] ,a | \
,,,,,a/ ,,d ,,c ,,a [,,c,,a1] a |";italian7tab
9;g moll;3v;sans titre;;;OT;ConcR1339;C;"[af3/2] c/ [df1] [fh] | [hi1] ,f ,i [fh] | \
[da1] [cf/] a c1 ,e | [af1] [da] ,a [cc/] a | \
[cd,,c1] ,a [,d,,c] [,c,,e] |";italian7tab
10;g moll;4r;sans titre;;;OT;ConcR1341;C;"[a,,c,a2] ,,,c1 ,,a | [a,b,,a1] ,,,c [a,b,,a2] | \
[,a,c,a2] ,,,,,a1 ,,,,,c | [,a,c,d1] ,,,,,a ,,,,,d ,,,,a | \
[,a,bc2] [ca,,c] | [a,b,d2] [,db,c1] ,,,,,d | \
[,b,ca1] ,,d [ab,,a3/2] c/ |";italian7tab
11;g moll;4r;sans titre;;[Giulio da Modena];OT;;C;"[a,,c2] [a,,c1] ,,a | [a,b1] ,,d c ,,b/ ,,a | \
[d,,c3/2] ,,a/ [d,b] ,,d ,a1 | c1 ,,d/ ,,b [c,d1] ,a | \
[a,b1] ,,d/ c [d,,c1] [ca] |";italian7tab
12;g moll;4v;sans titre;;;OT;;C;"[,,,c,a3/2] ,,a/ ,,b ,,d ,a1 | \
,,,,,a/ ,,b ,,d ,a [,b,,a1] ,a | \
,,,,c1 ,,d/ ,,b ,,a1 ,a | \
[,,d,d1] ,,b ,,d/ ,,b ,,d/4 ,,b ,,a ,,,c |";italian7tab
13;g moll;5r;sans titre;;;OT;;C;"[aa,,,a/] c d c a ,d ,b ,a | \
[,b,,a/] ,d a ,d ,b ,a ,,d ,,b | \
[,,a,c1] ,a ,,,,d ,,d |";italian7tab
