Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2;chanson;;;guitar;;3;",,,,a1 | '[,d,a1] a !strumdown![,ccc] | (,c/ ,d) (a b) ,,,d1 | \
,,a1 X[,,a,b3/2] ,,,,a/ | [,ccc2] !strumup![fgfdd1] | \
!strumdown![fgfdd1] (d/ f) ,g1 |";french5tab
2;;3;gavote;;;guitar;;C;",d1 f | !strumdown![bdc3/4] a/4 '[b,,a/] d !strumdown![dddd3/2] Xb/ | \
X[ac,,a2] Xa1 [f,,d] | !strumdown![,ccc3/2] X,d/ [a,,,e1] ('b/ d) | \
X[ac,,a1] ([,c,a/] ,d) |:|";french5tab
3;;4;menuet;;;guitar;;3;"!strumdown!'[,dc3/2] a/ '[b,,a1] | X[a,,,d1] a '[b,,a] | \
[,d,,b1] ,d/ (a b d) | X[ac,,a1] a ,,c | !strumdown!'[,dc3/2] a/ '[b,,a1] | \
X[a,,,d1] a '[b,,a] |";french5tab
4;;5;menuet;;;guitar;;3;"!strumdown![,dc] !strumup![,dc] a | X[,c,,a1] (,a/ ,c) ,,c1 | \
[,d,,b1] a '[b,,a] | ([d,a/] b) (a b) ,d1 | \
!strumdown![,dc] !strumup![,dc] a |";french5tab
5;;6;gigue;;;guitar;;3;"[f,,d2] X[df,,d1] a '[b,,a] ,d | X[a,,,d2] (a/ b d1) X[,c,,a2] | \
[f,,d2] X[df,,d1] a '[b,,a] ,d | \
X[a,,,d2] (a/ b d) ,c !strumdown![,dc] |:|";french5tab
6;;7;menuet;;;guitar;;3;"!strumdown![bdc3/2] a/ '[b,,a1] | [,d,,b1] ([b,a/] a) X[,c,,a1] | \
([,c,a/] ,d3/2) ,,c1 | !strumdown![bdc3/2] Xa/ '[b,,a1] | \
[,d,,b1] ([b,a/] a) ([,c,a1] ,d2) |:|";french5tab
7;;8;"chanson ""Calm was the evening""";;;guitar;;3;"[f,,d1] d f | !strumdown!X[bdc2] a1 | [d,,c1] X[a,,,d2] | \
!strumdown!X[,ccc2] f1 | !strumdown!X[bdc2] a1 | \
'[b,,a1] !strumdown!X[ddded3/2] ,g/ d | !strumdown![fgfdd3] |:|";french5tab
8;;9;gavote;;;guitar;;C;"!strumdown![,dc/] (,c ,d) a !strumdown![bdc] (a b d) | \
X[a,a3/2] ,d/ !strumdown!X[,ccc1] ,,,,a | \
([f,,a/] g f d) (,g ,f) ,g d |";french5tab
9;;10;menuet;;;guitar;;3;"[,c,a/] ,d) ,,c1 ,d | ([,d,,a/] ,c) ([,c,,b] ,d) a1 | \
!strumdown!([adc/] b) ([bc,,a] a) (,d ,c) | \
([,c,,b/] ,d) a1 '[b,,a] |";french5tab
10;;11;menuet;;;guitar;;3;",d1 X[,c,,a] ([,c,,b/] ,d) | X[ac,,a2] '[b,,a1] | \
[d,,c1] X[a,,,d] '[b,,a] | ([,dd/] ,c ,d) a ,,,a1 | \
,d1 X[,c,,a] ([,c,,b/] ,d) |";french5tab
11;;12;Menuet rondau;;;guitar;;3;"!strumdown![fgh2] d1 | X[b,,a1] (a/ b) ,d1 | ([b,a/] a) X[,c,,a2] | \
,,,a/ (,c ,d) (a b d) | [f,,d2] d1 | X[b,,a1] (a/ b) ,d1 |";french5tab
12;;13;menuet;;;guitar;;3;"!strumdown![,dc3/2] ,c/ ',d1 | ,,,,a1 !strumdown![bbcd2] | \
!strumdown![dfffd2] f1 | !strumdown!X[bdc2] a1 | \
!strumdown![,dc3/2] ,c/ ',d1 | ,,,,a1 !strumdown![bbcd2] | \
!strumdown![dfffd2] f1 | !strumdown!X[efe2] '[f,,,a1] |:|";french5tab
13;;14;sarabande;;;guitar;;3;"a1 !strumdown![bdc2] | X[a,,,d2] [fff1] | [,d,,b1] ,,a a | \
X[,cc,a3/2] ,d/ a1 | !strumdown![bdc3] | X[a,,,d2] [fff1] | \
,,d1 [fd] Xd | [fc,,a2] !strumdown![,ccc1] |";french5tab
14;;15;aire;;;guitar;;3;"!strumup![fgh1] | !strumdown![fgh2] ,d1 [,da,b2] a1 | \
!strumdown!X[,ccc3] ,,,,a2 ,,c1 | X[,dd2] ,b1 [,b,c2] ,,d1 | \
!strumdown!X[bbcd3] ,,,d2 ,,c1 | \
!strumdown!X[,,aab2] ,,a1 ([,,a,b] ,,c) ,,,c |";french5tab
15;;17;gigue;;;guitar;;3;"!strumdown![bdc1] (d/ f) !strumdown!X[bdc1] !strumdown![,b,cd] \
(a/ b d1) !strumdown!X[,ccc1] !strumdown![,(cc(c/] [,d),d)] \
(a b d1) [,,c,a] ,,,a/ !strumup![bdc] !strumdown![bdc]";french5tab
16;;18;gigue;;;guitar;;3;"!strumdown!X[bdc3/4] (a/4 ,d) (a b1) ,,,d/4 (d f/) | \
!strumdown!X[dffdd/] a1 d/ ([b,,d/4] ,d) a/ | \
!strumdown![bdc/] (a/4 b) ([d,a] b a) ,d \
!strumdown!([,ccc] ,d) a/ |";french5tab
17;;19;menuet;;;guitar;;3;"!strumdown![fgh3/2] l/ ([l,,,a] k) | ([k,,a/] l3/2) [ac1] | \
!strumdown!([adc/] b) ([d,a] b a) ,d | !strumdown!X[,ccc3/2] ,a/ ,,,,a1 | \1
!strumdown![fgh3/2] l/ ([l,,,a] k) |";french5tab
18;;20;rondau;;;guitar;;3;"!strumdown![fgh1] !strumup![fgh] [l,a] | ([l,,,a/] k) ,l1 [b,,a] | \
[ac,,a1] 'b d | !strumdown![bdc1] ,,,a !strumdown!([fda/] g3/2) !strumdown![fff2] | \
!strumdown!X[dddd1] !strumup![dddd] [b,,a] |";french5tab
19;;21;rondau;;;guitar;;3;"!strumdown![bdc1] (d/ b a) ,d | f1 ,,,,f3/4 a/4 (,,,,f ,,,,e) ,d/ | \
a1 ,,,,a d | !strumdown![bdc1] !strumup![bdc] [,d,,b1] | \
d1 X[,c,,a] f |";french5tab
20;;22;sarabande;;;guitar;;3;"(f/ d) | !strumdown![bdc1] !strumup![bdc] '[b,,a] | \
!strumdown!X[bdc3/2] d/ f1 | !strumdown!([fffdd/] d) d1 '[f,,d] | \
!strumdown![fgfdd2] ',,,,b1 | ,,a1 ,,,c ,,,,a | \
,,,d1 ,,c ,,,,b |";french5tab
21;;23;rigodon;;;guitar;;C;",d1 | !strumdown![bdc2] !strumdown!X[dddd3/2] ,g/4 d | !strumdown![fccc3] [,d,,b1] | \
a1 '[b,,a] [a,a] ([,d,,a/] ,c) | '[,d,a2] ,,c1 f | \
!strumdown![bdc2] !strumdown!X[dddd] | \
!strumdown![fccc3] [,d,,b1] |";french5tab
22;;25;gavote;;;guitar;;C;"!strumdown!'[,dc3/2] a/ '[b,,a1] [d,,c] | [f,,d1] (d/ b) X[ac,,a1] ,d | \
!strumdown![bdc3/2] a/ [,d,,b1] X[,aa] | \
!strumdown![,,,cc3/2] b/ !strumdown!X[,ccc2] |:|";french5tab
23;;26;sarabande;;;guitar;;3;"!strumdown!'[,dc1] ,,c ,d | !strumdown!X[,ccc3/2] ,c/ [,d,,b] a | \
'[b,,a/] d !strumdown!X[dddd3/2] !strumup![fccc/] | \
!strumdown!X[fccc3/2] ,g/ d f | \
([f,,f/] g) !strumdown!X[dddd3/2] b/ |";french5tab
24;;27;rondau;;;guitar;;3;",d1 a | !strumdown![bdc1] ([d,a/] b a) ,d | [a,,,e1] ,,c ,d | \
X[,aa1] a X[,c,,a] | ([,c,a/] ,d) ,d1 a | \
!strumdown![bdc1] ([d,a/] b a) ,d |";french5tab
25;;29;chanson;;;guitar;;3;"!strumdown![bdc1] (,,,c/ ,,,a) a1 | !strumdown!X[,ccc3/2] a/ [,d,,b1] | \
(a/4 b d/) ([b,,,d] a) b ,d | X[ac,,a2] ,,c1 | \
[f,,d1] [,d,,b] X[a,,,d] |";french5tab
26;;30;chanson;;;guitar;;3;"!strumdown!([,cc/] ,d) a3/2 b/ | X[ac,,a2] [f,,d1] | \
[d,a3/4] b/4 a3/4 b/4 ,d3/4 a/4 | !strumdown![bdc3/2] a/ ,,,a1 | \
f1 !strumdown!X[bdc2] |";french5tab
