PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Libro primero del Delphin;;;;;;;
1;;1r;El primer Tono por ge sol re ut;;;OT;ConcR1713;C;"a4 | a2 d | c2 a | [h,,,h2] ,,,f | [f,,e2] [d,,c] | \
,,f1 d c/ d c a | [,d,,c2] [c,,a] |";italian7tab
2;;3v;El segundo Tono;;;OT;ConcR1714;C;",d4 | ,d2 ,d | [b,,a1] d/ b d b a ,d | [b,,a1] ,d [b,,a] d | \
[f,dd2] ,,,a | [f,dd2] ,,d1 [d,,f] |";italian7tab
3;;7r;El tercero Tono;;;OT;;C;",a3 ,a1 | c2 c | [d,,c2] a/ c d a | [ca2] [ca] | [ab2] d | \
,a1 d [c,d2] | [ab2] d | ,a1 d [c,d2] |";italian7tab
4;;9v;El quarto Tono;;;OT;;C;",,b3 ,,b1 | ,,e2 ,b1 ,a/ ,b | ,d2 ,,e | [cd2] [de] | \
[f,g2] ,d | g1 ,,,f ,,,f f/ d |";italian7tab
5;;12r;El quinto tono de Consonancia;;;OT;;C;"[fd,a4] | [fd,a2] [fd,a] | [hd,f,d4] | [hd,f,d2] [hd,f,d] | \
[f,da1] ,a/ ,c ,d1 [c,,a] | [d,,c1] ,,b/ ,,d ,a ,c ,d1 |";italian7tab
6;;14r;El sesto Tono sobre fa vt mi re;;;OT;;C;"d4 | d2 ,d | c1 d/ c d c a ,d | [ab3] c1 | \
[db1] f [h,,f2] | ,,f1 f d ,,f |";italian7tab
7;;17r;El setimo Tono sobre ut re mi fa mi;;;OT;;C;",d4 | a2 c | c2 ,,b | [c,d2] ,a | ,b2 a | \
[ca2] e1 c/ e | f2 ,,d | [da2] ,c1 ,a/ ,c |";italian7tab
8;;20r;El octauo Tono;;;OT;;C;"[a,,c2] ,,d | ,,c1 ,,a/ ,,c ,,d2 | ,c1 ,,c ,,a ,,,c | \
[,d,a1] ,,,,e ,,,a ,,,c | [,d,e1] ,,c [,cd2] |";italian7tab
;;;El segundo libro del Delphin de musica;;;;;;;
9;;26r;Fantasia del primer Tono;;;OT;ConcR809;C;"a3 a1 | c2 d | ,a1 c d/ c a ,d | [ac2] [cd] | \
f1 ,c ,a ,,d | [da2] c |";italian7tab
10;;27r;Fantasia del quarto Tono;;;OT;ConcR489;C;",,d4 | ,,d1 ,a ,b ,d | [a,d1] ,b b2 | ,,d1 a [a,b2] | \
,,,d2 ,d | [,b,c2] ,a | ,,,c2 a |";italian7tab
11;;28v;Fantasia del quinto Tono;;;OT;ConcR1709;C;"f3 f1 | h2 h | a2 f | ,,d1 d [c,d] a | [,df2] d | \
,,,c1 c [a,,c] ,d | [,cd1] ,,b [c,a] ,,,c |";italian7tab
12;;31r;Otra fantasia del quinto Tono;;;OT;ConcR1710;C;",d4 | ,d2 ,c1 ,d | a2 ,d | ,d2 f | f2 e1 f | \
[ha2] [fc] | [fd2] [df1] c | d1 ,c [cd2] |";italian7tab
13;;33v;Fantasia del primer Tono;;;OT;ConcR1711;C;",f4 | h2 ,d | ,f2 [f,g] | [h,f2] d | c2 ,d | ,d2 [fc] | \
[fd2] [e,f] [f,d2] c1 ,a | [ac1] ,e ,f c |";italian7tab
14;;35r;Otra fantasia del primer Tono;;;OT;ConcR1712;C;"a4 | h4 | f2 c | [d,,c2] a | [ca2] d | ,,d2 [c,a] | \
,,b1 ,a [a,,c2] | [,,a,c2] ,d | [,a,c2] ,b | \
,,,a1 ,a [,a,,c2] |";italian7tab
;;;El libro tercero del Delphin de musica;;;;;;;
15;;34r;Sanctus de la missa de Ercules durserarie;;;OT;;C;",,f2 ,a | ,,f1 ,c ,d a | [c,f2] ,a | [,ce2] ,,,,,c | \
[,ce1] ,,,,,e ,,,,b ,,,,c | [,ce,e2] ,,,,,c | [,,f,,d2] ,a |";italian7tab
16;;34v;Osanna de la misma missa;;;OT;;C;",,,,c1 ,,,,e ,,,a ,,,c | ,,,e1 ,,,c/ ,,,e ,,b2 | ,a1 ,c [,da] a | \
c1 ,,,,c [da2] | ,,d1 a c ,,a |";italian7tab
