PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;117;Spagnoletto;;;OT;Conc_4501;C;"[,aa,c1] | [,da,c1] ,c/ ,d [acd,a1] ,d/ a | \
[cd,a1] c ,d [c,,a] | [a,,,e1] [,d,,c] [ad,,a] ,c | \
[,daa,,a2] ,,a1 :||:";italian7tab
2;;120;Villanico;;;OT;ConcR1903;C;",d/ a | [cd,a1] c [a,,,e] [,d,,c] | [,cd,a3/2] ,a/ ,,d1 [,,d,,c] | \
[,a,,,d1] [,c,,a] [,d,,c] ,a | [,cd,a2] ,,d1 ,d/ a |";italian7tab
3;;124;Barrera;;;OT;ConcR1092;C;"[cd,a/] c c c c [cd,a1] [f,,,a] | [cd,a2] ,d | \
[cd,a/] c c c c [cd,a1] [f,,,a] | [cd,a2] [cd,a1] [acd,a] | \
[cd,a1] a/ ,d [,cd,a2] |";italian7tab
4;;129;Brando;;;OT;ConcR1904;C;"f/ d | [cd,a3/2] a/ c1 [c,,,c3/2] a/ ,d1 | \
[,cd,a2] ,,d1 ,a/ ,c | [,daa3/2] a/ c1 [c,,,c3/2] a/ ,d1 |";italian7tab
5;;135;Pauaniglia;;;OT;ConcR1902;C;"[ab,,d1] d [c,,,a] a | [,ea,c2] ,,,,,e1 ,a | \
[,cd,a2] [,ea,c] | [aacc2] ,,,,,a1 c | \
[aa,c1] ,c ,d a | [cd,a2] ,d1 f |";italian7tab
6;;138;Gratioso;;;OT;ConcR1905;3;"[,caa,2] ,,,,c [,db,,d] | [,cd,a4] [,daa2] | \
[,d,,,c2] [,a,,,d] [,c,,a] | [,daa,,a4] ,,,a2 | \
[hd,f4] [hd,d2] | [fd,a4] [ea,c2] | [fc,,a2] [cd,,c] ,e | \
[aac,,a6] |";italian7tab
7;;142;Torneo amoroso;;;OT;ConcR1895;C;"[a,cc2] [f,de1] [f,de] | [ea,c2] [ea,c] | [fd,a1] f [c,,a] f | \
[dabc2] [dabc] | [cd,a/] a c d f1 [da] |";italian7tab
8;;147;Bianco fiore;;;OT;ConcR1893;3;"[,daa1] ,c ,d a c d | [f,,a3] c1 d f | \
[h,,f2] [f,,e] [d,,c] | [cd,a3] a1 c2 | \
[,da,c1] ,c ,d a c d |";italian7tab
9;;150;Cesarino;;;OT;ConcR1906;3;",a/ ,c | [,da,c3/2] ,c/ ,d1 | [a,,,e3/2] ,d/ a1 | \
[cd,a2] z3 f/ e | [c,,a3/2] d/ c1 | [a,,,e3/2] c/ a1 | \
[,ea,c2] ,a1 :||:";italian7tab
10;;154;Brando di Cales;;;OT;ConcR1907;C;"[,,d,a1] ,,b ,,d ,a | [,b,,a1] ,a [,b,,,b] ,d | \
[aab,,a2] [,df1] [,ba] | [,acc1] ,,,a ,,,,d ,,,,c | \
[,,d,a1] ,,b ,,d ,a |";italian7tab
11;;159;Pauaniglia;;;OT;;C;"[,aa,c1] ,c ,d ,a | [,cd,a3] ,d1 | [,cd,a2] [,cd,a] | \
[,aa,c3] ,c1 | ,d1 ,a ,c ,d | [acd,a3] c1 | a1 ,d [,c,,c] ,a |";italian7tab
12;;163;La Cortesia;;;OT;ConcR1891;C;"[,da,c3/2] ,c/ [,d,,c1] [,cd,a] | [cd,a2] ,d1 f | \
[d,,c1] [c,,a] [acd,a/] c d a | [cd,a2] [,daa,,a] :||:";italian7tab
13;;167;Brando detto la Biscia;;;OT;ConcR1894;C;"[aa,c1] ,e a c | [acd,a2] [,ea,c] | [aac,,a4] | \
[aac,,a2] [,acc] | [,cd,a4] | [,ea,c2] ,c1 ,e | \
[aac,,a4] | ,,,c2 :||:";italian7tab
14;;172;Bassa Gioiosa;;;OT;ConcR1898;C;"[fd,a3/2] c/ d1 f | [h,,f3/2] f/ d1 [c,,a] | \
[ab,,d1] d [c,,,a] a | [,ea,c2] [,aa,c] | \
[,da,c3/2] ,c/ ,d ,c ,d a |";italian7tab
15;;176;Bassa delle Ninfe;;;OT;;C;"[aa,c1] ,e a c | [ea,c2] [a,,,,a] | [aa,c1] ,e a c | \
[ea,c2] [a,,,,a] | [fc,,a2] [fc,,a] | [ea,c3] h1 | \
f1 e c e |";italian7tab
16;;180;Amor Felice;;;OT;;C;"[aabc2] [aabc/] d c a | [,ea,c2] [,aa,c1] d | \
[c,,a1] [,d,,c] [a,,,d] [c,,a] | [dab,,d2] [dab,,d] | \
[cd,a3/2] a/ c a c d |";italian7tab
17;;183;Ballo dett' Alta Visconte;;;OT;ConcR1899;3;"[aa,c3/2] c/ e e [f,,,a2] | [cd,a2] ,,d ,,,,,,a | \
[cd,a3/2] d/ f1 f [d,,c2] | [cd,a4] ,,,,,,a2 | \
[,ab,,d3/2] ,c/ d1 [d,,c] [acd,a2] |";italian7tab
