PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Liber Primus;;;;;;;
1;;B1r;1. Deh ferma amor;;;OT;ConcR1974;;;germantab
2;;B2r;2. O s'io potessi donna;;;OT;ConcR868;;;germantab
3;;B3r;3. Io mi son giouenetta;;;OT;Conc_3995;;;germantab
4;;B3v;4. Con lei fuss'io;;;OT;ConcR1185;;;germantab
5;;B4v;5. Vita della mia vita;;;OT;ConcR1806;;;germantab
6;;C1r;6. Perche la Vita breue;;;OT;ConcR1975;;;germantab
7;;C1v;7. Signor mio Caro;;;OT;ConcR1807;;;germantab
8;;C2v;8. Carita di Signore;;;OT;ConcR1809;;;germantab
9;;C3r;9. Auecque Vous;;;OT;ConcR646;;;germantab
10;;C3v;10. Suspirs ardans;;;OT;ConcR1466;;;germantab
11;;C4r;11. Monsieur Labe;;;OT;;;;germantab
12;;D1r;12. Hellas quel iour;;;OT;ConcR1977;;;germantab
13;;D1v;13. Vng doulx nenny;;;OT;ConcR873;;;germantab
14;;D2r;14. Content ou non;;;OT;ConcR1978;;;germantab
15;;D2v;15. Vray dieu disois;;;OT;ConcR423;;;germantab
16;;D3r;16. Petite folle;;;OT;ConcR871;;;germantab
17;;D3v;17. Passe mezo;;;OT;;;;germantab
18;;D4r;18. El suo Saltarello con la Ripresa;;;OT;;;;germantab
19;;E1r;19. Passemezo La Milanese;;;OT;;;;germantab
20;;E1v;20. El suo Saltarello con la Ripresa;;;OT;;;;germantab
21;;E2v;21. Recercar Primo;;;OT;;;;germantab
22;;E3v;22. Recercar Secundo;;;OT;;;;germantab
23;;E4v;23. Recercar Terzo;;;OT;;;;germantab
24;;F1v;24. Recercar Quarto;;;OT;;;;germantab
;;;Liber Secundus;;;;;;;
25;;F3r;1. Deus Canticum nouum. 1 Pars;;;OT;ConcR1976;;;germantab
26;;F3v;2. Quia delectasti. 2 Pars;;;OT;ConcR1979;;;germantab
27;;F4r;3. Omnia quae fecisti;;;OT;ConcR1980;;;germantab
28;;G1v;4. In me transierunt;;;OT;ConcR1981;;;germantab
29;;G3r;5. Surrexit Pastor bonus;;;OT;ConcR1982;;;germantab
30;;G4r;6. Benedicam Dominum. 1 Pars;;;OT;ConcR1985;;;germantab
31;;H1r;7. In Domino. 2 Pars;;;OT;ConcR1986;;;germantab
32;;H2r;8. Gustate et uidete;;;OT;ConcR1983;;;germantab
33;;H3r;9. Diuites eguerunt. 2 Pars;;;OT;ConcR1984;;;germantab
34;;H4r;10. Susanne ung iour;;;OT;ConcR860;;;germantab
35;;I1v;11. Secures moy;;;OT;;;;germantab
36;;I2v;12. Iouissance;;;OT;;;;germantab
37;;I3v;13. Onques amour;;;OT;;;;germantab
38;;I4v;14. Dung petit;;;OT;;;;germantab
39;;K1v;15. Le de partir;;;OT;;;;germantab
40;;K2v;16. Passemezo;;;OT;;;;germantab
41;;K3v;17. El suo Saltarello;;;OT;;;;germantab
42;;K4v;18. Passemezo La Paranzino;;;OT;;;;germantab
43;;L1v;19. El suo Saltarello;;;OT;;;;germantab
44;;L2v;20. Recercare Primo;;;OT;;;;germantab
45;;L3v;21. Recercare Secondo;;;OT;;;;germantab
46;;L4v;22. Recercare Terzo;;;OT;;;;germantab
47;;M1v;23. Recercare Quarto;;;OT;;;;germantab
