PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;A3v;ii. Unser köchin kan auss der massen köchen;;;OT;ConcR2074;3;"[,,d,a2] [,,d,a1] | [,a,c2] [,cd1] | [,d,a2] [,d,a1] | \
[,c,,a1] ,d/ ,c ,a ,,d | [,a,c2] [,a,c1] | [,,d,a2] ,,,,,a1 | \
[,,d,a2] [,,d,a1] | [,a,c2] [,cd1] |";germantab
2;;A4r;iii. Hastu mich genummen / so müstu mich;;;OT;ConcR2075;3;"[,,d,a1] | [a,,,d2] [a,,,d1] | [a,,,d1] b/ a ,d ,b | \
[,db2] [,db1] | [,db2] [,db1] | [a,,,d2] [a,,,d1] | \
[,db1] [,bd2] | [,a,c2] [,a,c1] |";germantab
3;;A4v;iiii. Mein hertz hat sich mit lieb verpflicht.;;;OT;ConcR2076;C;",,d2 ,,d | [,db2] [,ab] | [,cd2] [,da] | [a,b2] [a,d] | \
H[,d,a] | z2 [,db] | [,da2] [,d,a] | [,a,c2] [,c,c] | \
[,d,a2] z1 [,,de] |";germantab
4;;B1r;v. Mag ich ungelück nicht widerstehen;;;OT;ConcR2069;C;",,a2 ,,a | [,,de2] [,,de] | [,a,,c2] [,df] | [,ca2] [,ca] | \
H[,ab] | z2 [c,,a] | [a,,c2] [,d,,c] | H[,ca] | \
z2 [,d,a] | [,cd2] [,a,c] |";germantab
5a;;B1v;vi. Ich weyss mir ein hüsche Mülnerin;;;OT;ConcR2072;C;",,,,a1 | [,d,a1] c [a,,,e] [,d,,c] | [,cd,a1] [,cd] [,a,,,d] [,d,,c] | \
[,c,,a1] [,,d,,c] [,a,,,d] [,c,,a] | [,d,a2] ,d1 ,,,,a | \
[,d,a1] c [a,,,e] [,d,,c] |";germantab
5b;;B1v;Hie volgt der hupff auff;;;OT;ConcR2092;3;",,,,a1 | [,d,a2] [c,,a1] | [a,,,e2] [,d,a1] | [,c,,a/] ,a ,c ,d [,cd,a1] | \
[,a,a,d2] [,da,c1] | [,c,ca2] [,,d,,c1] | [,a,a,d2] [,c,ca1] |";germantab
6a;;B2v;vii. Der ziegler in der hecken;;;OT;ConcR2609;C;"[,d,a1] | [f,d,a1] [f,d] [f,de] [d,,c] | [c,da2] [ac,,a1] [d,,c] | \
[c,da1] [,d,,c] [,,,ca] ,c | [,d,a2] ,d1 ,,,a | \
[f,d,a1] [f,d] [f,de] [d,,c] |";germantab
6b;;B3r;Der Hupff auff;;;OT;;3;"[,d,a1] | [f,d,a2] [f,d1] | [f,de2] [d,bc1] | [c,da2] [c,da1] | \
[ac,,a2] [d,bc1] | [c,da2] [,d,,c1] | [,,,ca/] ,d ,c ,a [,c,,a1] | \
[,dda2] [,dd1] |";germantab
7;;B3v;viii. Unser köchin kan auss der massen;;;OT;ConcR2074;3;"[,dda2] [,d,a1] | [ac,,a2] [c,da1] | [da,,,d2] [da,,,d1] | \
[c,da1] d/ c a ,d | [ac,,a2] [ac,,a1] | [,d,a2] [,,d,a1] | \
[,d,a2] [,d,a1] |";germantab
