PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;A2r;Das erst Fundament auff die Lauten;;;OT;ConcR3364;C;",,,,,d/ ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,a ,,,,c ,,,,,d | \
,,,,a/ ,,,,,d ,,,,a ,,,,c ,,,,d ,,,,c ,,,,d ,,,,a | \
,,,,c/ ,,,,a ,,,,c ,,,,d ,,,a ,,,,d ,,,a ,,,,c |";germantab
2;;A2v;Die ander Regel am Fundament;;;OT;ConcR3368;3;"X[,,b,,d1] ,,,,,d/ ,,,,a ,,,,c ,,,,d | [,,da1] ,,d/ ,a ,b ,d | \
[a,,,d1] ,,,,d/ ,,,a ,,,c ,,,d | [,d,a1] ,d/ ,b ,a ,,d |";germantab
3;;A2v;Die drit Regel;;;OT;ConcR3369;C;"X[,,b,,d/] ,,,,a ,,,,c ,,,,d [,,da] ,a ,b ,d | \
[a,,,d/] ,,,a ,,,c ,,,d [,d,a] ,b ,a ,,d | [,ab/] ,,a ,,,c ,,,a";germantab
4;;A3r;Hastu mich genumen;;;OT;ConcR2075;3;"[,,d,a1] | [a,,,d2] [a,,,d1] | [a,,,Xd1] b/ a ,d ,b | \
[,db2] [,db1] | [,db2] [,db1] | [a,,,d2] [a,,,d1] | \
[,db1] [,bd2] | [,a,c2] [,a,c1] |";germantab
5;;A3v;Unser köchin kan auss der massen kochen wol;;;OT;ConcR2074;3;"[,,d,a2] [,,d,a1] | [,a,c2] [,cd1] | [,d,a2] [,d,a1] | \
[,c,,a1] ,d/ ,b ,a ,,d | [,a,c2] [,a,c1] | [,,d,a2] ,,,,,a1 |";germantab
6;;A4r;Ein Niderlendisch tentzlein;;;OT;;C;"a/ | [,d,a1] ,a/ ,d [,c,,a1] ,,d/ ,c | \
[,a,,,a/] ,,c ,,d ,a [,c,,a1] ,,d/ a | \
[,d,a1] ,a/ ,d [,c,,a1] ,,d/ ,c |";germantab
7;;A4v;Entlaubet est der wald 4.;;;OT;ConcR2068;C;"X[,d,a2] [,db1] ,,b/ ,,a | [,c,c1] [,d,a] ,,b [a,,c] | \
[,cXd1] ,c/ ,a X[,,da1] ,,,e | X,,,c1 a [c,,a2] | \
a1 [,d,a] ,,b ,c/ ,a |";germantab
8;;B1r;Willig und trew an alle rew. 5.;;;OT;ConcR2775;C;",,b2 ,,b | [,,bc2] [,,da] | H[,ab] | y2 [,b,,d] | \
[,ab1] [,a,c/] ,b [,d,a1] [a,,,d] | ,a1 [,d,a] [,b,c] ,,a |";germantab
9a;;B1v;Ein guter Hofftantz. 6.;;;OT;ConcR2591;C;"[,d,a2] ,a1 ,,,a | ,d1 ,c [,d,a2] | [,a,c1] [,,de] [,a,c2] | \
[,,d,a2] ,,d1 ,,,,a | ,,d1 ,,c [,,d,a2] | \
[,,aa2] [,,aa1] [,,cc] |";germantab
9b;;B2r;Der hupff auff  zum Hofftantz;;;OT;ConcR2592;3;"[,d,a1] ,d/ ,c ,a ,,d | [,a,c1] ,,,a [,a,c] | [,,d,a1] ,,d/ ,,b ,,a ,,,c | \
[,,a,c2] [,,bc1] | [,,da2] [,,da1] | [,,bc1] [,,aa] [,,bc] |";germantab
10a;;B2v;Wo gehnd die Bamberger Meidlein hin / wo gehns sie hin nach gras. 7.;;;OT;ConcR2078;C;",,,a1 | [c,da1] c d [c,,a] | [f,d,a1] f [c,,a] ,d | \
[f,d,a1] [f,d] [d,,c] [c,,a] | [d,b,,d2] d1 ,d | \
[b,da1] c d [c,,a] |";germantab
10b;;B3r;Der hupff auff.;;;OT;;3;",,,a1 | [c,da2] [c,d1] | [d,,c2] [c,,a1] | [f,d,a2] [f,d1] | \
[c,da2] ,d1 | [f,d,a2] [f,d1] | [d,,c2] [c,,a1] | \
[d,b,,d2] [d,b1] | b[d,b,,d2] ,d1 |";germantab
11a;;B3v;Es wolt ein jeger jagen / wolt jagen vor dem holtz. 8.;;;OT;;C;",,,a1 | [c,da1] c d [c,,a] | [f,d,a2] [c,,a1] ,d | \
[f,d,a1] [f,d] f [d,,c] | [c,,a1] f [d,,c] [c,,a] | \
[,d,a1] [a,,,e] [c,,a] ,d |";germantab
11b;;B4r;Hupff auff.;;;OT;;3;",,,a1 | ,,,a/ a c d [c,,a1] | [d,,c2] [c,,a1] | [f,d,a2] [f,d1] | \
[c,da2] ,d1 | [f,d,a2] [f,d1] | [f,d,a2] [d,,c1] |";germantab
12;;B4v;Scaramella. 9;;;OT;ConcR2774;C;"[d,b,,d1] [c,da] [da,,,d2] | [da,,,d1] [da,,,d2] [da,,,d1] | \
[c,da2] [,,aa] | [c,da1] ,,d [a,bc2] | \
[c,a,c1] [d,,c,a2] [c,a,c1] | [a,bc1] [,da,c] [a,bc] [c,da] |";germantab
13;;C1r;Unser köchin kan auss der massen kochen wol 10.;;;OT;ConcR2074;3;"[,d,a2] [,d,a1] | [ac,,a2] [c,da1] | [da,,,d2] [da,,,d1] | \
[c,Xda1] d/ c a ,d | [ac,,a2] [ac,,a1] | [,d,a2] [,,d,a1] |";germantab
14;;C1v;Ich klag den tag. 11.;;;OT;ConcR806;C;"[,d,a2] [,d,a] | [ac,,a2] [ac,,a] | [cXd,a/] a c d [cd,a1] [ac,,a] | \
[,d,,c2] [,,b,,Xd1] ,a | H[,cd,a] | y2 [,cd,a] | \
[,ab,,a2] [,ab,,d] | H[,,def] |";germantab
15;;C2r;Lieblich hat sich gesellet. 12.;;;OT;;C;"y1 [,d,a] [,d,a] [,d,a] | [,d,a1] [,d,a] [aXc,,a] a/ c | \
[da,c1] [f,de2] [ha,f1] | [f,aa1] f/ d c a [c,,a1] |";germantab
16a;;C2v;Ich wais mir ain stoltze Mülnerin. 13.;;;OT;ConcR2072;C;",,,,a1 | [,d,a1] c [a,,,e] [,d,,c] | [,cd,a1] [,cd] [,a,,,d] [,d,,c] | \
[,c,,a1] [,,d,,c] [,a,,,d] [,c,,a] | [,d,a2] ,d1 ,,,,a | \
[,d,a1] c [a,,,e] [,d,,c] |";germantab
16b;;C3r;Hupff auff.;;;OT;ConcR2292;3;",,,,a1 | [,d,a2] [c,,a1] | [a,,,e2] [,d,a1] | [,cd,a2] [,cd,a1] | \
[,a,a,d2] [,d,,c1] | [,c,ca2] [,,d,,c1] | [,a,a,d2] [,c,,a1] |";germantab
17a;;C3v;Der ziegler in der aue mit seiner hawen. 14.;;;OT;ConcR2609;C;"[,d,a1] | [f,d,a1] [f,d] [f,de] [d,,c] | \
[c,da2] [ac,,a1] [d,,c] | [c,da1] [,d,,c] X[,,,ca] ,c | \
[,d,a2] ,d1 ,,,a | [f,d,a1] f [f,de] [d,,c] |";germantab
17b;;C4r;Der hupff auff.;;;OT;;3;"[,d,a1] |: [f,d,a2] [f,d1] | [f,de2] [d,bc1] | \
[c,da1] d/ c a ,d | [ac,,a2] [d,bc1] | [c,da2] [,d,,c1] | \
X[,,,ca/] ,d ,c ,a [,c,,a1] |";germantab
18a;;C4v;Der Nunnen tantz. 15.;;;OT;ConcR2079;C;",,,,a1 | [,d,a1] ,d/ a c a c d | [f,d,a2] [f,d1] ,,,,a | \
[f,d,a1] [f,d] f/ d c a |";germantab
18b;;D1r;Der hupff auff zum Nunnen tantz.;;;OT;ConcR2577;3;",,,,a1 | [,d,a1] ,d/ ,c ,d a | [c,Xda1] ,d/ a c d | \
[f,d,a2] [f,d1] | [f,d,a2] [f,d1] | [f,d,a2] [f,d1] |";germantab
19a;;D1v;Der Zeiner tantz. 16.;;;OT;;C;",,d1 | [a,d,a2] [a,d1] ,,,,a | [a,d,a2] [a,d1] ,,,,a | \
[c,Xda1] a/ c a ,d ,c ,a | [,cd,a2] [,cd1] ,,,,a |";germantab
19b;;D2r;Der hupff auff.;;;OT;;3;",,d1 | [a,d,a2] [a,d1] | [a,d,a2] [a,d,a1] | [c,Xda1] d/ c a ,d | \
[,cd,a2] [,cd,a1] | [,daa1] ,d/ ,c ,d a |";germantab
20a;;D2v;Der petler tantz. 17.;;;OT;;C;",,,,a1 | [,,d,a1] ,,d/ ,a ,c ,e a c | [a,,c,a2] [a,,c1] [f,aa] | \
[ea,Xc1] e/ c [a,,,e1] [,e,,c] | [a,,c,a2] [a,,c1] ,,,,,a |";germantab
20b;;D3r;Der hupff auff zum petler tantz;;;OT;;3;"[,,d,a1] |: [,,d,a2] [,,d,a1] | [,cd,a1] ,,d/ ,a ,c ,d | \
[a,,c,a2] [a,,c1] | [a,,c,a2] [f,aa1] | [ea,c2] [c,da1] | \
[a,,,e1] [,,a,Xc] ,e |";germantab
21;;D3v;Der hund / mir vor dem licht umb gat. 18.;;;OT;;C;"[,d,a1] | [,d,a2] [,da,c] | [,cd,a2] [,df1] [cd,a] | \
,d/ ,c [f,da1] [,a,Xc] e | [f,d,a2] y1 [f,da] | \
[ca,a2] [ac,,a] |";germantab
22;;D4r;Mein gmüd und plüt. 19.;;Johan Wenck;OT;;C;"[,d,a2] [,d,a1] ,b/ ,a | [,bd,a2] [,bd,a1] [,db,c/] ,,a | \
[a,d,b1] [,daa] X[,,,ca] ,c | H[,d,a] | y2 [,d,a] | \
[,da,c1] ,,a/ ,,b [c,d,a1] [da,,,d] |";germantab
23;;D4v;In liebes prunst. 20.;;;OT;ConcR3118;C;"f2 c1 c | [a,d,a2] X[,da,Xc1] ,,a | [a,,XcXd1] d [c,,a] [a,b,Xd/] ,,d | \
,,b/ ,,a ,,,c ,,,a X[,,,ca1] ,c | [,d,ac2] X[,d,,,Xd1] ,,,a |";germantab
24;;E1r;Elslein liebstes Elslein mein. 21.;;Ludwig Senfl;OT;ConcR2002;C;"[a,,c1] | [a,XbXc1] a/ c [d,bc1] | [c,da2] [a,d,a1] | \
[c,aa/] a c d [f,a1] | [h,,f2] [h,,f1] | [f,aa1] f/ d [c,da1] |";germantab
25;;E1v;Ein Meidleyn sagt mir freuntlich zu. 22.;;Ludwig Senfl or Malchinger;OT;ConcR2080;C;"[fd,a2] [cd,a1] [cd,a] | [f,de1] [f,de] [da,c] ,c | \
[cd,a2] y1 [cd,a] | [fca1] [ha,f] h/ f d c | \
[acd1] [fd,a] [,a,c] e |";germantab
26;;E2r;Nun grüss dich Gott mein truserlein. 23.;;Sixt Dietrich;OT;;C;"[,d,a2] [,d,a1] [,d,a] | [,aXb,,Xd1] ,a/ ,b [,db,c1] [a,b,,a] | \
[,ea,c1] [a,,cd] [,,a,Xc] ,e | [a,,c,a2] y1 [a,,c,a] | \
[d,,,Xd1] d/ c [a,,XcXd1] ,d/ ,b |";germantab
27;;E2v;Ich het mir ein Annelein für genumen. 24.;;;OT;ConcR527;3;"[a,,c1] | [,abc2] [,cd,a1] | [,daa/] a ,d ,c [,abc1] | \
[,cd,a2] [,e,,c1] | [a,,c,a2] [a,,c,a1] | [,abc2] [,cd,a1] |";germantab
28;;E3r;Es taget vor dem holtze. 25.;;;OT;;3;"[,,d,a1] | [a,bc2] [a,,c1] | [a,XbXc1] ,b/ ,d a c | \
[d,bc1] d/ c a ,d | [,bd,a1] ,b/ ,a ,b ,d | [a,bc2] [f,aa1] |";germantab
29;;E3v;Nach willen dein nich dir allein. 26.;;Paul Hofhaimer;OT;ConcR2077;C;"[,d,a2] [,d,a] | [,daa2] X[,d,a,Xc1] ,,b | [,cde1] [,cd/] [,df] [acd1] [cd,a] | \
[c,dXe/] a f1 [,a,Xc] e | [f,d,a2] y1 [c,da] |";germantab
30;;E4r;Ach lieb mit leid wie hast den bscheyd. 27.;;Paul Hofhaimer;OT;ConcR1112;C;"[d,b,,d2] X[d,b,,d1] ,,,,a | [c,,ac2] [a,,cd] | \
[,da,Xc1] ,d/ ,b [,ab,,a1] [,b,ca] | ,,,c/ ,,,a [,a,,c1] ,,,,d ,,d | \
[a,,ca2] y1 [a,b,,a] |";germantab
