PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Deh ferma amor costui;;;OT;ConcR1974;C;"[hd,f,d2] [dfg,d/4] ,d ,,g ,,f ,,g ,d ,f/8 ,g d f | \
[dfg,d1] [hd,f,d] [fhi,f/] ,,i [ffi,,f] ,,h |";italiantab
2;;2;O s'io potessi donna;;;OT;ConcR868;C;"[hd,f,d2] [hd,f,d1] [hd,f,d] | [fdaa1] [fdaa] [da,c] [ca,ac] | \
[aa,cd/] ,,d/4 ,,b ,a ,,d ,a/8 ,,d ,,b ,,d [,efec1] c |";italiantab
3;;4;Io mi son giovinetta;;;OT;Conc_3995;C;"[fgi,f2] [ffhh1] [fhi,f] | [hi,f1] [,i,f/] [f,,e] [dffc1] [ffg,,f] | \
[e,fc/] ,f [ff,,d] d [,gihf] ,,,f ,,,h/4 ,,,f ,,,h ,,f |";italiantab
4;;5;Con lei fuss'io;;;OT;ConcR1185;C;"[,dddf2] [,dddf/] ,,,f ,,,d ,,,,d | \
[,dedb/] ,b [,de] ,f [bbd,,b] ,,,d/4 ,,b ,,d ,,f ,b ,d |";italiantab
5;;7;Vita della mia vita;;;OT;ConcR1806;C;"[,bd,a3/4] ,a/4 ,b ,a ,b/8 ,a ,b ,d [abd,a/4] ,,,,c ,,,,d ,,,,c ,,,,a ,,,,c ,,,,d ,,,a | \
[aabc/] ,,d/4 ,a ,b ,d a c [db,c1] [a,,,d/] ,a |";italiantab
6;;8;Perche la vit'è breve;;;OT;ConcR1975;C;"[abd,a/4] ,,,,c ,,,,d ,,,,c ,,,,a ,,,,c ,,,,d ,,,a [aabc1] [aabc/] [abd] | \
,d/4 a [cdde/] [ddbc/4] ,c ,d/8 ,c ,a ,c [c,da1] [ddf,c] |";italiantab
7;;9;Signor mio caro;;;OT;ConcR1807;C;",,,c2 [,a,c/4] ,,,b ,,,c ,,a ,,c ,,a ,,c/8 ,,a ,,c ,,d | \
[,af1] ,,c [acd/4] ,e ,c ,e a c e f |";italiantab
8;;11;Carita di signore;;;OT;ConcR1809;C;",,,c1 a/ ,,,c ,,d a a ,d/4 a | \
[,df1] [,cd] [cd/4] a c d c/ a/4 ,d |";italiantab
9;;12;Avecque vous. Canzoni Francese;;;OT;ConcR646;C;"h1 ,a/ f [ef] c/4 e [fc1] | [cef1] ,,,,c/ ,,d [,,cc] ,,a/4 ,,c [,,d,e1] | \
[,,aa1] [hd,f,d] [,,,fc/] ,,,e/4 ,,,c [fd,ef/] ,,,f |";italiantab
10;;14;Suspiris ardans;;;OT;ConcR1466;C;",d1 ,,,a [,d,d] [db] | [f,gh1] ,,,h/ [,,ff] [fbdd] ,d/4 ,b [fddd1] | \
[dffc1] [if,f,i] [hiif/] [ffgh] [fgi,f] [dffc] |";italiantab
11;;15;Monsieur Labe;;;OT;ConcR2049;C;",d1 [b,,a/] d [f,dd] ,,,f [,fgh] ,,i | \
[ffg,,f1] [dfg,d/] ,,,,f [,ffc] d [bdda] a/4 b | \
[abd/] ,a [fb,d] [,df/4] ,,d";italiantab
12;;17;Hellas quel iour;;;OT;ConcR1977;C;"a1 ,,d [fgh/] ,,,h/4 ,,i ,f ,,g ,,i/8 ,f ,g ,i | \
[ffgh/] ,,i [ffg] ,,,f [fggd/4] d g f [d,,d] ,g ,f ,d |";italiantab
13;;18;Vn doulx nenny;;;OT;ConcR873;C;"[acd3/4] ,a/4 ,c ,a ,c/8 ,a ,c ,d \
[acd/4] ,a ,c ,d a ,d a/8 ,c ,d a |";italiantab
14;;19;Content ou non;;;OT;ConcR1978;C;"[ffgh2] [cdda/] d [f,dd1] | \
[fffc/] e/4 c f e f/8 e c e [f,gh1] [,gg] | \
[fggd/4] d f h";italiantab
15;;20;Vrai dieu disois;;;OT;ConcR423;C;",d1 ,d/ a [fh] ,,i [f,h] [,if] | \
[hi/4] ,f ,h ,i [f,i] ,i f h [fhi1] [fhi/] [,fh] |";italiantab
16;;22;Petite folle;;;OT;ConcR871;C;",d1 d/ d [c,,a1] [,d,f/] ,,,f | [fh,e1] [lh,a/] l [kf,h1] [fhia/] ,,i | \
[,fhh/] f [fdde] [cd] [dffc] f [hhi,,h1] |";italiantab
17;;23;Pass'e mezo antico;;;OT;ConcR2481;C;"[abd,a1] ,,,c/ b [a,d1] ,d | [,b,ca/] ,a ,,d a [,d,c] ,b [,a,,a] ,,d | \
[,aba,d/] ,,d/4 ,a ,,b/ a [,db] ,b [,a,a] ,,d |";italiantab
18;;25;Il suo saltarello con la ripresa;;;OT;ConcR2482;3;"[abd,a1] ,,,c/ ,d ,b ,a | ,,d/ a [,d,c] ,b [,a,,a] ,,d | \
[,aba,d/] ,d/4 a ,,b/ ,d ,,,a ,b |";italiantab
19;;27;Pass'e mezo la Milanese;;;OT;ConcR1459;C;"[ha,f,a3/2] ,,,h/ [ha,fh1] [fdde] | [dabc/] c a h ,,,,h f [da,c] ,c | \
[cdda1] f/ ,,,c [,,def] d [c,da] [a,b] |";italiantab
20;;28;Il suo saltarello con la ripresa;;;OT;ConcR2344;3;"[ha,f,a3/2] f/ [dabc] c | a/ h ,,,,h f [da,c] ,c | \
[cdda/] d f d [c,d] a |";italiantab
21;;31;Ricercare Primo;;;OT;ConcR2483;C;"h2 a1 h | [df/] f h f/4 h [i,,gh1] [hf] | \
[f,gh/] ,,i [df] ,d/4 ,f [fg/] d [fd] h |";italiantab
