PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Canzon Francese de Julito Tartaglino;;;OT;ConcR987;C;",a2 [,d,,c1] ,c/ ,a | \
[c,aa1] ,,,,e/ ,,,,c [,,de1] ,,c/ ,,a | \
,c1 ,d [fc,e/] ,,a ,,d ,,c/4 ,,a | \
[ec,d1] [c,de] [,,c,e] [b,,,e] |";italian7tab
2;;3;Conditor alme sobre il Canto Llano di Castillo;;;OT;;C;",,,,e4 | \
,,,,c2 ,,,,a | \
,,,a4 | \
[,,c,e3/2] ,,,a/ ,,,c1 ,,,,e | \
[,,aa1] ,,,,c [,,,ce/] ,,,,a ,,,,c ,,,,e | \
[,cd,,c2] ,,,e1 ,,,c | \
[,aaa/] ,,c ,,d ,,a [,cd,e1] ,,,,a |";italian7tab
3;;4;sans titre;;;OT;;C;",,a4 ,,f | \
,,h2 ,,d1 ,,f | \
,c1 ,e ,f2 | \
,,f2 ,e1 ,c | \
[,ce1] ,f2 ,e1 | \
[ef2] a1 c | \
e1 f [hd2] |";italian7tab
4;;6;Canzon francese de Giulio Severino;;;OT;;C;",,,a4 ,,,a2 ,,,a | \
,,,,c2 ,,,a3 ,,,,e1 ,,,,c ,,,,a | \
,,,,,d1 ,,,,a ,,,,c ,,,,e | \
[,,da1] ,,,,e/ ,,,,c ,,,,a1 ,,,,c | \
[,,d,e1] ,,,a [,a,,,d] ,,,,a |";italian7tab
5;;7;sans titre;;;OT;;C ;",,a4 ,,,,c2 ,,b | \
[,,,cd2] ,,d | \
[,ab,c2] [,,,cd] | \
[abb3/2] ,,,,c/ [,,d,a3/2] ,b/ | \
[dabc1] ,,,,,a/ ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,e | \
[,dda1] ,,b [c,aa] ,,,,e |";italian7tab
6;;8;sans titre;;;OT;;C;"[acdca4] | \
[aacc{a}4] | \
{b}2 [acdca] | \
[cdda1] [cdda] [cdfec] [cdfec] | \
[fc,ca1] ,,,c/ [da,,c] [a,dcef1] [acdca] | \
[aa,c1] ,,c/ ,,a [aacc2] | \
[,cdca2] ,,,c1 ,,,c |";italian7tab
7;;9;Ave Maris stella sobre Triple de Castillo;;;OT;;C;",a1 ,,,c ,,,,c ,a | \
c1 ,,d/ ,,c ,,d1 ,,f | \
[e,,c1] ,f ,a ,f/ ,d | \
[ac/] ,a [,cd1] ,,,,a ,,d/ ,,c | \
[c,a/] ,,,c [,a,a] ,,,,e ,,,,c ,c [,ef1] |";italian7tab
8;;9;Lausola;;;OT;;C;"[haa,gh/] f e c [f,,,c] e c a | \
[da,,e/] c a ,e [c,e,e] a ,e ,c | \
[efec/] ,,d ,,c ,,a [a,d] ,,c ,,a ,,,c |";italian7tab
9;;10;Salta che fra falso;;;OT;ConcR861;C;",a2 ,a1 ,a | \
[a,,c2] ,,,c1 [a,,c] | \
[,df1] [,ab] [,df] [,ac] | \
[cd,,c1] ,,f [cda,c] [cda,c] | \
[ac,c1] ,a/ ,c [da1] ,,,c |";italian7tab
10;;11;Alta  tochata;;;OT;;C;"h/ k l h f h i f | \
d/ f h d c d f c | \
a/ c d a ,d a c ,d |";italian7tab
11;;12;El Canto fermo di Vestiva y scolly;;;OT;ConcR861;C;",a2 ,a1 ,a | \
[a,,c2] ,,,c1 [a,,c] | \
[,dff1] [,,ff] ,,d [ac] | \
[cd,,c1] ,,f [,d,,c] [,d,,c] | \
[ac,c1] ,a/ ,c [da1] ,,,c |";italian7tab
12;;13;Caprici de Luys Maymon;;;OT;;C;"[,a,c,a1] ,c [,d,,,c] ,a | \
[,c,,,d1] ,,e [,a,,,a] ,,c | \
[c,ee,c1] ,,a [c,fc] ,,,a | \
[c,f,e1] ,,,,c [c,f,ec] a | \
[c,e1] ,,c/ ,,e [,ef,c3/2] ,c/4 ,e |";italian7tab
13;;14;Contrapunto sobre il Madrigal di Vestiva y scolly;;;OT;ConcR2956;C;",a2 ,a1 ,a/ ,c/4 ,e | \
a/4 ,,d ,,b ,,a ,,,c ,,,b ,,,c ,,a [a,b] ,,d ,,b ,,a ,,,c ,,a ,,b ,,d | \
[,df/4] ,c ,a ,,d";italian7tab
14;;15;Pedaço de fantasia del ottavo di Luys Maymon;;;OT;;C;"[df,c/] ,d ,c ,,f [ccee] ,,f ,c ,,e [cdf,c] ,,d ,,c ,,,e \
[aacc] ,,,a ,,,,e ,,,,c [acd,a] ,,,,,d ,,,,,c ,,,,,a \
[,effc] ,,,,,e ,,,,a ,,,,c";italian7tab
15;;15;Lausola de Luys Maymon;;;OT;;C;"[hea,,h1] f [df,c] ,,,a | \
[df,,d1] [,d,,c] [fb,,a] [da] | \
[c,d1] [a,b] [,ea,c] [a,b] | \
[,ea1] [,c,c] [,ef,c] ,,d | \
[aabc] ,,d ,,b ,,,a |";italian7tab
16;;16;Cosi le chiome mie secunda parte à 5 voci;;;OT;;C;",,,c4 | \
[,ab3] ,,d1 | \
[,df2] [ab] | \
[ca2] [d,b1] ,,d | \
[ca,,c/] ,,d ,a ,c ,d ,c ,d a | \
[c,,a1] ,d [,c,c] [,df] | \
[,c,e1] ,,e [,,ff] ,a |";italian7tab
17;;17;Hela qu'l Jou d'Orlando a 4;;;OT;;C;",a2 ,,,c | \
[,abc/] ,,a ,,,c ,,d ,a ,,b ,,d/4 ,a ,b ,d | \
[aabc1] ,,d [aab] ,,,a | \
[,fgfd/] ,d ,g ,f [,d,,d] ,,g";italian7tab
18;;18;Gia Fiamenggiava l'amorosa stella;;p. 19-30 missing;OT;;C;",,d2 ,,d1 ,,b | \
[,,,df3/2] ,,,c/ [,,,af1] [,,,ce] | \
[,,a,c1] ,,a/ ,,,,a [,,b,,d] ,,a [,,,ca] ,,,a | \
[,,dca/] ,,a [,,ba,d1] [,dde,c3/2] [,,b,,a/] |";italian7tab
19;;31;[end of piece];;;OT;;C;"z z z z | \
[,cde1] ,,,,,c [,cdeec] ,,,,,c | \
[,,ba,d1] ,a/ ,,,,,c [,abc,a] {d} [,a{a}1] | \
[,d,a{a}1] ,,a [,,a,c] ,,a | \
[,cd,,c1] ,,,,a [,db,c] [a,,,e] | \
[,,def/] ,,a ,,c ,,d";italian7tab
20;;31;Nunc dimittis servum;;p. 33-34 missing;OT;;C;",,,c4 ,,,e | \
,,,h3 ,,,h1 ,,,h2 ,,,h | \
,,f2 ,,,h ,a ,,,g | \
[,cd2] ,f [,fh1] ,f | \
[,f,g2] [,f,h] | \
,h2 [,f,g] | \
[,,ec2] ,e |";italian7tab
21;;35;[end of piece];;;OT;;C;"z z z z | \
[h,a1] f/ e c a ,d ,c | \
,a/ ,c ,d ,c [ca] ,,d ,,c ,,a | \
[ac/] ,c ,a ,,d [a,c] ,,a [,,,ce] ,,,a |";italian7tab
22;;35;Tochata de Luys Maymon;;;OT;;C;"[ffhh2] [hf,g1] f/ h | \
[fca1] e/ f [ea,c1] c/ e | \
[ca,a1] a/ c [a,,,e1] ,e/ a | \
[,e,,c1] ,c/ ,e [,c,,a1] ,a/ ,c |";italian7tab
23;;36;sans titre;;;OT;;C;"[,aa{a}1] ,,,c [,,,ec{d}] h | \
[e,,c,a/] f h f [e,,c] c a ,d | \
[,cd/] ,a ,,d ,,c [,,ae] ,,c [,,de] ,,f |";italian7tab
24;;37;Tenore de Lorenzin;;;OT;;C;"[aacc2] ,,,,,a | \
[aacc2] [aacc] | \
[,cdca2] ,,,c1 ,a | \
,c1 ,e [a,d,a] ,c | \
[,ea,c2] [aa,c,e] | \
[aca,a2] [,efec] | \
[aac,,a2] ,,,c1 ,,a | \
,,c1 ,,d [,a,c] ,,d |";italian7tab
25;;38;Susanna du Orlando Lasso a quatro per Canta senza molta glosa;;p. 39-42 missing;OT;ConcR860;C;",a4 | \
,d2 ,,f | \
[,db2] [a,,c] | \
[ca2] ,,,,c | \
[c,aa2] ,,,,c1 ,,,,a | \
[,aba,d1] ,,,,,c [,,bc,a2] | \
[,aaac2] [c,,,c] | \
[ca,a2] [e,cce] | \
[fc,e,c2] [c,de] |";italian7tab
26;;43;[end of piece];;;OT;;C;"z z z z | \
[,aa,c/] ,,d ,a ,c ,d/4 ,c ,d a c/ ,,,,e | \
[cdda/] a ,d ,c ,d/4 a c d f/ ,,,,e/4 ,,,,c |";italian7tab
27;;43;[Nasce la pena mia];;Striggio;OT;ConcR989;C;",a2 ,,,,c1 ,a | \
[,aa1] ,,,,c [,d,,c] ,,a | \
[,,aa2] ,,,,c1 a | \
[ca,,c1] ,,,c [,,aa] a | \
[c,,,c1] e [f,dee] ,,c | \
[,cdea1] ,,,,,c [f,,e,c] ,,,,c |";italian7tab
