PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Concordances (also) from Christian Meyer: Source Manuscrites en Tablature, Vol. III/2 and Howard Brown (1965);;;;;;;
1a;;1r;Der khunigin tantz;;;OT;;C;"[,daa1] | [,cdca2] [,daa] | [a,b,d/] ,,a ,,b ,,d [a,b,d1] [,daa] | \
[,cdca1] [,daac] [,,dca] ,c | [,daa2] [,da1] [,daa] | \
[,cdca/] ,a ,c ,d [,edca1] [,daa] |";french5tab
1b;;1r;Nachtantz;;;OT;;3;"[,daa1] | [,cdca1] ,,,c [,daa] | [a,b,d/] ,,a ,,b ,,d [a,b,d1] | \
[,daa1] [,cdca] [,cdc] | [,ddef3/2] [,dde/] ,,,,f1 :||: \
[,cdca/] ,a ,c ,d [,cdca1] |";french5tab
2;;1v;Padouana Gentil madonna;;;OT;;3;"[acd,a/] | [acd,a/] [acd] [acd,a] | [acd,a1] [acd,a/] | \
[,dda1] [acd,a/] | [,dda1] [ab,,d/] | [bbd,,b1] [bbd/] | \
[ab,,d/] ,a ,b ,d a d |";french5tab
3;;2r;[end of piece];;;OT;;;;germantab
4;;2r;Langwir me faict;;;OT;ConcR200;C;",,,a1 [,ddef] [,d,f,d/] ,c [,d,f,d] a | \
[cdda/] a/4 c d c ,d a [dabc/] c [,ab,,d] ,d | \
[aabc/4] ,,a ,,b ,,d";germantab
5;;2v;Galiarda;;;OT;ConcR816;3;"[,dba,d1] [,dba] [,dba,d] | [,dba,d3/2] [,dba/] ,,,,,d1 | \
[ab,,d/] ,d/4 a c a ,d ,b ,d ,b ,a ,,d | \
[,aba,d3/2] [,aba/] ,,,,,d1 |";germantab
6;;3r;Gentila Madonna Padouana;;;OT;;3;"[,aa,c1] | [,aa,c1] ,,,b [,aa] | [,aa,c2] [,aa,c1] | \
[aa,c2] [,aabc1] | [aabc2] [cdda1] | [dab,,d2] [dab1] | \
[dab,,d2] [cdda1] | [dab,,d2] [dab1] | [dab,,d2] [cdda1] | \
[aabc1] c [aabc] |";germantab
7a;;4r;Chorea;;;OT;ConcR2009;none;"[,dda1] [,cd,a] ,,d [,dda] [,dd] | \
[aba,d/] ,a ,b ,d [aba,d1] d/ [cdda] a ,d | \
[acd,a1] ,d [acd,a] [,dda] [,dd/] ,,,a :||:";germantab
7b;;4r;Proportz;;;OT;ConcR3521;none;"[,dda1] [,cd,a] ,,d [,dda] | [aba,d/] ,a ,b ,d [aba,d1] d/ [cdda] a ,d | \
[acd,a1] [,dda] [,dd] :||: f1 [cdda] d/ c a ,d";germantab
8;;4r;Ich winsch ihr ein gute nacht;;;OT;ConcR1522;C;"[,dda1] [,,da/] ,,,,a [,dda1] [ac,,a] | \
[c,da1] a/ ,d ,c ,a ,d ,c | [,dda4] || \
z1 [c,da1] [c,da] [c,da] | a/ ,d ,c ,a [,,d,a1] [,dda] |";germantab
9a;;4v;Dantz mir ist ein kleins wald vogelein;;;OT;;C;"[,dda1] a/ ,d ,c ,d a c | [dab,,d1] c/ a [da,c2] | \
[cdda1] a/ ,d [,cd,a1] ,a/ ,c | [,dda2] [,dd1] ,,,a1 |";germantab
9b;;4v;Nachtantz;;;OT;;3;"[,dda/] ,c ,d a [,dda1] | [a,b,d1] a/ ,d a c | \
[dab,,d3/2] [dab/] ,,,,,d1 | [a,b,d/] ,d a c d a |";germantab
10a;;5r;Unser her der pfarher;;;OT;ConcR2825;C;"[,aaac1] [,aaac/] ,c [,dda1] ,c/ ,a | \
[,,d,a1] [,dda/] ,c ,a ,c ,d a | [caa,c2] [caa1] ,,,,c | \
[,aaac1] [,aaac/] ,c [,dda1] ,c/ ,a |";germantab
10b;;5r;[Nachtantz];;;OT;ConcR3390;3;"[,aaac3/2] [,aaa/] ,,,,c1 | [,aaac/] ,,d ,a ,c ,d a | \
[,dda1] a/ ,d ,c ,a | [,,d,a2] [,,d,a1] | \
[,dda/] ,c ,d a [,dda1] |";germantab
11a;;5v;Butz beis mich nicht;;;OT;ConcR1558;C;"a1 | [acd,a1] ,a ,,d a | [acd,a1] ,a ,,d a | \
[cdda1] a/ c d c a ,d | [aac,,a2] [aac1] a :||:";germantab
11b;;5v;Proports;;;OT;;3;"[acd,a3/2] ,,,,a/ [acd1] | [acd,a1] ,d/ ,c ,a ,,d | \
[,dba,d1] ,,,,,d [,dba] | [,dba,d1] ,,,,a [,dbac] | \
[acd,a1] ,,,,a [acd] | [acd,a1] ,a/ ,,d ,,c ,,a |";germantab
12a;;6r;[Dantz];;;OT;;C;"[cdda/] a ,d ,c ,d a c d | [cdda1] a/ c d c a c | \
[dab,,d1] [cdda] [abb,d] [,dba,d] |";germantab
12b;;6r;Proportz;;;OT;;3;"[cdda/] a ,d a c d | [cdda3/2] ,,,a/ [dab,,d1] | \
[cdda1] [abb,d] [,dba,d] | [acd,a3/2] ,,,c/ [,cd,a1] :||: \
[acd,a1] ,a/ ,c ,d a |";germantab
13a;;6r;Ein gutes dentzlein;;;OT;ConcR3216;C;"[,aba,d/] ,,a ,,b ,,d ,a ,,d ,,b ,,a | \
[,aba,d1] ,,,,,d [,aba] [,aba,d] | [,dba,d1] [,dba] [,dba,d] [,cdca] | \
[,ddef1] ,,,,f [,dde] [,ddef] :||:";germantab
13b;;6r;Proportz;;;OT;;3;"[,aba,d/] ,,a ,,b ,,d ,a ,,d | [,aba,d1] ,,,,,d [,aba] | \
[,cdca1] [,dba,d] [,cdca] | [,ddef1] ,,,,f [,dde] :||: \
[abb,d1] ,a/ ,,d ,,b ,,a |";germantab
14a;;6v;Dantz;;;OT;;C;"[,dda/] a [c,,a] d [acd,a1] [acd/] ,,,,a | \
[,dda1] a/ c d c a ,d | [acd,a2] [acd1] ,,,,a :||:";germantab
14b;;6v;Proportz;;;OT;;3;"[,dda3/2] a/ c d | [acd,a1] [acd] ,,,,a | [,dda1] a/ c d c | \
a/ ,d a1 ,,,,a :||: [cdda3/2] ,d/ a c |";germantab
15;;6v;La carra cossa Bassus;;;OT;ConcR202;3;"[,aabc1] [,aabc] [,aabc] | [,aabc/] ,,,,a ,,,,c ,,,,e [,aabc1] | \
[aabc/] ,,a ,,b ,,d [aabc] ,c | [cdda/] a c d [cdda1] |";germantab
16;;7r;Labathalca;;La battaglia;OT;;C;"[fdaa2] [fdaa1] [fdaa] | [cdda/] a c d [cdda1] [cdd] | \
[ddf,,d1] ,,,,,d [ddf,,d/] c a ,d | [acd,a2] [acd1] ,,,,a | \
[fcd,a2] [fcd1] [fcd,a] |";germantab
17a;;7v;Danntz;;;OT;ConcR3742;C;"[f,aa/] e f h f e ,h ,f | [cdda/] a c d [cdd1] ,,,a | \
[acd1] [f,de] [,a,c] e | [fcd,a2] [fcd1] ,,,,a :||:";germantab
17b;;7v;C/3 [Proportz];;;OT;ConcR3743;3;"[f,aa1] [f,aa/] d c a | [cdda/] a c d [cdda1] | \
[acd1] [f,de] [ea,c] | [fcd,a3/2] [fcd/] ,,,,a1 :||: \
[cdda1] a/ c [acd,a1] |";germantab
18a;;8r;Passomezzo;;;OT;ConcR2275;C;"[bdda/] a ,d ,b ,d a b d | [bdda1] a/ b d b a ,d | \
[abb,d/] ,a ,b ,d a ,d ,b ,a |";germantab
18b;;8r;C/3 [Saltarello];;;OT;ConcR3724;3;"[bdda/] a ,d ,b ,d a | [bdda/] a d b a ,d | \
[abb,d/] ,a ,b ,d a ,d | [abb,d/] ,d a b d a |";germantab
19a;;8v;Passemezo Venetianer;;;OT;ConcR3727;C;"[cdda1] a c d | [cdda1] a/ c d c a ,d | \
[acd,a1] ,a ,,d/ ,a ,c ,d | [acd,a2] [acd1] ,,,,a |";germantab
19b;;9r;Saltarello;;;OT;;3;"[cdda2] [cdda1] | [cdda1] a/ ,d ,c ,a | \
[acd,a1] ,,d/ ,a ,c ,d | [acd,a/] ,d a ,c ,d a |";germantab
20;;9r;Es sas ein eyll unndt span;;;OT;ConcR2033;C;"[,d,a1] | [f,d,a2] c/ a c a | [f,d,a2] [f,d1] ,,,,a | \
[ha,f1] [f,d,a] f/ d c a | [,dda2] [,dda1] [dab,,d] |";germantab
21a;;9v;Passomezo;;;OT;ConcR920;C;"[da,c,a2] [da,c,a1] c | [aa,c,a1] c [da,c,a] a | \
[cdda1] ,a/ ,c ,d a c d | [c,da1] d [c,da] c |";germantab
21b;;9v;C/3 [Saltarello];;;OT;ConcR1490;3;"[da,c,a3/2] c/ a1 | [da,c,a1] f/ d  c a | \
[cdda1] ,a/ ,c ,d a | [cdda/] a c d [cdda1] |";germantab
22a;;10r;[Dantz];;;OT;;C;"[fdaa1] | [da,c1] [cdda] [,da,c] [a,d,e] | [cdda1] a/ c [,dda1] [fdaa] | \
[da,c/] c a ,d a c d a | [cdda2] [cdd1] [fdaa] |";germantab
22b;;10r;Proportz;;;OT;;3;"[fdda1] | [da,c1] [cdda/] [,da,c] [a,d,e1] | \
[cdda1] a/ c [,dda1] | [fdaa1] [da,c] [cdda] | \
[,daac2] [a,d,e1] | [cdda1] a/4 c d a [cdda1] |";germantab
23;;10v;Scheyden mich krengt, Wan ich an sie gedenck;;;OT;;C;"[aabc2] [aab1] ,,,c | [acd,a/] ,d a c [dabc1] [dab,c] | \
[cdda1] [cdda] [aabc/] d c a | [,eaec2] z1 [dab,,d1] |";germantab
24a;;11r;Passamezo;;;OT;;C;"[aabc1] ,,,c/ ,,a ,,c ,,d ,a ,,d | [aa,c,a1] ,,,c/ ,,a ,,c ,,d ,a ,,c | \
[acd,a1] ,,d/ ,a ,c ,d a ,d |";germantab
