PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1r;Petit Fanfan. Sarabande;Jean Heart;Sarabande Madame Francoise - PAN 5.004;NAO;Conc_284;3;"{,a}1 [,,da2] | \
[,,da,a2] {d}1 | \
[,,ba1] ,,d [,,aa{,a}] | \
[,,,'c{4}2] ,,,a1 :: \
{,a}1 [,,'a2] | \
[,,,'c{,,a}3/2] ,,a/ ,,b1 | "
2;F dur;1r;Tricotay du Balet du Roy;;;;;C;",,d1 [a,,a/] e c a | \
[,c,,,d1] [a{,a}/] ,c [,'a{a}3/2] ,,d/ | \
[,,d{4}1] :: [,,#a/] ,,b [,,d,,a1] [,a,,,b] | "
3;F dur;1v;Sarabande Languissante;;;;;3;"{,a}1 [,,da2] | \
[,,'aa3/2] ,,b/ [,,d{4}1] | \
[,,,a{,,,a}1] [,,,c{,,a}] [,,aa{,a}] | \
[,,,'c{4}3/2] ,,,,d/4 ,,,c ,,,,d1 :: \
[,,aa{,a}1] [,,aa] ,,a | \
[,,'a{,,,a}3/2] ,,,c/4 ,,a ,,,c1 | "
4;F dur;2r;Sarabande Languissante;;;;;3;"[,,'aa{,a}1] ,,b [,,d{4}] | \
[,,dccd3/2] ,,d/ [,aaa{,,,a}1] | \
[,,dcc{,,a}1] [,,'a{,a}] [,,b{a}] | \
[,,,'c{4}3/2] (,,,a/4 ,,,,c) ,,,a1 :: \
[,,'aa{,a}3/2] ,,b/ [,,'aa1] | \
[,,,'c{,,a}3/2] ,,a/ [,,,'a1] | "
5;F dur;2v;Marion pleure de la manier de Du Breuil;;;;Conc_1050;3;"{,a}1 | \
[,,aa1] [,,aa] {,a} | \
[,,'aa2] {a}1 | \
[,,bc1] [,,bc] {,a} | \
[,,'aa2] {4}1 | \
,,,c1 ,,,c {,,a} | \
[,,,'c2] {,,,a}1 | \
[,,,'a1] {,,a} {,a} | "
6;F dur;3v;Gigue Angloise mise par Mr Gaultier;Gaultier d'Angleterre;#6 Gigue Anglaise;;Conc_1740;3;"a1 | \
[ada{,a}3/2] c/ a1 | \
[,'c,,,d3/2] ,a/ ,c1 | \
[ada,,a3] | \
[,aba,#b3] | \
[,,d,,a1] ,,,a ,a | \
[,,'b{a}1] ,,,,c ,,d | \
[,,'a{a}3/2] ,,,c/ ,,a1 | \
,,,a3/2 ::"
7;F dur;4r;La Ste hilaire Chacone;;;;;3;"{,a}1 | \
[,,'a2] {a}1 | \
[,,,'c2] {c}1 | \
[,,aa1] {d} {4} | \
[,,,,'c2] :: {,a}1 | \
[,,da1] [,,da] {d} | \
[,,ba1] [,,ba] {c} | "
8;C dur;4v;Canaries toujours a la mode;;;;;3;"[,,d{4}1] ,a ,c | \
[,'c,,,d3/2] ,a/ [,dcc1] | \
c1 [c,d{,,a}3/2] e/ | \
['a{,,,a}2] [,c{4}1] | \
[c{,,a}3/2] a/ [,c,,,d1] | \
[,'a{a}3/2] ,c/ [a,,,a1] | \
[,,d,,a1] ,a [,c,,,d] | "
9;g moll;5r;Le Branle de Mantoue;;;;Conc_45;C;"[,,,c{a}/] ,,a ,,b ,,d | \
[,abc1] [,abc3/4] ,a/4 [,baa,d1] [,baa3/4] a/4 | \
[,aba,b1] [,aba3/4] ,a/4 [,,d{,a}/] ,,b ,,d ,a | \
[,,'b{a}/] ,,,c ,,d ,,b [,,'a{,,,a}] ,,,c ,,a ,,,b | "
10;C dur;5v;Rigaudon d'Atis e Galatée;Lully;2nd part of Rigaudon listed as Bourée on f. 6r;;Conc_1785;C;",,d1 | \
[,cdccd2] ['a,,,a3/2] ,c/4 a | \
[c{a}2] c | \
[eda{,a}1] e [e,,a] ['a,d] | \
[cacc{a}1] c [cacc] c | \
[eda{,a}1] e [e,,a] ['a,d] | "
11;d moll;6v;Preludes;;;;;none;"e/ c a ,c a ,a ,d ,c ,a ,,,,,e ,a ,c ,,,,,a ,,a ,,c ,,a \
{,,a} [,,'c] ,,a ,,,d ,,a ,,,,,a1 (,,a/ ,,c ,,d) \
,a1 [,aba,#b3] ,"
12;d moll;7r;Tricotay de Blois mise par D[u]. Br[eui]l.;;;;Conc_831;3;"[,a,,a1] [,c,,,e] | \
[aa,,a1] e ['c{a}3/2] a/ | \
[,c,,,d1] e ['e{,,a}3/2] ,g/ | \
e1 ,,,,,a [,a,,a] [,c,,,e] | \
[aa,,a/] c e1 ['c{a}3/2] a/ | "
13;d moll;7v;Nicolas va voire Jeanne;;;;;C;",a1 | \
[,a,,a1] [,c,,,e] [a,,,a] [c,,,,b] | \
['cc{4}3/2] a/ [ada{,a}2] | \
[e,,a3/2] f/ [e{,a}1] ['cc{4}] | \
[ada{,a}3] :: e1 | \
[e,,a1] ['c,,,,d] [a,,,a] [,c,,,a] | "
14;d moll;8r;Bourée du Sr. Grenerin;Grenerin;;;;C;"[,,,,'a/] ,,,,c | \
[,,,a{,,,a}1] [,,,,'c] ,,,a [,,,#c{,,a}] | \
[,,a{,a}1] [,,,,aa] [,,aaa] [,'a/] ,c | \
[,d,aa1] [,'c/] ,a [,c,,,a1] ,,a/ {a} | \
[,,a{,b}1] [,,,,aa1] [,,a/] ,,a [,,c{a}1] | "
15;C dur;8v;Menuet;;;;;3;",,d1 | \
[c{4}3/2] e/ c1 | \
[a,,,a1] [,c,,,d2] | \
[,'a{a}2] [,,d,,a1] | \
[c{,,a}3/2] e/ c1 | \
[a{,,,a}1] [,'c{4}2] | \
[,acc{a}2] :: ,a1 | "
