PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;"Lit: Lute music in sixteenth-century German speaking
countries: a study of the manuscripts Pl-Lzu M6983,
Ch-Bu F.IX.70 and D-Si G.1.4. by Katarzyna Milek (2016)";;;;;
1a;;2r;[Passomezo];;incipit deest (ab 2do);OT;;;[ea,c,a1] h ,,,,,a f | [e,f1] [c,d] [a,c] [,ea] | [aacc1] ,,d ,,c ,,,a | [a,d,e1] ,,d [,ddac] ,,c | [acd,a1] ,a/ ,,d ,,c ,,d ,a ,c |;germantab
1b;;2v;Saltarello con la ripresa;;;OT;;;,,,c1 ,,a |  [aac,,a1] ,,,c/ ,,a ,,c ,,d ,a ,c ,d ,c ,a ,,d | [,acc,a1] ,,d ,a ,,c [,,d,,a] ,a | [,cdca1] ,,d/ ,a ,c ,d a c d c a ,d | ;germantab
1c;;3v;Ripresa;;;OT;;;[aac,,a2] ,,,c1 ,,d [aac,,a] ,,a/ ,,c | [,cd,a2] ,,,c1 ,d [acd,a] ,a/ ,c | [,efec2] ,,,e1 ,f [,efec1]  ,c/ ,e | ;germantab
2a;;4v;Passomezo aus dem D;;;OT;;;,a1 ,c | [,daac1] > a c d | [caa,c1] [a,b] [,df] [,c,c] | [,daac1] ,c/ ,d ,a1 [c,,,e] | [a,,a1] [,d,c] [,ca] [,ac] |  ;germantab
2b;;6r;Saltarello con la ripresa;;;OT;;3;,a1 ,c | [,da,c2] ,a1 ,c ,d a | [caa,c1] a/ c [d,a1] c [a,c] ,d | [,cdca1] c a ,d ,c ,a | ;germantab
2c;;6v;Ripresa;;;OT;;;[,aa,c2] > ,c ,e b | [c,,e2] [,g,ge] ,e1 ,g | [ccee1] ,,f ,,e ,,c ,,,e2 | c1 e h2 ,e1 ,f |;germantab
3a;;7v;Passomezo aus dem E;;;OT;;;,d1 a  | [bd,a1] d f ,,,,c | [f,,d1] ,,b [,dd] ,c | [,d,a1] a b ,,,c | [,,,d1] b [d,,c] [b,,a] |;germantab
3b;;8v;Saltarello con la ripresa;;;OT;;;,d1 a  | [bdda2] ,d1 a b d  | [f,dd2] [d,,c] [ba,a] | [abb,d2] d1 b a ,d | [abb,d1] b d a [b,,,d] d |;germantab
4a;;10r;Passomezo aus dem K;;;OT;;;,d1 a | [cdda1] ,c/ ,a ,,d1 ,a | ,,d1 [a,b] [,da] [,c,c] | [cdda1] a [c,,,c] d |;germantab
4b;;11r;Saltarello con la ripresa;;;OT;;;,d1 a | [cdda2] ,d1 a c/ a c d | [cdda1] a c/ a ,d ,c,a ,,d ,,b ,,a |;germantab
4c;;11v;Reprise;;;OT;;;[,daa3] a1 c d  | [a,,,e1] c [,daac] ,,d ,,a ,,c | [acd,a2] ,,,c1 ,d ,c ,a | [,cdca1] ,d a ,c [,d,,a] a |  ;germantab
5a;;12v;Passomezo aus dem P;;with 16 variations;OT;;;d1 f | [ha,f,a2]  ,,,,h1 ,,,e | [ka,2] [fdde] | [dabc1] c/ d a1 h | ,,,,h1 f [dabc] ,c |;germantab
5b;;21v;Saltarello con la ripresa;;with 4 variations;OT;;;d1 f | [h,ff,a3] f1 ,i ,h | [,ff,h1] h f ,i [,h,h] [,f,f] | [cdda2] f1 d [c,d] [a,b] |;germantab
5c;;23r;Ripresa;;;OT;;;[aac,,a3] c1 e f | [h,fg2] [g,he] e1 g | [hhk,,h2] [hhk] ,,,,,h | [ea1] f [hhk,,h2] [fca] | ;germantab
6a;;24r;Passomezo aus dem J;;with 4 variations;OT;;;,,d1 ,a | [acd,a1] ,,,c [acd] c | [a,,,e1] ,,,,a/ ,c [,daac1] ,,c | [acd,a1] ,d a c |  ;germantab
6b;;26v;Saltarello con la ripresa;;with 2 variations;OT;;;,,d1 ,a | [acd,a2] ,,,c1 ,d a2 | ,c1 ,d [,cd,a2] c1 d | [c,aa1] > d f ,d f d | ;germantab
6c;;27r;Ripresa;;;OT;;;[acd,a1] ,a ,,d d [cc,,a] [a,c] | [,ea1] [,c,c] [aaa,c] ,e/ ,c ,e1 ,,d | [aac,,a1] ,,d ,a ,,,c [,c,e] ,d |;germantab
7a;;29v;Passomezo aus dem D;;with 17 variations;OT;;;,,d1 ,a | [,bdca2] ,,,c1 e | [abd,a1] ,d/ ,b [,acc,a1] ,d | [,bdca1] ,,a/ ,,b ,,d1 ,a | [,b,,a1] [,d,,c] [a,,,d] [c,,a] |;germantab
7b;;40v;Saltarello ufm passomezo auﬂm D;;with 11 variations;OT;;;,,d1 ,a | [abd,a2] ,,,c1 ,d ,b ,a | ,,d1 a [,d,c] ,b [,a,,a] ,,d | [,aba,d1] ,,d/ ,a ,,b ,d ,,,a ,b |;germantab
7c;;45r;Represa;;ff. 49v empty;OT;;;[acd,a2] ,,,c1 ,d [acd,a2] | [aac,,e2] [c,,b,c1] ,,,c [c,,b,c2] | [ea,c,a1]  ,c ,a ,,d ,,c ,,a | [,acc,a2] ,,,c1 ,,d [,acc,a2] | ;germantab
8a;;50r;Ungerisch Passomezo;;;OT;;;[ddf,,d2] | [cdda2] ,d1 a | [cdda1] a/ c [ddf,,d2] | [abb,d1] c [dabc] a | [cdda2] [dabc] | [abb,d2] [cdda] | ;germantab
8b;;52v;Saltarello;;;OT;;;[ddf,,d2] | [cdda2] ,d1 a c d | [cdda2] a1 c [dabc2] | [abb,d2] ,,,c ,a ,b ,d | [abb,d1] ,d a c [dabc2] |;germantab
9a;;56r;Passomezo;;;OT;ConcR2350;;[hd,f,d4] | [hd,f,d2] [hd,f,d] | [fc,ca1] c [e,,,a] f | [eff,,a1] ,,,c e f | [eff,,a2] [acd,a1] a | [,aa,c1] a [ca,,,e] a |;germantab
9b;;58r;Saltarello;;;OT;ConcR2487;;[hd,f,d4] [hd,f,d2] | [fc,ca1] e c f [e,,,a] c | [eff,,a2] ,,,c1 f e c | [eff,,a2] [cc,,a1] a ,e ,c |;germantab
10;;60v;Iacobus Losius Galliarda;;;OT;;;z2 z1 c1 e f | [eff,,a3] c1 [e,,c] f | [ef1] f [c,,,c] e f c | [kf,ha3] h [f,,h] h |;germantab
11a;;62r;Passomezo la paranzina;;;OT;ConcR2489;;[acd,a2] | [acd,a2] ,,,c1 ,d | [acd,a1] ,c ,d a | [cdda1] ,d/ a c ,d a c | [a,d,e1] ,c/ ,d a ,c ,d a |;germantab
11b;;63v;Saltarello la paranzina;;;OT;ConcR2488;;[acd,a1] ,d a ,c [,d,,a] a | [cdda1] ,d a c [a,,,e] ,c | [,d,,c1] ,c [,a,c] ,d [,c,,,a] ,a | ;germantab
12;;65v;Fuga Diomedi;;;OT;ConcR3528;;,a2 ,d1 ,c | ,a1 ,,e [ca2] | [f,a1] e [c,d] a | c1 ,,c/ ,,a [,c,d1] ,,,e | ,d1 ,,,a [,,ff] a |  ;germantab
13;;66r;Praeambulum;;;OT;;;[cef,c/] f d c [a,,,d] d c a | [,dba,d/] a c ,d [aa,,,d] ,d ,c ,a | [,cd,a/] ,d a c [dab,,a] ,,a ,,b ,,d |;germantab
14;;66v;Fuga Diomedi;;;OT;ConcR3529;;,a2 ,a1 ,a | [c,a1] ,,c/ ,,d [ca] ,c [ca1] | [,ce1] ,d/ a c1 e | [c,f1] ,,c/ a  [,d,ec1] ,c/ ,,,c | ;germantab
15;;67v;Fuga;;;OT;ConcR3527;;,a2 c1 ,c | [cd1] e [fc2] | [ea2] [c,e] | [c,f2] [b,c] | [ca,ac2] ,,,,c1 ,,,,e  | [,,aa1] ,,c [,,d,e2] | ;germantab
16;;68v;Praeambulum;;;OT;;;,,,c4 | [,a,c2] [,ac] | [,cd2] [,ac] | [,,de2] ,e | [,a,c2] a | c2 [ea,c] | [f,,e2] [c,,a] | [ea,c2] [a,,,e] | ;germantab
17;;69v;Praeambulum;;;OT;;;[aabc1] [dabc] [,da,c] [cdda] | [,bd,a/] [,d,,c] [abb,d] ,,d [,aba,d] [,c,,a] [,daac] ,,,,e | [,,def/] ,a [,bd,a] ,d a ,,,,c ,,,,d c |;germantab
18;;70r;Praeambulum;;;OT;;;[h,ff,a2] [dabc] | [abb,d2] [ffg,a] | [cdda1] a [,daac] ,c | [,aba,d1] ,,,,,c [dab,,a] c | [acd1] ,,b [f,de] ,,,c |;germantab
19;;70v;Praeambulum;;;OT;;;[dab,,a1] ,,,c ,a ,,b | ,d1 ,,,a ,,d ,,,e | [,b,c1] [a,b] d ,a | [,df1] ,a c ,,d | [a,,,a1] ,a [,,,cd/] ,a ,,b ,,d | ;germantab
20;;70v;Praeambulum;;;OT;;;z1 c c d | f1 ,d a c | [,ab1] ,c [,da] [,,bc] | [c,,a1] d f [c,,a] |;germantab
21;;71v;Praeambulum;;;OT;;;,,,,c1 ,d/ ,c ,d ,c ,a ,,d | [,a,a/] ,,d ,,b ,,a ,,b ,a ,,,c ,,,a |  ;germantab
22;;72r;Praeambulum;;;OT;;;,,a1 ,,d ,,,c [,db] | [c,,a1] [f,a] [a,d] [d,,c] | [,df1] [c,,a] [,cd] [,,aa] | [a,,,e1] [d,,c] ,,b [,a,a] |;germantab
23;;72v;Praeambulum;;;OT;;;[c,,a1] ,,a [,d,,c] ,,b | [a,,,d] ,,,c [,c,,a] ,,a | [,d,,c1] ,,,a [,a,,,d] ,,,c | [,c,,a] ,,,e [,,d,,c] ,,,a | ;germantab
24;;72v;Praeambulum;;;OT;;;,,a/ ,,c ,,d ,a ,,d ,a ,c ,d | ,c/ ,d a c a ,d ,c a |;germantab
25;;73r;Praeambulum;;;OT;;;[a,,,e/] c e ,,,a ,,,c ,d ,a ,,,a | ,,,,c/ ,c ,d ,,,,e ,,,a ,c ,,d ,,,,e |;germantab
26;;73v;Praeambulum;;;OT;;;,,a1 ,,c ,,d ,a | ,c1 ,,,c ,,,,e ,,,b | [,,cc1] ,,d ,a ,c | [,d,,c1] ,,,,e [c,,a] ,,,c |;germantab
