PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
;;;Accord francaise ordinaire du Ton C avec la tierce dure;;;;;;;;
1;C dur;6v;Prelude;;1;;;C;"{4}/ ,,,,,d ,,,,c ,,,c V,,d ,c c ,,,,,d ,a a ,,,,,d ,,,,,c \
,,,,,a a ,,c Vc ,,,,,d ,c [,#a] ,,d ,,,,,c ,,d ,a ,,,c";;
2;C dur;7v;Courrente;;2;;Conc_502;3/4;",,,e/ [,,,#c] ,,,a | [,,,,c{4}1] ,,,,,d [,,,cc] | \
V[,,dc{,,a}1] {4}/ ,a ,,d ,,c | [,,aa{,a}1] [,,cc] \
V[,,dc{,,a}] | {,,,a}/ ,,d ,d ,,c V,,d ,a | ";;
3;C dur;8v;Gavotte;Losy?;3;;Conc_2744;C;"[,,dc,d1] [,,d,d] [,,d,c] [,,'c,a] | [,,d,,d/] ,a V,c a \
[,#a{a}1] ,,,c/ {,a} | {,,a}/ Vc ,,d c V[e,d{,a}/]> c \
#a/ ,c | [,aa{,b}/] ,c [,#a/]> ,,d [,,'cc{a}1]";;
4;C dur;9v;Aire;;4;;;C;"[ccd{4}1] [,'c/]> ,a [,,de,a1] {a}/ ,c | \
[,#aa{,a}/] ,c [,#a/]> ,,d [,,'cc{a}1] ,,,c/ {,a} | \
V[,,dc{,,a}1] [,,'c/]> ,,a [,ea,,c1] [,,#d/]> ,,c | \
[,,#a{,,,a}3/2]";;
5;C dur;10v;Courente;;5;;;3;"c1 | [ccd{4}1] c/ (,d ,c) ,a | [,,d,,d1] {4}/ ,,,e ([,,,#c] \
,,,a) | [,,,cc{,,a}1] V,,d [,,'ca{,,,a}/] ,,c | V[,,d{4}2] \
,,,,,d1 | [,a,c,c1] {a} #c/> a | [,cd,,c1]";;
6;C dur;11v;Aire;Losy;6;;Conc_504;C;"[hfh{4}1] ['g{,,,a}/]> ,h [,#f{,,a}/] Vh | \
[e,d{,a}1] [#c,,,,c/]> a [,cde,,d1] [c,,,,c] | \
V[c,d,,a1] [#a,d] [a,c{a}] [,cc] | V[c,d,,a1] Ve/ ,c \
V[,ed,a1] [c,c{a}] | ";;
7;C dur;12v;Menuete;Losy?;7;;Conc_503;3;"[ccd{4}1] Ve/ c V,d ,c | V[,d{,,,a}1] ,,c [,cd{,,a}] | \
[,ad{,a}/] ,c a (,c ,a) ,,d | [,ac{a}/] (,,d ,,c) ,,a ,,,c1 | ";;
8;C dur;13v;Aire;;8;;;C;"[,cdc{4}1] [,#a/]> ,,d [ca,,,c1] {a} | [,,de,a/] ,c \
[,#aecc{,a}/]> ,,d [,,'cc{a}1] ,,,c/ {,a} | \
{,,a}/ ,f (h g) V[,h{,a}] g [hfh{,,a}1] | ";;
9;C dur;14v;Bourée;;9;;;C;",,d/ ,a | [,cd{4}1] ,d/ ,c [,a,,,c1] #c/> a | [,cd,,d1] \
V,,d {4} [,cd,,d] | [,a,,,c1] {a}/ c [,,d,,a1] {,a}/ ,a | \
[,,'cc1] {a} [,,cc] V,,d/ ,a | ";;
10;C dur;15v;Rondeau;Losy;10 - Du commencement;;Conc_1220;3;",,,,,d1 | ,,,,c1 ,,,c ,,d | [,,cc{a}1] ,,,c [,,d,,a] | \
[,ad,,c1] #c/ a V,c ,a | [,cd,,d1] ,,d [,ad,,c] | \
[,,d,,a1] ,,,,c [,ad,d] | [,,'cc{a}1] ,,,c/ ,,c";;
11;C dur;16v;Gavotte;;11;;Conc_4295;C;"[cc,,,d/]> e #c/> a [,cd,,d1] Vh | [ha{a}1] 'g/> h [hfh{4}1]> \
[hf] | [aa{,,,a}/]> c #a/> ,c [,acc{4}1] (,c/ ,a) | \
[,,defa/]> ,,,,f V,,,,e/ ,a";;
12;C dur;17v;Menuete;;12;;;3;"[#c,d{4}1]> a [,cd,,d1] | [a,,,a1] ,,,,,c c | V[,c,,,d1] \
[,#a{,a}1]> ,,d | [,,'c{a}/] ,,a ,,c V,,d ,a1 | [,a,,,c1] \
V[,c,,,d] [a,,,a] | [c,,,c/] e #c a [,cd,,d1] | ";;
13;C dur;18v;Aire;Losy;13;;Conc_504;C;"[hfh{4}1] ['g{,,,a}/]> ,h [,#f{,,a}1] ,,,h | [ed{,a}1] \
[,#a/]> ,,d [,,'cc{a}1] ,,,c {,a} | V[,,dcc{,,a}1] ,,,,a/ \
,,,,,d [aa,,,c1] {a}/ a | [,,d,,a/] (,a ,c) a [,#a{a}1] ,,,c | ";;
14;C dur;19v;Gigue;;14;;;3;"Vc1 | [,,dc{4}1]> ,,c V,,d1 | [,ad,,c1]> ,c V,d1 | \
[,'c,,,d1]> ,a ,,d1 | [,acc{a}2] V[c,d{,,a}1] | \
V[e,d{,a}2] [a,c{,,,a}1] | [#c,d{,,a}1]> a [,cd{4}1] | \
[,acc{a}2] ,,,c1 | ";;
15;C dur;20v;Rondeau;;15 - Du commencement;;;3;"[ccd{4}1] ,,d [,a,c,c] | V[,c,,,d1]> a V[c,d{,,a}1] | \
[#a,a{,a}/]> ,c [,aa{,b}1]> ,,d | [,,'cc{a}/] (,,d ,,c) \
,,a ,,,c1 | [ccd,,d1] ,,d [,a,c,c] | V[,c,,,d1]> \
a V[c,d{,,a}1] | ";;
16;C dur;21v;Gavotte;;16;;Conc_1501;C;"[ccd{4}/]> e | [#aaa{,,,a}1] ,,,,,a [aa,,,c] {a}/ c | \
[,cd,,d1] {4} [,cd,,d] #a/> ,c | [,a,,,c/] {a} c ,,c \
V[,,da,a1] V,,,b/ ,a | {a}/ ,,c ,,,c ,,,,,a";;
17;C dur;22v;Menuete;;17;;Conc_498;3;"[ccd{4}1] {,,,a}/ (e c) a | [,cd{,,a}1] (,c/ ,a) \
[,cVd{,,a}1] | [,aa{,a}/] ,c V,d (,c ,a) ,,d | [,,'cc/] \
,,a ,,c V,,d [,ac{a}1] | [ccd{4}1] {,,,a}/ e (c a) | ";;
18;C dur;23r;Aire;;;;;C;"[,cdc{4}1] [aad{,,,a}] V[ccd{a}] [e,d/]> c | \
[#a,d{,a}1]> ,c [,aaa{a}1] c/ ,,c | V[,,d,,a1] [a,,,a/] \
,,,,,d [aa,,,c1] V[,c,,,d/] ,a | [,#ad{a}/] ,,d/4 ,a \
V[,,d{4}1] ,,,,,d :| ";;
19;C dur;23v;Marche;;18;;Conc_501;C;"[,,d,,d1] ,,,,,d/ ,,,,,c V[,,d,,a] {a}/ {,a} | V[,,d{,,a}1] \
[,ac{,,,a}] V[,cd{4}] [,#a/]> ,,d | [,ad,,c1] #c/> a \
[,cd,,d1] [,ad,,c] | V[,,d,,a1] ,a/ ,,d [,,'c{a}] ,,a \
,,,c {,a} | ";;
20;C dur;24v;Gavotte;;18;;;C;"V[,,dcc{4}1] V[,,dcc{,,,a}] V[,,dcc{,,a}] V[,,dcc{4}] | \
[,,aaVd{,a}1] [,,,,#a/]> ,a [,,'cc{a}1] ,,,c/ {,a} | \
[,cVd{,,a}1] ,c/ c [,,aaVd{,a}1] {,,a}/ V,c | \
[aVda{,,,a}/] c ([,c] ,d) [,acc{a}1] ,,,c :| ";;
21;C dur;25v;Menuete;Losy;19;;Conc_1506;3;"{4}1 [,cd] [aa] | [cc{4}1] [cc/] [ba] V[cVc1] | \
[eVd{,a}1] [ed/] [(c(c] [a)a)1] | [cc{4}/] [aa] [cc] V[eVd] \
['cc1] | {4}1 [,cd] [aa] | [ccd{a}2] [ccd1] :| ";;
22;C dur;26v;Rigidon;;20;;;C;"[cc/] [ee] | [#cc{4}1] [,cd/] [aa] [cc{4}1] V[eVd{,a}] | \
[#cc{4}/]> [aa] [cc/] V[eVd] [#cc{4}] [aa] [,cd] [aa] | \
[cc{4}/]> [(c(c] [a)a)/] [cc] V[eVd{,a}] [cc] [#a#a] [,cd] | ";;
23;C dur;27v;Menuete;;21;;Conc_2739;3;"[,,dc{4}1] ,,,c {a} | [,,,cc1] {4} [,,,cc] | V[,,dc{4}/] \
,,c V,,d ,a V,c a | [cc,,,d1] {4} [cc] | V[c,d{,,a}1] ,,d \
V[e,d{,a}] | [#c,a{,,a}1]> a [,cd,,d1] | ";;
24;C dur;28v;Marche;;22;;;C;"[,cd/] [aa] | [cc{4}1] [cc/] V[eVd] [#cc{4}1] [,cd/] [aa] | \
[cc{4}/] [(a(a] [c)c)] [ed] [#cc{4}/]> [aa] [,cd/] [aa] | \
[cc{4}/]> [(c(c] [a)a)/] [cc] V[eVd{,a}] [cc] [#a#a] [,cd] | ";;
