Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances
;;1 - Partie en B A deux Luths;;;;;
;;;;;Pour le Première;;
1a;Bb dur;1v;Ouverture;;;;
2a;Bb dur;2v;Combattans;;;;
3a;Bb dur;3r;Menuet;;;;Conc_2447
4a;Bb dur;3r;Trio;;;;Conc_2448
5a;Bb dur;3r;Bouree;;;;Conc_2449
6a;Bb dur;3v;Chaconne;;;;Conc_2450
7a;Bb dur;4v;Gigue;;;;
;;;;;Pour le Secondième;;
1b;Bb dur;6v;Ouverture;;;;
2b;Bb dur;7v;Combattans;;;;
3b;Bb dur;7v;Menuet;;;;
4b;Bb dur;8r;Trio;;;;
5b;Bb dur;8r;Bouree;;;;
6b;Bb dur;8v;Chaconne;;;;
7b;Bb dur;9v;Gigue;;;;
;;2 - Partie en B A deux Luths Faite à 2 violes: <br> la Taille e la Basse par l'Autheur Mr Prantyl;;;;;
;;;;;Pour le Première;;
8a;Bb dur;11v;Ouverture;Prantyl (Martin Prantl);;;
9a;Bb dur;12v;Chasse;Prantyl (Martin Prantl);;;
10a;Bb dur;13r;Angloise;Prantyl (Martin Prantl);;;Conc_2437
11a;Bb dur;13v;Menuet;Prantyl (Martin Prantl);;;Conc_2438
12a;Bb dur;13v;L'Espis;Prantyl (Martin Prantl);;;Conc_2439
13a;Bb dur;14r;Gigue;Prantyl (Martin Prantl);;;Conc_2440
;;;;;Pour le Secondième;;
8b;Bb dur;15v;Ouverture;Prantyl (Martin Prantl);;;
9b;Bb dur;16v;Chasse;Prantyl (Martin Prantl);;;
10b;Bb dur;17r;Angloise;Prantyl (Martin Prantl);;;
11b;Bb dur;17v;Menuet;Prantyl (Martin Prantl);;;
12b;Bb dur;17v;L'Espis;Prantyl (Martin Prantl);;;
13b;Bb dur;18r;Gigue;Prantyl (Martin Prantl);;;
;;3 - Partie en B A deux Luths Faite à 2 viole: <br> la Taille e la Basse par l'Autheur Mr Richter;;;;;
;;;;;Pour le Première;;
14a;Bb dur;19v;Entrée;Richter;;;
15a;Bb dur;20v;Passepied;Richter;;;Conc_2441
16a;Bb dur;20v;Bouree;Richter;;;Conc_2442
17a;Bb dur;21r;Entrée;Richter;;;Conc_2444
18a;Bb dur;21v;Gavotte;Richter;;;Conc_2443
19a;Bb dur;21v;Menuet;Richter;;;Conc_2445
20a;Bb dur;22r;Rondeau;;;;
21a;Bb dur;22v;Gigue;;;;
;;;;;Pour le Secondième;;
14b;Bb dur;24v;Entrée;Richter;;;
15b;Bb dur;25v;Passepied;Richter;;;
16b;Bb dur;25v;Bouree;Richter;;;
17b;Bb dur;26r;Entrée;Richter;;;
18b;Bb dur;26v;Gavotte;Richter;;;
19b;Bb dur;26v;Menuet;Richter;;;
20b;Bb dur;27r;Rondeau;;;;
21b;Bb dur;27v;Gigue;;;;
;;4 - Partie en B dur A deux Luths Faite à 2 violes: <br> 2 cornes de chasse: La taille: La Basse et Le violon Par L'Autheur;;;;;
;;;;;Pour le Première;;
22a;Bb dur;29v;Entrée;;;;
23a;Bb dur;31v;Marche;;;;
24a;Bb dur;31v;Canaries;;;;Conc_2446
25a;Bb dur;32r;Bouree;;;;
26a;Bb dur;32v;Fantasie;;;;
27a;Bb dur;33r;Menuet;;;;
;;;;;Pour le Secondième;;
22b;Bb dur;34v;Entrée;;;;
23b;Bb dur;36v;Marche;;;;
24b;Bb dur;36v;Canaries;;;;
25b;Bb dur;37r;Bouree;;
26b;Bb dur;37v;Fantasie;;
27b;Bb dur;38r;Menuet;;
;;5 - Partie à Chasseurs A deux Luths traduite de C en B;;;
;;;;;Pour le Première
28a;Bb dur;39v;Prelude;;
29a;Bb dur;39v;Gavotte;;
30a;Bb dur;40r;Menuet;;
31a;Bb dur;40v;Bouree;;
32a;Bb dur;40v;Marche;;
33a;Bb dur;41r;Rigaudon;;
34a;Bb dur;41v;Gigue;;
;;;;;Pour le Secondième
28b;Bb dur;43v;Prelude;;
29b;Bb dur;43v;Gavotte;;
30b;Bb dur;44r;Menuet;;
31b;Bb dur;44v;Bouree;;
32b;Bb dur;44v;Marche;;
33b;Bb dur;45r;Rigaudon;;
34b;Bb dur;45v;Gigue;;
;;6 - Partie Polonoise en B y Traduite de C A deux Luths <br> Faite à 2 violes: et La Basse: Par L'Auther Mr Melante;;;
;;;;;Pour le Première
35a;Bb dur;47v;Ouverture;"Telemann (""Melante"")";
36a;Bb dur;48v;Harlequinade;"Telemann (""Melante"")";
37a;Bb dur;48v;Le Ris;"Telemann (""Melante"")";
38a;Bb dur;49r;Rigidon;"Telemann (""Melante"")";
39a;Bb dur;49v;Combattans;"Telemann (""Melante"")";
40a;Bb dur;49v;Hanaque;"Telemann (""Melante"")";
41a;Bb dur;50v;Gigue;"Telemann (""Melante"")";
;;;;;Pour le Secondième
35b;Bb dur;52v;Ouverture;"Telemann (""Melante"")";
36b;Bb dur;53v;Harlequinade;"Telemann (""Melante"")";
37b;Bb dur;53v;Le Ris;"Telemann (""Melante"")";;;
38b;Bb dur;54r;Rigidon;"Telemann (""Melante"")";;;
39b;Bb dur;54v;Combattans;"Telemann (""Melante"")";;;
40b;Bb dur;54v;Hanaque;"Telemann (""Melante"")";;;
41b;Bb dur;55v;Gigue;"Telemann (""Melante"")";;;
;;7 - Partie en C A deux Luths;;;;;
;;;;;Pour le Première;;
42a;C dur;57v;Ouverture;;;;
43a;C dur;58v;Entrée;;;;Conc_2408
44a;C dur;58v;Menuet;;;;Conc_2409
45a;C dur;59r;Rigaudon I;;;;Conc_2410
46a;C dur;59v;Rigaudon II;;;;Conc_2411
47a;C dur;59v;Passepied;;;;Conc_2412
48a;C dur;60r;Harlekin;;;;Conc_2228
;;;;;Pour le Secondième;;
42b;C dur;70v;Ouverture;;;;
43b;C dur;71v;Entrée;;;;
44b;C dur;71v;Menuet;;;;
