PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1;Praeludium;;;;Conc_2632;C;"{,a}/ ,,,,d ,,,e ,,d ,d ,,d ,,,e ,,,,d ,,b ,a \
[,cbc{a}1]> e 'c a {,,a} c ,c ,,d {,,,a} a ,,b c [,'c3/2]"
2;d moll;2;Fuga;;;;Conc_2710;2/4;"{,,,a}1> {,,,a} | {,,a}/ {,a}/4 {a} ,,,,,a/ {a} | \
{,a}/ {,,a} {,,,a} {,,a} | {,a}/ {,,a} {,a} {,,,a} | \
[,,a,,a1]> ,,a | [,,c{a}/] ,,d/4 ,a [,cd/] ,a | "
;;;Morgen übung;;;;;;
3;d moll;4;Symphonie;;;;;C;"[e{,,,a}/] | [,a,,,b/] [,c{a}] [,,'e,,a/]> ,a [,a,,a/] {,,,a} \
z/ a/ | [c{,,a}/] [a{,,,a}] [c{,,a}] [e{,a}] [f{a}1] \
z/ [e{,a}/] | [c{,,a}/] [a{,,,a}] [,c{,a}] [,a{a}] [,,e,,a] {6}"
4;d moll;4;Ermuntere dich, mein Geist, Meditative;;;;;C;"([e{,,,a}/4] c) | ['a,,,,b/] [,c{a}/4] ,a [,,'e,,a/]> ,a \
[,a,,a/] {,,,a} z/ [,,d{,a}/] | [,a,,,b/] [,,d,,a] ,a \
[,c{4}] [ad{,a}/] a z/ ,,d/ | [,,d{,a}/] ,a [,,d{,,a}] ,,b \
[,,a{,a}1]"
5;d moll;5;Piezza;;;;;C;"(e/4 c) | [aa{,,,a}/] ([,c{a}/4] ,a) [,,e,,a/]> ,a ,c/ ,,a \
[,,'a{,a}/] (,,a/4 ,,,c) | [,,,a{,,,a}/] ,,a ,a ,c \
a/ ([,c{a}/4] ,a) [e,,,,a/] [,,a{6}] | "
6;d moll;5;Menuet Ariosa;;;;;3;",,a1 ,a ,c | [,,e,,a2] ,a1 | [,aa{,a}1] c e | \
['a{,,,a}2] [,c{6}1] | [e{,a}1] [,a{d}2] | \
[c{a}1] [,,e,,a2] | ([,a{a}/] ,c) [a,,,,a1] [,'c] | "
;;;Demüthige Verehrung d.d.d. Dreyfaltigkeith;;;;;;
7;e moll;6;Symfonia;;;;;C;"[,,cc{,,a}1] [cc] [,e{,,,a}] [,,c{,,a}] | \
[,,a{,a}1] [,e{,,,a}] [,,a{4}] [,,,c{5}] | \
[,,,b{6}1] ,,a [,,,b{,a}] [,,,,c{a}] | "
8;e moll;6;Wie kan O! Grosser Gott!, Meditative;;;;;C;",,c/ | [,,c{,,a}/] [,c{4}] [,e{6}] c [,b{5}1] z/ \
[,c{a}/] | [,a{,a}/] [,,d{,,a}] [,,c{4}] ,,a \
[,,'a{,,,a}/]> ,,,c [,,,c{a}] ,,,,,a ,,,,,c ,,,,,a | ,"
9;e moll;7;Aria;;;;;C;"[,,cc{,,,a}/]> c ,e/> ,c [,e{,,,a}/] ,,c [,,c{5}1] | \
,,c/> c e/> [c{6}] [b{5}1] | [c{5}/] ,a ,a a \
[,c{4}/] ,,a ,,a ,c | "
