PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Fantasia;;;;;;
1;;1r;(Fantasia) illeggibile;;;OT;ConcR1759;C;"[aac,,a2] [aac,,a] | [,daac2] [,da,c/] ,c [,ac] ,d | \
[,cdca1] a [acd,a] c | [ea,c,a1] a/ c [ea,c,a] f h1 |"
2;;1v;Fantasia Pauli Baroni;;;OT;ConcR1386;C;",,d2 ,,d1 ,a | [ab1] c [da/] ,,d ,a ,c | \
[c,,a/] ,,,c ,,a ,,b ,,d ,a [ab1] | [,a,a/] ,,d [,,,c] ,,a"
3;;2v;Fantasia Io. Iacobi Alburtij;;;OT;ConcR1395;C;"[a,,c2] [a,d] | [,ef2] [d,,c] | [aa,c,d2] [,c,ca1] [,ea,c] | \
[d,b,,a1] ,,,c [f,a] [h,,f] | [a,,h1] f [d,,c] [a,b] | \
,,d1 [,df] ,c ,,,e |"
4;;3r;Fantasia a Rota;;;OT;ConcR1532;C;",,d2 ,b1 ,d | [ab1] [bd] [abd] [,ddd] | \
[aabc3/2] ,,,d [aab1] [,bd] | \
[bd,a/] a b [da,c] [f,dd1] [a,ff] |"
5;;3v;Fan. Francisci Mediola;;;OT;ConcR1388;C;"[aa,c,a2] [aa,c,a] | [,daac2] [,aaac1] ,,c | \
[,cdca1] a ,,,,a/ ,d/4 ,c ,a ,,d ,,c ,,a | \
[hf,g,a2] [h,fgh] | [fc,ca3/2] ,,,,c/ ,,,,e1 ,,,,a |"
6;;4r;Fantasia;;;OT;ConcR1266;C;"f2 d1 c | ,d1 a [c,d/] a ,d ,c | [,ab1] [,ca] [,d,a] [,c,c/] ,a | \
[,,de/] ,,,c ,,,a ,,,,e [,a,,c1] [,,d,e] |"
7;;4v;Fantasia Simon Setler;;;OT;ConcR1762;C;"d2 c1 ,d | [a,b2] [,da1] ,,,a | ,,,c1 d [cd,a] ,d | \
[ab1] ,,d [,df] [aa] | [f,de1] [,d,a] [da,c] [af] |"
8;;5r;Fantasia a Rota;;;OT;ConcR810;C;",,d2 ,d | [,ab1] a [,cd] c | [,df1] d [ddf] [ddf] | \
[ccd1] ,,a [aab] d/ ,,d | ,a/ ,c [cd,a1] [a,d,a] ,c |"
9;;5v;Fantasia Pauli Baroni;;;OT;ConcR1336;C;",a2 ,a1 ,a | ,,d1 ,,a ,,b ,,,c | [,,ff2] [,,ff1] [,,ff] | \
[,,de1] [,,aa] [,,bc] ,,,,e | [ha,,h2] [ha,f1] [ha] |"
10;;6r;Fantasia Simon Setler;;;OT;ConcR1763;C;"[f,d3/2] ,a/ [fc1] ,d | [fc1] [f,d] [da] [ac] | \
[cd,a/] a c/4 a c d [f,da1] ,,,a | \
[,,d,e1] [,,d,a] [,,b,c] [,,,ce] |"
11;;6v;[Fantasia];;;OT;ConcR1764;C;"a3/2 c/ d f h i | [ha3/2] c/ ,d a c d | \
[ca,,c3/2] ,,,,e/ [c,,a] ,,,c ,,a ,,b |"
12;;7r;Fantasia a Rota;;;OT;ConcR813;C;"[a,gh2] [a,gh1] f | [db1] [ab] [bd/] a d b | \
[ab1] ,,d [abd] [abd] | [aab1] ,,,c [,,dd/] a ,d ,b |"
13;;7v;[Fantasia];;;OT;ConcR1765;C;"[af3/2] ,d/ [ac] ,a ,,d ,,c | [f,a/] ,,c ,,d ,a [fc1] [ea] | \
,,c/ c [ca1] ,,c/ a [a,d1] |"
14;;8r;Fantasia;;;OT;ConcR3377;C;"[a,d2] ,,c1 [a,d] | [b,,a1] [a,,c] [,,dd/] ,d ,d1 | \
[,adc1] ,,c [,,d,a] ,,,c | [,a,c1] ,,c [,,dd] [,a,c] | \
,b1 [,a,,,a] ,,,c ,,,,a |"
15;;8v;[Fantasia];;;OT;ConcR1766;C;",d3/2 a/ c ,d f1 | ,,d/ d c ,a [ac] ,,d [df1] | \
c/ ,d [fc1] [da] [cd] | a1 f [,d,a/] d c [a,,c] |"
16;;9r;Fantasia Raphael Viola;;;OT;ConcR1767;C;"z1 a ,e ,a | ,c1 ,,d [,ac] [,c,c] | ,,,b/ ,a [a,,c1] [,,,ce] [a,e] | \
[,ef,c1] [ac] [,cd,a] ,,a |"
17;;9v;[Fantasia];;;OT;ConcR1768;C;",a3/2 ,c/ ,d ,a ,d a | [c,a3/2] ,,c/ [c,d] ,,a ,,d ,a | \
[ac,,a3/2] ,,,,c/ [ac,,e] ,,,,a ,,,,e ,,,a |"
18;;10r;Fantasia;;;OT;ConcR809;C;"a3/2 a/ c1 d | ,a/ c d/4 c a ,d [ac1] [cd] | \
f/ ,e ,a ,,d [da1] c |"
;;;Chansons;;;;;;
19;;10v;Or convient est;;;OT;;C;"[aabc2] | [aabc/] ,c ,d a | [cdda/] a c d | \
[cd,a1] [aabc] [,da,c] ,a | [,da,c1] ,,,,c/ [,da] | \
[aabc1] [,abc] [acd,a] [acd,a] |"
20;;11r;Response - Le mal qui sent;;;OT;ConcR874;C;"[aabc2] [aabc/] ,d ,c ,a | [acd,a1] [acd,a] [,ea,c] ,,,a | \
,,,c1 [,ea,c] [acbc] [cdda] | [ddf,,d3/2] c/ [acd,a1] [,ea,c] |"
21;;11v;Vous perdez temps;;;OT;ConcR1692;C;"[aabc2] [,efec1] [,efec] | [aabc/] c d a [cdda] d f d | \
[cdda1] [cdda] [ddf,,d] [ddf,,d] | \
[abd,d/] ,,b ,,b1 [,dd,f] ,,,e |"
22;;12r;Response - Tel en mesdict;;;OT;ConcR1693;C;"[,efec2] [aabc1] [acbc] | [cdda/] d f c [ddff] ,,g ,,f ,,d | \
[ddff1] [,dff] [dfg,,d] [cdfa] | \
[aa,a/] ,,d [aab] ,c [cdda1] [dfg,d] |"
23;;12v;Toutes les nuyct;;;OT;ConcR1755;C;",d/ a c/4 a c d | [fd,a/] c d f [fd,f,d3/2] ,,d/ | \
[dd,,,d/] [c,d] [d,f,,d1] [,d,a/] c [cdda1] |"
24;;13r;Response - Quest il besoing;;;OT;ConcR1756;C;",d2 ,d1 ,,b/ a | [cd,a/] a c d [fd,a1] [hd,,,d] | \
[,,aa1] [fd/] [,,bc] [,cde1] [d,ff] | \
[da,a/] [c,d] [c,d1] [,a,c] [a,c] |"
25;;13v;Ie prens en gre;;;OT;ConcR1358;C;"[,dda2] [,dfec1] [acbc] | [cdda/] a c/4 a c d [cdda1] [fc,,a] | \
[dfg,d/] ,g ,f ,d [dfg,d1] [cdda] |"
26;;14r;Si mon traueil;;;OT;ConcR1726;C;"[c,da1] ,d [,ddef] a/ c | [ddf,,d/] ,,d ,,g ,,f [cdda] [a,b][,da] [,c,c] | \
[,da1] [ddf,,d] [ddf,,d/] ,,,,a [ddf,c] ,,,,e |"
27;;14v;Response - Le deul yssu;;;OT;ConcR1727;C;"[cdda2] [cdda1] ,d | [acd,a/] ,d a ,c [,da,c] ,c [,da,c] a | \
[c,,a1] [c,aa] [da,,,d/] ,,,,a [da,,c] ,,,,e |"
28;;15r;Doulce memoire;;;OT;ConcR856;C;"[,dfec2] | [,dfec/] ,,,,a ,,,,c ,,,,e [,dddf1] [,cdca] | \
[,aaac/] ,c ,d ,a [,,eecc] ,,c ,,f ,,e | [,aa,c1] ,a/ ,c"
29;;15v;Response - finij le bien;;;OT;ConcR1729;C;"[,aa,c2] [,dfec/] ,c ,d a | [c,de,c/] e f ,a [,c,,,c] e c1 | \
[,,hga/] ,g/4 ,e ,h/ ,g [c,de,c/] a/4 ,d ,c ,a ,,d ,,c |"
30;;16r;Languir me lais;;;OT;ConcR200;C;"[,daa3/4] a/4 c/ a [,daa3/4] ,c/4 ,d ,c ,a ,,d | \
[,aba,d/] ,,d ,,b ,,d [,aba,d] ,c [,daac] ,a |"
31;;16v;Cessez mes yeulx;;;OT;ConcR1769;C;"[aa,c1] ,,,,,a [aab,,a/] ,,,,,c ,,,,,d ,,,,a | \
[,dfec1] [,dff,d] [,cdca/] ,a/4 ,c ,d ,c ,a ,,d | \
[,abc,a1] ,,,c [,abc/] ,,,,,a/4 ,,a"
32;;17r;Pour vng plaisir;;;OT;ConcR858;C;",,,,,d1 [,,,a,d/] ,,,,a [,,,ac] [,,,c,d] [,,a,a] [,,,ac] | \
[,,bcd/] ,,a [,db,,d] ,,d [,df] [a,b] [c,da] [,df] | \
[abb,d/] c [dabc] ,,d"
33;;17r;De mon triste;;;OT;ConcR3523;C;"[aa,c,a1] [aa,c/] ,,,,,a | [dab,,d3/4] [dab/4] ,,,,,d/ [dab,,d] | \
[cdda/4] a c d [c,da/] [aabc] | \
[,aabc3/4] [,aab/4] ,,,,c/ [,aabc] |"
34;;17v;D'amour me plains;;;OT;ConcR1688;C;",d2 [a,d/] c d a | [c,def/] a [,d,a] ,c [,db] ,a ,,,,,d ,c | \
[,da,a/] ,,,,a [,d,,c] [a,,,e] [c,da] [a,b] [c,aa] d |"
35;;18r;Amour au coeur;;;OT;ConcR1770;C;"[,acc,a2] [acc,a/] ,,,c/4 ,,a ,,c ,,a ,,c ,,d | \
,,,,c/ [,aac] ,,,b ,,,,e [,,abc1] [,a,bc] | \
[,acc/] ,,d ,,c [,,eb] [a,cce] ,,e [,efe1] |"
36;;18v;Cest a grand tort;;;OT;ConcR1757;C;",,d1 ,,,,a/ ,a [,c,c] [,d,,c] [a,,,e] [,,aa] | \
[,,cc/] ,,d [,df,c1] [a,,ce] [,cd,a] | \
[,a,,,a1] ,,a/ ,c [,da,c] a [ca,ac1] |"
37;;19r;D'vng seul regard;;;OT;;C;"a1 ,,,c/ ,,a ,,b ,,d [,df1] | ,,,,,a1 [,cd] [,a,,,a] [a,c] | \
[,,d,a/] ,d [,c,c] ,a [,c,ca1] ,,a | \
[,a,,e/] ,,,c ,,,c1 [,aa,c] ,,,b |"
38;;19v;O combien ie suis;;;OT;;C;"[hd,f,d2] [fdaa1] [dabc] | \
[cdda1] [ac,,a/] ,,b [,ea,c] ,a/4 ,c ,e a c d | \
[cdda/] f [dabc] c [aa,cd] d [c,d] a |"
39;;20r;Viuray ie tout iour en telle peine;;;OT;ConcR1771;C;"[,ddef2] [,ddef1] [,ddef] | [acd,a1] [dabc] [,dda] c/ a | \
[cd,a1] ,,d/ ,c [ca] ,,d [,dda] ,c | \
[,,ff1] [,dde] [d,bc] [,,da/] c |"
40;;20v;Response - Sans plourer;;;OT;ConcR1772;C;"[cdda/] a c d [cdd1] ,,,a | \
[acd,a/] ,d a c [da] ,,a ,,b ,,d | [da,c1] [ddff] [cdda] f |"
41;;20v;Den lustelycken mey;;;OT;ConcR933;C;"[aacc2] [aacc1] [aacc] | [ccde/] a c e [fcd,a1] [ea,c] | \
e/ c [ccde1] [acc,e/] ,e c a | \
[ccee,c1] [ccee/] ,,,,,c [ccee,c1] [fcd,a] |"
42;;21r;Mais languiraige;;;OT;ConcR1773;C;",d2 a/ c d1 | c1 [d,b] [a,d/] ,a ,b1 | \
[da1] ,b [c,d] [ab] | [da1] [c,da] [ab,c/] ,,a [,dff1] |"
43;;21v;Svr tous regres;;;OT;ConcR1691;C;",,,,c2 ,,,,c/ ,,,,a ,,,,c ,,,,e | [,a,a1] ,,,c [,,de] [,ab] | \
,a1 [,,de/] ,,,c [,aaa1] [,,bc] | \
[,abac/] ,,a/4 ,,b ,,d ,,b ,,a ,,,c"
44;;22r;Mille regres;;;OT;ConcR1717,ConcM3;C;"[,a,,c2] [,a,,c/] ,,d ,,b ,,a | \
[a,b,d/] ,,a ,,d ,,b [abd,a] ,a/4 ,b ,d ,b ,a ,,d | \
[,da,c/] ,c ,d a"
45;;22v;Vng gay bergier;;;OT;ConcR857;C;",d2 ,d/ ,d [a,d] ,d [a,d] [c,d] | \
[da/] ,,d [da] ,b [cd1] ,d/ ,,,a | \
[ab,ca/] ,,,a [,,,ca] [,,a,a] [,ab,c] ,,,,a ,,,,c ,,,,d |"
46;;23r;Fortune helas;;;OT;ConcR466;C;",a2 [,ab,,a/4] ,,d ,a ,b ,a ,,d ,,b ,,a | \
[aab,,a/] ,,,c/4 ,,d ,a ,,b ,,d ,a [ab,ca1] [a,,c] |"
47;;23v;Dvel double deul;;;OT;ConcR1640;C;"[,aaac/] ,,,,a ,,,,c ,,,,d [,aaac] ,,,,a ,,,,,d ,,,,,c | \
[,a,a,d/] ,,,c ,,a ,,b [,bdca] ,a ,,d ,b | \
[,aaac/] ,,,,a ,,,,c ,,,,d |"
48;;24r;Comme la rose;;;OT;ConcR1774;C;"[cdda/] a c d [cdda1] [cdda] | \
[aabc/] ,c ,d a [,dfec] ,,,,a ,,,,c ,,,,e | \
[da,ac1] ,,,,a/ ,,,,,d [,dda] d c a |"
49;;24v;Le content est riche;;;OT;ConcR235;C;",d2 [fd1] ,d | [f,d1] [f,d] [ab] [ab] | \
[da/] b a d [b,da] a ,d ,b | [,dde/] ,,,c ,,,d ,,b"
50;;25r;O foible esprit;;;OT;ConcR1799;C;"[aacc2] [aacc/] ,d ,c ,a | [acdca/] ,a ,c ,d ,,,,a/ [acd] ,,c ,,a | \
[aacc,a/4] ,,,a ,,,c ,,,d ,,a ,,,d ,,,c ,,,a"
51;;25v;O Seigneur Dieu;;;OT;;C;"[aacc2] [aacc/] ,c ,d a | [cdda/4] a ,d ,c ,d a c d [cdda1] [cdda] | \
[aacc/] ,e a c"
52;;26r;Pvis que voules;;;OT;;C;",a2 [,a,c1] ,a | [a,,c1] ,,,c [,cd] [,ea] | \
[a,c1] [c,d] [,a,,c/] a [,ef] [,cd] | \
[,ac,c1] [c,a,c] [,,cc] [ac,,e] |"
53;;26v;Si dire ie Iosoye;;;OT;;C;"[af2] [af1] [df] | [cd1] [ac,c] [dffc] [,f,c/] f | \
[hdff/] i [ha,f1] [,hhe/4] h g h e g e g |"
54;;27r;En languisant;;;OT;ConcR1775;C;",d1 ,,,a [,d,f/] ,,,e ,,,f ,,d | \
[,d,f1] [,,def] [,dff] ,,,,,d | \
[,dff1] [,,def] [,aba,d/] ,,a ,,d ,,b | \
[,,def1] [c,d/] ,,,c"
55;;27v;Sans liberte;;;OT;ConcR3227;C;"[,af2] [,db1] [a,,c] | \
[ca,,c/4] a c d c ,d a c [da,,,d1] [,,,c,a/] d | \
[c,a,c/] a [,da/4] ,a ,c ,d"
56;;27v;Een aerdich trommelaerken C.G.;;;OT;;C;",,,,,a1 ,,,,,a/ ,,,,,a | \
[,a,,c/] ,,,,a [,a,,c] ,,,,e [c,,a] ,,,,a [c,,,c] [e,,,e] | \
[f,a,a/] e [c,a] ,,c [a,d,a1] ,,c/ ,,a |"
57;;28r;La palme doulce;;;OT;ConcR2876;C;"[cdda2] [cdda1] [cdda] | [ddf,,d2] [acd,a/] ,a [,,dc] ,a | \
[,cd/] ,d [a,,,a] ,c [cdda] a [cdd] [e,,c] | \
[fcde/] ,a [fcde] ,e"
58;;28v;Venez venez mon bel amy;;;OT;ConcR1776;C;"[,ddef2] [,dfec1] [acd,a] | [cdda/] a c d c/4 a c d [fd,a1] | \
[ddf,,d1] ,,,,,d/ [ccd] [aab,,d] ,,a [,d,cc] ,,,a |"
59;;29r;Vng doulx nenni;;;OT;ConcR873;C;"[,acc2] [,acc/] ,,a/4 ,,c ,,d ,,c ,,d/8 ,,c ,,a ,,c | \
[,cdca/] ,a ,c/4 ,a ,c ,d [,cdca/] ,d [aab,,a] ,,a/4 ,,b |"
60;;29v;Tout bellement;;;OT;;C;"[acd,a2] [acd,a] | z1 [acd,a1] [acd,a2] | \
,,d1 [ac,,a] [ac,,a] ,,d/ [ac,,a] | \
[cd,a1] [ac/] ,,d [aacc1] [aacc] | \
[cdf,c1] [cdf/] ,,,,e"
61;;30r;Vray dieu disoit;Orlando di Lassus;;OT;ConcR423;C;",,d1 ,,d/ ,a [ac] ,,d [a,c] ,,a | \
[,cd/] ,c [a,d] c [acd1] [acd/] [,ac] | \
[,cde1] [,cde/] ,a [,cdca] [,cdc] [acd,a] ,,,,c |"
62;;30v;Svr la verdure;;;OT;ConcR1777;C;"[f,d1] [ea/] [ac] [cd1] [cd] | \
[a,d/] c a [,df] [acd,a1] ,,,,c/ [,,,ce] | \
[,l,aa1] [,,da] [,c,ca/] [,dde,c] [,cdca] [aaac] |"
63;;30v;Contente vous amy;;Sermisy;OT;ConcR2427;C;"[ddf,,d2] [ddf,,d/] ,,,,a ,,,,c ,,,,d | \
[ca,,c1] ,d [abb,d/] ,d ,b ,a | \
[,ddef/] ,,,f [,dde] ,,,c [,,ba,d] ,,,,a ,,,,c ,,,,d |"
64;;31r;Vng iour passe;;;OT;ConcR2877;C;",d2 [f,d3/2] f/ | [cd/] e f ,d [ha3/4] ,c/4 [fd1] | \
[df/4] c a d [cd/] a/4 ,d ,c ,a ,d ,c [,df1] |"
65;;31v;Ce mois de may;;;OT;ConcR944;C;",a1 ,a/ ,a c1 c | [f,a1] [f,a/] ,,a [ea1] ,a | \
[cd,,c1] [,d,,c/] ,,,,c [,ca1] [fca/] ,a | \
[fcd,,c1] [,,d,,c/] [e,,,,c]"
66;;32r;Lason peult;;;OT;ConcR1778;C;"[,aba,d2] [,a,a,d1] ,,f | \
[,df,,d/] ,,,,a [c,f,c] ,,,,e [cdda] ,,c [cdda] ,a | \
[abb,d/] ,d a c [dbb,d1] [ddf,,d] |"
67;;32v;Ochi mei lassi;;;OT;ConcR1779;C;"[,ddef2] [,ddef1] [,,def] | \
[,dfec1] ,d [acd,a/] ,c ,d/4 ,c ,d a | \
c1 [,da,c2] [,dff1] | ,,,,,d1 [,cdca] ,,,c/ ,,,a [,abac1] |"
68;;33r;Misericorde;;;OT;ConcR1780;C;"[,ddef2] [cdda1] [cdda] | [ddf,,d2] [acd,a1] [a,dca] | \
[,ddef1] [a,d,e] [,ddef] [,ddef] | \
[,cdca/] ,,c/4 ,,a ,,d/ ,,c [,,da] ,a [,cdca1] |"
69;;33v;Response - A Dieu lespoir;;;OT;;C;"[cdda2] [cdda/] d/4 c a ,d ,c ,a | \
[acd,a/] ,d a ,c [,da,c] ,c ,d ,a | \
[,cde,c1] ,,d [,,dca] [,cd] |"
70;;33v;O scio potessi dona;;;OT;ConcR868;C;"[hd,f,d2] [hd,f,d] | [fdaa1] [fdaa] [da,c] [ca,ac] | \
[a,,cd/] ,,d/4 ,,b ,,d ,,a ,,b ,,d [,ea,ec1] c | \
,,b/ a/4 c [da] c"
71;;34v;Qvando ie penso al martire;;;OT;ConcR1327;C;"[aa,c2] [acd] | [acd1] [,ac] [aa,c] [aacc] | \
[ccde1] [,ed] [aadc] [a,,c/] ,,a | \
[,acc/] ,,a [a,cc1] [f,,e] [,cd] | \
[,fff1] [e,f] [ac/] c"
72;;35r;Oncques amour;;;OT;ConcR2084;C;"[,ddef2] [,ddef1] ,,d | \
[,da,c/] ,a ,c ,d [aabc] ,c ,d/4 ,c ,d a | \
[cdda/] a c d f d [cdda1] |"
73;;35v;Qval anima;;;OT;ConcR1861;C;"[,ddef2] [,dfec1] [aabc] | \
[cdda1] [ddf,,d] [cdda/] a/8 ,d a c d f h f d c a ,d |"
74;;36r;Godt es mijn licht;;;OT;ConcR850 - ConcM45;C;"[,af2] [,df1] [a,,c] | [ca,,c/] a [ca,,c] d [ca,ac1] [da,c,a] | \
[cd,ec/] [ac] [,da,c] [,cd] [,da,c1] [acbc] | \
[c,aa/] ,a [da,cc] ,,,a"
75;;36v;M'amye vng iour;;;OT;ConcR1781;C;",,d2 [a,d1] ,,d | \
[a,,c/] ,,,a [a,,c] ,d/4 ,b [,abc/] ,,d [,ab] ,b | \
,,,,c/ [,da] [aab] ,,,c [c,aa] a [aabc] ,d |"
76;;37r;Si por ti guardo;;;OT;ConcR195;C;"[,ddef2] [,ddef1] ,,,,f | \
[,dff,d1] [,ddef] [,cdca/] ,a/4 ,c [,daa1] | \
z/ [cdda] [cdda] [cdda] [acd,a1] [cdda] | \
[,dff,d3/2] [,dff,d/] [,dff,d/4] ,,,e"
77;;37v;Ce qui est plus en ce mode;;;OT;ConcR1782;C;"[aabc/4] ,,a ,,b ,,d ,a ,,d ,a ,c [cdda/] ,,,,e [da,,c] ,,,,a | \
[ddf,,d/] [c,d] [c,ba] ,,a [,ab,,a] ,,d"
78;;37v;Recipe assis;;;OT;;C;"[cdda2] [cdf,c1] [ddff] | [fhi1] [fhha/] [fhh,a] [fhia1] [effc] | \
[fdd,a2] z1 [cdaa] | [acd,a1] [dabc] [cdda] [cdd/] ,,,a |"
79;;38r;Ie n'ay point plus d'affection;;;OT;ConcR3499;C;"[aabc3/4] ,,d/4 ,a/ ,c [cdda1] [cdf,c] | \
[abb,d/4] ,a ,b ,d a c d f ,,,,,d/ [hd] ,,,f [hd,,,d] |"
80;;38v;Frisque et Gallard;;;OT;ConcR1758;C;",,,,c1 ,,,,c/ ,,,,c ,,,c1 ,,,c/ ,,,,c | \
,,,c/ ,,a ,,c ,,d [,,c,c1] [,aa,c/] ,,,,c | \
[,a,c/] [,ac] [aa] [,,d,e] [aacc] [,,de] [aacf] [ccd] |"
81;;39r;Fault il qui soit ma doulce amye;C.G.;;OT;;C;"[aabc/] ,,a ,,b ,,d [aabc] ,c ,d a | \
[,ea,c/4] ,c ,a ,,e ,a ,c ,e a [,efec/] ,,,,a ,,,,c1 |"
82;;39v;Fille qui prend facieux mary;C.G.;;OT;ConcR1783;C;"[c,a1] [c,a/] [ca] [ac1] [,cd] | \
[,aaac/] ,c [,d,,c] ,a [,cde] c [c,da] [ca] | \
[acc,e/] ,d [,cc,e] ,a [,cde,c] [,,,e,c] [fca,a] [,,a,c] |"
83;;39v;Or puis quil est;C.G.;;OT;;C;"[,ddef2] [,ddef] | [cdda/] ,,d/4 ,a ,c ,d a c [acd,a1] [acd/] ,,,,a | \
[,efec1] [,efe/] ,,,,c [,cd1] [cdda/] ,,b |"
84;;40r;Si mon amour;;;OT;;C;"[,ddef2] [,dfec1] [acd,a] | \
[cdda/] a [cd] d [fc1] [f,def/] d | \
[cdda1] [aabc] [,dfec] [,ddef/] ,c/4 ,a | \
[,cdca1] a [acd] [a,d/] ,,b |"
