PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;aa2r;Fantasia Francisci Mediolanensis;;;OT;ConcR1262;C;",,d2 ,,d1 ,,c/ ,,a | \
[a,c1] ,,d a/ ,,d/4 ,,b ,,d ,,b ,,a ,,,c | \
[c,,a/] ,,,c ,,a ,,b ,,d ,,a ,,f1 | \
,e1 ,,d/ ,,b ,,a ,,,c ,,a1 |"
2;;aa3v;Fantasia Francisci Mediolanensis;;;OT;ConcR1265;C;"f2 h1 f | ,d1 c [df] [fd] | h1 ,a [fc] [cd] | \
[df1] c/ a [cd1] [da] | [ac1] [fa/] ,,d ,a d [ac1] |"
3;;aa4v;Fantasie de Francoys de Milan;;;OT;ConcR1263;C;"[a,,c3/2] ,d/ ,c1 ,a | [,,de3/2] ,,c/ ,,a2 | \
[,,cc3/2] ,,,a/ ,,,,e1 ,,,,c | [,,d,a1] ,,,,,e [,,d,,c2] | \
[,,c,,a1] ,,,c/ ,,a ,,c ,,d ,a ,c |"
4;;bb1v;Fantasia de Petro Paulo da Milano;;;OT;ConcR1386;C;",,d2 ,,d1 ,a | [ab1] c [da/] ,,d ,a ,c ,d | \
[ca,a1] ,,,c/ ,,a ,,b ,,d ,a [ab] | \
[,a,a1] ,,d/ [,,b,c] ,,a [,,,cd] d1 |"
5;;bb3v;Fantasia da Francesco da Milano;;;OT;ConcR1339;C;"[af3/2] ,c/ [df1] f | h1 ,f ,i [fh] | \
[da1] [cf/] a | c1 ,e [af] [da] | \
[cc1] ,a [cd,,c] ,a | [,d,,c1] [,c,,e] [,a,a] ,,,,c |"
6;;bb4v;Fantasie de Pierre Paule Barron;;;OT;ConcR1387;C;"a3/2 ,e/ a c d f | h2 [cd3/2] ,c/ | \
,d/ a c e [f,d1] [af] | [af/] c [df] [fh] [hi1] [fh] |"
7;;cc2r;Paduana I;;;OT;ConcR1547;C;"z1 [,ab,,d/] ,b [,db,,d2] | \
[,db,cd/] ,a [,b,,,d] ,d [abb,d3/2] ,d/ | \
[,bdd,b1] [,ab] ,,,a/ [,dd] [,,bc] [,,b,d] | \
,,,a/ [,,bc] ,,,a [,dd] ,,,,,d [,ab] ,,,a ,,,,,d |"
8;;cc2v;Paduana;;;OT;;C;"[,db,,d/] ,,,a/4 a [,d,,,d] ,b ,a ,,d \
[,ab,,d] ,,d ,a ,b [,d,,,d] ,a ,b ,d | \
[abb,d/4] ,a ,b ,d a c d c"
9;;cc3v;Paduana III;;;OT;ConcR1730;C;"[,bb,d1] [,bb,d/] ,d [,bb,d3/2] ,d/ | \
[,bbcd3/4] ,d/4 [abb,d1] [,db,cd/] ,,,a/4 a ,d ,b ,a ,,d | \
[,ab,,d/] ,,,a/4 ,,d ,a ,,b ,,d ,a"
10;;cc4v;Paduana;;;OT;ConcR1731;C;"[bd,a/] d [f,gd3/2] [d,,c/] | \
[bd,a1] [ab/] [,df] [abb,d3/2] ,d/ | \
[abb,d/] b d f ,,,d [bb] a ,d | \
[ab,,d/] b [bb,,d] [ab,,d]"
11;;dd1r ;Paduana V;;;OT;ConcR3549;C;"[bd,a1] [bd,a] [,d,a/] f [d,,a] b | \
[ab,,d/] ,,d/4 ,a ,b ,d a c [db,,d/] ,,,c [b,,,d] a | \
[,dda/] ,a/4 ,c"
12;;dd1v;Paduana VI;;;OT;ConcR1749;C;"z1 [cd,a/] [cd] [c,,a1] ,,d/ [cd,a] | \
[cd,a/] ,,d [da,c] [fc,,a] [cd,a] ,d/4 a c d f d | \
[cd,a/] [,da] [a,b] [c,d]"
13;;dd2v;Paduana VII;;;OT;ConcR1748;C;"[acc,a2] [acc,a1] [acc,a] | \
[cdda1] [ffh,a] [eff,,a] [acd,a] | \
[cdda1] [ea,c] [f,de/] c/4 e f c e f | \
,,,,,a/ [ea] ,,,c ,,,,,a"
14;;dd4v;Paduana VIII;;;OT;ConcR1732;C;"z1 [aa,c,a] [da,c,a3/2] [da,c,a/] | \
[acd,a1] [acd,a] ,,,a/ [cd] ,,d ,,,a | \
[cdda1] [fd,a] [ha,f] [f,,a] | \
[d,,c/] [c,,a] [a,,,e] ,,e ,,,,c ,e ,,a ,,,,c |"
15;;ee2r;sans titre;;;OT;ConcR1747;C;"z1 [aa,c,a] [,ea,c] [aa,c,a] | \
[cdda1] [ac/] [,ef] [acd,a1] [,e,,c] | \
[a,,,e1] [c,e] ,,,,c/ ,e ,,a ,,,,c | \
[,ea,c2] [da,a,d] [da,a,d/] ,,,,a ,,,,c ,,,,e [fd,a3/2] d/ |"
