PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Toccata prima;;;OT;;C;"[aab,,a3] a/4 d c a | \
h/4 d a h d a ,a ,,b ,,,c ,a ,,b ,,,d ,,,,c ,,,,,d ,,,,a ,,,,c | \
,,,,,a2 y/ ,,,,,c ,,,,,e ,,,,a ,,,,c ,,,,e ,,,a |";italian7tab
2;;4;Toccata II.;;;OT;;C;"[,daa{a}] | [,daa3/2] ,,,,a/ ,,,,c1 ,,,,e | \
,,,,f1 ,,,,a ,,,,f ,,,c | \
[,dde{a}2] ,,,c/ ,,a/4 ,,b ,,d ,a ,c | \
,d1 ,,d ,d [a,,,a] |";italian7tab
3;;5;Toccata III.;;;OT;;C;"[aac,,,a4] | \
[aac,,a/4] c e f h ,a ,c ,e ,f ,,a ,,c ,,d ,,f h k l | \
m/4 ,a ,,d ,,c ,,a ,,d ,,c ,,a";italian7tab
4;;6;Toccata IIII.;;;OT;;C;"[acd,a4] | [acd,a/] ,,d ,f ,c ,,d ,,,,a ,,,,h ,,,,e | \
,,,,a/ [,f,,,a] ,,,,,c [,d{a}] ,,,,,a [,c{8}] {a} [,a,,,a] | \
[,,d,a1] ,,,c ,,,,e ,,,,a |";italian7tab
5;;7;Toccata V.;;;OT;;C;"[aabc3] [aabc1] | [aabc3] ,,,a1 | [abb,d2] [,dcac] | \
[,bdca2] {10} | [,abc,a2] [aabc] | [da,c2] [da,b] | \
[aabc2] [,dbac] | [,bbcd2] [,aba,d] | [,,df{a}2] [,,,ef] | \
[,aba,d2] [,dda,c] |";italian7tab
6;;8;Toccata VI.;;;OT;;C;"[cdda4] | [cdda1] f c ,d | \
f3/2 d/4 c a ,d ,c ,a ,,d ,,b ,,a ,,,c | \
,,,a1 ,,d ,,a ,,,a |";italian7tab
7;;10;Toccata VII.;;;OT;;C;"[abda4] | [abb,d2] [,dbac3/2] ,,,,a/4 ,,,,c | \
[,bbcd2] [,a,c,e] | [,,dca3/2] ,,c/ ,,d3/2 ,,a/ | \
[,bd,a1] ,d [a,,,,d] [c,,,,c] | \
[dff,,a2] [,dff,d] | [,fg{8}2] [df1] {a} |";italian7tab
8;;11;Toccata VIII.;;;OT;;C;"[,daa{a}4] | [bdda{a}3/2] a/ b3/2 d/ | \
[f,,a3/2] ,,,c/ ,,,d3/2 ,,,f/ | \
,,d2 [d,,,,a] | [b,d,,b2] [a,b,,d1] [,d,d] | \
[,bdca2] {10} | [,,dca3/2] ,a/ ,b3/2 ,d/ |";italian7tab
9;;12;Ricercar primo;;;OT;;C;",,,,a4 | ,,,,d2 ,,,,e | ,,,a2 ,,,d | ,,d2 ,,,c1 ,,,a | \
[,b,c2] [,c,,a] | [,d,,c1] ,,,,d [b,,a] ,,,,c | \
[a,,cd2] ,,,,a1 ,d/ ,b | [,db2] [,bcc1] ,a |";italian7tab
10;;13;Ricercar secondo;;;OT;;C;"h4 | h2 i | h2 ,i | f2 h | ,f2 d | ,,f1 c/ d c1 a | \
[c,f2] [a,g] | ,,f1 ,e [a,b2] | ,,d1 a [da2] |";italian7tab
