PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;g moll;1;Sinfonie Fugue;P.Gaultier;PAN 1.013;6a;Conc_358;C;"[caaa{a}2] [faaa{a}1] [#e,,,,a] | \
[ca,,,b1] {a} [,aa,,b/] ,c [,ec,,a1] | \
[caa{a}1] ,a/ [,,cc] [,,#aa] ,,,,e [,,#cc] ,a | \
[caaa1] ,,,,d/ [,,,,#b] [a,a,a1] [,b,c,d] | "
2;g moll;4;Prelude;P.Gaultier;PAN 1.060;6a;Conc_1138;none;"{a} ,,,,a ,,,a ,,a ,a c (e f) {,,,a} ,,,,a ,,,c ,,e ,e \
,,,,,d [,,,,,'b] ,a c ,,,,,a ,,c ,e c {a} ,,,,a ,,,a ,,a ,a c"
3;g moll;5;Allemande;P.Gaultier;PAN 3.072;6a;Conc_1139;C;"c1 | \
[caaa{a}3/2] #c/ [e,c] [#c,a] [#b,,c3/4] b/4 | \
c/ {a} ,a [,#bc] [,abe] ,,a c [ecc] | \
[,ee/] ,,,,a ,,c [,#acd] [,,aa] ,b [,,cdd] [,,,#c] | "
4;g moll;6;Courante;P.Gaultier;PAN 4.040;6a;Conc_362;3;",a1 | \
[,aaa{a}3] | \
[,acec1] [,,#c] [,acd] | \
[,,ac{a}1] ,,,a (3[,,c(y,d/] ,,a ,,,c) | \
[,,ay){a}1] [,,,#c{,,,a}3/2] ,,,a/4 ,,,,e | \
,,,a1 {a} V,,,c | \
[,,a{,a}1] [,,#c{,,a}3/2] ,,,d/4 ,,c | "
5;g moll;7;Courante;P.Gaultier;PAN 4.195;6a;Conc_1140;3;",a1 | \
[,aaa{a}3/2] ,b/ [,#a] ,,a | \
[,,cc1] [,,,#a] [,a,,e3/4] ,,c/4 | \
[,,aa1] {a} [,,,#cd3/4] ,,a/4 | \
[,,,ab3/2] ,d/ [,#b3/4] ,a/4 | \
[,,ccd3/2] ,a/ [,#b,a] ,,,c | "
6;g moll;8;Sarabande;P.Gaultier;PAN 5.016;6a;Conc_354;3;"[,aaa{a}1] [,aaa] [,,#c,,d3/4] ,,a/4 | \
[,,,#c{,,,a}3/2] ,,,a/ {,,a}1 | \
[,baab1] [,#a] {,a} | \
[,,#c,d3/2] ,,a/4 ,,,c ,,a1 | \
[,aad1] ,c [,ecc] | \
[caaa1] (c/ a [,c,,,d1]) | "
7;g moll;9;Allemande;P.Gaultier;PAN 3.071;6a;Conc_1141;C;",,,a1 | \
[,,,a#f3/2] [,,,#c/] ,,a [,a,,,b] [,,#c,,d3/4] ,,a/4 | \
,,,c/ ,,,,a {,,,a}3/4 ,,,d/4 [,,,a{,,a}/] ,,c \
[,,cdd{,a}] [,,,#c] | \
[,,ad/] ,,,,,b ,a V,b [a,,c] [c,a] [,#bc] ,a/4 ,b | "
8;g moll;10;Courante;P.Gaultier;PAN 4.190;6a;Conc_1142;3;"f1 | \
[faaa{a}3] | \
[#ea,,e1] f [c,,a] | \
[#b,,,a1] {,,,a}3/2 c/ | \
[caaa{a}1] [,#c,,,d3/2] ,a/4 ,c | \
[a{,a}1] [,,cc] [,a,,d] | \
[,b,a1] [#a,,c3/2] ,b/4 a | "
9;g moll;11;Sarabande;P.Gaultier;PAN 5.145;6a;Conc_1143;3;"[,#aaa{a}3/2] [,aaa/] ,,,,,a1 | \
[,,#cce3/2] ,a/ {,,a}1 | \
[,baab1] [,#a] {,a} | \
[,,#c,d3/2] ,,a/4 ,,,c ,,a1 | \
[,a,,,b1] a [,b,,,d] | \
[,#b,a3/2] ,a/4 ,b [,a{a}1] | "
10;g moll;12;Sarabande;P.Gaultier;PAN 5.146;6a;Conc_1144;3;"[faa{a}1] h {,,,a} | \
[#e,,,a3/2] ,f/4 e ,f1 | \
[faa{,,a}1] {,a}/ ,f a ,b | \
[,#a{a}3/2] ,,c/4 ,a ,,a1 | \
,,,,,a/ ,,c ,,,,d a ,,,c ,b | "
11;g moll;13;Courente;P.Gaultier;PAN 4.191;6a;Conc_1145;3;",,a1 | \
[,,aa{a}3/2] ,,c/ [,,#a] ,,c | \
,a/ {,a} [,,#c{,,a}3/2] ,,,d/4 ,,c | \
,a1 ,,,,a3/2 ,,,,c/ | \
[,aece3/2] (,,c/ ,,a ,,,c | \
,,a1) {a}/ ,,c ,a ,,a | "
12;g moll;14;Courante;P.Gaultier;PAN 4.194;6a;Conc_1146;3;"c1 | \
[caaa{a}3] | \
[f{,,,a}1] [#e,,,a3/2] ,f/4 e | \
,f1 {,,a} ,,,,b | \
[cba3/2] c/ #a ,b/4 a | \
,a1 ,,,,,b/ ,a [,,c,,a] ,a | "
13;g moll;15;Sarabande;P.Gaultier;PAN 5.147;6a;Conc_1147;3;"[caa{a}1] e f | \
[#ea,,e3/2] c/ {a}1 | \
[caaa1] (3[c(y/] a ,c) [ay),,,a1] | \
[,#c,,,a3/2] ,,e/4 ,c ,,e1 | \
[,aeca1] a [,b,,,d] | "
14;g moll;16;Courante;P.Gaultier;PAN 4.378;6a;;3;",a/ [,#c3/4] ,e/4 | \
[,#fa{a}3] | \
[,#ee1] {,,,a}/ ,f e [,'e] | \
[#ff2] {a}1 | \
[,,,,#f3] | \
[#e{,a}1] ,d f | \
[cb1] [,#a] [e,c] | "
15;g moll;17;Courante;P.Gaultier;PAN 4.379;6a;;3;"f1 | \
[#faa{a}3] | \
[#e{,,,a}1] ,f [e'e] | \
,f1 [,,,#a3/2] ,,,c/ | \
[,aad1] [,#b3/2] a/ | \
c1 ,,,,b/ c [a,,,d1] | \
[,#b,a/] ,,,c [,#a,d3/2] ,,c/4 ,a | "
