Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Preludio;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Marchese D Gerolamo Talenti Fiorenza Teves;Guitar;;C;"!strumup![cdc/] ,,c ,d b a ,,,,e ,,c ,,,,e | \
,,,a/ ,,c ,d ,,,c ,,,d ,d [,b,c] ,,d/4 ,b | ,,c/ ,,,d b d";italian5tab
2;;2;Alemanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Pietro Francesco Visconte Borromeo;Guitar;;C;"f/ | !strumup![fgh3/2] g/ !strumup![gff] f [fdd] d | \
[fc/] ,,,,a [b,,a] a/4 b [daa/] [bd] [ac,,a] ,c | \
,d/ ,,,a [,b,c] ,,d/4 ,b";italian5tab
3;;3;Corrente;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Antonio Secco Comneno;Guitar;;3;"!strumdown![fgh1] | !strumup![fgh1] (g/ f) (,i ,g) | \
[,i,,h1] [ffg3/2] ,i/ | [,g,a1] ,,,d/ ,c ,,,a a | \
b/ ,,a ""T""[ac,,a3/2] ,d/ | [,d,a1] (b/ a) (,d ,b) |";italian5tab
4;;4;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Camillo Maria Litta;Guitar;;3;"!strumup![cdc1] a [b,a] | ""T""[a,,,a3/2] ,d/ [,d,a1] | \
[,d,,b1] a b | ""T""[a,,,d3/2] b/ [b,,d1] | \
f1 [d,,c] [a,,,e] | ""T""[b,,a3/2] a/ ,d1 | \
[a,,,d1] [,d,,b/] a b d |";italian5tab
5;;5;Preludio;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Alessandro Agliardi;Guitar;;C;"!strumup![,bcc/] ,a ,b ,d a ,,b ,d a | \
,b/ ,,,,a b ,,,,c ,,,,d a f ,,,a | e/ ,,,c [f,,,d] d";italian5tab
6;;6;Alemanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Cauagliere Fra Luigi Visconte;Guitar;;C;"!strumdown![fffhh/] | !strumup![fffhh3/2] h/4 f [efe/] f/4 h f3/4 e/4 | \
[f,,,a/] d/4 f d/ b [aaa] b/4 a [,dcd3/4] a/4 |";italian5tab
7;;7;Corrente;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Paolo Monti;Guitar;;3;"f/ | !strumup![fffhh1] f/ h i1 | [ha,f1] [fa,c3/2] h/ | \
[ea,c3] | [a,,,e1] f d | !strumup![cdc3/2] a/ !strumup![,,bcc1] | \
a1 [,bcd3/2] ,d/ | !strumup![,,bcc2] ,,,c1 |";italian5tab
8;;8;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. D Emanuelle Barbo;Guitar;;3;"!strumup![fffhh1] h !strumup![fgh] | ""T""[ede3/2] f/ [f,,,a1] | \
f/ ,,,f ,g a ,,,a ,b | ""T""[,ba3/2] ,a/ [,b,,d1] | \
[dd,,c1] f/ d f d |";italian5tab
9;;9;Preludio;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Tomaso Visconte;Guitar;;C;"!strumup![,,bcc/] h e f h e a c | e/ ,a a ,,b ,,c a [,ee] ,c | \
[aabc/] e c a";italian5tab
10;;10;Alemanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Cauagliere Fra Ferdinando Crivelli;Guitar;;C;"!strumdown![,,bcc1] a/4 ,d ,c ,a !strumup![,ccc/] ,,,,a ""T"",a3/4 ,,c/4 | \
!strumup![,,bcc/] ,,,c ,c/4 ,a ,c ,e a/ ,,,,a [,e,,c3/4] a/4 |";italian5tab
11;;11;Corrente;Michele Platano;All'Illustriss.mo senor Don Alonso de Ledesma Y Soris;Guitar;;3;"!strumdown![,,bcc/] | !strumup![,,bcc1] a/ ,d ,c ,a | \
[,c,,a1] [cc,,b3/2] a/ | [,e,,c1] ,,b/ ,a ,c ,e | \
a/ ,,,,a [,e,,c3/2] a/ | !strumup![,,bcc1] [e,,c/] c e a |";italian5tab
