PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;0;Preludio;;cf. folio 1r;;;none;"[V:S] [Dd] [Ff] [AA] G E C || d1 D/ F/ A/ d/ E/ F/ F1 A/ d/ \
E1 G1 c/d/ D1 F1 _B/ C1 A1 A/
[V:T] d1 f1 a1 g1 e1 c1 || z/ d/ z3 z4 z3 z2 _b/ z/"
2;d moll;0;Allemande;;cf. folio 6v;;;C;"[V:S] d/ | [F1A1d1] E/ e/4d/4 c1 a/g/ | [d3/2f3/2] F/ \
[A3/2e3/2g3/2] f/ | [e1g1] a1 [F1d1] e3/4d/4 | \
^c1 d/e/ [d/g/] ([^c/a/] a/) g/ |
[V:T] z/ | d1 z1 z/ a/ z1 | d'/d/d'/ z/ z2 | \
z/ c'1 a/ _b/a/ g1 | a/g/ f/e/ d1 e1 |"
3;d moll;0v;Courante;;cf. folio 7r;;;3;"[V:S] f/ | [F3A3d3] | [e3/2a3/2] g/a/g/ | f3/2 e/4f/4 d1 | \
g/f/ e3/2 d/4^c/4 | d1 z2 | [G1e1] f1 [d1g1] |
[V:T] z/ | d3 | ^c'3/2 z3/2 | d'3/2 z3/2 | g1 a3/2 z/ | \
z1 d2 | c'1 z1 _b1 |"
;d moll;1r;Accord;;;;;;
4;d moll;1r;Praeludium pro primo tono;;;;Conc_3467;;",a {,,,a} ,,,,a ,,,a ,,a ,a [,,,,#c] ,,,,d ,,,a ,,a ,a ,,,,c \
,,,c ,,d ,a ,,,,a ,,,a ,,b ,,,,,d ,,a"
5;d moll;1v;Allemande;;with religious text;;Conc_312;C;",,a/ | [,,aaa{,,,a}3/2] (3,,a/4 ,,c ,,e) [,a,a/] ,c [,,e,,a] {a} | \
[,aa{,a}/] 'e e [ca{a}] (c/ a) [#c,,,a/]> ,a | "
6;d moll;2v;Courrante;;;;;3;",a/ | [,aaa{,,,a}3/2] ,c/ a c | [a,,,a1] [#ca{a}1] > e | \
[e{,,,a}1] ,,,,a ,,,a | [eaa2] e1 | [ec,,,e3/2] c/ a ,c | \
[a,,,a/] c [#ca{a}1] > a | "
7;d moll;3v;Courrante;;;;Conc_387;3;"f/ #e ,f | [aaaaa1] #c e | [eaaa{,,,a}1] ,a [,#c] | [a,,,a1] \
[#ca{a}3/2] (r/4 a) | [,c,,,a1] [,,#d1]> ,a | [,abaab1] ,c \
[a,d,,a] | [c,b{a}1]> e f1 | "
8;d moll;4r;Praelud;;;;;;"{,,,a}1> ,,,,,a ,,,,a ,,,a ,,a ,,b [,,#a/]>,,,c ,,a ,,,a/ \
,,,,a ,,,a ,,a ,a ,c a ,a 'e ,,,,a ,,,,,e e ,c c"
9;d moll;4v;Double;;;;Conc_387;3;"f/ #e ,f | [a,,,a/] ,c a ,f e f | [e{,,,a}/]> c #a/ ,c/4 a \
,a/ ,c | [a,,,a/] ,a [c{a}] e #c a | "
10;d moll;5v-1;Sarabande;;;;Conc_3982;3;"[aaaaa1] [aaaa] [aaa] | [,#cd,,a1]> a [,a,,,b1] | [,abaa1] \
[,aba] [,ab] | [,,#de{,}1]> ,a {a}1 | [,,bca1] [,,bc] [,,bc] | \
[,,#aa{,,,a}]> ,,b [,,d,,a1] | [,a,,d1] [,#r,r1]> ,a | \
[,,#e,,a1] [,,,#e2] :| "
11;d moll;5v-2;Double;;;;Conc_3982;3;"a/ ,,,,a ,,,a ,,a ,a a | ,,,,,a/ ,c ,,d a ,,,,,b ,a | \
,,,,a/ ,,,a ,,b ,a a ,,b | {,a}/ ,,d ,,,e ,a {a} ,,d | "
12;d moll;6v;Allemande;;;;Conc_304;C;",a/ | [,aaa{,,,a}1] ,,,,a/ (,c/4 ,a) ,,e/ ,,,,,a e #c | \
[aa,,a/] {,,,a} ,,,,a ,,,a [aaa1] > a | [#cc/] ,,,,,d e \
,,,,,a [,aa,,b] ,,,,,a [,#c{a}/] > ,a | "
13;d moll;7r;Courrante;;;;Conc_3834;3;",a1 | [,aaa{,,,a}3] | [er,,,e3/2] c/ e c | [#a,,,a3/2] ,c/4 a \
,a1 | ([c{a}/] a) [,#c,,,a3/2] ,a/4 ,,e | ,a1 {,,,a}2 | \
[,c,c,d1] a [ca{d}] | "
14;d moll;7v;Courrante;;;;Conc_331;3;",,a1 | [,,aa{,,,a}3/2] ,,b/ [,,#a] ,,,c | [,,,aa1] [,,,#c] \
,,a | [,,aece3] | [,aaaa1] [,,#d,,a1] > ,,a | [,,b{a}1] \
[,,b,c] ,,d | [,,ac{,a}1] [,,,#c{4}3/2] ,,,a/4 ,,,,c | ,,,a1"
15;d moll;8r;Courrante;;;;;3;",,,a1 | [,,,aa{,,,a}1]> ,,a [,,,c{,,a}] ,,b | [,,a{,a}1] \
[,ab{a}1]> ,c | [,,e,,a1] ,,,,c [,aa,d] | (,,,,c/ ,,,,a) \
[,ca,,e1]> a | [aaaaa1] {,,,a}/ ,c [,#a] ,,d | "
16;d moll;8v;Sarabande;;;;;3;"[aaaaa1] [aaa] {a} | [,abc1]> ,a ,,,,,a1 | [,cee1]> ,,,c \
[,a,a1] | [,#a,,ca1]> ,,e [,a,,a1] | [,ca,,e1] e [a,,,a] | \
[fa{a}1]> e c1 | [cc,,,d1] [#aa,,a3/2] ,c/4 a | ,c1 ,,,,,a2 :| "
17;d moll;8v;Double;;;;;3;",,,,a/ ,,a ,a a {a} ,a | ,,,c/ ,,b ,a ,c ,,,,,a ,a | \
,,,e/ ,,e ,c ,,,c ,,,a ,a | ,,,,,a/ ,,,,c ,a ,,e ,,,,a ,a | "
18;d moll;9v;Allemande;;;;Conc_338;C;",a/ | [,aaa{,,,a}1] > [,#c] [aa,,a/] ,,,,,d [ca{d}/]> e | \
[e,,,,a/] ,c ,d (,c/4 ,a) [,,ee/] [,,,#c] [,a,a] [,c,,c] | \
[a,,,a/] ,,a [,,#aa{,,,a}] ,,b [,,d,,a] ,,,,d [,ad,,b] ,,d | "
19;d moll;10v;Courrante;;;;;3;"a1 | [aaaaa1] [cc] [ed] | [ece1] #c [aa] | [,cee1] ,,,,,a1 > \
a | [,ab1] c [,cd] | [ad1] ,,,a/ ,,d [,,#b] ,,a | [,,bc1] \
{a} [,,d,,a] | "
20;d moll;11v;Sarabande;;;;Conc_4284;3;"[,aaa{,,,a}1] [,#c] a | [#aaaaa1] ,c [,c,,,a1] | [,cde1] \
a [,a,,,b] | [,abaa3/2] ,,d/ [,,d{,a}1] | [,,dad1] ,a [,,b{a}] | \
[,,#bca3/2] ,,d/ [,,a{,,,a}] ,,b | "
21;d moll;12r;Chanson;;;;;C;"[,aaaa1] [,ca,,e] [aaaaa] a | [,#cb{a}1] ,a [e,,,,a] [ece] | \
[,aaaa1] [,ca,,e] [aaaaa] [#c{a}/]> a | [,#c,,,a1]> ,,e \
[,aVf,a1] {,,,a} :| "
22;d moll;12v;Courrante;;;;;3;",,a/ ,,c ,,e | [,aVf{,,,a}1] ,,,,a/ > ,c ,a1 | [,,#e,,a3/2] ,,f/ \
,c ,,e | [,aVfaa1] {,,,a}1 > c | [ccd{,,a}1] {4}/ > e c1 | \
[a,a{,a}1] [,#c{a}1] > ,a | "
23;d moll;13v;Courrante;;;;;3;",a1 | [,aaa{,,,a}2] ,c/ ,,,,,e | a/ ,,,,a [,#c,c1] > ,a | \
[,,#e,,a1] ,,,e1 > ,a | [,aVfa{,,,a}1] [,,aaa1] > ,,c | \
[,,d,,a1] [,,dad2] | [,a,,,,b/] ,,d [,,#b{a}1] > ,,,,c | "
24;d moll;14r;Sarab;;;;Conc_12;3;"[aaa{,,,a}1] [cc] [ed,,a] | [,ca,,e1] > a [,a,,a1] | [,aba,b1] \
,c [a,d,,a] | [,#cb{a}1] > a [ad{,a}1] | [e,,a1] f [h{,,a}] | \
[cc,,,d1] e [f{a}] | [aa{,,,a}1] [cc] [e,d] | "
25;d moll;14v;Gigue;;;;;3;",,,,a1 | [,,,,'d2] ,,,c1 | [,,aa{,a}1]> ,,c [,,e{,,a}1] | \
[,aaa{,,,a}2] ,c1 | [,,#e,,a2] ,a1 | [,aaaa2] [,c,,,e1] | \
[aaaaa1]> c e1 | [#ca{a}2] a1 | [,#c,,,a2] ,,,e1 | ,,c2 \
[,,,#d1] | "
26;F dur;15v;Allemande;;;;;C;"a/ | [ada{,a}1] ,,,a/ c/4 a [,c,,,d/] [aa] [#cc{4}/]> a | \
[a{,a}/]> ,b [,a{d}/] ,,d [,aba] ,a [,,d,,d/]> ,,b | \
[,,#a{,a}/] ,,,a ,,b ,,d/4 ,,d [,,dc{,,a}/] [,a{,a}] \
[,#a{a}/]> ,a | "
27;F dur;16v;Courrante;;;;;3;"a/ | [ada{,a}1] ,,,a/ e #c a | {,,a}/ c ,,d f #e ,f | \
[ef{,a}1] [#c{a}3/2] a/4 ,c | a1 {,a}/ a [,c{a}] ,a | "
28;F dur;17r;Courrante;;;;;3;",,d1 | [,,dad{,a}3/2] ,,a/ ,,b ,,d | [,abaab3/2] ,c/ a ,,,,,a | \
[c{a}1] [#a,c1] > a | ,c1 ,,,,,d [,,,,,#b] | [,,da,a1] ,a \
[,,b,c{a}] | [,,aa{,a}1] ,,d/ ,a [,c,,c1] | [aaaaa3/2]"
29;F dur;17v;Courrante;;;;;3;",,d1 | [,,dad{,a}3/2] ,a/ ,,d ,,b | [,,a,d1] [,,#b,a] ,,,,,d/ \
,,d | [,abaab1] > ,a [,,d,,a1] | [,ab{a}1] [,#c,c1] > a | \
[ad{,a}1] ,,,a/ > c e1 | ([c,d,c1] e) [a,c,a] | "
30;F dur;18r;Praelud pro 6. Tono;;;;;;"{a}/ ,,,,,d ,,,,d [,,,'c] ,,a ,,,a ,,d ,,,,c ,,,,a ,,d a \
[,,#b] c ,,,,,d ,c ,,b [,,#a] a ,,,c ,,,a"
