PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;3r;Prellude;S.L.Weiss;;;Conc_946;C;"{,,,a}3/2 ,,,,a/ ,,,a ,,a ,a a e ,c a ,,e ,a ,,,c ,,a ,,,,c \
,,,a/ ,,,,a {,,,a}3/2 ,,,,a/ ,,,c ,,b ,a c1 ,,,,a/ \
,,,,,e ,,a ,,e ,c"
2;d moll;3r;Andantino;S.L.Weiss;;;Conc_944;3;"[,aaa{,,,a}1] [,,'e,f{,,a}3/2] ,a/ | \
[,aVf{,a}1] ,,a f | \
[f,e{a}1] [e,e,,a/] ,f a ,c | \
['aa,,a1] ,c/ a (,c ,a) | \
f1 [fd{,,,a}] [ec{4}] | "
3;d moll;3v;Allegro;S.L.Weiss;;;Conc_3264;C;"[eda{,,,a}1] (e/4 c) a ,c a (c a) ,c a (,c ,a) ,,e | \
(,a/4 ,c) ,a ,,e ,a (,,b ,,a) ,,,c ,,a (,,,c ,,,a) \
,,,,c/ ,,,,a"
4;d moll;4r;Polonose;S.L.Weiss;;;Conc_3265;3/4;"[,a{,,,a}/4] ,,a ,a a [,c,,,a/] e ['a{,,,a}1] | \
[,c,,,e/4] e ,c ,,e [,a{d}/] [,,a{,a}] [,,b{a}1] | \
[,,a{,a}/4] ,a [,,a,a] ,,,a [,,,cc/] [,,,,ce] \
[,,,aa] [,,,,a{d}] | "
5;d moll;4v;Corente;S.L.Weiss;;;Conc_3266;3/4;"(,h/ ,k) i | \
{,,,a}/ k ,h ,,l (,,i ,,h) | \
,,i/ ,h (,,i ,,h) [,a,,,a] ,,e | \
[,a{,a}/] a ([,c{a}] ,a) [,,e,,a] ,c | "
6;d moll;5r;Allegro;S.L.Weiss;;;Conc_3267;C;"{,,,a}/4 k (i k) k ,h ,,i ,,,k {a}/ ,i ,i ,i | \
{4}/4 h (g h) h ,f ,,h ,,,h {,a}/ ,h ,h ,h"
7;d moll;5v;Menuett;S.L.Weiss;;;Conc_3268;3/4;"[ed1] [cc] [aa] | \
[,d,,,a1] [,c{a}] [,a{,a}] | \
[,,e{,,a}1] [,a{,a}] (3[,a{,,,a}/] ,c ,d) | \
[,'c,,,a3/4] ,a/4 ,,e/ ,,b [,,'a1] | \
[ed1] [cc] [aa] | "
8;d moll;5v;Trio;S.L.Weiss;;;Conc_3269;3/4;"[,,d{,a}/] a ,c a (c a) | \
[,,d{,,a}/] c (a c) (e a) | \
([e{,a}/] a) ([f{5}] e) ,f a | \
([,c{4}/] ,d) c ,c ,,d ,,,,,a | "
9;F dur;5v;Paysane;S.L.Weiss?;;;;C;"{,a}/ a ,,d a {,,a} c ,,d c | \
{,a}/ e [c{5}] a [,'c{4}3/4] ,a/4 ,,d1 | \
{d}/ ,a/4 a ,,b/ ,a ,,,,,a ,,d/4 a (,,a/ ,,d) | "
10;d moll;5v;Trio;S.L.Weiss?;;;;3/4;",,,,a/ ,a ,,a ,a ,,,,,e ,c ,,a ,c | \
,,,,a/ a (,c ,a) [,c,,,a1] ,,a | \
,,,,a/ ,a ,,,,,a ,,d {a} ,,b {,a} ,,a | "
