PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;A [Partita in d];;;;;;
1a;d moll;1;Ouverture B:R:;W. L. E. von Radolt;L2 in c;;;C|;"[,,ccc{,,c}2] [,cccc1] > ,c | {,,a}/ ,,d ,e1 ,,,,b/ ,,c b ,e | \
',c1 {,,a}/ ,c {,a} ,,a ',a > ,a |"
_1b;d moll;1;[Ouvertur:];W. L. E. von Radolt;L2;;;C;"(3g/ e g (3c/ ,e ,c (3[,bc/] ,,a [,,c] (3[,c,c/] ,,,,e [,,,,c] | \
(3[,cd/] ,,c [,,d] (3[,c,e/] ,,,d [,,,e] (3[,c,,c/] ,,,,a [,,,,c] (3[,c,,,d/] ,,,,,c [,,,,,d] |"
_1c;d moll;1;[Ouvertur:];W. L. E. von Radolt;L2;;;C;[,,ccc1] {,,a}1 ,,,,,d/ ,,,,c ,,,c ,,d | [,aaa,d2] ,,,,,c1 ,,,c/ ,a  | [,,dccd2] ,,,,,a/ ,,,,c ,,d1  |
2a;d moll;2;Ouverture B:R:;W. L. E. von Radolt;L3 in a;;;C|;"[,,bca{a}2] ,,,c/ ,,b ,a > ,a | [,bde{a}1] > ,b ,,,b/ ,,a ',a > ,a | \
,,,c/ ,,b ,a1 [,,#da,a1] > ,,d  |"
_2b;d moll;2;[Ouvertur:];W. L. E. von Radolt;L3;;;C;z2 (3,a/ ,,d ,a (3',b/ ,,a ,,,c | (3,b ,a ,b (3,,d/ ,,c ,,d (3[,a,c] ,,,a [,,,c] (3[,,d,b] ,,,,a [,,,,,d] |
_2c;d moll;2;[Ouvertur:];W. L. E. von Radolt;L3;;;C;V,,b1 {a} [,,bcb{,,A}] > ,,b | [,,ddd{,,a}1] [,,ddd/] > ,,d {,,,a} ,,,,a ,,,a ,,b | {,,a}/ ,,,c ,,b1  [,,dc{4}1] (,,d/ ,,b) |
3;d moll;3;Allemande B:R:;W. L. E. von Radolt;L2;;;C;[ccccc1] 'c/ > ,e ,,,,c// ,,,c ,c ,,c [,,'a,e/] > ,,a | ,,,,c/ ,,,c// ,c ,,,,,a// ,,d ,c/ ,,,,a// ,,a ,e c {a}// ,,c c ,e |
4;d moll;4;Allemande B:R:;W. L. E. von Radolt;L3;;;C;"[,abc{a}/] > ,a ,,,c// ,,b ,a/ ,,,c// ,a ,,d ,,b ,,,,a// ,,a V,,b ,,d | \
{a}/ ,,b// ,a #,,,,,d/ > ,,d {,a}// ,,,,d ,,,e ,,d {d}// ,,,,d ,,f/  |"
5;d moll;5;Courente B:R:;W. L. E. von Radolt;L2;;;3;c/ ,c ,b | V,c1 {,,a}1 > ,c | ,,,,,a/ ,c {,a} ,a e e  | {a}/ c ,a1 {,a} |
6;d moll;6;Courente B:R:;W. L. E. von Radolt;L3;;;3;,,,c/ ,,b ,,d | {a}/ ,a ,,b1 ,,,c | {4}/ ,,,c [,,,Va,a1] > ,,,a | [,,,a{d}/] ,,b [,,d,,a] |
7;d moll;7;Saraband: B:R:;W. L. E. von Radolt;L2;;;3;"[,,ccc{,,a}/] > ,,c | [,,Vde2] [,,cbb/] > ,,c | \
[,,ccc{,,a}1] [,,ccc] c/ > c |"
8;d moll;7;Menuette B:R:;W. L. E. von Radolt;L2;;;3;"[,,ccc{,,a}1] [,,ccc] ,c/ ,e | ,,,,c1 [cc] [,,cbb/] |  [,,ccc1] [,,ccc] ,c | \
[,acc{a}1] [,acc] {,a}/ ,a  |"
9;d moll;8;Saraband: B:R:;W. L. E. von Radolt;L3;;;3;"[,,bca{a}/] > ,,b | V,,d2 [,,a,a{,b}/] > ,,a | \
[,,,caba2] c/ > ,d |"
10;d moll;8;Menuette B:R:;W. L. E. von Radolt;L3;;;3;"[,,'b{a}1] ,,,c ,a/ ,,d | [,,'b{a}2] {,b}/ ,,a  | \
[,,,c{a}/] ,,a ,,b ,,d ,a ,,d | [,,'ba{d}1] [,,baa] [,,d,,a] |"
