PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;1;Aus meines Herzen Grunde;E.Reusner;;;;3;"[,,#d1] | \
[,,dcc2{4}] [ca,,,c/] a | \
V[,c,,,d3/2] ,a/ ,c1 | \
[,,de{,a}3/2] ,a/ ,,,,,d ,c | \
[,acc{a}3/2] ,a/ [,c,a] a | \
[c,,,c3/2] ,,d/ [aac,a1] | "
2;F dur;1;Ich dank dier lieber Herre;E.Reusner;;;;C;"[adaa2] [ada{,a}1] a | \
[aaa,a1] [c,,,,c/] a ,,,,,d ,c [,'a{a}3/4] ,,c/4 | \
[,,dcc{4}3] ,,,,,d/ c | \
[ed{,a}1] {a}/ c [ad,,,a3/2] ,,,,,c/ | "
3;C dur;1;Ich dank dier schon durch deinen Sohn;E.Reusner;;;;C;"[,,#d1] | \
[,,dccd1] ,,d ['aa,,a3/2] ,c/ | \
[,a,,,c1] ,,,c [,c,,,d] ,,,,,a/ ,e | \
[cac{a}3] ,,,,,d/ ,c | \
[aVd,,,a1] {,,a}/ c [ed{,a}1] {d}/ c | "
4;d moll;1;Das walt mein Gott;E.Reusner;;;;C;"[adaa2] [,a,,,b1] [,cb{a}] | \
[aVda{,a}2] e1 | \
[ed,a1] ,,,,a/ e [fa{a}1] {,a}/ e | \
[c,d{,,a}1] [a,,,a/] ,,c [,c{4}1] ,,,,,a/ ,,d | "
5;Bb dur;1;Das walt Gott Vater und Gott Sohn;E.Reusner;;;;C;",,b3/2 ,,d/ [,a,,,a1] [aab] | \
V[,b,,,c1] [,abaa/] ,,d {a} ,,b [,,'de{,a}3/4] ,a/4 | \
[,aba,a3] ,,b1 | \
[aa1] {c}/ [a,d] [c,b{a}] e [fa] ,c | "
6;F dur;2;Ich dank dier Gott vor alle wohltadt;E.Reusner;;;;C;"[,,#d2] [,,aad] | \
[,,'caa3/2] ,,d/ [,,dccd2] | \
,2 [,,dc{,,a}3/2] ,,b/ | \
[,,aaVd1] ,,,,,b/ ,,,c [,,,'cc{4}3/2] ,,,a/ | "
7;d moll;2;Ich dank dier o Gott in deinem Trohne;E.Reusner;;;;C;"[,aaa{,,,a}2] [,abc{a}1] ,a | \
[,,a{,a}2] [,,aaVd3/2] ,,c/ | \
[,,e,c1] ,,,a/ ,a [,ca,,e1] ,,,,a/ ,a | \
[,,'e,,a3/2] ,a/ [,aaa{,,,a}2] | \
[aa,,a2] [,c,,,a1] [,a,,,b] | "
8;F dur;2;Wan ich in Angst und Noht;E.Reusner;;;;3;",,,a1 | \
[,,ded2] ,,,,c/ ,,d | \
[,ab,a1] [,cd,,d] [,,'b] | \
[ada{,a}3] ,2 ,,,,,a/ ,c | \
[aa{,,,a}1] ,,c [,cd{,,a}/] {,a} | \
[,'a{a}2] ,,d1 | "
9;a moll;2;Christ der du bist der helle Tag;E.Reusner;;;;C;",,a2 [,,aVe1] ,,a/ ,,c | \
V[,,d,,a1] ,,a/ ,,c [,,de] {a} [,ac{,a}] [,,'a] | \
[,ccd{,,a}3] ,c1 | \
[,c,,,d1] [ca,,,c/] a [,c,,,d] ,a [,,d,,a] ,a | "
10;C dur;3;Werde munter mein gemühte;E.Reusner;;;Conc_1887;C;"[,cd,,d3/2] a/ [c,,,c1] [,e,,a/] c | \
['aaa,a3/2] ,c/ [,acc1] !fermata!{a} | \
[,c,,,d3/2] ,a/4 ,c/ a ,,,,c c {,a} ,a | \
[,'a{a}3/2] ,,c/ [,,dcc{4}2] ::"
11;d moll;3;Christ du bist Tag u Licht;E.Reusner;;;;C;"[,aaa{,,,a}2] ([,aaaa/4] ,c ,d/) [,cb{a}] ,a | \
,,,,,a/ ,,e [,a,,,e] ,c [ac,,a] {a} [,'c,,,a] ,a | \
[,aaa{,,,a}3] [adaa1] | \
[ada{,a}3/4] {a}/4 ,,,,,a/ ,,,,,b ([,c,,,d] ,a [,daa,a1]) | "
12;C dur;3;Die Nacht ist kommen;E.Reusner;;;;C;"[,,dccd2] [,ac{a}/] {,a} {,,a} ,c | \
['aaa{,,,a}3/2] ,,c/ [,cee,a3/2] ,c/ | \
[,ad,,b1] {a}/ ,c ,,,e ,,e ,,,,d ,a | \
[,'a,,,a3/2] ,,e/ [,aVfa{,,,a}2] | "
13;F dur;3;Den Vater dort oben;E.Reusner;;;;C;"[,,ded1] [,,d{,,a}] [,ab{,,,a}] [,cd{4}/] [,,'b] | \
[aVda{a}2] [adaa3/2] c/ | \
[ed{,a}1] [c{a}] [a,d,,a3/4] ,,,,,c/4 ,,,,,d/ ,c | \
[,'ad{a}3/2] ,,c/ [,,dcc{4}2] | "
14;d moll;3;Danket dem Herren;E.Reusner;;;;C;"[,aaa{,,,a}3/2] ,c/ [aa,,a2] | \
[,ce,,a2] [aa,,a1] [c,d{,,a}/] ,,b | \
[edd{,a}3/2] c/ V[e,,a2] | \
[cc,,,d3/2] e/ ,,,,a a [,cee,a1] | \
[,cee4] | "
