PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;1;Praeludium de E.R.;E.Reusner;;;;C;"{,,,a}/ ,,a ,,,,,a ,,,,a ,,,a ,,b ,,,c ,,a | \
[,,,'a3/2] ,,,,c/ ,,,a {,,,a} ,,,,,a ,,,,a | \
,,,a/ ,,a ,,,c ,,c ,,,,,a ,,,e ,,e ,,,c | "
2;d moll;2;Paduan de E.R.;E.Reusner;;;;C;"[,,aaa{,,,a}3] [,,,cc1] | \
[,,aaa2] ,,,c1 ,,b | \
[,,ac{,,,a}1] [,,,'a/] ,,,,c [,,aaa1] [,,cc] | \
[,,eeca1] [,,,'c] [,aa,d] [,,,,'c/] ,,,,a | \
[ed,,,a1] [,'c/] ,a [,,e,c1] c | \
[aaVf{,,,a}3] ,"
3;d moll;3;Allemanda de E.R.;E.Reusner;;;;C;",a/ | \
[,aaaaVf1] {,,,a}/4 ,c a c [,,d{,,a}/] ,,,c \
,,,,,d/4 ,,a ,,b ,,d | \
[,,ac{,a}/] [,,,aVd1] ,,a/ {a}3/4 ,,,,a/4 [,,cc/] ,,,,d | \
,,,,,a3/4 ,a/4 [,,ee/4] ,,,c [,,,'a] ,,,,c \
[,aa,Vd/] ([,,,,'c/4] ,,,,a) [,cf,,a1] ,,e/4 ,,,c | "
4;d moll;3;Courante de E.R.;E.Reusner;;;;3;",a/ | \
[,aaa{,,,a}1] [,'c/] a/4 ,c a/ ,,,,a | \
,,,,,a/ ,,b ,,d ,,,,c V,,,,d ,,d | \
[,a,,,b/] ,,d [,,ba{a}1] ,,,,c/ | \
[,,aaVd1] {,a}1 ,/4 (,,d/4 ,,b ,,a) | \
[,,,cd{,,a}1] [,,,,'a] [,,ac,e/] ,,,,c | "
5;d moll;4;Sarabande de E.R.;E.Reusner;;;;3;"[,,aa{,,,a}1] [,,'bc] [,,aaa] | \
[,,acce3/2] ,,a/ [,,aaa{,,,a}1] | \
[,ba{a}1] ,c/ a [,aa,d1] | \
[,a,,'ca3/2] ,,e/ [,aVfa{,,,a}1] | \
[ed,,a1] [ff] [ed,,a] | \
['cd3/2] [cca,,e/] [aaa,a1] | "
6;d moll;4;Gigue de E.R.;E.Reusner;;;;3;"e1 ,a ,c | \
[aaVf3/2] ,,a/ ,,c1 | \
[,,ee3/2] ,,,,c/ [,a,,d1] | \
[,c,,,e3/2] ,,a/ [aa,,a1] | \
[,,e,,a3/2] {,,a}/ [,aa{,a}1] | \
[,ab{a}1] ,c [,,e,,a/] ,,,c | \
[,aVfa{,,,a}2] ,,,,a1 | "
7;d moll;4;Gavotte de E.R.;E.Reusner;;;;C;"[,,aaa{,,,a}3/2] ,a/ | \
[,,ee,a/] {a} [,aa{,a}1] [c,c{,,a}] [e,e] | \
[aaVf{,,,a}3/2] e/ [fa{a}1] ,c | \
([c,(e,,a/] e) [aaf)1] [,cfe3/2] [,,'e/] | \
[,aVfa{,,,a}3/2] [,c,c/] [aaa,a1] ,,,,,a/ ,,d | "
8;d moll;5;Gigue de E.R.;E.Reusner;;;;C;",a/ | \
[,aVf{,,,a}3/4] ,,a/4 [,,,'a3/4] ,,,c/4 ,,a3/4 ,,,,c/4 \
[,,,aVd3/4] ,,,,a/4 | \
[,,,cc/] ,,,,a [,ac,,e] ,,,,c [,,,ac{,,a}] [,,,,'a] \
[,,,cd{,,a}] ,,,,,b | \
[,,ac{,a}/] ,,,,,d [,,,aVd] [,,c{a}] [,,ee,a] \
[,,,'c] [,,,'a] ,a | "
9;d moll;5;Sarabande de E.R.;E.Reusner;;;;3;"[ef{,,,a}1] [,'d/] ,c [ac,,a] ,a | \
[,cc,,e1] ,,,e [,,,'c] | \
[,c,ca1] [,,,'a/] ,,,,c [,,aa] ,a | \
[,a,a,a1] [,,d,c] ,,,,d | \
{a}/ ,,,c ,,d ,,,,c [,,'bc] ,,,,c | "
10;F dur;6;Praeludium de E.R.;E.Reusner;;;;C;"{,a}/ ,,,a {c} ,,,,,d ,,,,d ,,,a ,,a [,,bc] | \
,,,e/ ,,d [,,,'c3/4] ,,,,d/4 ,,,,c/ ,,,c ,,d ,a | \
,,,,a/ ,,,a [,,'b3/4] ,,a/4 [,,ba/] ,,,,a [,,aaa3/8] \
(,,,,,d/8 ,,,,,b ,,,,,a) | "
