PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;A1r;1. Praeludij primi ad notam G sol re ut melos molle;;;OT;ConcR158;C;"z/ a h ,a/4 f [df/] c/4 ,d [ab] c [d,b] a | \
[c,d/4] ,a [ab] ,,b [,a,d] ,e/8 ,c [,ef,c/] ,,d"
2;;A1v;2. Praeludium harmoniae eiusdem;;;OT;;C;",,,,,a/16 n l k h f d c a ,b ,a ,,d ,a ,,d ,,b ,,a ,,,c ,,,a \
,,,,d ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a"
3;;A2r;3. Praeludium harmoniae eiusdem;;;OT;;C;"[aabc,a/4] d [c,d] [a,b] [,da] [,c,c] [,a,a] [,,d,d] [,,b,c] \
[,,a,a] [,,,c,d] [,,b,c] [aab,,a] ,,,,,d [cbd,a] [cefec] | \
[aab,,a/] ,,,c [c,da] [,a,,,c]"
4;;A2v;1. Praeludij primi ad notam G, sol, re, vt, melos duru;;;OT;;C;",a/ ,c/4 ,e [a,,e/] [,ea/4] ,,c [acd/] [cac/4] e f[c,c] ,e [ef,c/] | \
[cef,c/] [,,d,e/4] ,,,b [eacc/] [,c,b/4] ,e [a,,ce/]"
5;;A3r;2. Praeludium harmoniae eiusdem;;;OT;;C;"[aacc1] | [,fhh/] [hf,g] [ffhh] [eef] [ea,c/4] c a e [aac,,a] ,e ,c ,a | \
[,c,ca/4] ,e a ,c [,af,,e] ,c ,e a"
6;;A3v;3. Praeludium harmoniae eiusdem;;;OT;;C;",f/ ,f/4 ,f [he/] [ha/4] h [fc/] [ce] [ef] [fc] | \
[he/] [ef] c ,e [ef] ,,,c [cef] ,,f/4 ,,f |"
7;;A4r;1. Praeludij primi ad notam F fa ut melos molle, tono ficto;;;OT;;C;",,,,a1 ,,,,c/4 ,,,,e ,,,a/ a ,,,,e [b,,a/4] d f/ | \
,,,c/ e [f,,d] ,,d [da,c/4] ,c [bd,a/] [a,d] ,c |"
8;;A4v;2. Praeludium harmoniae eiusdem;;;OT;;C;"[,,dea/4] ,a ,b [,db,c] [a,,cd] b [db,c] [a,,,d] [bdda] a [,ddd] ,b [,aaa] ,,d [aadc] ,,c | \
[,bd,a/] a b [db,c] [f,dd]"
9;;A5r;3. Praeludium harmoniae eiusdem;;;OT;;C;"{d}/16 ,,,,,a ,,,,,b ,,,,,d ,,,,a ,,,a ,,,,d ,,,,b ,,,,a \
,,,,,d ,,,,,b ,,,,,d ,,,,a ,,,,,d ,,,,,b ,,,,,a \
{d} {a} {b} {d}"
10;;A5v;1. Praeludij primi ad notam F fa vt melos durum;;;OT;;C;"[,daa{d}/] f [,,aa/4] d c a [,da,c] a ,d ,c [,ab,,d] ,,d ,,b ,,a | \
[aab,,a/4] ,d ,c ,a [,cdca] ,a ,,d ,,b"
11;;A6r;2. Praeludium harmoniae eiusdem;;;OT;;C;"[ffhh1] | [fhi/] [eff/4] ,d [ffhh/] [fdde] [ddff] [acd] [cdda] d | \
[f,d/] ,a [ac] c [da] ,c [cda] ,,c |"
12;;A6v;1. Praeludij primi ad notam D la sol re melos molle;;;OT;ConcR3382;C;",,,,c/4 ,c ,d a c ,,,,e ,,,a ,,,c ,,,e e f ,,c ,,d e c ,,c | \
,,a/4 a ,d ,,,c ,,,a ,c ,a ,,,,e"
13;;B1r;2. Praeludium harmoniae eiusdem;;;OT;;C;",a1 [a,,c/4] c d/ [c,d/4] ,a [ab/] [,df] [a,,c/4] ,d | \
[,cd/4] [a,b] [,ca] ,e [a,,c/] \
[,da/4] ,c [,ab/] [,cd] [,ef] [ac] |"
14;;B1v;3. Praeludium harmoniae eiusdem;;;OT;;C;"[,aabc2] [a,b,,d/] ,a [a,d,d] ,,,c | \
[,da,c/] [,ab] [,c,ca/4] ,,d ,,,c ,,a [,abc,a] \
d [ab] c [da] ,,,,c [a,d,,d] [,,b,,a] |"
15;;B2r;Praeludium vnum ad notam D la sol re ficti toni melos durum;;;OT;;C;",,,,c/4 c ,e ,,f ,,c ,,,c ,,,,e ,,,,a ,,,,,c/ f/4 e [c,a{d}/] ,d/4 ,c | \
[,acc,a/] a/4 ,e [,c,ca/] ,,d/4 ,,c"
16;;B2v;Praeludij primi ad notam C sol fa vt melos molle tono ficto;;;OT;;C;",,d1 ,,d/ ,d ,b a [ab] [fa/4] ,,d | \
[da/] [a,,c/4] c [d,,c/] [a,d/4] ,d/8 ,b [,ab/] \
[,b,c/4] ,,a [,ab] a [c,d] [da] |"
17;;B3r;2. Praeludium harmoniae eiusdem;;;OT;;C;"a1 ,b/ ,d [a,d] c [d,,c] [c,a/4] a | \
[,db/] [,bd] [,df] [f,d/4] ,,,f [f,a/] [da/4] c [a,c/] [,bd] |"
18;;B3v;Praeludij primi ad notam C sol fa vt melos durum;;;OT;;C;"[aacc2] [acd/] ,e/4 ,c [,efe/] ,,d | \
[aacc1] [acd,a/] f [ca,a] ,,d/4 ,c [aacc] ,,d ,,c ,d |"
