PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2v;Si dans sa course le Soleil;;;OT;;none;"[aabc2] [c,,b] [aabc1] ,,,,c [,db] [,,a,a] [,aba,d2] | \
[,aba,d2] [,dda1] [,d,,c] [,b,,a] [,d,,c] ,,,,c ,,d [,aabc2] |"
2;;3v;Outré par la douleur des mortelles atteintes;;;OT;;C;"[aabc,a4] [,cdca2] [,dd,,c] [,,,ac] ,,,c [,aab(c3] [,,,,a)1] \
[,aba,d3/2] ,,a/ ,,,c1 ,c [,dda3/2] ,b/ ,a2 [d,da] c [,aba,d4]"
3;;4v;Amarilis ma seconde ame;;;OT;;3;"[aacc2] [,,dd1] [,acc3] [abd,a2] [aab,,a1] [,,ac(c] [,,,by)] ,,,,,a \
[,abc] [,,de] ,,,f [ddf] [,a,c] [,,b,c] [,,aa(y1] [,,,,d)] ,,d"
4;;5v;Amour n'est pas un dieu;;;OT;;C;"[aabcca4] [aabc,a2] [,,d,,(c] [,aba,d)] [,,b,a{a}1] ,,a \
[,aba,(d3] [,,,,,c)1] [aabc,a4] [,aaa(c1] [,,,,a)] [,aba,d2] \
[d,da1] c [dab,,d2] |"
5;;6v;Celle que j'ayme tant lasse d'estre cruelle;;;OT;;C;"[abdca2] [abdca4] [,d,,c2] \
M:3
[abbcd2],,,f1 \
M:2
[ddf2] [,,dd1] [,,bc] [,dda2] [abd,a] [abd,a2] [abd,a] [,d,,c] \
[,bbcd] [,aba,d] [,,d,,b1] ,,,a [,acc,a4] |"
6;;7v;Doncques je puis souffrir la lumiere des Cieux?;;;OT;;3;"[bdda4] [,,bc2] [,bd(d3] [,,,c)1] ,,,a ,a [abb,d6] [,dff4] \
[,,dd2] [,c,c] [,dda4] [abd,a(y] [,,,,,d)2] [bbd,,b3] ,,e1 ,b2"
7;;8v;Ton amour, où ma mort Silvuie Finira;;;OT;;none;"[bdd{a}4] [abd,a] ,,d2 [,def,d] [bdda] a1 ,d [abd,a2] [abd,a4] [,ddd{a}2] \
[,dba,d4] [d,da2] c [,aba,(d3] [,,,,,c)1] [aabc,a2]"
8;;9v;Blessé d'une playe inhumaine;;;OT;;C;"[bdda2] [a,d,e] [,dda1] ,,,c [,bdd2] [,bbcd1] ,,,d [,dda2] \
[abd,a] [abd,a] [,,,c,d1] ,,,,,b [,,,a,a] ,,,,d [,adcca] ,,c \
[abd,a2] ||"
9;;10v;Les Cieux son deserts a cette heure;;Recit de Mercure au Ballet de Madame la Mareschalle de Themines;OT;;none;"[bdda4] [bdda2] [bdda1] ,,,,a [ab(d] [,,a)] [,def,d2] [,def,d4] \
[bdd{a}2] a1 ,d [abd,a3] ,,,,,d1 [bbd,,b4] [,bbc2] [bbdd] \
[,bbdd] ,,,c"
10;;11v;Ie fus esbloui de clairté voyant ce soleil de beauté;;Courante pour Madame la Mareschalle de Themines;OT;;3;",,,a1 [cdd2] [,d,,c1] [,cdca(y3/2] [,,,,,d)/] [,,d,,c1] [,a,,,a] \
[,dd{a}2] [,cdca] ,,,,a1 [,cdc2] [,dd{a}1] [,aba,d] [,abc,a2] \
,c1 [,dd2] [,cdca3]"
11;;12v;Amour grand vainqueur des vainqueurs;;Air;OT;;3;"z2 ,,,,,d1 [,aba3/2] ,b/ ,,,,c1 ,d [a,,,d/] c [d,,c1] c \
[dab,,d2] ,,,,,d1 [,,ba3/2] ,,,,a/ ,,,,c1 [,db] [,bbcd] [,,bc]"
12;;13v;Bien que vos yeux bruslent mon ame, Chere Philis;;Air;OT;;3;"[ddff3/2] ,,,e/ [,abc] ,c [,dda1] [,d,,c] [a,,,d] [,aba,d] \
[,dd,,c] [,aba,d] [,dda2] (,,,,d1 ,,,,c) [,db,(y1] ,,,,a \
[,,aay)] [,ddca] ,c/ d [cdd{a}3] ||"
13;;14v;Ie hay les antres sauvages;;Vers faits par Madamoiselle de Rohan;OT;;3;",,,,d2 [abb] ,a [,dda] ,,,,c [,db] [,bbcd] [,aba,d6] [,b,,(a2] \
[,d,,c)] ,,,,d [,,bc(y2] [,,,,c)] [,b,,a1] ,,a [,aba,d4] ||"
14;;15v;Voudriés vous estre mon berger;;Dialogue de Rigaud;OT;;C;"[,aba,d2] [,aba,d] [,b,,a1] [,d,,c] [a,,,d] ,,,,a/ ,,a \
[,aba,d2] [,aba,d] [,dda/] ,,b [,daa1] [,dd{a}2] \
[,cdca1] ,,b/ ,,a [,ddca1] ,c [cdd{a}4] ||"
