PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2r;Fantasie;;;OT;ConcR1843;C;",,,c4 | ,,,c2 ,,b | ,,a2 ,,,c | ,a2 ,,,,,a | \
[,a,,,a2] ,,,,,d | [,,d,,c2] [,,b,,a] | \
[,,,ac1] ,,b ,,a ,,,c | [,,aac2] [,,bac] | \
[,,dcd1] ,,b ,,d/ ,,b ,,a ,,,c |"
2;;5r;Fantasie;;;OT;ConcR1390;C;"f4 | [fd4] | [cd1] a/ c d c a c | [da1] a c d | \
[fc1] c d f | h2 ,d |"
3;;8r;Fantasie;;;OT;ConcR1844;C;",d4 | ,d2 ,d | a2 b | ,,d1 b a ,d | [,bd1] ,a [,bd2] | \
[,df2] ,b1 a | b1 a [,df] [,bd] | [,acc1] ,,a [,bd2] |"
4;;10v;Fantasie;;;OT;ConcR1845;C;"[aa,c,a4] | [abd,a4] | [,daac1] a ,d ,b | \
[,aaac1] ,,d [,a,a2] | ,,,,d1 [,a,c] [a,d] ,,b | \
[aa,cd2] [a,d] | ,,,,c1 [ca,c] ,,,b ,,,,e | [ca,cc2] ,,,b |"
5;;13v;Fantasie;;;OT;;C;",,,,a2 ,,d1 ,,,,c | ,,,,d1 ,,,a [,,dc] ,,a | \
[,acc2] [,,d,d] | \
[,,da1] ,,c/ ,,a [,,dc] ,,c ,,d/4 ,,c ,,a ,,c | \
[,bd,a2] ,,d1 ,a |"
6;;15v;Quando pens'io al martir';J. Arcadelt;;OT;ConcR1327;C;"[aa,c4] | [acd/] ,,c ,,d ,a ,c ,a ,c/4 ,a ,c ,d | \
[ac1] ,,d [,ac2] | [,a,c2] [aacc] | [ccde2] [,dd] | \
[aadc2] [a,cc1] ,,d |"
7;;18r;Elle voyant;;;OT;ConcR1854;C;"[effc4] | [effc2] [effc] | [ccde2] [caab] | \
[aacc1] [,,ab] [a,,ce] [,,,bc] | \
[a,,ce/] ,,a ,,c ,,e [a,f] ,,e ,,f/4 ,,e ,,c ,,e |"
8;;19v;Pauane, La Romanesque;;;OT;ConcR840;C;"[dabacd2] [dabacd1] ,,,,,c | \
[dabacd1] ,,,,a [da,,c] ,,,,e | \
[cdda2] [cdd1] ,,,a | [cdda1] [cdd] [ddda] [cdd] | \
[aabc1] ,,,,,a [aabc] [,ea,c] | \
[aabcca1] d [cab,,a] a |"
9;;22r;Pauane, Est il conclud. À corde aualee;;;OT;;C;"[acdca4] | [acdca2] [acdca] | [cdda1] a [,ddef] ,c | \
[,acccc2] [,cdca] | [,daaaa1] ,c [,aaa,a] ,,d | \
[,acccc1] ,,d [aadccc/] ,,c ,,d/4 ,,c ,,a ,,c |"
10;;23r;Pauane, I'ay du mal tant tant. À corde aualee;;;OT;;C;"[fcdca2] [fcd1] ,,,,a | \
[cdda,a/] e/4 c e c a c [ea,,,c/] a c e | \
[fcdca/] e c e f c [e,,,a] f |"
