PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;Fantasie;;;OT;;C|;",d2 | ,d1 ,,e | [,de1] ,,,f | [dd,f1] ,,,d/ ,,,b | \
,,,a1 [,def] | d/ ,,,d [,dd1] | [d,,b1] [,bb] | \
[bdda/] ,b ,d/4 ,b ,,e ,,d |";french5tab
2;;4r;Fantasie;;;OT;ConcR2718;C|;",f2 | ,c/ ,e ,f ,e | [,ff/] ,e ,f/4 ,e ,c ,e | [a,b1] ,a | \
[cdd/] ,e ,f1 | [cff/] ,e ,f/4 ,e ,c ,e |";french5tab
3;;7v;Fantasie;;;OT;ConcR1482;C|;",a2 | ,a1 ,,c | [,ac1] ,,,c | [aa,c2] | [a,,c1] ,,,,e | \
[a,,ce1] [,c,,a] | [,c,ca1] ,,,,,e | [,a,c1] ,,,,,c/ ,,,,,a | \
[,,d,,c/] [,,,ba] ,,,c1 | [,,d,,c1] [,,,ba] |";french5tab
4;;10v;D'amour me plains;Roger Patie;;OT;ConcR1688;C|;"a2 | c/ a/4 c e c e/8 c a c | \
[ea,c/4] ,,,a ,,,c ,,,e ,,,c ,,,a ,,,,e ,,,,c |";french5tab
5;;11v;Mon pensement;Gombert;;OT;ConcR2696;C|;",,,,c2 | ,,,c1 ,,,e | ,a1 ,,,b | [a,,,e/] ,,,b [a,,c] ,a | \
,,c/ ,,e [,ef1] | [,c,e/] ,,e ,,e ,a/4 ,c | \
[,ef1] [a,,e/] ,,,c |";french5tab
6;;13v;Si quelque fois;Gentian;;OT;ConcR2719;C|;"[aacc/] ,c a c | [effc/] c/4 e [fc,,a] e c a | \
[cdda/] ,c/4 ,a ,,d ,,c ,,a ,,,c |";french5tab
7;;14v;Si vous voulez;;;OT;;C|;"[aacc2] | [ac,ca1] [a,dce] | [,efec1] [,acc,a] | \
[aa,c,a1] [aa,c,a] | [,efec1] [,cdce] | [,ccc,e1] ,,g | \
[,ccce1] ,,,c | ,,,c1 [,cdca] | [,cdca/] ,a/4 ,c ,d ,c";french5tab
8;;15v;La volunté si long temps endormie;Sandrin;;OT;ConcR1834;C|;"[,efec1] | [aabc/] c [dabc] [dcb] | \
[,dda/] c/4 a [ddda] c d/8 c a c | d/ ,,,,,d [ddf] ,,,f |";french5tab
9;;17v;Se qui m'est deu & ordonné;Sandrin;;OT;ConcR2720;3;"[cdda/] a [cdda] ,d [adda] c | [da,a/] ,,,,,d [da,a] c [abd,a] ,d | \
[abb,d/4] ,d a c d c a ,d [a,aa] ,d ,c ,a |";french5tab
10a;;19r;Adiuva me domine;;;OT;ConcR2342;C|;",f2 | [hf1] ,f | [hd1] f | [df/] c/4 d f d c a | \
[ca/] d/8 c a c d/ ,a |";french5tab
10v;;21r;Secunda pars / Servus tuus ego sum;;;OT;ConcR2343;C|;"[hd,f,d2] | [hd,f,d1] [hd,f,d] | [fd,ef/] e f ,,,,f | \
[dabc/] c d ,c | [,dda/] d c a | [cdd/] ,,,a [ddf,,d1] |";french5tab
