PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;B2v;1. My Lord Treasurer his Pauen;;;cittern;;C|;"[,dfa3/2] d/ | [edfa3/4] d/8 e d/ ,d | [,bfd/] ,,f ,b b | \
[dadc/] ,,a ,,d ,b | [,dba/] ,b/4 ,d ,b/ ,,g |";french4tab
2;;B3r;John kiss mee;;handwritten addition;;;C;"[daaa3/2] d/ [daaa1] [daaa] [acab3/2] a/ [acab1] [acab] | \
[daaa3/2] d/ [daaa1] [daa] [cac3/2] d/ [cac1] [cac] |";french4tab
3;;B3v;2. The Galliard to the Pauin before;;;;;3;"[,dfa3/4] d/4 f1 [gaaf] | [ihla3/2] l/ i1 | [ihl3/4] ,,k/4 [lih1] [nff] | \
[ohla3/2] i/ l ,i | [ihla3/2] ,,f/ ,a g |";french4tab
4;;B4r;Sellingers Round;;handwritten addition;;ConcR19;none;"[daaa1] [daaa] [daaa3/2] d/ [daaa1] [acab] [acab] [acab3/2] a/ [acab] | \
[daaa1] [daaa] [daaa3/2] d/ [caaa1] [acab] ||";french4tab
5;;B4r;fadda???;;handwritten addition;;;none;,,c/ c ,a1 ,,c/ c ,a ,,a ,,a ,,d ,,b ,,a ||;french4tab
6;;B4v;3. A Fantasie;;;;;C|;"d1 | d1 f | [hf1] i | [lf1] ,h | [qk1] ,l | [pn2] | \
[nl3/4] l/8 n o n o n o n l n |";french4tab
7;;C1v;The Bells of ???;;handwritten addition;;;none;",,a/ ,a ,,,b ,,,a ,a ,,c | ,,a/ ,a ,,,b ,,,a ,,c | \
a/ ,a ,,,b ,,,a ,a ,,c ,,a ,a ,,,b ,,,a ,,c ||";french4tab
8;;C1v;Kitt Kneell???;;handwritten addition;;;none;",,a/ ,a ,,,b ,,,a ,a ,,c a ,a ,,,b ,,,a ,a ,,c | \
,,a/ ,a ,,,b ,,,a ,a ,,c | [daaa] d [cac] [daaa] d d ||";french4tab
9;;C2r;4. Wades Welfare;;;;;3;"l/ | [laaa/4] i h f [dc/] | h/ [fccc/4] d c a | \
[,acd3/4] a/4 c d | f/ ,,c/4 c d f |";french4tab
10;;C2v;5. Powles Carranta;;;;;3;"l/ | [haaa3/4] f/4 d/ | [,ae/] d [fac] | [haa/] f/4 h [dcf/] | \
[icc/] f l | [haaa3/4] i/4 ,f f |";french4tab
11;;C2v;Rogero;;handwritten addition;;;none;"d/ f [hfh1] [hfh] [ifff] [ifff] [hfh3/2] i/ [hfh1] | \
l/ i/ f f d c3/2 a/ [cac1] a/ ,a |";french4tab
12;;C3r;6. O Cupid looke about thee;;;;;C|;"[fa/] | [haa/] d/4 ,,c [lae/] [iff/4] h | [fa3/4] ,c/4 [fe/] [la] | \
[lkm/] [lkm] [hfk3/4] k/4 | [la/4] ,,f ,,,a ,,c ,,a/ [la] |";french4tab
13;;C3r;Passinie Suvs(?) gallcad(?);;handwritten addition;;;none;"d/ f [gddd] g [gddd] [gddd] [gddd] [gddd] [fdf] n [fdf] [fdf] [fdf] [fdf] \
[daaa] d [daaa] [gddd] [fdf] [daaa] [cac] d [cac]";french4tab
14;;C3r;The Earl of Darbys march;;handwritten addition;;;none;"[laaa1] i h/ f | [daaa1] b/ a ,a [acab] [acab2] [cac3/2] d/ \
[cac1] [daaa] [daaa] [daaa] ||";french4tab
