PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;1r;Sarabande + 2 Double;;;;;3;"[aa,,a1] [cc] [ed] | {,,,a}1 {,,a} {,a} | \
{a}1 [cc] [aa] | ,,,,,a/ ,c [,'a] ,,e ,a1 :| "
2;d moll;1v;Gavotte de l'amour;Gallot le Jeune or Lully;C'est l'amour qui nous menace from 'Roland';;Conc_1284;C;"[,'a,,a1] ,,a/ ,,,,,d ,,,,,b ,a ,,,,,a ,c | \
[,'c{a}1]> ,a (,,,e/ ,,e) ,,,,,a1 | ,,,,,e/ ,c ,,,,a a ,,,,,b \
,c {a} ,c | "
3;d moll;2r;Air;;;;;3;"[ad{,,,a}1] [,'aa{,a}] [,cc{a}] | [,,'e,,a1]> {a} [,aa{,a}1] | \
[c{,,a}1] [,c,,,e] [aa,,a] | [,'c,,,a1] ,,,,,b/ ,,,,,a {a}1 | \
V[e{,a}1] [,'a] [,ca,,e] | "
4;d moll;2r;Gavotte;;;;Conc_831;C;"[,aaa{,,,a}1] ,,,,,e/ ,c [ada,a1] [ada] | [c{a}/] e 'c \
(,d [,c{4}1]) {,,,a}/ e | ['e{,,a}1]> ,g e1 ,,,,,a :| "
5;F dur;2v;Aimable Vainqueur;André Campra;Aimable vainqueur' from Opera 'Hésione;; Conc_1376;3;",,d1 | [,,'a{,a}1]> ,,,c [,,,'a/]> ,,,,c | [,,,aVd1] \
,,,,,a/ ,,,a [,,,cc{a}1] | {,a}/ ,,a [,,,'a] ,,,,c \
[,,,,'a] ,,c | [,,dcc1] ,,,,,d/ ,,,,,b [,,d,,a1] | "
6;d moll;3r;Gavotte;Pinel or Mouton;La Gavotte Royale or Frondeuse;;Conc_92;C;"[,aVf,a/] ,c V[,d] c Ve1 ,,,,,e/ ,c | ['a,,,a/] ,c a c \
,,,,,a ,c ,,a {a} | [,,'a{,a}/] ,,c ,,d ,,a ,,,,a ,a \
,,,,,a ,,d | "
7;d moll;3v;Gigue de Strobel;Dufault or Gaultier or Strobel;;;Conc_303;3/4;",a/ ,,e | [,aVf,a2] {,,,a}1 {,,a}1> ,,f [,,'d] ,,,f | \
{,a}1 ,,a ,,,c [,,,'a2] ,,a1 | ,,,,,d1 ,,,c ,,,,c ,,,,,e \
,,a ,,,c | "
8;C dur;4r;Combatte navale;;;;Conc_1377;C;",c/ | [,c,,,d/] ,a ,c c {a} ,a ,,c ,c | [,,a,,a/] ,,c V[,,d] \
,a {a} ,,c ,,,c {,a} | "
9;a moll;4v;Double du Gavotte de Jean Baptiste - second;Lully;see Gavotte on p. 7r;;;C;",,,,,a/ ,,a ,,,d ,,c [,,d,,a] {a} {,a} {,,a} | \
[,a{,,,a}/] ,,d [,,'c] ,,a {,,a} (,,,e ,,,d) {,,,a} | "
10;d moll;4v;Preliminair;;;;Conc_2370;C;",,,,a/ ,,a ,a ,,a ,,,,,e ,,a ,c ,,a | ,,,,a/ ,c a ,a ,,,,,e \
,c ,,a e | ,,,,a/ ,c a ,a ,,,,,d ,c ,,a ,a | "
11;d moll;5r;Courante de But;Du But;;;Conc_331;3/4;",,a/> ,,a | [,,aaa1] {,,,a}/ [,,bc] [,,'aa] [,,,cc] | \
[,,,'aa/] ,,,,,d ,,,,,b ,,,e [,,,'c/]> ,,a | [,,aVe2] \
,,,,,a1 | [,aba{,,,a}1] [,,'d{,,a}/] ,,b ,,a {,a} | "
12;d moll;5v;Air;;;;Conc_4274;C;",,,,a/ ,a [,,'e,,a] ,,a ,,,,,c ,a ,,,,,e ,c | \
,,,,a/ ,d [,'c/]> ,a ,,,,,a/ ,c [,,'e] ,,a | ,,,,,b/ ,a \
,,,,,a ,,d"
13;D dur;5v;Hammar Smeden;J. Bull or Losy;;;Conc_1378;3/4;",,a1 | [,aab{,,,a}1]> ,a [,,'e,,a1] | [,aa{,a}1] ,a \
[,c{,,a}1] | [,e{,,,a}1] [c{,,a}] [e{,a}] | [,e,,a1] \
,a e/ ,,,,e | [,,c{a}1] ,,e ,,,,e/ ,a | "
14;a moll;6v;Le malheureux amant: allemand de Gaillot;Jacques Gallot;;;Conc_151;C;",,h1 ,,,h/> ,,h [,,fg/] ,,,,h [,,h,g] ,,f | \
[,,hh/] ,,,,,a [,,,'g{,,a}] ,,,,f [,,,a{,a}] [,,a,,h] \
,,,,,f/> ,,,g | [,,,,'g{,,a}/] ,,,,,h ,,,g ,,,,,f"
15;D dur;7r;Ballet;;;;;C;"[,aaba/]> {,,,a} ,,,,,e/ [,ca] e c b {,,,a} | \
[g{a}1] [e{,a}] [c{,,a}] ,e/ ,c | [,'c,,,a1]> ,a \
[,aa,a1] {,,,a} | "
