PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;G dur;1v;Sarabande;;;2a;Conc_1050;3/4;"[,,aa1] [,,aa] {a} | \
X[,,aa2] ,,,,,a1 | \
[,,bc1] [,,bc] {a} | \
[,,aa2] {,,,a}1 | \
[,,,ca1] [,,,ca] {,,,a} | \
X[,,,ca2] {,,,a}1 | \
{,,a} {,a} {a} | \
X[,,,ca{,,,a}2] {a}1 |"
2;G dur;2r;Balet de lespine;Charles de Lespine;;2a;Conc_4457;C;",,a/ | \
X[,,aa{a}3/2] ,,,c/ [,,,c{,,,a}] ,,a ,,b ,a | \
X[,,aa{a}1] ,,,a [,,aa] X,a3/4 ,,b/4 | \
[,,aa{a}/] ,,,a X,c ,a [,,cc] ,a X[,c,,,a] ,,a/4 ,,c | \
,a1 {,,,a} [,adc2] |"
3;G dur;2v;Courante de lespine;Charles de Lespine;;2a;Conc_4458;3/4;",a1 | \
X[baa{a}3/2] d/ f1 | \
X[b,,a1] ,a b | \
X[baa{a}2] [,ad1] | \
,c1 [,,bc,a3/2] ,a/ | \
X[,,aa{a}1] ,,,a [,ad] | \
,c1 X[,,c,,a3/2] ,,a/4 ,,c | \
,a1 {,,,a}2 |"
4;G dur;3r;Balet de lespine;Charles de Lespine;;2a;Conc_4459;C;"b/ | \
X[baa{a}3/2] d/ X[aa{,,,a}] ,a ,c a | \
X[baa{a}3/2] d/ f ,,,a Xd ,f | \
X[aa{,,,a}/] a/4 b d/ ,,,,,c/4 ,a ,,,,,e ,c ,,,,a a X[,c,,,a/] ,,a/4 ,,c |"
5;D dur;3v;Courante de monsieur;;;2a;Conc_323;3/4;"d/ | \
[de{,,,a}3] | \
[,c,,,e1] [ae,,a1] X[,c,a3/4] ,a/4 | \
X[,,cc,a3/2] ,,d/ ,c1 | \
,,,c1 [,,d,d] [,,c,c] | \
[,ad,a1] {,,,a}/ ,c a b | \
d1 [bc{,,a}2] | \
X[aa{,,,a}3] |"
6;D dur;4r;Courante de la reine d'angleterre;;;2a;Conc_5118;3/4;",a1 | \
[,ad{,,,a}1] X,,c3/2 ,,a/ | \
[,,,c,a2] [,ad1] | \
[,ad,,c1] [,c,,,e3/2] ,c/ | \
X[aa,,a1] {,,,a} b | \
[bc{,,a}1] X[aa{,,,a}3/2] ,c/4 a | \
,c1 ,,,,,a/ ,c a c |"
7;G dur;4v;Balet de lespine;Charles de Lespine;;2a;;C;",a3/4 ,,b/4 | \
X[,,aa{a}1] [,,b,,a] [,ad,,c] [,c,,,d/] a | \
X[baa{a}/] ,,,,a ,,,,c ,,,,e ,,,a f Xd3/4 ,f/4 | \
X[aa{,,,a}/] {,,a} {,a} {a}"
8;G dur;5r;Courante de lespine;Charles de Lespine;;2a;;3/4;",,a/ | \
X[,,aa{a}3/2] ,,b/ ,a1 | \
X,,a1 ,,,a ,a | \
X[,aa{a}3/2] ,c/ ,a ,,b | \
X,,a1 ,,,a ,,,,e | \
X[,aa{a}3/2] ,,c/ ,a1 | \
,c1 X[,c,,,a3/2] ,,a/4 ,,c |"
9;G dur;5v;Sarabande De lespine;Charles de Lespine;;2a;;3/4;"[baaa1] [baaa] d | \
X[aa{,,,a}3/2] d/ [b{a}1] | \
[faaa1] [faaa] f | \
X[d{,a}3/2] ,f/ a1 | \
{,,,a}1 {,,a} {,a} | \
X[,c,,,a3/2] ,,a/4 ,,c ,a1 |"
10;D dur;6r;Balet de lespine;Charles de Lespine;;2a;;C;"[,ad,a1] {,,,a}/ ,c X[aa,,a] ,a [bc{,,a}] d | \
X[aa,,a1] {,,,a} [aad] ,a/ ,c | \
[aa{,,,a}/] b [d{,a}] d [b{,,a}] b X[aa{,,,a}3/4] ,c/4 |"
11;G dur;6v;Sarabande de lespine;Charles de Lespine;;2a;;3/4;",,a/ | \
X[,,aa{a}3/2] ,,a/ [,,b,,d1] | \
[,,aa{a}1] ,,a [,,,ca{,,,a}/] ,,,a/4 ,,,c | \
,,a1 ,,,a ,c | \
[,,bc,a1] ,,,,c ,,,,e | \
X[,,a1] {a} [,ad] | \
,c1 X[,,c,,a3/2] ,,a/4 ,,c | \
,a1 {,,,a}2 |"
12;G dur;7r;Courante de lespine;Charles de Lespine;;2a;;3/4;",a/ | \
X[,aa{a}3/2] ,c/ ,a ,,b | \
X,,a1 ,,,a b | \
[bc{,,a}3/2] d/ b a | \
[,c,,,d1] ,,,c d | \
[da{,a}3] | \
[f{a}1] X[d{,a}] ,f |"
