PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;[end of piece];;;;;;
2;;1v;Gavotte;;;;Conc_5269;;
3;;2v;Güque;;;;Conc_4485;;
;;;Suite;;;;;;
4;;3v;Praelud;;Accord c dür = 107;;;;
5;;4v;Allam.d;;;;Conc_4463;;
6;;5v;Courant;;;;Conc_4464;;
7;;6v;Saraband;;;;Conc_4465;;
8;;7v;Gavotte;;;;;;
9;;8v;Chique;;;;Conc_4466;;
;;;Suite;;;;;;
10;;9v;M: Sp: Allamand;;;;;;
11;;10v;Courant;;;;;;
12;;11v;Saraband;;;;;;
13;;12r;Güque;;;;;;
;;;Suite;;;;;;
14;;13v;Allamand Augs Verduwen;;;Radke 12;;;
15;;15v;Courante;;;;;;
16;;16v;Sarab;;;;;;
17;;17v;Güque;;;;;;
18;;;Suite;;;;;;
19;;19v;Allamand A: J:[?] W:;;;;;;
20;;21r;Courant;;;;;;
21;;22v;Sarab;;/ Acord = 101 /;;;;
22;;23v;Gavotte;;;;;;
23;;24v;Güque;;;;;;
;;;Suite;;;;;;
24;;25v;Praelude;;;;Conc_4482;;
25;;27v;Allamand;;;;;;
26;;28v;Courant Simpel;;;;;;
27;;29r;Saraband;;;;;;
;;;Suite;;;;;;
28;;31v;Allamand;;;Radke 12;;;
29;;32v;Courant;;;;;;
30a;;33v;Saraband;;;;;;
30b;;33v;Double;;;;;;
31a;;34v;Saraband;;;;Conc_4475;;
31b;;34v;Double;;;;;;
32;;34v;Güque;;;;;;
;;;Suite;;;;;;
33;;35v;C: B: Allamande;;/ Acordt = 100 /;;;;
34;;36v;Courant;;;;;;
35;;37v;Sarab;;;;;;
36;;38r;Güque;;;;;;
37;;38v;Gavot;;;;;;
38;;39r;Air Sarabande;;;;;;
39;;39v; Gavotte;;;;Conc_4467;;
40;;40v;Corant de Label Homoise;Denis Gaultier;;;Conc_8;;
;;;Backwards;;;;;;
41;;82v;Gavott;;/ Accord = 105 /;;Conc_92;;
42;;82r;Courant d'Butt;;;;Conc_331;;
43;;81r;Gavotte;Pierre Verdier;;Radke 23;Conc_4483;;
44;;80v;Air C'est l'amour;J.B. Lully;;;Conc_1284;;
45;;80r;Thätta wÿda Willa Haaf;Gustav Düben;;;;;
46;;79v;Wär högste herre Gud;Gustav Düben;;;;;
47;;79v;Hur Fåfängt är alt hwad mäd ifwer;Gustav Düben;;;;;
48;;78v;Hwad är thet åht at jag mit Sinne qwällier;Gustav Düben;/ Accord = 105 /;;;;
49;;78r;Alt effter Guds behag;Gustav Düben;;;;;
50;;77v;Canzon;;;;;;
51;;77r;Engelsk Nachtigall;;/ Accord = 102 /;;Conc_285;;
52;;76r;Courant immortelle;Ennemond Gaultier;/ Accord = 103 /;;Conc_95;;
53;;75r;Courante la belle homicicde de Gaultier;Denis Gaultier;;;Conc_8;;
54;;74r;Air;J.B. Lully;La beauté la plus sévère Atys, act 4, scene 5;;[f.74r - f.60r];;
55;;73v;Air;;;;;;
56;;73r;dan Hobq (?);;;;;;
57;;72v;Svy Wong la main;J.B. Lully;Suivons l'amour;;;;
58;;72r;Hollandsche Sügck;;Holländischer Gigue;Radke 19;;;
59;;71v;Polones;;;;;;
60;;71r;Proportion;;;;;;
61;;71r;Polones;;;;;;
62;;70v;Proportion;;;;;;
63;;70r;Serra Polones;;;;;;
64;;69v;Vous ne devez plus attendre;J.B. Lully;Amadis;;;;
65;;68r;Solen hafwer sig fron oss wend. Air;;;Radke 16;;;
66;;68r;Dagen ifrån oss skrider. Air;;;Radke 23;;;
67;;67r;Så skiön lýser then Morgonstiern;;;;;;
68;;66v;O gudh o gudh lofwåm;;;Radke 12 - Radke 23;;;
69;;66r;Air;;;;;;
70;;65r;Aenglische Glocke;;;Radke 16;Conc_4461;;
71;;64v;I marken satt etc.;;;;;;
72;;64r;Air;;;;;;
73;;63v;Menuet;J.B. Lully;Suivons l'amour d'Amadis;;Conc_1295;;
74;;63r;Güque;;;;;;
75;;62v;Masquerad;;/ Acord = 103 /;;;;
76;;62r;Air;;;;;;
77;;61v;[Chorale?];;/ Acord = 104 /;;;;
78;;61r;[sans titre];;;Radke 12;;;
79;;60r;La Beauté;;;Radke 19;[f.74r - f.60r];;
80;;59v;Chanson;;;;;;
81;;59r;Allemande;;;;Conc_4478;;
