PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;3r;[incomplete piece];;;OT;;3;"[,b,,a/] ,d | [aab,d] ,,,a ,,,c a ,d ,b | ,,,,d/ ,,,,c ,,a [,,b,,a] ,,d | \
[,aba,d/] ,,,,a ,,,,c ,a ,,d ,,b |"
2;;3r;[incomplete piece];;;OT;;3;",a/ ,b ,d | [abb,d1] ,d/ ,b ,a [abb,d1] | ,d/ a c [bb,d1] | \
c/ a ,d | [,bba,d1] ,b/ ,d a |"
3;;13v;sans titre;;;OT;;3;"[,dddf1] | [f,ddf2] [dbbc1] | [bdda2] [bdda1] | [bdda/] ,,b/4 ,,d ,a ,b ,d a [bdda1] | \
[dabc2] [fbdd1] | [ddff1] [ddda/] ,,,,d [ddda] c |"
4;;13v;sans titre;;;OT;;C|;"[,acc,a] | [,cdca1] [,cdca] | [,efg,e1] [a,c,,a] | \
[,cdca/] ,e [a,c,e] [,cd] | [,efec1] [,acc] | \
,,,c/ ,,,b [,cd,e] a/4 ,c | [,efec1] [,ea,,e/] a |"
5;;13v;Jocundus;;Orlando di Lasso: 5. part of Beatus vir;OT;ConcR2538;C|;"[,dff2] | ,,b1 ,d | [cb,c1] [cdda] | [dfg,d/] ,,,a [,a,c] ,,,e | \
[,d,f1] [c,da] | [acd1] ,,d | [ddff1] [cdda] | \
[abbc/] ,a ,a [,,aa] |"
6;;14r;sans titre;;with variation;OT;;C|;",,d2 | ,,d2 | ,,a1 ,,d | ,,,c1 [,,de] | ,,a1 [,,da] | ,,,a1 [,daa] | \
[,abc3/2] ,,,c/4 ,,b | [,cd,a1] [aa,c] |"
7;;14r;Je ne scay;;J. Arcadelt;OT;ConcR2539;3;"[,dff1] [,dff] [,bd] | [,dff2] [,dff1] | [ab,,d2] [ab,,d1] | \
[,dff1] [,dff] [,bd] | [,acc3] | [,abc1] [,abc] [,abf] | \
[,,def2] [,abf1] |"
8;;14v;sans titre;;;OT;;C|;"[,,def2] | [,,def1] [,,def] | [,df,c2] | [,abc1] [,cd,a] | \
[,df,,d2] | [,ad,a1] [,,de] | [,a,c1] ,,c | [,bd,a1] [,,def] | \
[,ab,,d2] | [,,def1] [,,bcd] | [,,aaf2] |"
9;;50r;O seigneur…;;;OT;;C|;"[,cde,c2] | [ccd,,c2] | f1 [,cd,a] | [eff,,a1] [ccd,,c] | \
[bcc,e2] | [,ccce1] [acc,e] | [c,ee,c2] | [,cee,c2] | \
[,dfec1] [,defec] |"
10;;50r;Quare(?) vure(?) la clartij(?);;;OT;;3;"[,d,a1] | [cdf,c2] [ccd,a1] | [ddb3/2] ,,a/ [af,c1] | [fh,a2] ,,,a1 | \
,,,a1 [fh,a2] | [gi,f1] ,,,h [gif/] ,,h | ,,i2 [df1] |"
11;;50r;Amour est ung;;;OT;;C|;"[ac,,a1] [aa,c/] [,cde] | [,dfa1] [,,da/] ,c | [,acc1] [,,d,a] | \
[a,,,a1] [aa,c/] [,cde] | [,dfa/] ,c [,cda] ,a/4 ,,d | \
[,adc1] ,,c | [,,d,a2] |"
12;;60v;sans titre;;with variations;OT;;C|;"[,dbca/] a [,d,c] [,ad,a] | [,c,c/] ,d [,c,,a] [,,bc] | \
[,,dc,a/] ,a ,,d ,,c | ,c/ ,,,,a ,,b ,,,c | \
[,,dc,a/] ,,b/4 ,,d ,a ,,d ,,b ,,d |"
13;;61r;sans titre;;unfinished;OT;;3;",,d/4 ,a ,b ,d a/ c d ,,,,,d | \
,,,c/4 ,,a ,,b ,,d ,a/ ,c ,d ,,,a |"
14;;62r;Senza;;with variations;OT;;C|;"[,dddef2] | y2 | [,cdca2] | [,daac2] | [,ddca2] | [,cdca2] | \
[,ddef2] | [cdda2] | [cdda1] [acd,a] | [,dfec1] [,dfec] | \
[,cde,c1] ,c |"
15;;86v;De touts mes maulx;;with text;OT;;C|;"y/ [cdda/] [cdda] [cdda] | [cdda1] [fdaa3/4] [dab,a/4] | \
[cdda/] [abb,d] [cdf,c1] | [ddf,d1] [cdda] | \
[acd,a/] [acd,a] [cdda1] | [ddf,,d1] [ddf,,d3/4] [ddf,,d/4] |"
16;;86v;sans titre;;;OT;;3;"[fggd1] [dfg,d] [bdda] | [acd,a2] [acd,a1] | [acd,a1] [acd,a] [bdda] | \
[d,,,d2] [bdda1] | [acd,a3] | [bdda1] [,fef,d] [,def,d] | \
[,cdca2] [acd,a1] | [acd,a3/2] [acd,a/] [acd,a1] |"
17;;86v;En touts mes maulx;;upside down;OT;;C|;"y/ [aabc/] [cdda] [dabc] | [fcd,a1] [dfg,d] | [dfg,d3/2] [bbd,,b/] | \
[abb,d1] [,dff,d] | [,bdca/] ,a/4 ,b ,d ,b ,a ,,d | [,acc,a2] |"
18;;87r;De touts;;;OT;;C|;"[da,a,d] [da,a,d] [d,,,,d] [d,,,,d] [d,,,,d] [fd,a] [d,,,,d] [bdda] [acd,a] [,d,a] [,d,a] | \
[,d,,f] [,d,,f] [,d,,f] [,d,,f] ,d ,d ,d a b ,d ,d |"
19;;87r;Nul nest;;upside down;OT;;C|;"[aabc] [cdda] [dab,,d] [dab,,d] [dab,,d] [dab,,d] [cdda] [abb,d] [cdda] [dabc] [cef,c] | \
[bd,f,d2] | [fd,ef1] [dabc] | [ca,bc/] ,,,c [ca,cc] ,,,b | \
[aacc,a2] |"
20;;108v;CXXIIII;;Psalm?;OT;;C|;"[aacc2] | [cef,c1] [effc] | [fcd,a2] |[efh,e2] | [cdfaf1] [acc,e] | \
[acd,a1] [,efec] | [aacc2] | y2 | [effc2] | [fcde1] [he,,h] |"
21a;;109r;sans titre;;;OT;;C|;"[,ddef/] ,c/4 ,a ,,d ,a ,c ,d | [acd,a3/4] ,d/8 a [cdda/4] a ,,,a c | \
[d,ff,d/] ,,g [,,f,,d] ,,d |"
21b;;109r;[variation I];;;OT;;C|;"[,ddef3/4] ,,,f/4 ,,d ,a ,c ,d | [acd,a/] ,d/4 a [cdda/] a/4 c | \
[dab,,d/] ,,a [,aba,d] ,,d | [cdf,c/] ,,d [,,,fc] ,d |"
21c;;109r;[variation II];;;OT;;C|;"[,ddef3/4] ,c/8 ,a ,,d/4 ,a ,c ,d | [acd,a3/4] ,d/8 a [cdda/] a/4 c | \
[dab,,d3/4] ,,a/8 ,,b [,,d,,d/] ,d/4 a |"
22;;110r;sans titre;;;OT;;C|;"[da,,,d2] | ,,,,a2 | [ca,,c2] | [,df,c2] | [a,b,d2] | \
[,b,,a1] c | [da,,,d2] | [,,da2] | c2 | [d,b,,d2] | y2 | \
d2 | [h,b,,d2] |"
23;;110r;sans titre;;;OT;;3;"[da,,,d3] | ,,,,a1 [ca,,c2] | [,df,c2] [ab,,d] [,b,,a1] c | [da,,,d2] [,,da] c | \
[d,b,,d2] d1 | [h,,f,d2] h1 | [,,a,a1] [h,,a,h] [,,,,hi] |"
24;;110v;sans titre;;;OT;ConcR2540;C|;",a1 y | [,a,c1] ,a | [,a,c1] ,,,c | [,b,c1] ,,,c | [,,dd1] y | \
[,a,a1] y | [,abc1] y | ,a1 ,a | ,a1 [,,bc] | [,,bc1] [,,bc] | \
[,,bc1] y | [,bd,a1] y |"
25;;110v;Von;;upside down;OT;;3;"[ca,ac2] [ha,,he1] | [fd,e,c2] [eff,,a1] | [ccd,,c2] [bcc,e1] | \
[c,ee,c2] [ccd,,c1] | [acc,e2] [,ddef1] | [,cdca2] [,aaac1] | \
[a,d,ef2] [,ddef1] | [,cdca2] [,acac1] | [,,deec2] [,aa,c1] |"
26;;110v;Integer;;upside down;OT;;3;"[bdda2] [bdda1] | [abb,d2] y1 | [,dddf2] y1 | [,cdc2] y1 | \
[bdda2] [bbdd1] | [abb,d2] y1 | [,dddf2] y1 | [,cdca2] y1 |"
27;;111r;sans titre;;;OT;ConcR2540;C|;"[,abc1] y | [,abc1] [,abc] | [,abc1] y | [,bd,a1] y | [,,def1] y | \
[,ab,,d1] y | [,,bcd1] y | [,ab,c1] y | [,,def1] y | [,,bc1] y | \
[,,da1] ,,a/ ,,,c | ,,b1 ,,a | [,,b,,d1] y |"
28;;111r;sans titre;;upside down;OT;;C|;"[aab,,a1] y | [,efec1] y | [aab,,a1] y | [,bdca1] [,dde,c] | \
[aab,,a1] y | [da,c,a1] y | [ca,bc1] [a,bcd] | [,efec1] y | \
[aab,,a1] y | [,dff,d1] [,bdca] | [,abc,a1] y |"
29;;111v;sans titre;;;OT;;3;"y1 [d,,c/] h [f,d,d] [d,b] | [c,aa/] f [d,,,c] c [a,,,d] d | \
[c,,,a/] a [,d,,c] c [a,,,,d] ,d | \
[,b,,a/] a [,d,,,b] ,b [,a,,,d] ,d |"
30;;112r;sans titre;;;OT;;3;"[,dda1] [abb,d2] | [abb,d1] [abb,d] [abb,d] | [bbd,,b2] [bbd,,b1] | \
[abb,d1] [,def,d] ,,,e/4 ,,,f3/4 | [bbd,,b1] [abb,d] [,dda] | \
[,cdca3] | [,dda1] [abb,d2] | [abb,d1] [abb,d] [abb,d] |"
31;;128v;Je croy;;;OT;;C|;"a2 | [a,d1] a | [,cd1] [,cd] | [,da1] ,,a | [,ac] [a,,c] | \
,,a1 ,e | [a,cc2] | [,,dca1] ,,,c | [,,,,ef1] [,,,,ef] | \
[,,,a,c1] ,,,,,c | [,,,,ce1] [,,,ca] |"
32;;142v;[Ma douce fleur];;;OT;ConcR2541;C|;"[fc,ca1] [fc,ca] | [ea,c,a1] [ea,c,a] | [fc,ca1] [ca,bc] | \
[a,cc,a2] | [,dfec1] [,dfec] | [,ccce1] [a,d,ef] | \
[,daac1] [,cdca] | [,acc,a2] | [,,dcef2] :||: [,cdca1] [,cdca] | \
[a,d,ef1] [a,cce] |"
33;;142v;sans titre;;;OT;;C|;"[ddff1] [cdda] | [aabc2] | [,ea,c1] [aabc] | ,a1 [acd,a] | \
[,efec2] | [,efec2] | [ddff1] [cdda] | [aabc2] | [,ea,c1] [aabc] | \
,a1 [ccd,a] | [,efec2] | [,efec2] |"
34;;142v;sans titre;;upside down;OT;;C|;"[,ddef1] [,cdca/] [,dbac] | [a,d,ef1] [c,da] | [da,a1] [c,da] | \
[a,d,e1] [,da/] [,dd] | [,ab2] [,aa/] [,cd] | [,,de/] ,,b ,,d c | \
a/ ,d ,,d ,c | [,da1] ,,d |"
35;;143r;Le ciel ne;Bertrand;;OT;;C;",d2 f | ,,d1 f [cd2] | f1 ,d [h,,f] h | [fd1] h [df] ,f | \
[cd1] ,a [cd,a2] | [acd1] c [a,,,a] ,,d |"
36;;143v;sans titre;;with variations;OT;;3;"[abb,d1] [abb,d] [abb,d] | [,dba,d2] [,dba,d1] | \
[,dba,d2] [,dba,d1] | [abd,a1] [,aba,d] [,,dd,b] | \
[aac,,a3/2] [aac/] ,,,c1 | [aac,,a1] [aac] ,,,c | \
[abb,d1] [abb,d] [abb,d] |"
37;;144v;[Toccata];;;OT;;3;"[,b,,a/] ,d | [abb,d3/2] ,d/ ,b ,a | ,,d/ ,,b ,,a ,,,c ,,,a ,,,,d | \
,,,,c/ ,,,,a ,,,,,d ,,,,a ,,,,c ,,,,d | \
,,,a/ ,,,c ,,a ,,b ,,d ,a |"
38;;145v;[Toccata];;;OT;;3;"[,b,,a/] ,d | [abb,d/] ,,,a ,,,c [b,,a] a ,d | \
[,bdca/] ,,,,c ,,,,d [a,,,c] ,d ,b | [,aba,d/] ,,,,a ,,,,c [,b,,a] ,a ,,d | \
[,,bcca/] ,,,,,c ,,,,,d [,a,,,c] ,,d d |"
39;;145v;[Toccata];;;OT;;3;"[,,dca3/2] [a,,c/] [b,,,a] a | [,d,,a/] [,b,c] ,a [,,dc] [b,,,a] a | \
[,dda3/2] [c,,a/] [,,,,d] c | [a,,,,d/] [,d,a] ,b [,a,a] d c |"
40a;;145v;Nul nest;;1. version;OT;;C|;"c1 | ,e3/2 b/ | c1 ,a | ,,c3/2 ,,e/ | ,a1 c | a1 a | ,e1 ,e | \
,c2 | ,a2 | ,a1 ,e |"
40b;;145v;(Nul nest);;2. version;OT;;C|;"[aabc1] | [,cdca3/2] [,ea,c/] | [aac,,a1] [,,de] | [,,a,c3/2] ,,c/ | \
[,,de1] a | [,dde1] [,d,,c/] ,,f | [,c,ce1] [,c,,,c] | ,a2 | \
,,d2 |"
41;;145v;sans titre;;;OT;;C|;"[,df1] [aac] | [,cdc/] [,cd] [,dfec] ,e | [aa,,,e/] ,,c [,,dc] ,,,,a | \
[,,a,c/] ,,a ,,c ,,c | [a,d,e1] ,,,,a | [,dd,c1] [,d,,,,d] | \
[,c,,a1] [,c,,,c] | [,a,,c2] |"
42;;146v;Man[us tuae Domine];;from Vigiliae mortuorum - Orlando di Lasso;OT;;C|;"c2 | ,a1 c | h1 ,a | [f,a1] ,d | ,,b/ a [cd] d | f/ c [hc] ,a | \
[,ca1] [fc] | [hd,,,h/] ,,a f d |"
43;;146v;Je ne scay;;J. Arcadelt;OT;ConcR2539;3;"[,c,c1] [a,,,e] [,d,a] | [,c,c2] [,c,c1] | [,da2] [,da1] | \
[,c,c1] [,c,c] [,a,a] | [,,e,e3] | [,,d,e1] [,,d,e] [,,d,e] | \
[,,c,c2] [,,d,e] |"
44;;147r;sans titre;;;OT;;C|;",a2 | ,,,c1 ,a | [h,,f1] ,,,,h/ ,,,e | [,,bc/] ,,a [h,,f] [,,de] | \
[da,c/] ,,,e [,,bc] [c,d] | [aab/] ,,,c [df,c2] | \
[,d,f2] [,dff/] ,,,e |"
45;;147r;Eh! Amoureux suis;;upside down;OT;;C|;"[ab,,d2] | [,dff1] [,bd] | [,abc2] | [,dda1] [,bdd] | [,ab2] | \
[,,def2] | [,,def1] [,,def] | [,bb,d1] [,bd,a] | [,aa,c1] [,ab,,d] | \
[,,dff1] [,,def] | [,,b,,d2] |"
46a;;147v;Homo natus [de muliere] d'orlande;;from Vigiliae mortuorum - Orlando di Lasso;OT;;C|;",d2 | ,d2 | [a,d2] | ,b1 ,,d | [,df2] | [,db1] d | [,,da1] c/ a | \
[c,d1] [ca,a] | [d,,c1] ,,b/ c | [ab,,d/] [,df] [,bd] [,ab] |"
