PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Ce n'est rien que de fuir;;;OT;;C|;"[cdda/] [cdda] [dab,,d1] | [aabc/] [abd,a] [,,fec/4] ,e/8 ,c ,e/ | \
[aac,,a2] | [abb,d/] [abb,d] [,ddef1] | \
[,aba,d/] [,aba,d] [,,dca/4] ,c/8 ,a ,c/ |";
2;;1v;Super flumina Babilonis;Pierre de la Fage;;OT;ConcR236;C|;"a2 | ,,,c1 c | [e,,c1] [f,a] | [h,,gh/] ,,,h ,,,g f | \
[ea,c/] a [c,ab] e | [c,c,e/] a [a,bce1] | \
[aaa,c/4] ,c ,e a [,ea/] a |";italian7tab
3;;2r;Je ne me confesseray point;Arcadelt;;OT;;3;",,d [,acc] [,cd] | [,dff2] [,dff1] | [,dff2] [,cd1] | \
[,acc2] z1 | [,cd,a1] [,acc] [,,de] | [,acc2] [,cd,e1] | \
[,,def2] [,cd,a1] | [,acc2] z1 |";italian7tab
4;;2r;La pastorella mia;Arcadelt;;OT;ConcR2546;C|;"[,,d,a2] | [,acc1] [,bd,d] | [,ada1] [,acc] | [,,d,a1] [,,d,a] | \
z1 [,df,,d] | [,df,,d1] [,df,,d] | [,bd,a1] [,acc] | [,bd,a2] | \
[,acc2] | z1 [,acc] | [,acc1] [,abc] | [,dda1] [,dfd] |";italian7tab
5;;2v;Si dieu vouloit;Janequin;;OT;;C|;"[,,d,a1] [,ca,a/] [,d,,c] | [a,,,ef/] ,,,c [,,d,ec] [,a,ac] | \
[,acda/] ,,,c [,,de] [,ac,,e] | [,cd,,c/] ,,,,,c [,,c,e] ,d | \
[ac/] [a,,,e] [cd,,c] [ed] |";italian7tab
6;;2v;Pleusta dieu que fuss arondella;;;OT;;C|;",,d1 [,,d,a/] ,,,c | [,,dca/] ,a [,c,ca] [,,,,ef] | \
[,c,ce/] [a,,ce] [,d,ec] [,cc/4] ,a | [,ac,a1] [aacc] | \
[a,c,e/] [ac,,e] [ac,,e] [ac,,e] |";italian7tab
7;;3r;Grace et vertu;Guillaume le Heurteur;;OT;ConcR2308;C|;",,,,c2 | [,a,a1] ,,,c | [,da1] [a,c] | [c,de/] ,,c [c,,e] ,,,c | \
[c,da1] [ca] | [ac,,e/] ,d [,ca] ,a | [,,de1] [,c,e] | \
[,c,c1] [ac,,e] |";italian7tab
8;;3r;J'e tan bon credit con vouldra;Archadelt;;OT;;C|;",,d1 [,cde/] [,ede] | [aa,c1] [,cd] | [cd,a1] [cd,a] | \
[acd2] | [ac,,a1] [,dfa/] [,cda] | [,acc1] [ac,,e] | \
[,dfa/] ,c [,ade] ,,d | [,acc1] [,,d,a] |";italian7tab
9;;3v;Vostre beaute qu'un chacun voit flourir;P. Certon;;OT;;C|;",,,,c2 | [,a,,ca1] ,,,,e/ ,,,b | [aa,c,a/] ,,,b ,,,d ,,a | \
[aacc/] ,,d ,,c ,,a | [aacc/] ,,a/4 ,,,c [,a,b1] | \
[ac,,e/] ,a ,,e ,,c/4 ,,e |";italian7tab
10;;4r;Voulant amour;J. Arcadelt;;OT;;C|;"[,a,c2] | [aa,c2] | [acd/4] ,a ,c ,e a ,e ,c ,a | [acd1] ,,c | \
[ce,ec/] ,,f ,c ,e | [effc/] ,,d ,,c ,,a |";italian7tab
11;;4v;Aiant fui pour aimer fermement;J. Arcadelt;;OT;;C|;"[,,,c,a2] | [,,,ca3/2] ,,,,c/ | [,,,ce/] ,,,b ,,,c1 | \
[,aacc/] ,,,c/4 ,,,,e [,,acc/] ,,,b | [,acc/] ,,,b ,,,c ,,,e | \
[,acc/] ,,d [,a,b1] |";italian7tab
12;;5r;En lieu du bien;J. Arcadelt;;OT;;C|;",,,c1 | [,a,,c3/2] ,,d/ | [,,cc/] ,,a ,,,c1 | [,,acc1] [,,ab] | \
[,acc1] ,,c/ [,,ab] | [a,cce/] [,,,bc] [,,d,ef1] | \
[,f,cef1] [,fc,ce] | [,h,eef1] [ca,bc] |";italian7tab
13;;5v;Une bergiere un iour aux champs;Nicolas de Marles;;OT;;C|;"[,,a,c1] [,aa,c/] [,,a,c] | [,acc,a/] ,a [aac,,a] ,,,,,a | \
[,ca,a1] [,efec] | [,ccce/] ,,,b [ac,ca] ,,,e | \
[aacc1] [a,cc] | [,efec1] ,,f/ ,,d |";italian7tab
14;;5v;Frisque et gaillar ung ior;Clemens non Papa;;OT;ConcR1758;C|;",,,,c1 ,,,,c/ ,,,,c | ,,,c3/2 ,,,,e/ | ,,,c/ ,,,e ,,c ,,d | \
[,,c,c1] [,aa,c/] ,,,,c | [,a,c/] [,ac] [aa] [,,d,e] | \
[,,cc/] [,cde] [aac] [ccd] |";italian7tab
15;;6r;Nous voions que les hommes font;Arcadelt;;OT;;C|;"z1 [,cd,a1] | [,acc1] [,cd,a] | [,,def1] [,ac,c] | [,cd,a4] | \
[,cd,a2] [acd] | [acd1] [ac,c] | [,dff1] [,cd] | [,acc4] | \
z1 [,cd,a] | [,acc1] [,cd,a] |";italian7tab
16;;6v;Non ch'io non voglio mai altro pensiero;Arcadelt;;OT;ConcR2273;C|;"[aacc2] | [aacc2] | [ac,,a1] [aacc] | [acc,a1] [,cd,a/] c | \
[,efec2] | z1 [aac,,a] | [,cdea1] [,c,ca/] ,,c | [,aacc1] ,,,b | \
[,acc,a1] [,acc] | [,acc1] [,cd,a] |";italian7tab
17;;6v;Vostra fui, vostra fui e sarò;Giachet Berchem;;OT;;C|;"[aabc2] | z1 [,cdca] | [,cdca1] ,,a | ,,,a1 [,dda] | ,,,a1 [,ab,,d] | \
[,ab,,d1] ,,b | ,,b1 [hd,,,d] | [h,,,,d1] [hd,f,d] | \
[fdaa/] d [cda] a |";italian7tab
18;;7r;Nuova donna m'apparve;Arcadelt;;OT;;C|;"[c,de2] | [c,de1] [ca,a] | [ac,c1] [,cde] | [,dfec3/2] ,,,,e/ | \
[,ddef/] ,,,,c [,aaa1] | [,ccc1] [,,de] | [,aa,c1] [,daa/] ,,c | \
[,ddef/] ,,,,e [,dfac1] | [,c,ca1] [,cde,c] |";italian7tab
19;;7v;Ai se la donna mia;Arcadelt;;OT;;C|;"[fdaa2] | [fdaa2] | [cdda/] a c/4 a c d | c/ d [fdaa1] | \
[cabc1] [cdde] | [cab1] [acd/] [,ab] | [ccde1] f | \
[c,f,c1] [cd] |";italian7tab
20;;7v;Quanta belta quanta grati e splendore;Arcadelt;;OT;;C|;",,d2 | [,dda2] | [,ddef2] | [,dfac2] | [acd,a2] | [cdda1] [c,,a] | \
z1 [cdda] | [dabc1] [cdda] | [a,,,e1] [cdaa/] ,c | \
[,a,a/] [a,d,e] [,dd,c] [,c,,a] |";italian7tab
21;;8r;Fa mi pur guerr'amor;Francesco Corteccia;;OT;;C|;",,,a2 | [,,aa3/2] ,,b/ | [,,de1] [,,de] | [,ab1] ,,b | \
[,,def1] z/ ,,,c | [,ddef1] ,,d/ ,,,f | [cdd1] [cdda] | \
[ddf,,d1] d/ ,,,,a |";italian7tab
22;;8v;Comant mes yeus ave vos antrepris;Arcadet;;OT;;C|;"[fd1] | [fg1] [db] | [bdda1] [bd] | [bbdd1] [abb,d] | \
[,dddf3/2] [,f,f/] | [,ghdf1] [dfdf] | [aa,cd/] ,,d [gd,df1] | \
[gd,fg1] [a,bab/] ,d | [,bdca1] [,bd] |";italian7tab
