PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concert I in g-moll;Concert I in g minor;;;;;
1;g moll;2;I - Ouverture de W:;Weichenberger;;;;C;"c/ | \
[cabc{a}1] ,,,,a ,,,c [cab3/4] c/4 | \
[ead{a}2] [ead,e3/4] e/4 Vf/ h | \
['fffff3/4] ,h/8 f ',f1 [,'bbc{a}3/2] ,b/ | \
[({,a}/] ,b e ,b [,'aa{,a})3/2] ,a/ | "
2;g moll;3;Allemanda de W:;Weichenberger;;;;C;",,b/ | [,,Vbca{a}3/2] ,,,e// ,,d [,,Vff/] ,,,,f ,,,e// ,,d (,,,,f ,,,,e)  | \
V,,,,f// ,,,f {a}/ {,a}// ,,,,f ,,,e ,,,,a {,,c}// ,,,,a ,,,c ,,,,,b V,,,,,d// ,,,,b ,,a ,,,c  | \
[,,,'ba/]  |"
3;g moll;4;Courante de W:;Weichenberger;;;;3;",,,b/ V,,,c ,,a | \
V[,,b{a}1] ,,,c ,a/ ,,,c | \
',,,b/ (,a/4 ,,d) ,a/ ,,a V,,b ,,d | \
[,,'bc{a}1] [,,a,a] [,,,cb/] ,,,,,d | \
,,,,a/ ,,,b {,,,a} (,,,b/4 ,,,c) ,,a/ ,,,,,d | "
4;g moll;4;Menuete de W:;Weichenberger;;;;3;"[cab{a}3/2] e/ Vf1 | \
['e,,a1] ,a2 | \
[ca,,b1] ,,d (,a/ ,b) | \
[ab,,a1] (,b/ ,a) (,,d ,,b) | \
[,bb,,d1] ',,a3/2 a/ | \
[,'a,a{d}3/2] [,b,,,d/] [a,,,a1] | "
5;g moll;5;Sarabanda de W:;Weichenberger;;;;3;"[,abc{a}1] ,,,,,d/ ,,,c (,b ,a) | \
[,,d,,a/] ,b ,,,,a ,,,b ,a ,,,,,d | \
[,,,c,b/] [,,a,,d] [,,'a,a3/2] {,,,a}/4 ,,,c/8 ,,a | \
{a}3/4 ,,,c/4 [,,,cab2] | \
[cabc{a}1] ,,,,a/ ,a 'b ,c | "
6;g moll;6;Bourre de W:;Weichenberger;;;;C;"X,,,c/ ,,a/ | [,,Vb{a}1] [,,Vd,,a] [,ad,,b] ',,,b/ ,,d | \
[,,'b{a}1] ,,,,a ,,,c ,f/ ,e | \
[,Vf,f1] e/ f ['e,d3/2] ,f/ | [,'ef1] "
7;g moll;6;Gigue de W:;Weichenberger;;;;C;"X,,f3/2 ',,d/4 (,a/8 ,,d) ,a/ X,,,f ',,,e ,,,,f | \
[,ad,e/] e ',,d (,,,f/4 ,,,e) V[,,,ff/] \
{a} V[,bd] (,,d/4 ,,b) | \
[,bd,,a/] (a/4 c) ['a,a/] X,b [,'a{d}] ,,b c"
8;g moll;7;Menuete de W:;Weichenberger;;;Conc_2873;3;"[,,f{a}1] X,f2 | \
[,'e,e2] [,f,f1] | \
[,,'de1] (,,f/ ,,d) ([,,,fa] ,,,e) | \
V[,,,ff1] {a}/ ,,a (,,a/4 ,,b ,,d/) | \
[,a,c1] [,a,a] [c,,,b] | "
;;;Concert II in D-Dur;Concert II in D major;;;;;
9;D dur;8;II - Allemanda de W:;Weichenberger;;;;C;"d/ | [def{,,,a}3/2] 'd// ,f/// d Vf/ {a}// f ,,,,,a ,,e 'd ,f | \
[,'e,,a/] {,,,a} z// ,e ',c ,a [,Vc,,,e/] d// ,,e [,ae,,c/] (,,e/// ,,c ,,a//) | \
[,acc/] {,,a}// ,c [,,'e,,a/] "
10;D dur;9;Courante de W:;Weichenberger;;;;3/4;"(,,a/ ,,c ,,e) | \
[,aa,a1] {,,,a}/ a ,c b | \
['aa1] ,,,,a V[bc] | \
{,,,a}/ d (,e/4 ,c ,a/) ,c b | \
,,e/ b ,,,,,a b 'a ,c | "
11;D dur;10;Menuete de W:;Weichenberger;;;Conc_2870;3;"[da{,,,a}1] (b/ a) (,c ,a) | \
[,,'e,,a1] (,,c/ ,,e) (,,a/4 ,,c ,,e/) | \
[,a,,a1] ,,a X,,,b | \
[,,,'a{,,,a}1] ,,,,c/ ,,,a ',,,,a1 | \
,,a1 ,a [,,'e,,a] | "
12;D dur;10;Bouree de W:;Weichenberger;;;Conc_2871;C;",,e/ (,a/4 ,,e) | \
[,aVf1] [,,aa{,,,a}] V[,,c,a{a}] ([,,cb/] ,,d) | \
[,,ab{,a}1] ',,,a2 ,a/ ,,,a | \
V[,,,b{,,a}1] (,,,,c/ ,,,,a) {4} ,,,,c ,,a ,,,b | \
[,,,'a{,,,a}3/2] ,,,,c/4 ,,,a ,,,,a1"
13;D dur;11;Gigue de W:;Weichenberger;;;;6/8;"Xd3/2 ,1 Xb/ | 'a1 d/ ',c1 ,a/ | \
',,e3/2  ,,,d1 ',,,b/ | \
[,a,'a1] ,,a/ ',,,,c1 [,aa,a/] | \
[,Vca,,e3/3] ,,,,,a/ ,e ,,e | [,ae,,c1] "
;;;Concert III in a-moll;Concert III in a minor;;;;;
14;a moll;12;III - Ouverture de W:;Weichenberger;;;Conc_606;C;"#e3/2 ,c/ ,,d1 ,c | \
[,,aVe3/2] ,,,,c/ ,,,,,d1 ,,,,c/ ,,,c | \
[,,,'aca3/2] ,,,,c/ [,,,,'ac1] (,,,,,c/4 ,,,,,a) | \
{b}/ ,,,a (,,,,c ,,,,a) {c} ,,,,,c V,,,,,d ,,,,a | "
15;a moll;13;Allemanda de W:;Weichenberger;;;Conc_607;C;",c/ | \
V[,cde,a/] ,,d/4 (,a/8 ,c) a/ ,,,e/4 ,c [,ace,a3/4] ,a/4 \
[d,,,,a] ,a ,,c d | \
,,,,,a/4 e ,,,e ,c V,d/ ,,,e ',,,c/4 ,,c ,c ,,,,c \
V,,,,d/4 ,c e ,a | "
16;a moll;14;Courante de W:;Weichenberger;;;Conc_608;3;"e/ | \
[ecd,,a3/2] ,c/ e ,c | \
V[,d,,a3/2] ,c/ ',a ,,d | \
[,ad,,c1] [,,'d{,,a}3/2] ,,c/ | \
V[,,d,,a3/2] [,a,,,c/] V[,c,,,d1] | \
[,,,dc1] [,,aad] ,,,,a/ ,,c | \
[,,,'d{,,a}1] ,,,,c ',,,,a | "
17;a moll;15;Menuete de W:;Weichenberger;;;Conc_609;3;"[,,d,,a/] ,a V,c1 [,c{a}] | \
[,c{,a}1] e/ ,c ',a1 | \
V[c{,,a}1] (,d/ ,c) ,a ,,d | \
[,,'c{a}1] (,,a/ ,,c) ,,,c1 | \
X[c{,,a}1] 'a/ ,c/4 a c1 | "
18;a moll;16;Bouree de W:;Weichenberger;;;Conc_610;C;"[e,,,,a1] | \
[e,c,c1] 'd/ ,e d1 [c,c,c] | \
[c,e,,a1] 'a/ ,c a1 [aa,,a] | \
[,ccd1] (,,c/ ,,d) ,a1 ([,,d{,,a}/] ,,c) | \
V[,,d,,a1] (,,c/ ,,d) ,,a1 [Xe,,,,a] | "
19;a moll;16;Guigue de W:;Weichenberger;;;Conc_611;6/8;"X,c/ | \
[,,'d,,a3/4] ,a/4 ,c/ ,,a1 [,c,,,a/] | \
[aVd,,a3/2] ,1 [,c,,,d/] | \
[,'a,,,c1] ,,,,,a/ [,ac{b}1] ,,,,c/ | \
V[,,d,ca3/2] ,1 ,a/ | \
[,,'c{a}3/4] ,c/4 ,,c/ [,,'a{,a}3/4] ,a/4 ,,a/ | "
20;a moll;17;Menuete de W:;Weichenberger;;;Conc_612;3;"X[e,,,,a1] ,c3/2 ,a/ | \
[,,'de3/2] ,,c/ ,,a1 | \
[,cc{a}1] [ec{,a}] ',a/ e | \
['c{,,a}2] ,,d1 | \
([a{,a}/4] c e/) ['a{,,,a}3/2] ,c/ | \
[,'a{a}3/2] c/ [,,d,,a1] | "
;;;Concert IV in c-moll;Concert IV in c minor;;;;;
