PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Accord ordineur;;;;;;
1;d moll;9;Aria;;NOTO;;;C;"[aa,,a1] ([aa] [c{4}]) c | \
V[e{,a}1] 'c3/4 a/4 V[cVc1] {4} | \
[aa,,,#b1] [aa] ([c{a}] [e{,a}]) | \
['c{4}3/2] a/ [ad1] {,a} | \
[ed1] {,a} [cc] {4} | "
2;d moll;10;Saraband:;;;;;3;"[,aa{,,,a}1] ,,a [,aa] | \
[,,d{,,a}/] ,a [,,'b3/4] ,,a/4 [,,aa{,a}1] | \
[,a,,,#b/] ,a V,c ,,d [aVd{,a}1] | \
['a{4}3/2] ,c/ [aVd{,a}1] :: \
[ed{,,,a}1] [aa] [ed] | "
3;d moll;11;Aria;;;;;C;"[,aa{,,,a}1] [,#c/] a V[,ca,,e1] ,,a/ e | \
[aVd,,a1] [,c,,,d/] [,a,,,b] [e,e,,a] {a} {,a} {,,a} | \
[,a,,,#b1] [,'c{a}3/4] ,a/4 [,,'e,,a1] ,,a :: \
[aVd{,a}1] c/ Ve [c,d{,,a}]"
4;F dur;12;Sarabanda;;;;;3;"[aVd{,a}1] [ad/] a [,c,,,d1] | \
[,aba,b1] [,ab/] ,a [,,da,a1] | \
[,ab{a}1] [,'c] [aVd{,a}] | \
['a{4}3/2] ,c/ [ad{,a}1] | \
[aVd{,a}1] [ad/] a [,c,,,d] ,,,,,a | "
5;d moll;13;Aria;;;;Conc_4104;C;"[,aa{,,,a}1] V[,ca,,e/] ,c [aVd,,a1] [,c,,,d] | \
[,a,,,#b1] [,,,,,'a] [,c{a}3/4] ,a/4 [,,e,,a1] [,,e,c] | \
[aVd{,a}/] c 'a ,c [,a,,,#b1] [,,'b/] ,,a | \
[,,,c{4}/] ,,a [,,,'c3/4] ,,,a/4 [,,,ad1] {,a} ::"
6;d moll;14;Menuet;;;;Conc_4119;3;"['a{,,,a}3/2] ,c/ a1 | \
[,a,,,#b1] V[,c{a}/] ,a [,,e,,a1] | \
[,a{,,,a}/] ,,e ,a ,c ,a1 | \
['a{,,,a}3/2] ,c/ a1 | \
[,a,,,#b1] [,c{a}/] ,a [,,e,,a1] | \
[,aVf,a2] {,,,a}1 ::"
7;d moll;15;Aria;;;;;3;"[,,a{,,,a}/] ,a [,,'e,,a1] [,,e{a}] | \
[,aa{,a}/] ,c [aVd{,,,a}1] [ad] | \
[,c,,,d/] a [,a,,,#b/] ,a/4 ,,e ,a/ | \
V[,ce,,a/] a [,ce2] | \
[,,a{,,,a}/] ,a [,,'e,,a1] [,,e{a}] | "
8;d moll;16;Menuet;;;;;3;"[,a,,a1] ,,a ,a | \
[,,'e,,a1] ,a V[,ca,,e] | \
[a,,,a1] (c/ a) [,c,,,a] a | \
[,a,,a/] ,,e ,a ,c ,a1 | \
[,a,,a1] ,,a ,a | \
[,,'e,,a3/2] ,a/ V[,c,,,e1] | "
9;d moll;17;Gavotte;;;;Conc_831;C;"[,aa,a1] V[,c,,,e] [a,,,a/] c V[e{,a}1] | \
['c{a}3/2] a/ [,c,,,a1] #e | \
['d{,,a}3/2] d/ V[e,,,,a1] [ece] :: \
[,a,,a1] V[,c,,,e] [a,,,a/] c V[e{,a}1] | \
['c{a}3/2] a [,c{a}1] [a,,,a] | "
10;d moll;18;La Folie Espagnole;;theme + 7 variations;;Conc_525;3;"[,aa{,,,a}1] [,'a,,a3/2] ,a/ | \
[,,e,,a1] [,,ecc] [,,ecc] | \
[,aa{,,,a}1] [,'a,,a3/2] ,a/ | \
V[,c{4}1] [,cdc] [,cdc] | \
[a{,a}1] ['a,,a3/2] a/ | \
V[,c{4}1] [,cdc] [,cdc] | \
[,aa{,,,a}1] [,'a,,a3/2] ,a/ | "
11;d moll;26;Espanioletta;;;;;3;",a1 | \
[,aaa{,,,a}2] ,c/ ,a | \
[,#c{4}2] ,a/ ,c | \
[a{,a}/] ,,d a | \
[aVd2] a1 | \
[aa,,,b2] (c/ e) | \
['c{4}2] a/ ,c | "
12;d moll;27;Aria;;;;Conc_1469;C;"[,,aa{,,,a}1] [,,aa/] ,,a [,,#f1] | \
[,,'d{,,a}3/2] (,,,f/ [,,,e{,a}1]) | \
V[,,bc{a}1] [,,'b{4}3/2] ,,a/ | \
{,a}/ ,,a [,,aaVd3/2] ,,a/ | \
{4}/ ,,,c [,,,ccd1] ,,a | \
{a}/ V,,b [,,'aa{,,,a}3/2] [,,#b/] | "
13;d moll;28;Menuet;;;;;3;"[,,,,a{,,,a}/] (,,,,c ,,,,d1) ,,,,a | \
[,,aVe,a1] {a} {,a} | \
[,a{b}/] ,c V[,d{a}1] [,'c,,,a] | \
[,a{,,,a}/] ,,e ,a ,c ,a1 | \
[,,,,a{,,,a}/] (,,,,c ,,,,d1) ,,,,a | "
14;d moll;29;Ciacona;;;;;3;",,a/ [,,a{,,,a}] | \
[,,aaa3/2] ,,a/ [,,a,,e1] | \
[,,aaa3/2] ,,a/ [,,a,,d1] | \
[,,a,,b3/2] ,,,c/ [,,a,,a1] | \
[,,aaVd3/2] ,,d/ [,,dc{,,a}1] | \
[,,dcc3/2] ,,b/ [,,aa{,a}1] | \
[,,'aa,a3/2] ,,a/ [,,a,,b1] | "
15;d moll;30;Duoble 1a;;;;Conc_3991;3;",,a/ {,,,a} ,,a | \
,,,,a/ ,,,a ,,a ,,a ,,,,,e ,,a | \
,,,,a/ ,,,a ,,a ,,a ,,,,,d ,,a | \
,,,,,b/ ,,a ,,,c ,,a ,,,,,a ,,a | "
16;d moll;31;Duoble 2da;;;;;3;",,a1 | \
{,,,a}1 ,,a ,,,a | \
,,,,a1 ,,a ,,,a | \
,,,,,e1 ,,a ,,,a | \
,,,,a1 ,,a ,,,a | \
,,,,,d1 ,,a ,,,a | \
,,,,,b1 ,,a ,,,c | \
,,,,,a1 ,,a ,,,a | "
17;d moll;32;Aria;;;;;C;"[,aa{,,,a}1] #e/ c ['a,,,a1] [,c,,,d/] a | \
[,a,,,#b1] [,'c{a}3/4] ,a/4 [,,'e,,a1] ,,a | \
[,aa,a1] [,'c] [,da{,,,a}/] (c e) ,,d | \
[e,c{,,a}1] 'd3/4 e/4 [e,,,,a1] [ece] ::"
18;d moll;33;Menuet;;;;Conc_3908;3;"[,aaa{,,,a}1] [,aaaa] [,,ec{,,a}] | \
[,aaa{,a}1] [,aaaa] V[,ca,,e] | \
[aVd,,a1] (c/ a) (,c ,a) | \
[,c,,,a/] (,a ,c) a ,c1 | \
[,aaa{,,,a}1] [,aaaa] [,,ec{,,a}] | "
19;d moll;34;Sarabanda;;;;;3;"[,,a{,,,a}1] [,a,,,#b3/2] V[,c{a}/] | \
[,,d{,,a}/] ,a [,,'b3/2] ,,a/4 [,,a{,a}] | \
[,a,,a1] V[,ca,,e] [aa{,,,a}] | \
['aa,,a1] ,c [,ce,,a] | \
[,,a{,,,a}1] [,a,,,#b] V[,c{a}] | \
[,,d{,,a}/] ,a [,,'b3/2] ,,a/4 [,,a{,a}] | "
20;d moll;35;Menuet;;;;;3;"[,a,,a1] ,,a ,,,a | \
,,,,a1 ,,,,,a {,,,a} | \
[#e{,a}1] ['c{a}3/4] [,'c/4] ,a1 | \
[,c,,,a/] ,a ,c a ,c1 | \
[,a,,a1] ,,a ,,,a | \
,,,,a1 ,,,,,a {,,,a} | "
21;d moll;36;Aria;;;;;C;"[,,a{,,,a}3/2] ,a/ [,,e,,a1] [,a,,,c] | \
V[,ca,,e1] [ad,,a] [,'c,,,a3/2] ,a/ | \
[,aa{,,,a}2] [aVd,,a1] V[,c,,,d/] a | \
[,a,,,#b1] [,,da,a] V[,,b{a}] [,,'b{,a}3/4] ,,a/4 | \
[,,,c{4}1] [,,,'c3/2] ,,,,c/ [,,,aVd{,a}1] | "
22;d moll;37;Menuet '….?...';;;;;3;"[,a{,,,a}/] ,,e ,a ,c ,a ,c | \
[,a{,,,a}/] ,,e ,a ,c ,a ,c | \
[a,,,a1] ,c ,a | \
[,,d,,a3] | \
[,,d,,a/] ,a ,c1 ,c | "
23;d moll;38;Aria de Lamento;;;;;C;"[,,aa{,,,a}3/4] ,,a/4 [,,aa{,a}3/4] ,,a/4 [,a,,,#b/] \
V[,c{a}] [,,ecca1] | \
[aVd,,a3/4] [ad/4] V[,c,,,d/] a [,a,,,#b/4] V,c \
[,'c{a}3/4] ,a/4 [,,ee,a1] | \
[,,aaa/] [,,a{,,,a}] [,aa{,a}] V[,c{a}] [ad{,,,a}2] | "
24;d moll;39;Menue;;;;;3;"[,a{,,,a}1] ,,a ,,,a | \
V[,,b{a}2] [,,a{,a}1] | \
[,,,c{,,a}/] ,,a (,,b ,,a) (,,,c ,,,a) | \
[,,,,ca/] (,,,,a ,,,,c) ,,,a1 ,,,,c | \
[,a{,,,a}1] ,,a ,,,a | "
25;d moll;40;Aria;;;;;C;"[,,aa{,,,a}/] {,,a} [,,a{,a}1] V[,,b{,,,a}] [,,aa,d] | \
[,,'a,,b3/2] ,,,c/ [,,aVe,a1] [,,a,,a/] {a} | \
[,,d{,a}/] [,,da] [,,ecc1] [,aa,a] V[,ca,,e] | \
[ad{,,,a}1] [,,a{,a}/] ,a [,,'d{,,a}3/2] [,,b{4}/] | "
26;d moll;41;Gavott;;;;;C;"[,aa{,,,a}1] V[,c,,,e] [ad{,,,a}] [,c{,,a}/] ,a | \
[,,e{,a}/] {,,a} [,aa{,,,a}1] V[,c,,,e] [ad,,a] | \
[,'c,,,a1] ,a [ad{,,,a}] [,c{,,a}/] ,a | \
[,,d{,a}1] [,,d{,,a}] [,,d{,a}] [,,b,,b/] ,,a | "
27;d moll;42;Menuet;;;;;3;"[,aa{,,,a}1] V,c [,,e{,,a}] | \
[,aa{,a}2] [,,a{,,a}1] | \
[,aa,a1] V[,c,,,e] [a,,,a] | \
[,c,,,a/] (,a ,c) a ,c1 | \
[,aa{,,,a}1] [,#c] [,,e{,,a}] | \
[,aa{,a}2] [,,a{,,a}] | "
