PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Auf den Seiten vor 57 sind Kompositionen für Orgel notiert, viele davon mit Gesangsstimme.;On the pages before 57 compositions for organ are notated in organ tablature – many of them with voice.;;;;;
1;;57;Mein M. Ich hab;Schlick;;OT;;C|;",,,c4 ,,,c1 ,,,a ,,,c ,,a [,,bc4] [,,aa] \
[,,,cd2] ,,,,c1 ,,,,a [,a,,,d] ,,,,a ,,,,c ,,,,d [,,da4]  [,,bc2]
[V:S]
A8 A4 B4 c6 B1 A B2 A B c2"
2;;59;Cupido hat;Schlick;;OT;;C|;"z8 z8 ,,,c4 ,,,c2 ,,,c4 ,,,a1 ,,,,d  ,,,,c4 ,a2 ,,,c [,a,a]
[V:S]
e4 e2 e4 d1 c B4 A2 c4 B1 A c2 B1 A G4 c4 B2"
3;;61;Hertzliebstes pild;Schlick;;OT;;C|;"[,d,a4] ,,,a2 ,,,c1 ,,a [,ab3] ,,a1 [a,,c2] ,,,,d [,d,a] ,,,,d1 ,,,,c [,b,,a2] [,d,,,d] ,,,,c [,b,,d1] ,a [,,da4] [,,b,,d2]
[V:S]
G8 G4 c4 B3 c1 d2 e4 d1 c B4 c4"
4;;62;Nachlust;Schlick;;OT;ConcR3222;C|;",,,c3 ,,,b1 ,,,c ,,,b ,,,c ,,a [,,c,e4] [,,d,a] [,a,c] ,c2 ,,a [,ac] [a,,c] ,,a1 ,c ,e ,c [a,,c8]
[V:S] [K:F maj] F8 F6 G2 A6 B2 c2 A2 B4 A8"
5;;64;Viel hinderlist;Schlick;;OT;;C|;"[,,b,,d4] ,,,,,d2 ,,,,a [,,a,c4] [,,,cd] [,,aa] [,,b,,d] [,,,ca2] ,,,a ,,,c ,,,,a [,,,ac]
[V:S]
c3 B1 A2 G3 F1 E D C4 z2 D2 E2 G4 F1 E1 F4 G8"
6;;65;Möcht es gesein;Schlick;;OT;;C|;"[,,d,a8] [,,d,a4] [,,bc] [,b,,d3] ,d1 a2 ,d ,,,,c [,b,,d] [,a,a] ,,,c [,,d,a3]
[V:S]
A8 c4 B1 A1 G1 F1 E3 F1 G1 A1 B3 A1 A4 G2 A8"
7;;66;Mein lieb ist weg;Schlick;;OT;;C|;"[,b,,d8] [,,da4] [,,bc] [,b,,d8] z4 [,,bc] [,,dd] [,,dd] [,a,c8] z4 [,,bc4] [,,da] [,,b,,d]
[V:S]
G8 F4 G4 G8 z4 G4 c4 A4 G8 z4 E4 F4 G4"
8;;67;Ich schrei und rieff;Schlick;;OT;;C|;"[,d,a3] ,,,,d1 ,,,a ,,,,d ,,,,c ,,,,a      [,a,,,d4] [,b,,d3] ,a1 [,,da4] [,a,,,d2] [,b,,d] ,b1 [,a,a] [,,bc2] [,,da4] [,,b,,d8]
[V:S]
G8 c4 A4 B4 G2 A3 G1 c4 B2 c8"
9;;68;Metzkin isack;Schlick/Isaak?;;OT;;C|;",,,,,a4 ,,,,,a2 ,,,,,c [,,,c,d] ,,,,a3 ,,,,,d1 ,,,,a ,,,,,d [,,,ca3] ,,,,c1 ,,,,a2 ,,,,,d1 ,,,,,c [,,,c,a3] ,,,a1 ,,,c ,,,a ,,,c ,,a 
[V:S][K:F maj] G4 G2 G2 G8 G8 B6 A1 G1"
10;;71;Philipps zwolffpot auß not hilf mir;;;OT;;C|;"z4 ,,,a4 ,,,a ,,,,c ,,,,e ,,,a3 ,,,,e1 ,,,a ,,,c ,,,e ,,,a ,,,c ,,a ,,b ,,,c
[V:S][K:F maj] \
z8 z8 c8 A4 B4 "
11;;73;Nun hab ich all mein Tag gehört;Schlick;;OT;;C|;",,,c3 ,,a1 ,,b ,,a ,,b/ ,,a ,,,c ,,d [,a,,c3] ,,,,e1 ,,,a ,,,,e ,,,a ,,,c [,,de2] ,,,a1 ,,,e
[V:S][K:F maj] \
G8 F3 G1 A2 B2 c4"
12;;74;Maria zart;Schlick;;OT;;C| ;"[,,ae3] ,,,c1 ,,a ,,,c ,,a ,,b [,,da4] [,,bc] [,,a,c] [,,b,c2] ,,,,d ,,,c1 ,,,,c ,,,,a ,,,,,d [,,,ca4] 
[V:S]
E8 E4 D4 E3 D1 C2 D3 C1 B,1 A,1 B,4 "
13;;79;All ding mit radt;Schlick;;OT;;C|;,,,c6 ,,,c2 [,,bc4] [,,da2] ,,,,e [,a,,c3] ,c1 ,d2 [,c,,e] ,,,a2 [,a,c] ,,,,e1 ,,e/ ,a ,,e2 [,a,,c3] 
14;;80;Wer gnad durch klaff;Schlick;;OT;;C|;[,d,a4] ,,,,c1 ,,,,d ,,,,c ,,,,a [,d,f,d3] ,,,,a1 [,da,c4] [d,,cd2] a1 c d f [c,aa2]
15;;80;Wegwart die art;Schlick;;OT;ConcR3217;C|;[d,b3] ,,,d1 ,,b ,,d ,,b ,,,d/ ,,,c [b,da2] b1 a ,a a/ b d b a ,d [ab,,d]
