PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Probe eines neuen Drucks von Musicalischen Caracteren für die Laute <br> (Breitkopf 1757);;;;;;
1;C dur;4;Fantasie von Herrn Baron, Königliche Lautenisten;E.G.Baron;;;;C;"{4}/4 {,,a} {a} ,,,,,d ,,,,c ,,,c ,,d ,c c ,c ,,d ,,,c ,,,,c \
,,,,,d {a} {,,a} {,a} ,,,,,a ,,,,d ,,,e ,,d ,d e h"
2;C dur;6;1. Menuet;Seidel;;;;3/4;"[ccd{4}1] [ed/] [cc] h ,f | [cc{5}1] [aa{a}] [,cd,,d] | \
[,aa{,a}1] (3,d/ ,c ,a) [e{,a}] ,,d | ([,,d{a}1] ,,c) [,,d{6}] | "
3;C dur;6;2. Menuet;Seidel;;;;3/4;"[,cd{4}1] ,,,c [a{5}/] ,a | [,c{4}/] ,,d c ,c h ,,h | \
[,,d,,a1] ,,,,c [,a{6}/] ,,c | [,,d,,a/] ,,a ,c ,,a e ,,d | "
4;G dur;7;3. Menuet;Seidel;;;;3/4;"{a}/ ,a [,a{5}] ,,,c [,,,c{4}] ,c | [,c{a}/] ,a [,a,,,a] ,e \
[,e{a}] c | [c{,a}/] e [e,,,,a] ,a [,a,,a] h | "
5;G dur;7;4. Menuet;Seidel;;;;3/4;"[,,f{a}/] ,f [,'f{5}1] (3[g{a}/] ,f ,,f ) | [,,h{4}/] h \
,,f g [,,d{,,,a}] e | [,,c{a}/] c ['c{5}1] (3[g{,,,a}/] \
,f ,,f) | "
6;D dur;8;5. Menuet;Seidel;;;;3/4;"[,,ab{,,,a}1] ,a/ ,,a (3[,e{,,,a}/] ,a ,,a) | [,,a{4}1] \
,c/ ,,a (3[c,,,,a/] ,c ,,a) | (3[,e{,,,a}/] ,a ,,a) \
['e{,a}1] {a}/ g | "
7;D dur;8;6. Menuet;Seidel;;;;3/4;"[,e{,,,a}/] e [,c{4}] c ([,e{,,,a}] ,a) | [,'a,,,a1] {a}/ \
,,e [,aa{,a}1] | ([,,c{a}/] ,,e) [,a,,,c1] [,,c{a}] | \
[,,c{,,,a}1] ,,e/ {,,,a} ,,,,a ,,,,,e | "
8;d moll;9;7. Menuet;Seidel;;;;3/4;"[,,a{,,,a}1] [,,bc] [,,aa] | [,,aa{,,,a}1] ,a/ ,,e ,a ,,a | \
[,,a,,e1] [,,'bc] [,,aa] | [,,a,,e1] (,c/ ,a) ,c ,,a | "
9;F dur;9;8. Menuet;Seidel;;;;3/4;"{,a}1 [a,a] ,,d | {,,a}1 [c,d] ,,d | [e,d{,a}1] [c,d{,,a}] \
[a,d{,,,a}] | [,cd{4}/] [aa] [cc] {,,a} {a} ,,,,,d | \
[aa{a}1] [,cd] [,ac] | "
10;g moll;10;9. Menuet;Seidel;;;;3/4;"[,,bc1] {a}/ ,a ,,d ,,b | [,,'b1] {,a} [,,a{,a}] | \
[,,,'c1] {,,a}/ ,,b ,,a ,,,c | [,,,b{,,,a}/] ,,a ,,,c \
,,b ,,a ,,d | "
11;B dur;10;10. Menuet;Seidel;;;;3/4;"[,,,a{5}1] ,,b ,a | [,,,a{6}1] ,,d ,b | (3[,a{5}/] ,,d ,,b) \
[,bb{a}1] [a,b{,,,a}] | [aa{,,a}1] [cb] [aa{5}] | \
[,,g{6}1] h ,,g | "
12;c moll;11;11. Menuet;Seidel;;;;3/4;"(3[,b{4}/] ,a ,,d) [cb1] [aa] | (3[,d{4}/] ,b ,a) [dd1] [cb] | \
[cb{4}/] {,,,a} [h,g{,,a}1] [,bd{,a}] | [,bd{a}1] [,ac{a}] ,1 | "
13;Eb dur;11;12. Menuet;Seidel;;;;3/4;"{,,a}/ ,,,c [,,b{a}] ,b [c{,,a}] ,b | {,,,a}/ ,,b [,a{,a}] \
a ([d{,,,a}] a) | ([d{,,a}/] c) ([a,,d] c) [,,d,,a] ,b | "
