PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Diligam te Domine a 4 Di Andrea Gabrieli;Andrea Gabrieli;;OT;;C;"c4 c2 c | [,df2] ,a [,df] ,,f1 ,d | \
[,cd/] ,d a ,c ,,a1 c ,,b a/ ,d a1 ,,b | \
[f,a/] ,,b ,,d ,,a";italian7tab
2;;3;Ego rogabo a 4 Di Andrea Gabrieli;Andrea Gabrieli;;OT;;C;",,d3 [,,ca2] ,,d | \
[,d,a/] a c a [,d,a] ,c ,a ,,d [,db] a ,d ,c ,a ,,d ,,b ,,a | \
[,a,c1] ,c/ ,d a1";italian7tab
3;;4;Virgo prudentissima a 4 Di Giulio Renaldi;Giulio Renaldi;;OT;;C;",,d4 ,,e | ,,,c4 ,,d | ,,d2 ,,d ,a ,c | \
[,d,a1] a c/ d c a [,d,a/4] ,c ,d ,c ,a \
,d ,c ,a ,,d/ ,,b ,,d ,a |";italian7tab
4;;7;Tu es Pastor ouium, del Palestrina;Palestrina;;OT;ConcR3647;C;"a4 a | a4 ,d | [,cd2] a ,,d1 ,d ,c2 | \
,,d2 ,a1 ,,d [,ab2] ,a | \
[,,de2] ,,d1 ,a ,c ,,b [,d,e2] |";italian7tab
5;;9;Angelus ad pastores, del Palestrina a 4;Palestrina;;OT;;C;",,,,c4 ,a2 [c,,,c] | [,,a,c2] [ca] [caa,c] ,,a1 ,,,,e | \
[,,def2] f [,,def] [f,,,f1] ,,,f | \
[fc,ea1] ,,,c/ ,,,e ,,,c1 ,,,a [fc,ca] d/ c [a,d1] ,,b/ ,,a |";italian7tab
6;;11;Surrexit a 5 di Marc' Antonio Ingegnero;Marc Antonio Ingegnere;;OT;;C;",a4 c3 a1 | [c,a1] e f e [c,f] a ,d [,cd] | \
[,df1] [ac] [cd] [,df] [ac] ,a ,,d ,,c | \
[,da,c1] ,,,c ,,a ,,c";italian7tab
7;;13;Qui me confessus a 5 Claudio da Correggio;Claudio da Correggio;;OT;;C;",,d4 a3 a1 | [a,,c2] a [c,d] a1 ,,d | \
[,cd/] ,a ,c ,d [a,d] ,c ,d a [,df1] ,c/ ,a [,cd1] ,a |";italian7tab
8;;14;Veni in hortum meum A Cinque. Di Orlando Lasso;Orlando Lasso;;OT;ConcR1857;C;",,,c4 [,a,c] | [,a,c2] ,,b [,a,c1] ,,a [,bc] ,,d | \
[,a,c/] ,,d ,,b ,,a [,,bc] ,,,a ,,,,d ,,,,c [,bdca] \
,d ,b ,a ,,d ,,,,c ,,,,d ,,,,a |";italian7tab
9;;17;Ad dominum cum tribularer a 5. Di Gio. Cauaccio;;;OT;;C;",,,c4 [,a,c] | [,ab4] [,db2] ,,b | \
[,da2] [,df] [abd1] ,a [,bd] ,d | \
[abd/] ,a ,b ,d [a,d1] c [dfg4] | \
[ddf,c2] d1 c/ d";italian7tab
10a;;19;Vestiua i colli. Prima parte. Del Palestrina a 5 uoci: per suonar a duoi Liutti, & solo;Palestrina;;OT;ConcR861;C;",a2 ,a1 ,a [a,,c2] ,,,c1 [a,,c] | \
[,df1] ,a ,d [ac] [cd,,c] ,a [,d,,c] [,d,,c] | \
[ac,c2] [da1] ,,,c [cd,a] ,,,,c ,,,a [ac,c/] [,df] |";italian7tab
