PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;N°1. Ich blicke nach der Höhen;;;cittern;;C;"[,baaa1] | [,bca,c1] [,ae,,a] [aba,a] [ab,a] | \
[bd,,c1] [,a,,,a] H[aba,e] [,ad] | [aba,a/] c [dd,,,e1] [db,,,c] [c,,,c] | \
H[da,,,a3] :||: [,dcc1] | [,ded1] [,bc,a] [,aa,c] [,,ccc] |";
2;;1r;N°2. O Haupt voll blut und Wunden;;;cittern;;C;"[,aa,,a1] | [ab,,a1] [,de,,a] [,b,,,c] [,aa,,e] | \
[,,caa1] ,,,,c H[,aa,,e] [c,,,d] | [d,,a1] [c,,,,c] [a,,,,e] [,e,,,e] | \
H[aaaa3] :||: [c,,,c/] ,,,,a | \
[d,,,,e1] [,d,,,a] [a,,,a/] ,,,,,e [c,,,,c1] |";
3;;1v;N°3. O süßer Stand, o selig(s) Leben;;;cittern;;C;"[,,aaa1] | [,bc,,c1] [,de,,a] [ab,,a] [,baa] | \
[d,,,,e1] [d,,,,a/] b [ab,,a1] H[,baaa] | z1 [ab,l,a] [,ded] [ab,,a] | \
[,de,,a1] [d,,,,e] [d,,,,c] [c,,,c] | H[da,,,a3] :||:";
4;;1v;N°4. Christ der du bist der helle Tag … N.38;;;cittern;;C;",,c1 | [,b,,,c/] ,a [,,c,c1] [,,ba/] ,,,,c [,,c,a/] [,a,,,e] | \
[,b,,,c1] [,a,a] H[,,caac] [,b,,,c] | [,bc1] [,b,b] [,b,a] [,,a,a] | \
[,b,,,c/] ,a [,,ccc1] H[,a,,,a] [,a,,,a] |";
5;;2r;N°5. Jesu meine Freude;;;cittern;;C;"[ab,,,c1] [ab,,a] [,d,,,e] [,b,,,c] | [,e,,c1] ,,,e H[,,caac2] | \
[aba,a1] [cb,,,c] [da,,,a/] b [ab,,a] ,,,,e | [f,,,,c1] ,,,,c H[e,,a2] | \
[f,f,a/] h [i,,f1] [h,,,fh/] f [e,,a1] |";
6;;2r;N°6. O Jesu Christ mein schönstes Licht;;;cittern;;C;"[a,,a/] ,d | [,bc1] [,d,,c] [,b,,,c] [,,c,a/] [,a,,,e] | \
[,b,,,c/] ,,a [,d,b1] H[aaba] [a,,a] | \
[d,,,,e1] [a,,,,b/] ,d [,b,,,c1] ,,a [,d,b/] [a,a] |";
7;;2v;N°7. Fröhlich soll mein Herze springen;;;cittern;;C;"[,aa,,a/] ,,c [,,a,,e] ,,,,,c [,ded,a1] [aba,a] | \
[,ba,,c1] [,b,,c] [,aa,,a] H[,,adca] | [aba,a1] [fc,,,c/] d H[cdc,c2] | \
[aaa1] [,dea] H[,cca,c2] | [,dcc1] [acaa] [c,,,c] [ddad] |";
8;;2v;N°8. Jesus Christus blickt dich an;; Jesus Christus blikk‘ dich an;cittern;;C;"[,,caac/] ,a [,bca,c1] [,aba] [,bc/] ,a | \
[,,caa/] [,a,,,e] [,bc,,c1] H[,de,,a2] | \
[ab,,a1] [ab,,a] [,de,,a] [,bc,,c] | [,a,,c1] ,,,a H[,,caac2] |";
9;;2v;N°9. Naht heran zu einem Mahle;;Naht heran, ihr lieben Brüder/Glieder;cittern;;C;"[abaaa1] [,ded,a] [,bca,c] [,ded,a] | \
[aba,a/] b [abaa1] [baa,c] ,,,,,a | \
[abaaa1] c [d,,,,a] [db,,a] | \
[f,,b/] [d,,,a] [ba,,c1] [ab,a] [,dcb/] ,,,,,a | \
H[,baaa] ||";
10;;3r;N°10. Wach auf mein Herz und singe;;Nun lasst uns Gott, dem Herrn;cittern;;C;"[,baaa1] | [,bca,c1] [,aaa] [,,cb/] ,a [baa1] | \
[,d,,c1] ,,,,,a H[,baaa] [,baaa] | [,bca,c1] [,dccc/] ,b [,aa] ,b [,da,,,a1] | \
[,b,,,c1] ,,,,c H[,aa,,a] [,aa/] ,,,b |";
