PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;1;Prelude;;;;;none;",,,,a/ ,,,a ,,a ,a ,c a ,a 'a3/2 c/ e {,,,a} \
,,,,a ,,,a ,,a ,a e ,,,,,e ,c e 'c a ,c a c e "
2;d moll;2;Curante du Vieux Gautier;V.Gaultier;L'Immortelle;;Conc_95;3;",,a/ [,,,'c] ,,a | \
[,,,aa1] [,,,aa/] [,,,aa] [,,,cc1] | \
[,,aad1] [,,aad] ,a/ ,,,c | \
[,,ee1] ,,,,,a/ ,,,c [,,,'a] ,,,,c | \
[,aaa{,,,a}1] [,'c/] a/4 ,c a/ ,,,,a | \
,,,,,a1 ,,d/ ,,,,c ,,,,d ,,d | "
3;d moll;3;Bouree;D.Gaultier;Ballet Royal 1674;;Conc_37;C;",c/ | \
[aa,,a1] [ca,,,b] [e,d{,a}/] f e ,f | \
[aa,,a/] ,,,,,b [ca,,,b] e/ [ece,,a3/2] ,c/ | \
[aa,,a/] ,,,,,a [ca,,,b] {a} [e,d{,a}] f e ,f | "
4;d moll;4;Sarabande;;;;Conc_3982;3;"['aaa,a1] [aaa] ,,,,,a | \
[,cde3/2] a/ ,,,,,b1 | \
[,aba1] [,aba] {,a} | \
[,,ded3/2] ,a/ {a}1 | \
[,,bc1] [,,bc] {,,,a} | \
[,,'aa3/2] ,,,c/4 ,,a ,,,a1 | \
,,,,,d1 [,,,,,'b] [,'a] | "
5;d moll;5;Prelude;;;;;none;"{,,,a} ,,,,a ,,,a ,,a ,a ,c a ,a a c e ,,,,a [eaaa] ,,,,,e \
,c e 'c e ,,,,a ,a 'a c 'a c ,,,,,d ,c"
6;d moll;6;Gigue;V.Gaultier;"""La Poste"" or ""L'Estourdie""";;Conc_62;C;"[,af3/2] ,,e/ ,a ,,a ,,b ,,,c | \
[,,aVe/] {,,,a} ,a ,c a ,,,,,d [c,,,,b] ,c | \
[e,,,,a/] ,,a 'c ,d/4 c e/ ,c a ,a | "
7;d moll;7;Courante du Faux;F. Dufault;;;Conc_314;3;"e/ | \
[eaa{,,,a}1] ,,,,a/ c a ,c | \
a1 [,'c{a}3/2] ,a/ | \
[,,e,,a1] ,,,e [,,,'c] | \
[,a,a1] [,c,,c3/2] a/ | \
[a{,,,a}1] ,,,,a/ ,a [,'c] a | \
[c,,,c1] ,,d [,,'b] | "
8;d moll;8;Double;;p. 9 empty;;;3;"e/ | \
[e{,,,a}1] ,,,,a/ c 'a ,c | \
a/ ,a {a} ,d [,'c] ,a | \
,,,,,a/ ,,e ,,,e ,,c ,,e ,,,c | \
,,,a/ ,a ,,,c ,,,a ,,,,c ,c | "
9;d moll;10;Sarab;Dufault;;;;3;"[e{,,,a}/] c ['aaa,a3/2] a/ | \
[c{a}1] [,abc3/2] ,c/ | \
[,a,,,a1] [,,ecc3/2] ,a/ | \
[,a{,,,a}1] [,aaa2] :: \
[,c,,,d/] ,a [,,da{,a}1] ,,d | \
[,a,,,b1] [,aba3/4] ,c/4 a1 | "
10;d moll;12;Prelude du Faux;;;;;none;",,f3/2 ,,f/ ,,f1 {,,,a} ,,,,a ,,,a ,,f [,,'d] ,,,f ,,a \
,,,,a [,,'b] ,,,,c [,,aad] (,,,,c/4 ,,,,a ,,,,c) ,,,c ,,,,,e \
,,a ,,,a ,,,,a ,,c ,,e ,a ,c a ,a e ,,d"
