PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;delyghte paven;;;cittern;ConcR12;C;"[daaa3/2] d/ [daa1] [fdf] | [fbd3/2] d/ [dbd1] [dbd] | \
[cac1] [daa] [cac] [daa] | [cac3/2] c/ [cac1] [daa] | \
[fdf1] [fdf/] d [bacd1] [dbab] |";french4tab
2;;1r;[fragment];;;cittern;;none;,,a ,,c ,,,a ,,,b ,,,d a a ,a ,,,b ,,,a ,,c ,,a;french4tab
3;;1v;the quenes galliard;;;cittern;ConcR102;C;"[daa1] [daa] [accb] [daaa] | [daa1] [ebbb] [ebbb] [daa] | \
[daa/] b [acab1] [acab2] || \
[bad1] [bad/] [bad] [dbab1] [daaa] |";french4tab
4;;1v;the medley;;;cittern;ConcR3153;C;"[bacd3/2] b/ [bacd1] [bacd] | [accc3/2] a/ [accc1] [bacd] | \
[daa1] [fdf] [dcf] [dcf] | [fdf3/2] d/ [bacd1] [bacd] | \
[dcf3/2] d/ [fdf1] [dcf] |";french4tab
5;;2r;omnyno galliard;;;cittern;ConcR9;3;"[daa1] [daa] [daa] [daa2] | [fddd1] [fddd3/2] [fdf/] [daa1] | \
[cacd1] [cacd2] || [gddd/] [gddd1] [gddd/] [dbd1] | \
[fdf/] [fdf1] [fdf/] [gddd1] |";french4tab
6;;2v;Jhonsones paven;;;cittern;Conc_4390;C;"[gaa3/2] f/ [daa1] [cac] | [daa1] [daa] [cac] ,,,d | \
[daa1] [acab] [cac/] d [dac] c | [daaa3/2] d/ [daaa1] [daaa] |";french4tab
7;;2v;The galliard;;;cittern;Conc_4391;3;"[gaa3/2] f/ [daa1] [cac3/2] d/ [cac1] | [daa2] [daa1] [cac] [cac] [daaa] | \
[acaa3/2] a/ [dbd1] [dbd] [cac/] d [dac] c |";french4tab
8;;2v;leveche paven;;;cittern;Conc_4386;C;"[daaa/] [daaa] | [daaa3/2] d/ [daaa1] [daaa] | [acab3/2] a/ [acab1] [fdf/] [fdf] | \
[fdf1] [fdf] [daaa] [daaa] | [cacd3/2] c/ [cacd1] ||";french4tab
9;;3r;the galliard;;;cittern;Conc_4387;3;"[daaa/] [daaa] [daaa3/2] d/ [daaa1] | [acab1] [bacd] [daa] [acab2] [acab1] [acab2] | \
[fdf/] [fdf] [fdf2] [fdf1] [fdf] [daa] [daa] |";french4tab
10;;3v;sopp?ch mar?ch;;;cittern;ConcR14;C;"[acab1] [acab/] [acab] [acab1] [daaa] | [acab2] z2 | \
[dcab1] [dcab/] [dcab] [dcab1] [fdf] | [dcf2] z2 | \
[acab1] [acab/] [acab] [acab] [acab] [acab] [acab] |";french4tab
11;;3v;The earell of derbes galliard;;;cittern;ConcR71;3;"[dbab1] [dbab] [dbab] [dbab2] [dbab1] | [dbab1] [bdbb] [bdbb] [acab2] [acab1] | \
[dbab1] [dbab] [dbab] [daaa2] [daaa1] | \
[fdf1] [fdf] [daaa/] b [acab2] [acab1] |";french4tab
12;;4r;[The French Galliard];;;cittern;ConcR3154;3;"g/ f | [daa3/2] g/ f d | [cac3/2] ,a/ a c | [daa3/2] a/ b d | \
[fdf3/2] ,d/ d f |";french4tab
13;;4r;[The Spanish Pavan];;;cittern;Conc_4405;C;"[daa/] g f d [cac1] ,a/ a | [cac/] d [fac] c [daa3/2] f/ | \
[gfa/] f [daa] a b d [fdf1] |";french4tab
14;;4v;Monsirs allmane;;;cittern;ConcR48;C;"[daa1] d/ ,c [feh1] [feh] | [haa/] d [dac] c [daaa1] [daaa] || \
[hfa/4] i [ffa/] [ifff] [hfa] [feh] ,e ,,h3/4 [daa/4] |";french4tab
15;;4v;spannesh paven;;;cittern;Conc_4343;C;"[daa/] ,,d ,,c ,,a | [cac1] ,a/ a [cac] d [dac] c | \
[daa1] d/ f [daa] a b d |";french4tab
-;;4v;the rest of Callino;;continuation from f. 7r and cont'd on bottom f. 5r;;;;;
16;;5r;proverbus;;;cittern;ConcR3155;C;"[daaa/] [daaa] [daaa1] [daaa] [accb/] ,,,a/4 ,,,b | \
,,,a/ ,,c [ece3/2] c/ e f | [ece1] [cac/] [cac] [cac1] [cac] |";french4tab
17;;5v;Allisuns galliard;;AllisonR N°19;cittern;;3;"[daaa2] [dcab1] | [dcab1] [cac/] ,a a c | [daaa1] ,,,a/ ,,,b ,,,a ,,c | \
[daaa1] d/ c a ,a | [acab1] ,,,b/ ,a a c |";french4tab
18;;6r;Leyght of love M.O.;;;cittern;ConcR20;C;",a1 a/ c d | c/ ,a ,,a1 | [acab/4] ,a/ ,,,a1 | \
[cacd/4] [daaa1] | [acab1] ,a/ a c | [daaa/4] ,a1 ,,,a |";french4tab
19;;6r;A galliard fanta??ell El?pyers;;;cittern;;3;"[dbab1] [dbab] [dbab] | [daa3/2] d/ [bacd1] | \
[dbd1] [dac] c/ ,,,b | [daaa1] d2 || [dbd3/2] e/4 [dbd1] | \
[gddd3/2] e/ [dbab1] |";french4tab
