PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;9r;Rede und nit …;;;h-G-d-g-d'-e';;C;",a/ ,,f [,fd] ,a [,df] ,c | [,,ha/] ,,f [,fd] ,,a [,fca] ,e/4 ,c [,eca/] ,c/4 ,e | \
[,fdfd1] [,,,df/] ,,,c ,,,a1 [,,,fd] |"
2;;11r;Im …;;;h-G-d-g-d'-e';;C;"[,cccc/] ,,e [fcf] ,,e/4 ,,f [ece/] ,,c/4 ,,e [fcfcc/] [fcfcc] | \
[ecec/] c/4 e [fccccc/] f/4 d [caca/] [cac] [daaaaa] [,aaaaa] |"
3;;11v;Anderlei …;;;h-G-d-g-d'-e';;C;"[def1] [fdfd/] [haa] [icc3/4] [haa/4] [fdfd/] [,ffc] | \
[,dfd/] [,cfh] [,aef1] [,,ffff/] [fdfd] ,,f [dcfc/4] ,,f | \
[,dfd/] [,cfh] [,aef1] [,fffff] :||:"
4;;12r;In dich muss ich mich aller;;;h-G-d-g-d'-e';;C;"[,aef2] [,,ffff1] [,eca] | [,fec3/4] [,eca/4] [,,ffff1] [,aaac] | \
[,,fff1] [,,,fka] [,,ceh2] | [,,efa1] [,,ffff] ,,,f [,aeac/] ,,,f | \
[,,fff1] [,,,fka] [,,ceh2] | [,,efg2] :||:"
5;;12r;Wan ich gedencke der Stund;;;h-G-d-g-d'-e';;C;"[fdh1] [def] [def/] [,cfh] [bad] [dca] | \
[fdf/] ,,h [icc] ,c [gca] [,hhd] [,ffc1] | \
[,dga/] [,dha] [fdfd] ,,,f [,ce] ,,f |"
6;;12v;Wan ich gedencke;;;h-G-d-g-d'-e';;C;"[,cah2] [,aef] | [,aef1] [,,,fka] [,,fhf] [,aca] | \
[,,ffff1] ,,,h [,fea] ,,e | [,dea1] [,,,hff] [,aaaa2] | \
[,,fcc1] [,,fcc] [,,ffff/] ,,,a [,,ec] ,,,d |"
7;;12v;Nun bin ich ain mal frey;;;h-G-d-g-d'-e';;C;"[gfa1] [fah/] [lih/4] ,,k [ihl/] [gfa] [fdh1] | \
[gfa/] [fdh] [lih] ,,k/4 [ihl/] [gf] [fdh1] | \
[gfi1] [ihf/] [gfi] [fdh1] [dha] :||:"
8;;13r;Nun bin ich ain mal frey;;;h-G-d-g-d'-e';;C;"[,dha2] [,cc1] [fdc/] ,,e | [dcf1] [ba] [,,cfh2] | \
z1 [,dba1] [,cfh] [fdc/] ,,e | [dcf1] [ba] [,cfh2] | \
[bad2] [dca1] [bad] | [,cfh2] [,aha] :||:"
9;;13r;[Title 1];;;h-G-d-g-d'-e';;C;"[ldd/] i [gfi] [gf1] [ihl] [,id/] [,ii] | \
[mf/] ,,f/4 [lf] [ihf/] [gf] [fdh1] [dfa/] ,f | \
,f/ ,i l [mlnl/4] [li,l]"
10;;13v;[Title 1];;;h-G-d-g-d'-e';;C;"[,bfd1] ,f [bad] [bad/] [ba] | [dcf2] [,dfd1] [,dd] | \
[ga1] ,,a [fa/] [dca] [ba1] | [,cfh2] [,aha1] ,,f | \
,a1 [fd] [gfa] ,,a/ [fd] |"
11;;13v;Lieb mit vernunfft;;;h-G-d-g-d'-e';;C;",a/ [fd] [fdh] [fdh1] [gfa] [gf/] g | \
[igl/] [lal] [mff] [mhf1] [lid1] z/ [lid/] | \
[ihl3/4] [gfi/4] [fdh/] [,ff] [ffh] [feh] [dfa] :||:"
12;;14r;Lieb mit …;;;h-G-d-g-d'-e';;C;",,c/ [,df] [,dfh] [,dfh] | [,dga2] [,dh1] ,d | \
[dcf1] [,hfh] [gaa] [gca] | [fdfd2] z1 [fdfc] | \
[dcf3/2] [bad/] [,cfh1] [,aa] | [aaa1] [,cgh] [aha] :||:"
13;;14r;Eein Lieb mit;;;h-G-d-g-d'-e';;C;"[ihl1] [gfi/] [fdh] [ihl3/4] [ihl/4] [gfi/] [fd] | \
[ddf/] [dcf] [,dfd] ,d :||: [aaa1] [,cgh] [,aha] b1 | \
[bad1] [bad] [,ad] |"
14;;14r;Mein Lieb mit;;;h-G-d-g-d'-e';;C;"[dcf2] [bad1] [,dfh] | [dcf3/2] [dca/] [bad1] [,ch] | \
[,aff1] [,aef] [,,fff] ,,f :||: ,,f1 [,,fd] [,dcd] ,,,d | \
[,dca1] [,df] [,aa] [,fe] |"
