PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;81r;The Smirking Sheepheard;;;OT;;3;"a1 | [,d,,c2] [,b,,a1] [,a,,,e2] [,,d,a1] | \
[aac,,a3] ,,,c2 ,,c1 | ,,a3/2 ,,c/ ,,d1 [,a,,,a2] ,,c1 | \
[,,d,a3] z2 || ,a1 | [,b,,a3] ,,d3/2 ,a/ ,b1 |"
2;;81r;The Cobbler;;;OT;ConcR373;C;"a1 | [f,,,a1] f [e,,,,a/] f Xh1 | [c,,e1] c [a,,,e] a | \
[c,,a1] a/ c [e,,,,e] a c e | [f,,,a1] f [a,,,a2] ||"
3;;81r;My La: Hastings Allmaine;;;OT;;C;"a1 | [,cd,a3/2] ,d/ a1 [cd,a] | \
[acd,a1] ,,d ,,,,a ,c/ ,d | \
[acd1] [aac] [c,,a] Xf | [e,,,,a1] ,f ,,,,,a a | \
[f,,e3/2] f/ [e,,,e3/2] e/ |"
4;;81r;Sick Sicke;;;OT;;C;"[,a,,,a1] ,c/ ,d a1 ,a | [,c,,a1] ,,d X[,d,a2] | \
[,a,,,a1] ,c/ ,d a1 ,d | [,cd,a2] [,ac,,,a] | \
[,a,,,a1] ,c/ ,d a1 ,a |"
5;;81r;The merry Gypsie;;;OT;;C;"[f,,,a2] [f,,,a1] f | [e,,,,a3/2] f/ h2 | \
X[f,,,a3/2] e/ c1 a | [,c,,a2] a | [c,,a1] c [,c,,a2] |"
6;;81r;Haue at thy Coat old woman;;;OT;ConcR1486;3;",c1 | X[,f,,a2] ,c1 X[,f,,a2] ,c1 | \
[,d,,c3] ,a2 ,c1 | X[,f,,a2] ,c1 [,f,,a2] ,d1 | \
[,c,,a1] ,,d4 a1 | [f,,,a3/2] a/ c1  [a,,,a3/2] ,d/ ,c1 |"
7;;81v;Mall Sims;;;OT;Conc_4432;3;"[,ab,,a2] X[da,c] | [ca,,c2] ,a1 [h,,f] | \
X[f,,a1] [da,c] [ca,,c] [a,,,d] | X[,e,,c1] ,a ,,,,c2 | \
[da,,,a1] a [c,,a] [,a,,,d] | [,,da1] [,,bc] [,,a,c] ,a |"
8;;81v;Souches March;;;OT;ConcR289;C;"[,,da1] ,a/ ,c [,d,a2] ,,a1 ,,,a/ ,,b X,,d2 | \
[,d,a1] ,,d [,a,a] ,,d [,,aa] ,,d [c,,a2] | \
[,,d,a3/4] ,,c/4 ,,d/ ,a ,c ,d a1 |"
9;;81v;The merrie old woman;;;OT;;3;",c/ ,d | [,a,,,a3/2] c/ a1 [,c,,a2] ,,d1 | \
[,c,,a1] a4 c/ d | [f,,,a2] ,,d1 [,c,,a2] ,,d1 | \
[,a,,,a1] ,a4 ,,c1 | [,,d,a3/2] ,a/ ,c ,d a2 ,,c1 |"
10;;81v;The Angelss voyce;;;OT;ConcR33;C;"[f,,,a3/2] h/ f d c a | X[,d,a3/2] a/ c a ,d ,c | \
[,a,,,a1] ,c/ ,d a ,d ,c ,a | [,,d,a1] ,,d ,,,,a2 ||"
11;;81v;The Cana(ries);;;OT;;3;"[a,,,a3] [,c,,a3/2] ,d/ a1 | \
[a,,,a3/2] ,d/ ,c1 [,a,,,2] ,,d1 | \
[,c,,a3/2] ,d/ a1 [,c,,a3/2] ,d/ a1 | \
[a,,,a3/2] ,d/ ,c1 [,a,,,a2] ,,d1 |"
12;;82r;Roddocks Jigge;;;OT;ConcR371;3;"[a,,,a3/2] ,d/ ,c1 [,d,a3/2] a/ c1 | \
a1 ,,,,,a ,,c [,,d,a3] || ,c1 ,a ,,,,,a ,c ,a ,,,,,a | \
,c/ ,d a1 ,,,,,a ,,c [,,d,a2] ||"
13;;82r;Amyntas;;;OT;;C;"[,,d,a2] [,,b,c/] ,,,d [,,,cd1] | \
[,,b,d2] [,,,d,,a3/2] ,,,c/ | \
[,,,ca2] [,bd/] [,bd] [,a,c1] | \
[,,dd3/2] [,d,a/] [,db1] [,bd] | [,a,c2] [a,,,a] | \
[,,cc/] [,,cc] [,,dd1] z1 [,a,a1] |"
14;;82r;Daphne;;;OT;ConcR1105;3;",,,c1 | [,,bc,a2] [,,da1] [,ab,,d2] [a,,c1] | \
[,e,,c3/2] a/ c1 [a,cc,a2] [,ab,,d1] | \
[,db,,d/] ,b ,a ,,d [,,b,,d] ,a \
[,,d,,,a] ,,b ,,a ,,,c [,,ba,d1] |"
15;;84v;The 10 comandments;;upside down;OT;ConcR1498;none;"[fdda,,a4] [,aba,d2] [,,dc,a] [,db,,,a4] \
[,ab2] [ab,,d4] [,a,,,,a2] [,bdca4] | \
[,dda,,a4] [,ab,,d2] [,da,c] [,abc,a] \
[c,da,c] [aba,d4] [,dd,c] [,bdca] |"
